시간,현재가,등락,등락률(%),체결량,거래량
06/20 15:30,60900,▲ 500,0.83,9663,121298
06/20 15:10,60800,▲ 400,0.66,4853,111635
06/20 15:00,60600,▲ 200,0.33,5074,106782
06/20 14:50,60600,▲ 200,0.33,3887,101708
06/20 14:40,60600,▲ 200,0.33,2797,97821
06/20 14:30,60600,▲ 200,0.33,5382,95024
06/20 14:20,60200,▼ 200,-0.33,5407,89642
06/20 14:10,60300,▼ 100,-0.17,3601,84235
06/20 14:00,60500,▲ 100,0.17,4953,80634
06/20 13:50,60600,▲ 200,0.33,3094,75681
06/20 13:40,60700,▲ 300,0.5,3765,72587
06/20 13:30,60900,▲ 500,0.83,3795,68822
06/20 13:20,60800,▲ 400,0.66,4144,65027
06/20 13:10,60600,▲ 200,0.33,3433,60883
06/20 13:00,60700,▲ 300,0.5,1754,57450
06/20 12:50,60600,▲ 200,0.33,999,55696
06/20 12:40,60600,▲ 200,0.33,1104,54697
06/20 12:30,60700,▲ 300,0.5,3786,53593
06/20 12:20,60700,▲ 300,0.5,2728,49807
06/20 12:10,60700,▲ 300,0.5,1163,47079
06/20 13:20,60800,▲ 400,0.66,4144,65027
06/20 13:10,60600,▲ 200,0.33,3433,60883
06/20 13:00,60700,▲ 300,0.5,1754,57450
06/20 12:50,60600,▲ 200,0.33,999,55696
06/20 12:40,60600,▲ 200,0.33,1104,54697
06/20 12:30,60700,▲ 300,0.5,3786,53593
06/20 12:20,60700,▲ 300,0.5,2728,49807
06/20 12:10,60700,▲ 300,0.5,1163,47079
06/20 12:00,60700,▲ 300,0.5,574,45916
06/20 11:50,60600,▲ 200,0.33,1589,45342
06/20 11:40,60700,▲ 300,0.5,3089,43753
06/20 11:30,60600,▲ 200,0.33,1797,40664
06/20 11:20,60500,▲ 100,0.17,1634,38867
06/20 11:10,60600,▲ 200,0.33,2014,37233
06/20 11:00,60600,▲ 200,0.33,2095,35219
06/20 10:50,60600,▲ 200,0.33,1995,33124
06/20 10:40,60500,▲ 100,0.17,2125,31129
06/20 10:30,60400,0,0.0,1868,29004
06/20 10:20,60600,▲ 200,0.33,2726,27136
06/20 10:10,60600,▲ 200,0.33,2283,24410
06/20 10:00,60600,▲ 200,0.33,5475,22127
06/20 09:50,60400,0,0.0,2900,16652
06/20 09:40,60500,▲ 100,0.17,838,13752
06/20 09:30,60300,▼ 100,-0.17,2536,12914
06/20 09:20,60600,▲ 200,0.33,4525,10378
06/20 09:10,60600,▲ 200,0.33,1159,5853
06/20 09:00,60100,▼ 300,-0.5,4694,4694
