시간,현재가,등락,등락률(%),체결량,거래량
06/22 15:50,82200,▼ 900,-1.08,12,274262
06/22 15:40,82200,▼ 900,-1.08,95,274250
06/22 15:30,82200,▼ 900,-1.08,29240,274155
06/22 15:10,82300,▼ 800,-0.96,29028,244915
06/22 15:00,82300,▼ 800,-0.96,9046,215887
06/22 14:50,82400,▼ 700,-0.84,8215,206841
06/22 14:40,82300,▼ 800,-0.96,4569,198626
06/22 14:30,82300,▼ 800,-0.96,8017,194057
06/22 14:20,82300,▼ 800,-0.96,13809,186040
06/22 14:10,82400,▼ 700,-0.84,5129,172231
06/22 14:00,82300,▼ 800,-0.96,2472,167102
06/22 13:50,82300,▼ 800,-0.96,3589,164630
06/22 13:40,82400,▼ 700,-0.84,8147,161041
06/22 13:30,82400,▼ 700,-0.84,1997,152894
06/22 13:20,82500,▼ 600,-0.72,1284,150897
06/22 13:10,82500,▼ 600,-0.72,6811,149613
06/22 13:00,82500,▼ 600,-0.72,3417,142802
06/22 12:50,82500,▼ 600,-0.72,6735,139385
06/22 12:40,82400,▼ 700,-0.84,4280,132650
06/22 12:30,82500,▼ 600,-0.72,3102,128370
06/22 13:20,82500,▼ 600,-0.72,1284,150897
06/22 13:10,82500,▼ 600,-0.72,6811,149613
06/22 13:00,82500,▼ 600,-0.72,3417,142802
06/22 12:50,82500,▼ 600,-0.72,6735,139385
06/22 12:40,82400,▼ 700,-0.84,4280,132650
06/22 12:30,82500,▼ 600,-0.72,3102,128370
06/22 12:20,82600,▼ 500,-0.6,8256,125268
06/22 12:10,82800,▼ 300,-0.36,1273,117012
06/22 12:00,82700,▼ 400,-0.48,1361,115739
06/22 11:50,82800,▼ 300,-0.36,1314,114378
06/22 11:40,82700,▼ 400,-0.48,2556,113064
06/22 11:30,82800,▼ 300,-0.36,5438,110508
06/22 11:20,82900,▼ 200,-0.24,2368,105070
06/22 11:10,82900,▼ 200,-0.24,1895,102702
06/22 11:00,83000,▼ 100,-0.12,4522,100807
06/22 10:50,82900,▼ 200,-0.24,3011,96285
06/22 10:40,82900,▼ 200,-0.24,9437,93274
06/22 10:30,83100,0,0.0,5018,83837
06/22 10:20,83200,▲ 100,0.12,2891,78819
06/22 10:10,83100,0,0.0,3215,75928
06/22 10:00,83200,▲ 100,0.12,7934,72713
06/22 09:50,83400,▲ 300,0.36,5453,64779
06/22 09:40,83100,0,0.0,7208,59326
06/22 09:30,83300,▲ 200,0.24,8866,52118
06/22 09:20,83500,▲ 400,0.48,16382,43252
06/22 09:10,83400,▲ 300,0.36,8833,26870
06/22 09:00,83200,▲ 100,0.12,18037,18037
