시간,현재가,등락,등락률(%),체결량,거래량
06/23 15:50,234000,"▲ 5,000",2.18,630,891698
06/23 15:40,234000,"▲ 5,000",2.18,365,891068
06/23 15:30,234000,"▲ 5,000",2.18,74369,890703
06/23 15:10,234500,"▲ 5,500",2.4,20889,816334
06/23 15:00,234500,"▲ 5,500",2.4,23018,795445
06/23 14:50,235000,"▲ 6,000",2.62,19714,772427
06/23 14:40,236500,"▲ 7,500",3.28,18192,752713
06/23 14:30,235500,"▲ 6,500",2.84,14800,734521
06/23 14:20,234000,"▲ 5,000",2.18,16314,719721
06/23 14:10,234500,"▲ 5,500",2.4,12125,703407
06/23 14:00,234500,"▲ 5,500",2.4,14095,691282
06/23 13:50,235500,"▲ 6,500",2.84,14563,677187
06/23 13:40,236000,"▲ 7,000",3.06,32919,662624
06/23 13:30,236000,"▲ 7,000",3.06,22331,629705
06/23 13:20,234000,"▲ 5,000",2.18,27137,607374
06/23 13:10,233000,"▲ 4,000",1.75,19538,580237
06/23 13:00,231500,"▲ 2,500",1.09,23197,560699
06/23 12:50,233500,"▲ 4,500",1.97,12378,537502
06/23 12:40,234500,"▲ 5,500",2.4,10615,525124
06/23 12:30,236000,"▲ 7,000",3.06,19189,514509
06/23 13:20,234000,"▲ 5,000",2.18,27137,607374
06/23 13:10,233000,"▲ 4,000",1.75,19538,580237
06/23 13:00,231500,"▲ 2,500",1.09,23197,560699
06/23 12:50,233500,"▲ 4,500",1.97,12378,537502
06/23 12:40,234500,"▲ 5,500",2.4,10615,525124
06/23 12:30,236000,"▲ 7,000",3.06,19189,514509
06/23 12:20,235000,"▲ 6,000",2.62,9031,495320
06/23 12:10,235000,"▲ 6,000",2.62,15760,486289
06/23 12:00,234500,"▲ 5,500",2.4,15961,470529
06/23 11:50,235000,"▲ 6,000",2.62,10515,454568
06/23 11:40,237000,"▲ 8,000",3.49,12902,444053
06/23 11:30,235500,"▲ 6,500",2.84,20709,431151
06/23 11:20,234500,"▲ 5,500",2.4,12948,410442
06/23 11:10,235000,"▲ 6,000",2.62,17004,397494
06/23 11:00,236000,"▲ 7,000",3.06,23591,380490
06/23 10:50,236000,"▲ 7,000",3.06,21881,356899
06/23 10:40,238000,"▲ 9,000",3.93,20637,335018
06/23 10:30,238500,"▲ 9,500",4.15,35244,314381
06/23 10:20,236000,"▲ 7,000",3.06,11135,279137
06/23 10:10,234000,"▲ 5,000",2.18,14438,268002
06/23 10:00,236000,"▲ 7,000",3.06,18090,253564
06/23 09:50,235500,"▲ 6,500",2.84,26850,235474
06/23 09:40,234500,"▲ 5,500",2.4,40000,208624
06/23 09:30,231500,"▲ 2,500",1.09,28032,168624
06/23 09:20,231000,"▲ 2,000",0.87,19432,140592
06/23 09:10,231000,"▲ 2,000",0.87,44797,121160
06/23 09:00,232000,"▲ 3,000",1.31,76335,76363
06/23 08:30,229000,0,0.0,28,28
