ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,832.80",1.20%,,,"36,585.06",0.68%,,,"4,796.56",0.64%,,,"2,988.77",0.37%,"1,037.83",0.37%,,,,,,,,,16.6,,65.0,"4,027.20",2.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,622.72",-1.33%,,,"36,799.65",0.59%,,,"4,793.54",-0.06%,,,"2,989.24",0.02%,"1,031.66",-0.59%,,,,,,,,,16.91,,66.0,"4,009.00",-0.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,100.17",-3.34%,,,"36,407.11",-1.07%,,,"4,700.58",-1.94%,,,"2,953.97",-1.18%,"1,009.62",-2.14%,,,,,,,,,19.73,,52.0,"3,879.90",-3.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,080.86",-0.13%,,,"36,236.47",-0.47%,,,"4,696.05",-0.10%,,,"2,920.53",-1.13%,980.3,-2.90%,,,,,,,,,19.610001,,50.0,"3,909.00",0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,935.90",-0.96%,,,"36,231.66",-0.01%,,,"4,677.02",-0.41%,,,"2,954.89",1.18%,995.16,1.52%,,,,,,,,,18.76,,51.0,"3,796.30",-2.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,942.83",0.05%,,,"36,068.87",-0.45%,,,"4,670.29",-0.14%,,,"2,926.72",-0.95%,980.38,-1.49%,,,,,,,,,19.4,,47.0,"3,805.40",0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
