번호,abbreviation,Item_Eng,Item_Kor,내용,추후 검토(시계열분석 대체효과)
1,date,date,거래일자,,
2,ixic,IXIC,나스닥지수,전일 지수,
3,ixic_cr,IXIC_change_rate,나스닥지수_변동률,전일 변동률,1주 변동률 추이 검토
4,ixic_f,IXIC_future,나스닥선물지수,,
5,ixic_f_cr,IXIC_future_change_rate,나스닥선물지수_변동률,,
6,dji,DJI,다우지수,,
7,dji_cr,DJI_change_rate,다우지수_변동률,,
8,dji_f,DJI_future,다우선물지수,,
9,dji_f_cr,DJI_future_change_rate,다우선물지수_변동률,,
10,spx,SPX,S&P지수,,
11,spx_cr,SPX_change_rate,S&P지수_변동률,,
12,spx_f,SPX_future,S&P선물지수,,
13,spx_f_cr,SPX_future_change_rate,S&P선물지수_변동률,,
14,kospi,KS11,코스피지수,,
15,kospi_cr,KS11_change_rate,코스피지수_변동률,,
16,kosdaq,KQ11,코스닥지수,,
17,kosdaq_cr,KQ11_change_rate,코스닥지수_변동률,,
18,wti,WTI_rate,WTI선물지수,,
19,wti_cr,WTI_rate_change_rate,WTI선물지수 변동률,,
20,dxy,Dollar_index,미국달러지수,,
21,dxy_cr,Dollar_index_change_rate,미국달러지수 변동률,,
22,krw,USD_KRW,원화환율,,
23,krw_cr,USD_KRW_change_rate,원화환율 변동률,,
24,bond_usa_10,10_YEAR_BOND_YIELD_usa,미국10년만기국채수익률,,
25,bond_usa_10_cr,10_YEAR_BOND_YIELD_usa_change_rate,미국10년만기국채수익률 변동률,,
26,bond_usa_2,2_YEAR_BOND_YIELD_usa,미국2년만기국채수익률,,
27,bond_usa_2_cr,2_YEAR_BOND_YIELD_usa_change_rate,미국2년만기국채수익률 변동률,,
28,bond_usa_3m,3_MONTH_BOND_YIELD_usa,미국3개월만기국채수익률,,
29,bond_usa_3m_cr,3_MONTH_BOND_YIELD_usa_change_rate,미국3개월만기국채수익률 변동률,,
30,bond_kor_10,10_YEAR_BOND_YIELD_korea,한국10년만기국채수익률,,
31,bond_kor_10_cr,10_YEAR_BOND_YIELD_korea_change_rate,한국10년만기국채수익률 변동률,,
32,bond_kor_2,2_YEAR_BOND_YIELD_korea,한국2년만기국채수익률,,
33,bond_kor_2_cr,2_YEAR_BOND_YIELD_korea_change_rate,한국2년만기국채수익률 변동률,,
34,vix,VIX,VIX지수,,
35,vix_cr,VIX_change_rate,VIX지수_변동률,,
36,f_g_index,FEAR_GREED_INDEX,공포탐욕지수,,
37,sox,SOX_INDEX,필라델피아 반도체지수,,
38,sox_cr,SOX_INDEX_change_rate,필라델피아 반도체지수 변동률,,
39,cpi,Consumer Price Index,소비자물가지수,,
40,cpi_anticipated,anticipated consumer price index,예측 소비자물가지수,,
41,cpi_previous,previous consumer price index,이전 소비자물가지수,,
42,pp,Personal_Purchase_amount,개인매수액,,
43,pp_cr,Personal_Purchase_amount_change_rate,개인매수변동률,전전일대비 전일 변동률,
44,pp_con_num,Personal_Purchase_number_of_consecutive_days,개인매수지속일,"지난 5일간 순매수(+), 혹은 순매도(-)가 지속된 일수(+,-일수)",
45,fp,Foreigner_Purchase_amount,외국인매수액,,
46,fp_cr,Foreigner_Purchase_amount_change_rate,외국인매수변동률,,
47,fp_con_num,Foreigner_Purchase_number_of_consecutive_days,외국인매수지속일,,
48,itp,InvestmentTrust_Purchase_amount,투신매수액,,
49,itp_cr,InvestmentTrust_Purchase_amount_change_rate,투신매수변동률,,
50,itp_con_num,InvestmentTrust_Purchase_number_of_consecutive_days,투신매수지속일,,
51,penp,Pension_Purchase_amount,연기금매수액,,
52,penp_cr,Pension_Purchase_amount_change_rate,연기금매수변동률,,
53,penp_con_num,Pension_Purchase_number_of_consecutive_days,연기금매수지속일,,
54,pep,PrivateEquity_Purchase_amount,사모펀드매수액,,
55,pep_cr,PrivateEquity_Purchase_amount_change_rate,사모펀드매수변동률,,
56,pep_con_num,PrivateEquity_Purchase_number_of_consecutive_days,사모펀드매수지속일,,
57,gold,Gold_Price,금시세,,
58,gold_cr,Gold_Price_change_rate,금시세변동률,,
59,rc1_pcr,Relevant_Company1_price_change_rate,관련업체1시가변동률,전일 변동률,
60,rc2_pcr,Relevant_Company2_price_change_rate,관련업체2시가변동률,,
61,rc3_pcr,Relevant_Company3_price_change_rate,관련업체3시가변동률,,
62,rc4_pcr,Relevant_Company4_price_change_rate,관련업체4시가변동률,,
63,fed_rate,FED_interest_rate_change,연준금리인상률,,
64,fed_rate_ann,FED_interest_rate_change_announcement_date,연준금리인상발표,기준일 대비 -일로 표시,
65,fed_rate-imp,FED_interest_rate_change_implementation_date,연준금리인상실시날짜,기준일 대비 -일로 표시,
66,bok_rate,BOK_interest_rate_change,한은금리인상률,,
67,bok_rate_ann,BOK_interest_rate_change_announcement_date,한은금리인상발표,,
68,bok_rate-imp,BOK_interest_rate_change_implementation_date,한은금리인상실시날짜,,
69,fu_date,Futures_Expiration_date,선물만기일(-일),기준일 대비 -일로 표시,
70,op_date,Option_Expiration_date,옵션만기일(-일),기준일 대비 -일로 표시,
71,open,Open_price,시가,,
72,high,High_price,최고가격,,
73,high_time,High_price_time,최고가격시간,,
74,low,Low_price,최저가격,,
75,low_time,Low_price_time,최저가격시간,,
76,close,Close_price,종가,,
77,vol,Volume,거래량,,
78,vol_cr,Volume_chang_rate,거래량변동률,,
