,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-06-21,0.555801716975907,-0.48266706003835375,-1.6860687022900764,0.642600717989629,3.4375,-0.7361894024802705,-1.8506493506493507,-0.8275862068965517,-0.8743961352657005,-3.4411764705882355,1.625,-0.14285714285714285,0.008454106280193236,0.0011961722488038277,-0.007255139056831923,-0.01079136690647482,-0.4231475984507958,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,0,3,1,0,1,0
2022-06-22,0.08508365966536134,-0.4998574280011406,1.0375521557719054,0.003642544924720738,-0.7303822937625755,-0.917094017094017,-0.022900763358778626,-1.2,-6.048076923076923,-1.1566265060240963,0.2619047619047619,-1.1666666666666667,-0.004790419161676647,-0.0035842293906810036,0.0060901339829476245,0.007272727272727273,-0.15893163440333252,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,2,0,0,0,0
2022-06-23,-0.655511811023622,0.3010262257696693,-1.0341296928327646,-0.9658843455117349,-0.8395522388059702,3.865979381443299,-0.59375,-0.0,-0.6438095238095238,-0.5,-0.6226415094339622,-13.0,0.0024067388688327317,0.0035971223021582736,-0.006053268765133172,-0.010830324909747292,0.3229227362778231,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,1,1,0,1,0
2022-06-24,3.798095238095238,-0.3834355828220859,-62.02,54.36879432624114,-17.558139534883722,-0.7838983050847458,35.78846153846154,13.5,-6.994652406417113,1.0769230769230769,22.75,-0.25,-0.004801920768307323,-0.0047789725209080045,0.001218026796589525,0.004866180048661801,0.22793340380549684,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,3,1,0,1,0
2022-06-27,-0.6579992060341405,2.4079601990049753,-1.061837648858298,-0.597540668630716,-1.6502808988764044,21.91176470588235,-0.9973863042341872,0.4827586206896552,-0.0936663693131133,-6.37037037037037,0.6126315789473684,0.8888888888888888,0.0036188178528347406,0.0,-0.0012165450121654502,0.004842615012106538,-0.16898023601994333,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,2,0,1,0,0
2022-06-28,-2.5478816018572257,0.25901981230448384,18.92756183745583,-1.9267982176957352,-0.17062634989200864,2.274711168164313,-12.8,-0.9069767441860465,-0.7372047244094488,-1.0,-0.860313315926893,-1.8823529411764706,-0.006009615384615385,0.0024009603841536613,0.00243605359317905,-0.007228915662650603,0.3844095303867403,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,3,1,1,1,1
2022-06-29,-1.7684664416947882,-0.41576942189829386,-1.04929515027928,-1.14114010989011,-1.5,-0.9994773291519665,0.3389830508474576,-0.5,-1.2209737827715357,-1.0,-1.233644859813084,-1.5333333333333334,-0.0036275695284159614,-0.0011976047904191617,-0.002430133657351154,0.012135922330097087,-0.2855583962087672,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,1,2,0,1,0,0
2022-06-30,-1.0073188582581116,-0.31669974482563085,-5.392086330935252,-6.878345498783455,2.25,326.25,-7.594936708860759,3.5,1.4915254237288136,-1.0,-0.92,-1.125,0.007281553398058253,0.002398081534772182,0.0060901339829476245,-0.005995203836930456,-0.03857735108007855,-0.8,-0.7,-1.33,-1.38,-0.88,-0.83,-0.82,0.45,-0.38,-2.29,-2.87,-3.24,-2.22,-1.91,-1.11,-1.07,1.95,-3.66,2,2,0,0,0,0
2022-07-01,50.8,-0.8390041493775934,-0.20147420147420148,-0.33236754966887416,-1.1458333333333333,-0.7692895339954163,-1.4952015355086372,-1.0,0.006802721088435374,1.0,7.5,-11.0,0.0024096385542168677,-0.0023923444976076554,-0.004842615012106538,-0.008443908323281062,-0.2920884208615133,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,3,2,0,0,0,0
2022-07-05,-1408.0,-0.2211652794292509,0.38050950262838656,3.064681724845996,-1.0487993803253293,-1.8372591006423984,-3.543529411764706,97.2,-4.882352941176471,-1.0,-1.9130434782608696,-1.0,-0.007237635705669481,-0.006024096385542169,-0.004901960784313725,0.0012195121951219512,-0.30377699552849396,-0.42,-0.76,1.75,0.97,0.16,-0.33,-3.17,-3.04,1.34,-3.87,-3.01,-1.29,3.9,1.8,1.01,0.78,0.04,-9.87,0,2,0,0,0,0
