,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-15,-89.23493568043331,-4.485285795132993,10.216746571524139,-4.540293767368003,46.05656108597285,-50.392183288409704,-0.9159669016242722,-1.0,27.107843137254903,-1.0,6528.0,-5.471337579617835,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,-0.03299492385786802,-0.03291139240506329,-0.11458333333333333,3.83665104133222,4.0,0,0,0,0,0
2022-01-19,-1.8324145888084098,-1.3391813858695651,-0.6381893128236062,-0.52202747513027,-0.5215730654972415,-0.44255802629443275,0.013231631382316315,-1.0,-0.8496450076390761,-0.46946564885496184,-0.3236627379873073,-8.52,-1.51,-1.58,-2.6,-2.45,-1.83,-1.84,-0.58,-0.3,0.58,3.67,4.3,1.79,-1.46,-0.89,0.23,-4.44,18.76,2.08,-0.015105740181268883,-0.031791907514450865,-0.006269592476489028,-0.42017073636675406,1.0,0,0,0,0,0
2022-01-20,-3.2263504408424133,-3.4255670722547693,-1.739492879472039,8.92765113974232,-1.8586635127143702,-0.3922082459818309,-0.9131971116915041,-1.0,0.0017931858936043037,-0.36115107913669064,-1.1541554959785523,-0.9840425531914894,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,-0.04294478527607362,0.014925373134328358,-0.01892744479495268,-0.004846795993950437,2.0,1,1,1,1,1
2022-01-21,-1.1161435365326415,-1.4593835800251853,-1.1035227806481915,-0.872167315563542,-2.288567493112948,-0.8682571620197375,1.9292035398230087,-1.0033222591362125,-0.880071599045346,-1.0,-14.14703557312253,1.3333333333333333,-0.89,-0.84,-1.3,-1.28,-1.1,-1.09,0.83,2.75,0.23,-2.31,-2.29,4.65,2.66,0.72,0.36,-3.25,7.3,-0.07,0.060897435897435896,-0.020588235294117647,0.03536977491961415,-0.48357386177791606,3.0,0,0,0,0,0
2022-01-22,1.9687313877307921,-0.6881319372668854,12.72323049001815,-3.156579461147989,-0.9823623730625334,0.12145454545454545,-5.235045317220544,-1.0,-0.20398009950248755,-1.0,-0.8810654801274728,20.0,-1.3,-1.33,-2.72,-2.79,-1.89,-1.89,-0.66,0.36,-0.09,-2.24,-1.08,-5.56,-1.65,-0.99,0.01,-1.72,12.74,-2.03,0.01812688821752266,0.021021021021021023,0.006211180124223602,-0.04665281500305097,4.0,0,0,0,0,0
2022-01-25,-2.9923763667368846,-3.129971181556196,-2.6720227468094953,-3.3889190657251493,-16.181818181818183,-1.0408560311284047,-2.664003424168926,1.0,1.81875,-0.764277035236938,-1.1562184024266937,-1.2448979591836735,0.29,0.28,0.63,0.52,0.28,0.31,-0.16,-0.93,0.28,0.2,-5.36,-4.23,-2.91,-1.49,0.26,1.31,3.64,-2.15,-0.03560830860534125,-0.014705882352941176,-0.0030864197530864196,-0.17053805083166568,0.0,1,1,1,1,0
2022-01-26,-1.3872218306313564,-1.5494520362603166,-1.7967254607292573,-1.9269364862816432,-0.9491017964071856,-28.047619047619047,-1.5271371002315013,-1.0,-1.0598669623059866,-0.26288659793814434,-42.666666666666664,-1.3055555555555556,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,0.027692307692307693,-0.0029850746268656717,-0.02476780185758514,0.2922405204243099,1.0,0,0,0,0,0
2022-01-28,0.46053997923156803,1.2229704097116845,-5.247727272727273,-2.0158177791838026,16.556,-6.124752475247525,-1.1104294478527608,-1.0,-0.7671641791044777,-0.6856287425149701,5.568169473112439,-1.9824561403508771,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,-0.012658227848101266,-0.024844720496894408,-0.05466237942122187,0.7630401894362955,3.0,0,0,0,0,0
2022-01-29,-0.6561055812300035,-0.7524638423140919,-1.1445387143621493,-2.010277172220492,-1.0218728639781272,-0.9484157650695518,-10.055555555555555,-2.433333333333333,1.1346153846153846,9.057142857142857,-0.9999173006946742,-0.17857142857142858,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,-0.04807692307692308,-0.025477707006369428,0.01020408163265306,-0.2534992320654641,4.0,1,1,1,1,1
2022-02-04,1.185941336089934,1.5029300241296104,0.014806980433632998,-0.5474722564734895,1.84375,-3.0037453183520597,-3.521472392638037,0.06976744186046512,-1.021021021021021,-1.0,435.0,-0.15217391304347827,-1.45,-1.47,-3.74,-4.12,-2.44,-2.36,-0.85,-1.01,-0.55,3.64,4.56,6.22,2.15,1.67,0.0,-4.58,10.23,2.28,0.03367003367003367,0.049019607843137254,0.030303030303030304,-0.0952579277485777,3.0,1,1,1,1,1
2022-02-16,-1.5218721144967682,-1.1620709602776707,-3.0555637872277375,-3.3161723559037495,-1.1560283687943262,-1.0715667311411992,-3.4316101238556813,1.0,5.008928571428571,-1.0,26.346153846153847,-5.111111111111111,1.22,1.26,2.53,2.5,1.58,1.6,0.11,0.98,-0.38,2.9,0.46,6.39,-1.51,-1.03,-0.05,5.47,-9.28,-3.55,0.01935483870967742,-0.018518518518518517,-0.016181229773462782,0.4856890317396545,1.0,0,0,0,0,0
2022-02-25,0.15476079455376293,-0.2586025616516918,2.945238737523604,0.9374286801065044,183.0,6.741935483870968,-1.1069157392686804,-1.0,0.10564663023679417,-1.0,0.6180379746835443,8.961538461538462,0.28,0.27,3.34,3.4,1.5,1.47,-3.74,-3.63,0.98,-1.4,-1.74,-9.3,-3.32,-2.6,1.14,3.7,-2.26,0.77,-0.03680981595092025,-0.04833836858006042,-0.0625,0.7615259259259259,3.0,0,0,0,0,0
2022-03-04,-32.08560311284047,-4.276481149012567,-23.108127208480564,-4.436085626911315,20.58659217877095,5.857272727272727,-65.9888888888889,1.0,3.0045045045045047,1.0,-2.251875669882101,0.3333333333333333,-0.29,-0.33,-1.56,-1.47,-0.53,-0.51,1.3,-0.05,0.4,-2.02,0.8,8.96,1.88,1.61,0.2,-2.24,-0.85,-2.65,-0.003134796238244514,0.0705521472392638,0.0,3.3108421323718775,3.0,1,1,1,1,1
