,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr,r_open_high
2022-06-21,-1.87115165336374,-0.44957319000948465,-14.907420494699647,0.22104898736368359,-1.023834745762712,-2.375993189557321,-1.01296056285873,-0.9852216748768473,3.7318840579710146,-1.0,-1.5797101449275361,-0.8595419847328244,0.026785714285714284,0.005813953488372093,0.002976190476190476,0.0029411764705882353,-0.3358958751343268,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,0,2,1,1
2022-06-22,0.3305791884816754,-0.7643595634692706,-0.08775852431525992,-0.33768074851148283,52.94444444444444,-1.1798308929676222,52.957142857142856,4.166666666666667,0.3460949464012251,-1.0,-1.03,-0.358695652173913,-0.005797101449275362,0.011560693641618497,0.008902077151335312,0.011730205278592375,0.038790128206578935,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,1,0,0
2022-06-23,-0.5067937288656624,-7.212675198049969,-1.123885918003565,-1.1000642123287672,-0.4473738414006179,3.458715596330275,-0.7797193539846439,43.38709677419355,-0.44141069397042093,-1.0,0.6666666666666666,-1.5084745762711864,0.01749271137026239,0.0,0.0058823529411764705,-0.005797101449275362,0.19109813618588034,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,2,0,1
2022-06-24,1.838693592620294,-1.2986758214811183,-12.660521582733812,-21.17005347593583,1.6857994781960493,-1.1931584362139918,-1.7512019230769231,-0.9992732558139535,-1.4032586558044806,0.8709677419354839,-6.65,-1.1333333333333333,-0.017191977077363897,-0.005714285714285714,-0.005847953216374269,-0.0029154518950437317,0.270394351770559,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,1,1,1
2022-06-27,-0.008387493412963288,-5.176683087027914,-0.5959973778583272,-0.31252982660798556,-0.9412989175686928,-4.874833555259654,-2.712,1735.0,-5.348484848484849,2.3620689655172415,3.9026548672566372,14.0,-0.0058309037900874635,0.005747126436781609,0.0029411764705882353,0.011695906432748537,-0.41085594989561586,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,2,1,1
2022-06-28,2.783889110313981,2.196886302877811,3.2102701154910758,-0.5389895873505592,18.678486997635932,-5.808247422680412,12.38785046728972,-0.9798387096774194,0.5505226480836237,-1.9897435897435898,-2.55956678700361,2.15,0.03812316715542522,0.05714285714285714,0.03519061583577713,0.057803468208092484,1.9935848872162076,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,3,1,1
2022-06-29,-0.823240953138898,-0.7921934182694672,-0.8184353109201786,-2.022586581897273,-0.6370735223450265,-0.9693396226415094,-0.347434554973822,-3.4571428571428573,-0.07265917602996255,-1.005181347150259,-2.636574074074074,-1.3174603174603174,0.03672316384180791,0.021621621621621623,0.039660056657223795,0.01639344262295082,-0.22470396630052777,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,1,3,0,0
2022-06-30,-8.902469708005032,-10.300035507160612,-6.580596828567861,2.116655759162304,-3.2909632571996026,-67.44522144522145,0.5607616602481814,0.2441860465116279,-4.95638126009693,17.0,-3.1223479490806225,14.316666666666666,-0.01907356948228883,-0.042328042328042326,-0.05994550408719346,-0.056451612903225805,1.35925744581155,-0.8,-0.7,-1.33,-1.38,-0.88,-0.83,-0.82,0.45,-0.38,-2.29,-2.87,-3.24,-2.22,-1.91,-1.11,-1.07,1.95,-3.66,2,3,1,1
2022-07-01,-1.5843687945639333,-1.5706831602524944,-1.564336055487191,-0.9522284634364009,-2.6017916486056927,-1.352324153657253,-0.8189856065798492,-1.0,-1.5193956717027357,9.055555555555555,-1.1006331222925692,-1.0195865070729053,-0.019444444444444445,0.019337016574585635,0.017391304347826087,0.02849002849002849,-0.33322919339901586,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,3,1,0,1
2022-07-05,8.00860479409957,-2.9118958235570154,-1.0859982288694283,1.4595375722543353,-1.6573022897825669,-1.581140350877193,1.8836680560818493,1.2941176470588236,0.17142857142857143,-4.1875,-3.4935897435897436,-1.0371517027863777,-0.0027548209366391185,-0.010810810810810811,-0.025069637883008356,-0.011111111111111112,0.0815013017066821,-0.42,-0.76,1.75,0.97,0.16,-0.33,-3.17,-3.04,1.34,-3.87,-3.01,-1.29,3.9,1.8,1.01,0.78,0.04,-9.87,0,1,0,0
