,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-11,-0.6568331192868475,-0.3814563882534505,1.7120919540229884,0.02379570516540917,-2.353901996370236,6.329951477723864,22.545611015490532,-1.6666666666666667,-2.5924441900400685,94.42857142857143,-1.363109048723898,-0.625,-0.45,-0.43,0.05,0.17,-0.14,-0.12,1.1,0.63,0.27,-0.59,3.25,2.8,-1.49,-0.95,0.03,0.24,3.41,-0.85,0.016666666666666666,0.013850415512465374,0.005788712011577424,-0.34185821363755964,0.0,0,0,0,0,0
2022-01-12,0.9310034855989726,0.11055174122310306,-0.6705092561198888,-0.8489010989010989,-0.9736371760500446,-0.37533850875609315,-0.6260233918128655,-1.6428571428571428,-0.8346513299784328,-1.0,-1.3450479233226837,2.973856209150327,0.51,0.49,1.41,1.43,0.92,0.92,0.04,-0.79,-0.39,-0.5,-1.1,28.28,-1.07,0.02,-0.48,1.84,-5.1,3.82,-0.03278688524590164,0.004098360655737705,0.017266187050359712,-0.14054078988844382,1.0,1,1,1,1,1
2022-01-13,0.9350364339391406,0.7100518646579402,-0.9195822185634904,-3.488023088023088,-17.54237288135593,-0.5002890173410405,-0.7453088350273651,-1.1111111111111112,9.045652173913043,-1.0,35.745370370370374,1.4078947368421053,0.11,0.09,0.23,0.36,0.28,0.24,-2.29,-2.12,-0.75,0.31,3.87,-3.94,2.21,1.54,-0.54,0.66,-4.29,1.75,0.059322033898305086,0.053061224489795916,0.056577086280056574,0.46747891116299456,2.0,1,1,1,1,1
2022-01-14,-0.8832875098193245,-0.7843499003000317,13.334612923864363,1.6099060433824381,-1.7049180327868851,0.11721611721611722,26.529547198772065,14.0,-0.4804154944817139,0.7045454545454546,-0.9909285624291294,-0.9726775956284153,-0.49,-0.47,-2.51,-2.5,-1.42,-1.36,-1.28,-2.11,-0.14,-2.92,-3.03,0.0,-0.82,-0.35,0.02,-2.29,15.27,-0.63,0.021333333333333333,-0.00904392764857881,-0.006693440428380187,-0.16714416918625444,3.0,0,0,0,0,0
2022-01-15,-0.7644287396937574,-0.4238247493950916,-0.040437402365543405,-1.6525777777777777,2.313953488372093,-1.8308886971527178,-0.7973571966212261,-0.18666666666666668,-0.2394835485214494,1.5866666666666667,-6.527777777777778,-1.775,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,-0.02610966057441253,-0.01955671447196871,-0.04043126684636118,-0.43311904558595704,4.0,0,0,0,0,0
2022-01-19,-1.5219638242894056,-1.0106158277328212,-0.8087236736103119,-2.3702702702702703,-0.1375770020533881,-1.4131004366812228,-0.9230069166363305,22.774193548387096,-0.18821165438714,-1.0,-2.272727272727273,-0.7577319587628866,-1.51,-1.58,-2.6,-2.45,-1.83,-1.84,-0.58,-0.3,0.58,3.67,4.3,1.79,-1.46,-0.89,0.23,-4.44,18.76,2.08,0.0,-0.01639344262295082,-0.01002865329512894,-0.13097097177518566,1.0,0,0,0,0,0
2022-01-20,5.1803122619954305,64.08785529715762,0.6209386281588448,-2.049591434206819,1.819047619047619,-1.8060253699788584,1.5027580772261624,-0.6160108548168249,0.20462046204620463,-0.8333333333333334,3.738095238095238,-1.3404255319148937,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,-0.03225806451612903,-0.0375,-0.0694645441389291,0.6896191092518548,2.0,0,0,0,0,0
2022-01-21,-1.3427708801873133,-1.8980507364325698,0.4188319722840881,0.11892617449664429,-0.7519707207207207,2.8301639344262295,-0.04219143576826197,-0.8498233215547704,-1.0376712328767124,-1.0,-1.1306532663316582,3.8125,-0.89,-0.84,-1.3,-1.28,-1.1,-1.09,0.83,2.75,0.23,-2.31,-2.29,4.65,2.66,0.72,0.36,-3.25,7.3,-0.07,-0.07246376811594203,0.005772005772005772,-0.015552099533437015,0.0437762252110841,3.0,1,1,1,1,1
2022-01-27,-2.1235217596972564,-1.9168044077134987,-1.572717508055854,-0.710597519729425,3.238372093023256,-3.5,6.349397590361446,-1.0,-0.3277967757694187,-1.0,-1.5565388397246804,3.0,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,-0.016819571865443424,0.010479041916167664,0.020634920634920634,0.10369744160177975,2.0,1,1,1,1,1
2022-01-28,-3.853534024525025,1.6392227564102564,22.378282070517628,-1.913517724970783,-18.782578875171467,9.583444816053511,10.607103825136612,3.5833333333333335,6.827761627906977,5.727941176470588,-8.524734982332156,-5.983333333333333,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,0.0015552099533437014,-0.008888888888888889,-0.05909797822706065,1.2131776695584868,3.0,0,0,0,0,0
2022-01-29,-1.7291774253043157,-0.32388614800759014,-0.968472479603379,-0.7334754797441365,-0.9763181239634358,-0.7960941079808498,-1.555199849347959,-1.1090909090909091,-0.8547024417417138,-0.966120218579235,-1.2477107302183612,-1.0635451505016722,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,-0.024844720496894408,-0.03886397608370702,0.02809917355371901,-0.39149204359990675,4.0,1,1,1,1,1
2022-02-04,0.14169364629704573,0.5547048653988639,3.982442748091603,36.3808,-10.368078175895766,-1.0585819449825649,-1.2448062409904181,-1.1666666666666667,-1.0287539936102237,-4.806451612903226,3.100473933649289,9.578947368421053,-1.45,-1.47,-3.74,-4.12,-2.44,-2.36,-0.85,-1.01,-0.55,3.64,4.56,6.22,2.15,1.67,0.0,-4.58,10.23,2.28,0.07802547770700637,0.07465007776049767,0.06270096463022508,-0.2772416229128376,3.0,1,1,1,1,1
2022-02-05,-0.7095795117196154,-0.7384648711098274,-0.736887799397375,-0.8152206480332149,-2.622913769123783,10.235449735449736,-1.3397990994111535,-1.0,-22.68888888888889,-1.0,-1.0538603791030976,-0.5970149253731343,-0.06,0.02,1.58,1.33,0.52,0.53,1.99,1.27,0.09,4.34,9.49,16.1,1.26,1.57,-0.1,0.6,-4.64,2.26,0.004431314623338257,-0.005788712011577424,0.01059001512859304,-0.38821863002124674,4.0,1,0,0,0,0
2022-02-09,0.23769437624225417,0.8775203129702076,0.21773572111087136,-2.2411183387540654,5.220999917904934,-12.653263019116677,4.2899190581309785,-1.0,-5.240515390121689,1.0,1.3552021206096754,-4.377777777777778,1.06,1.07,1.28,1.2,0.84,0.82,3.68,2.34,0.25,2.37,3.95,27.35,-0.46,0.05,-0.04,2.4,-6.21,-2.15,-0.06804733727810651,-0.03249630723781388,-0.032915360501567396,1.1210822135039062,1.0,0,0,0,0,0
2022-02-10,0.2755053844700548,7.530213175188331,-0.9201407345533703,-0.011187824421710426,-0.5487608540737418,-0.9511256929516914,-2.567533732090694,-3.5806451612903225,-1.1311613774476705,-1.4130434782608696,-0.39561057962858753,-2.4210526315789473,0.86,0.85,2.08,2.06,1.45,1.45,-1.65,-0.48,-0.15,-1.01,1.55,-1.76,1.7,0.81,-0.19,3.35,-6.9,0.34,-0.009523809523809525,-0.042748091603053436,-0.011345218800648298,-0.4522156833157286,2.0,0,0,0,0,0
2022-02-11,-2.8340677652286614,-2.5508831266441185,-8.572107765451664,-0.002599255899291575,-0.6182956074165058,-11.828703703703704,1.3600141982429674,-3.875,-1.4684684684684686,-1.0,-4.279329608938547,-2.509259259259259,-1.47,-1.41,-2.1,-2.24,-1.81,-1.75,-0.11,-0.1,0.04,5.04,17.77,46.59,-1.63,0.11,0.48,-3.22,19.79,0.25,-0.017628205128205128,0.06220095693779904,0.004918032786885246,0.8808761597889737,3.0,1,1,1,1,1
