,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-06-21,-0.6749574396081602,-0.4073605971701944,2.593047203229261,0.2950684229019667,-0.9389273420438983,-0.8839003858295335,-0.8215017368842967,-0.9375764993880049,-0.9558737580362361,0.06293222683264177,-0.8143564356435643,-0.6611498257839721,0.006734006734006734,0.0,-0.021885521885521887,-0.01839464882943144,0.15274726543334585,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,0,3,0,1,0,0
2022-06-22,-0.2264132948665983,-0.16606357834117347,-0.13550073367571533,0.034853195670665534,3.9909090909090907,4.0347432024169185,-0.04491017964071856,1.4068627450980393,4.635761589403973,-0.9882888744307091,1.8365591397849463,-1.5308483290488433,-0.01839464882943144,-0.011686143572621035,0.0017211703958691911,-0.0034071550255536627,-0.2614215676210782,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,2,0,0,0,0
2022-06-23,-0.11576514100785945,-0.7436794608442773,-1.31619194115879,-1.102356067316209,-0.22792956891317548,0.2363036303630363,-4.804075235109718,-1.8513238289205702,-0.5023501762632198,-21.944444444444443,-0.25489006823351024,-1.7602905569007263,0.005110732538330494,-0.0016891891891891893,-0.010309278350515464,-0.015384615384615385,-0.07791332598417082,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,2,0,1,0,0
2022-06-24,-1.5232783761488142,3.0649222014119,-8.766880084994549,-20.769608861197646,-2.3707140610254798,-0.04077076153958161,-0.7279219887378108,2.3636363636363638,-5.573789846517119,2.116710875331565,-2.3811558811558813,-1.8184713375796178,-0.022033898305084745,-0.018612521150592216,-0.013888888888888888,-0.003472222222222222,0.19627064958134693,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,2,1,1,1,1
2022-06-27,0.12467526700268668,-0.5026648413721607,-0.41676325963469857,-0.36334794727774433,-0.6989099254159495,0.10484238222941861,2.208480565371025,0.566145092460882,-2.0962829117191535,-0.5897872340425532,-1.0521585383822012,-3.0700389105058368,0.0034662045060658577,0.01896551724137931,0.01584507042253521,0.017421602787456445,-0.1645500144743239,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,3,1,1,1,1
2022-06-28,-1.9924386006475558,-1.6937028425844267,-1.81920356494797,-1.506061272757274,2.8338414634146343,1.6419509961071674,-0.6189427312775331,-0.7279745685740237,-2.511184365434424,1.7717842323651452,14.149717514124294,-2.456766917293233,0.018998272884283247,0.01353637901861252,0.010398613518197574,0.00684931506849315,-0.21195283136159754,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,3,1,1,1,0
2022-06-29,0.05416857307684657,-0.8824367881037073,-0.528091072787409,-0.8839436129859685,-1.1376739562624254,-0.17281189869467992,-2.3835672997522708,0.46410684474123537,-0.7650358367092552,-0.8982035928143712,-0.8914786500093231,-0.8812903225806452,0.003389830508474576,-0.00667779632721202,0.00686106346483705,0.01020408163265306,-0.25312667162689617,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,1,2,0,1,0,0
2022-06-30,2.7103147644927534,-7.491097760786455,1.3060220959192796,12.743584941000186,0.9061371841155235,-1.0827151179848276,-0.8654133094598627,-1.9258836944127709,-0.22546419098143236,2.838235294117647,7.243986254295533,-27.641304347826086,-0.011824324324324325,-0.011764705882352941,-0.01192504258943782,-0.02356902356902357,0.06965768004389775,-0.8,-0.7,-1.33,-1.38,-0.88,-0.83,-0.82,0.45,-0.38,-2.29,-2.87,-3.24,-2.22,-1.91,-1.11,-1.07,1.95,-3.66,2,4,0,1,0,0
2022-07-01,0.16381594673909175,1.8892403998249925,-0.6070340625865411,-0.6186066478596836,-1.0651515151515152,-3.0613123891563214,-1.9534368070953436,0.8805418719211823,2.921232876712329,-2.2222222222222223,-1.2280116715298042,-0.704610363117095,-0.022222222222222223,-0.02040816326530612,-0.017241379310344827,-0.017241379310344827,0.26529207614195405,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,3,2,0,1,0,1
2022-07-05,-1.485254130934951,-0.7779304008478161,170.6090308370044,2.121244460942394,-0.650182994297387,-1.8944252094937026,-2.0540643441842756,-0.525974025974026,-2.7838357921744707,-126.625,-1.4915254237288136,-2.3399532710280373,-0.014059753954305799,-0.0017391304347826088,-0.0035778175313059034,0.01601423487544484,-0.28311054441394634,-0.42,-0.76,1.75,0.97,0.16,-0.33,-3.17,-3.04,1.34,-3.87,-3.01,-1.29,3.9,1.8,1.01,0.78,0.04,-9.87,0,2,1,1,1,1
