,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-06-21,2.114855570839065,-0.2144705749971869,0.0038688461166457105,0.5796962122668717,-1.384016973125884,0.2227441285537701,-0.8944702406078514,-1.296551724137931,8.661538461538461,-0.6666666666666666,156.85714285714286,-6.0,-0.009950248756218905,-0.006150061500615006,-0.006313131313131313,-0.00749063670411985,-0.33551958399731613,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,0,0,0,0,0,0
2022-06-22,-1.0404062706999337,-1.245523563959318,-1.1704403121688023,-0.2005842259006816,3.410681399631676,1.2458552365547917,-3.428,-1.178294573643411,0.24203821656050956,-0.3508771929824561,-1.1158371040723982,-1.0,0.011306532663316583,-0.0037128712871287127,-0.0012706480304955528,-0.0037735849056603774,-0.0065382576426930555,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,0,0,0,0,0
2022-06-23,10.584699453551913,-0.12252042007001167,0.8558507631430187,-0.2079780755176614,-0.4684759916492693,-0.19148361541231546,-0.13179571663920922,-23.347826086956523,1.994871794871795,0.5135135135135135,1.78125,1.0,-0.014906832298136646,-0.014906832298136646,-0.03816793893129771,-0.013888888888888888,1.2595670071657266,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,0,0,1,0,1
2022-06-24,0.2481132075471698,-9.173537234042554,-3.8991775814803535,1.0916955017301038,-0.7973291437549097,-0.6186393497383365,4.402277039848197,9.252918287937744,-0.8407534246575342,0.2857142857142857,-1.3595505617977528,-1.0,-0.03278688524590164,-0.01008827238335435,-0.003968253968253968,-0.03329065300896287,0.004768170214680116,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,0,1,1,1,1
2022-06-27,-2.0170068027210886,-0.7296022126413406,-0.3452405967640261,-0.3738626964433416,2.4108527131782944,0.7734306569343066,-1.1570073761854585,-0.9979127134724858,-0.053763440860215055,6.291666666666667,-0.203125,-1.0,-0.03129074315514994,-0.012738853503184714,-0.014608233731739707,0.025165562913907286,-0.4468532799086707,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,0,0,1,0,1
2022-06-28,-3.154217762913415,-1.236462093862816,-2.0821566110397947,-0.8378100689857625,1.1011363636363636,-0.12627593019427066,-1.429530201342282,-1.0,3.460227272727273,-0.9314285714285714,0.6078431372549019,-0.9905956112852664,0.03095558546433378,0.0025806451612903226,0.01752021563342318,-0.00516795865633075,0.07567480069604629,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,0,1,1,1,1
2022-07-07,1.9236738148984198,0.0970873786407767,-10.313349320543566,-0.9037728892712302,6.07185628742515,0.09513776337115074,3.3671875,-1.0,29.235294117647058,0.5614035087719298,0.7123287671232876,1.0606060606060606,-0.03183023872679045,-0.021164021164021163,-0.0407055630936228,-0.049597855227882036,0.7205158317900537,1.12,1.14,2.28,2.17,1.5,1.47,0.27,0.55,0.03,2.27,0.96,3.34,1.79,1.84,-0.55,4.48,-2.43,4.26,2,0,0,1,0,1
2022-07-08,-0.7846836847946725,-0.17461687891215194,-1.2715646725602952,8.943805874840358,-0.07408975444538526,-0.7606926150658576,-0.7262969588550984,-4.6923076923076925,-0.6678015564202334,-0.7528089887640449,-0.52,-1.5441176470588236,-0.038356164383561646,-0.03513513513513514,-0.02263083451202263,-0.011283497884344146,-0.06551502343103924,-0.14,-0.18,0.12,0.11,-0.08,-0.1,2.25,0.97,-0.14,2.67,2.66,0.77,1.12,0.7,-0.23,0.47,-5.52,2.01,3,0,1,1,1,1
2022-07-11,-2.703272075302555,-0.921286610878661,1.5417193426042983,-1.097867968147958,-3.18427069044353,0.8750773036487323,-23.705882352941178,0.1875,-0.8638360175695461,0.13636363636363635,1.8333333333333333,-0.7567567567567568,-0.0014245014245014246,0.0196078431372549,0.00723589001447178,0.034236804564907276,-0.1461581682820621,-0.52,-0.54,-2.26,-2.2,-1.15,-1.14,0.74,-0.3,0.97,-3.37,-1.72,7.2,0.07,-0.44,1.25,-2.46,6.21,-0.67,4,0,0,1,0,1
2022-07-12,-1.0925,8.674418604651162,-0.3624720218851032,-2.248031496062992,-0.1840066987649152,-1.0778364116094987,-0.9241508347725964,-0.9912280701754386,4.236559139784946,-1.0,-1.0705882352941176,-1.5555555555555556,0.024251069900142655,0.0,0.02442528735632184,-0.011034482758620689,-0.3166735214279839,-0.61,-0.56,-0.95,-0.89,-0.92,-0.86,-0.89,-1.48,0.09,-0.74,-0.6,6.99,-2.12,-0.96,-0.43,0.18,4.28,-7.93,0,0,0,1,0,0
