,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-06-21,-0.879908417243162,-0.511730489578284,-0.7501035299574285,0.9793475007482789,-0.7516750636264479,-0.6335068251006579,-1.075,-1.0,-0.6706875753920386,1.0,-1.1269662921348316,1.1,0.06190476190476191,-0.008676789587852495,0.03597122302158273,-0.022172949002217297,-0.6157486014548444,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,0,0,0,1,0,1
2022-06-22,-1.7554325543255433,-0.6244415764916112,-0.9640063635158425,-0.13594435203387267,-0.842292407446141,-3.4809753483386925,-2.2310405643738975,1.0,-0.36446886446886445,6.318181818181818,2.8849557522123894,-0.7619047619047619,0.002242152466367713,0.01312910284463895,0.011574074074074073,-0.0022675736961451248,-0.010605021105387398,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,1,0,0,0,0,0
2022-06-23,5.153324287652646,4.002907745175786,-8.012891344383057,-0.7367868393419671,-7.70026525198939,-1.3043525218706125,-2.226361031518625,-1.5945945945945945,-1.3611911623439001,-1.7080745341614907,-0.9658314350797267,-16.0,0.0022371364653243847,-0.032397408207343416,-0.05034324942791762,-0.05227272727272727,0.07783980725157195,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,2,0,0,1,0,1
2022-06-24,-0.558103638368247,-0.8276973475641974,0.5795693277310925,6.039228723404255,0.8163103721298496,-1.5965223562810504,0.8204828660436138,-2.4545454545454546,1.6303191489361701,-0.0,54.666666666666664,0.21333333333333335,-0.07142857142857142,-0.060267857142857144,-0.04096385542168675,-0.045563549160671464,-0.04617917738910455,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,3,0,0,0,0,0
2022-06-27,1.7800399201596806,1.1655933762649493,2.3622610141313385,-0.6380466609993388,-0.23714036617262424,4.030339083878643,0.04727272727272727,-1.65625,2.643073811931244,-0.2982456140350877,-0.21317365269461078,-0.03296703296703297,-0.03125,-0.040380047505938245,-0.01507537688442211,-0.005025125628140704,0.17022395482034455,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,4,0,1,0,1,0
2022-06-28,0.008364445720850086,-2.516142735768904,1.2581586234177216,-2.4123173277661794,0.7797142857142857,1.1875591296121097,0.2638888888888889,0.14285714285714285,-0.15958923119622537,-0.25,-11.467275494672755,-1.0454545454545454,-0.0024813895781637717,-0.0049504950495049506,0.0,0.0025252525252525255,0.1172884733741684,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0,0,1,1,1,1
2022-06-29,-0.7360888604079889,-0.7367142990566918,-0.7314151831658237,-1.848669623059867,-0.7711510675870926,-0.6273110606552059,0.22527472527472528,-1.4166666666666667,-1.1512549537648613,-1.0,-0.6915806310891377,20.75,0.0024875621890547263,0.03233830845771144,0.02295918367346939,0.015113350125944584,-0.0687686348573477,0.26,0.21,-0.03,0.14,-0.07,-0.11,0.08,0.0,0.58,-2.83,-2.22,-1.29,-0.93,-1.82,0.76,-2.2,-0.71,-1.77,1,0,0,1,0,1
2022-07-01,4.445518630412891,-2.2006743256743255,2.3143444153903623,-0.9698087116847199,9.119850187265918,5.786666666666667,-53.86330935251799,1.0,-0.5546218487394958,-1.0,-1.0422222222222222,-1.032258064516129,-0.0024813895781637717,-0.024271844660194174,-0.04,-0.04,0.7215689066059225,1.03,0.91,0.9,0.71,1.06,1.0,-4.07,-3.56,0.45,-4.22,-3.94,0.59,-2.14,-1.17,0.87,-3.83,-7.0,2.52,3,0,0,1,0,1
2022-07-05,-0.9858664238489251,-1.0712804203539823,-0.9511559232754263,-1.7449367088607595,-0.8077296562439309,-0.9017834714895755,-0.3113258185721954,-0.6854304635761589,-0.8787061994609164,-10.5,-0.9147727272727273,-1.2301587301587302,-0.06527415143603134,-0.07235142118863049,-0.031161473087818695,0.0,-0.45374162263692874,-0.42,-0.76,1.75,0.97,0.16,-0.33,-3.17,-3.04,1.34,-3.87,-3.01,-1.29,3.9,1.8,1.01,0.78,0.04,-9.87,0,0,1,1,1,1
2022-07-06,-10.694677871148459,4.040737148399612,-2.0,0.8346077598414047,-1.645959595959596,5.599744245524296,-3.4980514419329696,-3.536842105263158,-3.1055555555555556,-2.9157894736842107,-1.825,-0.5517241379310345,0.0,0.016713091922005572,0.029239766081871343,0.016901408450704224,-0.04743748684241304,0.23,0.25,0.35,0.61,0.36,0.37,-3.13,-1.45,0.58,4.09,6.14,8.9,-0.84,-2.13,-0.32,0.66,-2.94,-0.97,1,0,0,0,0,0
2022-07-07,-5.583501878069922,-2.3809890321339235,-14.547930283224401,-1.4214263661623958,-6.184519155590305,-0.22195310986242975,-1.9575663026521062,-1.2365145228215768,-4.718557607739665,-0.29120879120879123,-2.898989898989899,-11.461538461538462,-0.008379888268156424,-0.0273972602739726,-0.03409090909090909,-0.05263157894736842,0.11759939100753873,1.12,1.14,2.28,2.17,1.5,1.47,0.27,0.55,0.03,2.27,0.96,3.34,1.79,1.84,-0.55,4.48,-2.43,4.26,2,0,1,1,1,1
2022-07-08,-0.5367667916916191,-0.6030374808415773,-0.5184530031358044,-2.562637362637363,-0.2869853717388026,0.02129249159506911,-0.5180840664711632,-2.7719298245614037,-0.5456480605487228,-0.8914728682170543,-0.6276595744680851,-0.5661764705882353,-0.030985915492957747,-0.016901408450704224,0.0,0.0029239766081871343,-0.30849006855334854,-0.14,-0.18,0.12,0.11,-0.08,-0.1,2.25,0.97,-0.14,2.67,2.66,0.77,1.12,0.7,-0.23,0.47,-5.52,2.01,3,0,0,1,0,1
2022-07-11,-1.0117030686534667,-3.6633906633906634,-0.4089163466354984,-0.7590248476324426,-0.9553722504230119,-0.2029992684711046,-1.1061528059499661,-1.0,-0.21759500260281103,-0.07142857142857142,-6.085714285714285,-0.6779661016949152,0.020348837209302327,0.02005730659025788,0.008823529411764706,0.0,0.22106952211489578,-0.52,-0.54,-2.26,-2.2,-1.15,-1.14,0.74,-0.3,0.97,-3.37,-1.72,7.2,0.07,-0.44,1.25,-2.46,6.21,-0.67,4,0,0,1,0,0
