,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,ixic_cr_2,ixic_f_cr_2,spx_cr_2,spx_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,dxy_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,sox_cr_2,vix_cr_2,wti_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-13,-3.1911368813418926,1.3709752683154457,-1.76130174291939,-7.021970233876683,-0.30561508786969566,-21.67452830188679,-0.00703125,-1.0,-1.1934032983508245,-1.0,-0.9829059829059829,-5.619047619047619,0.11,0.09,0.23,0.36,0.28,0.24,-2.29,-2.12,-0.75,0.31,3.87,-3.94,2.21,1.54,-0.54,0.66,-4.29,1.75,0.0,-0.00351288056206089,0.00718562874251497,0.011890606420927468,-0.12207673893449375,-1.2047961909185925,-1.2104108000662581,-1.2021622794330344,-3.253846153846154,-0.31210191082802546,0.09575,-0.8664073996216103,-1.0,-2.048780487804878,-1.0,-0.9770992366412213,-0.21774193548387097,0.6139643409954264,0.5785491766800178,1.6433299448631853,1.7891465914915428,1.2003537253575347,1.1582390476701165,-2.254428341384865,-2.8916929547844346,-1.1351435868035635,-0.17094017094016478,2.727070347284069,23.232323232323225,1.1169138497317412,1.563525038268103,-1.0158258488865206,2.5174751668681274,-9.175257731958752,5.637223571519873,-0.018583042973286876,-0.016184971098265895,0.00718562874251497,0.015513126491646777,-0.40930402404908933,2,0,0,0,0,0
2022-01-17,-0.08910520404342943,-42.36746987951807,-0.6629449571522742,-0.5904919704307927,-0.790957818690282,3.913494809688581,13.0,1.0,-0.9609972846210812,-1.0,-1.2376237623762376,-3.3333333333333335,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,-0.010588235294117647,-0.015151515151515152,-0.005945303210463734,-0.012956419316843345,-0.17681509811481988,-3.06946413382478,-3.703011218264121,-2.4632445000894294,-1.3781334588678358,-0.4462962962962963,-0.8380104950946841,-1.5507474429583006,-98.0,-1.6124031007751938,56.666666666666664,3.0,-0.9278350515463918,-1.0430054075026123,-1.006637168141593,-1.9399027810057514,-1.8348046389400308,-1.3435314777788356,-1.304002120328651,1.0296540362438185,1.7866811044937692,0.27412858739429274,2.340182648401822,4.984288655325597,5.737704918032792,-2.011439177670408,-1.7009365916675618,0.3541703559412116,-0.015379883112886012,8.910329171396143,1.4278799612778226,-0.004733727810650888,-0.007050528789659225,-0.005945303210463734,-0.01527614571092832,-0.1279792460120329,4,0,0,0,0,0
2022-01-19,-0.35017722439334725,-0.43155893536121676,-0.3158933384674625,-0.5,-0.3055754110078628,-0.5657546967640545,259.1578947368421,-1.0,-0.8587281263337602,-1.3775510204081634,-1.8537414965986394,0.9690721649484536,-1.51,-1.58,-2.6,-2.45,-1.83,-1.84,-0.58,-0.3,0.58,3.67,4.3,1.79,-1.46,-0.89,0.23,-4.44,18.76,2.08,-0.005980861244019139,-0.004767580452920143,-0.0036496350364963502,-0.006045949214026602,-0.09796750826359096,-0.02041375530894643,-0.47750109217999126,0.7373181762620706,-0.8630563336445689,1.1661092530657748,3.2809859154929577,-8.061428571428571,-1.0,1.0949367088607596,-0.7861271676300579,-11.458333333333334,-28.285714285714285,-2.0633489525558537,-1.5359267223323747,-2.0254869212207076,-2.4193030866970417,-1.7531583895325689,-1.8360444516025125,3.612012987012986,4.787234042553196,0.5804050217651955,4.573340769659792,8.009082464650636,10.077519379844949,-2.8258474968858986,-1.9740444639141486,0.22015511692590506,-2.219423894223211,12.210733628754312,1.908624597399509,-0.011890606420927468,-0.011834319526627219,-0.02033492822966507,-0.01909307875894988,-0.025774762001215312,1,0,0,0,0,0
2022-01-20,0.4954312354312354,1.1549609810479375,0.1502849503975234,4.0375,0.6397323726196603,-0.17453528540878435,-0.44871535504754195,-1.0,0.19637462235649547,-0.8648648648648649,-0.00398406374501992,-1.068062827225131,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,-0.021660649819494584,-0.009580838323353293,-0.01098901098901099,-0.014598540145985401,0.42699724517906334,-0.028234723863188826,0.2249683143219265,-0.21308240277242974,1.51875,0.13867047891350964,-0.6415458247017645,142.42105263157896,-13.73913043478261,-0.8309859154929577,-1.0510204081632653,-1.8503401360544218,-1.134020618556701,-2.4592466934971986,-2.5513622152746764,-3.7163239613932015,-3.5541299117882916,-2.78992461691884,-2.850547562808675,-1.2461059190031163,-4.402834008097164,0.35118709650285285,2.487562189054735,4.7438708391468865,23.2974910394265,-2.505480739116818,-1.6546140271962808,-0.15630383448599566,-7.393734297287599,24.283480979676913,3.9072768550603367,-0.02751196172248804,-0.014302741358760428,-0.014598540145985401,-0.020556227327690448,0.2871978807698619,2,1,0,0,0,0
2022-01-21,-0.008822520809302615,0.5402224521469219,-0.47342345097559485,-2.2091134671779833,0.1293157564344005,-1.059386209645277,2.769908256880734,-1.1348122866894197,0.25252525252525254,-5.4,-2.736,-16.307692307692307,-0.89,-0.84,-1.3,-1.28,-1.1,-1.09,0.83,2.75,0.23,-2.31,-2.29,4.65,2.66,0.72,0.36,-3.25,7.3,-0.07,-0.00984009840098401,-0.014510278113663845,-0.012345679012345678,0.0024691358024691358,-0.1494773074961754,0.4822377622377622,2.319119286510591,-0.39428692042496305,-7.090909090909091,0.851775604734946,-1.0490212205954927,1.0782925348978354,1.0,0.4984894259818731,-1.5945945945945945,-2.729083665338645,0.041884816753926704,-1.846503396952149,-1.8236478629569755,-2.4324976390545134,-2.4003682756806524,-2.066920962829953,-2.1110199617172545,0.15667841754798292,-1.4720812182741074,-0.003136172614940845,-3.413333333333336,-1.8729096989966614,26.7605633802817,1.5636587071212145,-0.05446470966119967,-0.02263790255640458,-6.235243614509542,12.286090390522162,1.7207070115884335,-0.031287605294825514,-0.023952095808383235,-0.0231990231990232,-0.012165450121654502,0.21369353916523728,3,0,0,0,0,0
2022-01-24,0.5425866515694785,-0.14253925602485515,2.2210477407364384,-1.188992537313433,-0.020011117287381877,-67.30536912751678,-0.9960089555144553,-0.35443037974683544,5.9375,-1.0,-3.435483870967742,-0.1658291457286432,-1.3,-1.33,-2.72,-2.79,-1.89,-1.89,-0.66,0.36,-0.09,-2.24,-1.08,-5.56,-1.65,-0.99,0.01,-1.72,12.74,-2.03,-0.004968944099378882,-0.012269938650306749,-0.005,-0.013546798029556651,0.24196743075555938,0.5289771487358543,0.3206802897051216,0.6961282035598507,-0.7714865779381909,0.10671688637790333,2.937624551614189,-0.984954128440367,-1.0870307167235496,7.6893939393939394,-1.0,3.228,-13.76923076923077,-2.1790163194984644,-2.1569750787739905,-3.9841006955945675,-4.0376492500083145,-2.974567371755838,-2.967342653478477,0.15772870662460584,3.123345685547906,0.13202011735122043,-4.530744336569583,-3.3491912464319604,-1.1627906976744036,0.9583467180640374,-0.2811123464261169,0.36864652857851254,-4.91113448867725,20.964360587002094,-2.092916283348658,-0.014760147601476014,-0.026602176541717048,-0.01728395061728395,-0.011111111111111112,0.05632148320827566,4,0,0,0,0,0
2022-01-25,-0.4333571210113161,0.3299221465994222,-0.9821853588171655,-16.327739387956566,-0.39563244469653996,-0.6681512222278455,100.65853658536585,-2.7450980392156863,-0.2813135716361523,-1.0,-0.89120151371807,-1.1265060240963856,0.29,0.28,0.63,0.52,0.28,0.31,-0.16,-0.93,0.28,0.2,-5.36,-4.23,-2.91,-1.49,0.26,1.31,3.64,-2.15,-0.003745318352059925,0.0,-0.01256281407035176,-0.01373283395755306,-0.121214472289032,-0.12590425866515695,0.14035603325216223,-0.9426181902660007,1.8968283582089551,-0.4077265147304058,-23.003355704697988,-0.5942762581524385,-2.1265822784810124,3.9858870967741935,-28.40909090909091,-1.2649769585253456,-1.1055276381909547,-1.0107620856340644,-1.0486480240351284,-2.1116968889403944,-2.290950744558992,-1.619548801734645,-1.5866808201575506,-0.15735641227380032,-0.9302325581395358,0.1892216820866629,0.33898305084745795,-4.410316991533772,0.0,-4.516532804839894,-2.4690150488353515,0.26584592677075575,-0.42634771660753373,16.842516608050015,-4.13118527042578,-0.008695652173913044,-0.012269938650306749,-0.0175,-0.027093596059113302,0.09142300403635935,0,0,0,0,0,0
2022-01-26,1.4243819941707747,0.45782555870549685,57.12955465587044,-1.1928898048560572,2.686062881276396,0.5156321488485588,0.45153550863723607,2.3820224719101124,-0.47594015365952286,-0.5323383084577115,-7.8,-8.333333333333334,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,-0.010025062656641603,-0.018633540372670808,-0.043256997455470736,-0.03164556962025317,0.8715224641946243,0.3737587929452544,0.9387944964011163,0.03555715831229715,1.9565646594274433,1.2277368122518435,-0.49703932385242167,146.5609756097561,-6.901960784313726,-0.6233653007846556,-1.0,-1.739829706717124,-0.07228915662650602,0.09443937129527737,0.08197441227274058,-1.6677415512618217,-1.9807299067687936,-0.9431709918075201,-0.9339407744874715,1.3375295043273112,1.2919896640826827,0.3107799845133175,0.2257336343115126,0.12670565302145018,8.732394366197191,-5.66473988439306,-4.018643116971096,0.32200987832386463,-2.4426458600209644,8.006932409012126,0.5402865867982074,-0.01373283395755306,-0.018633540372670808,-0.05527638190954774,-0.0449438202247191,0.6446668563202042,1,1,1,1,1,0
2022-01-27,-0.8133905248159582,-0.7929841398121023,-0.8623415517481543,-2.2974958263772955,-1.3350732017823044,-0.15214328838800564,-0.8294214876033058,-0.9933554817275747,-0.2191358024691358,-1.0,-1.6572890025575449,-0.4090909090909091,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,-0.030379746835443037,-0.0037974683544303796,0.013297872340425532,0.01568627450980392,-0.3178375431773271,-0.5475873484221511,-0.6982069879606789,7.002024291497976,-0.7497262832485349,-2.2351008916001875,0.2850388897361598,-0.7523992322456814,-0.9775280898876404,-0.5907804286291953,-1.0,3.4695652173913043,-5.333333333333333,-0.5715491277335725,-0.5780515575278078,-2.2591632124707486,-2.361906075443073,-1.3650391258307537,-1.4135679818336644,1.3790386130811718,2.3995826812728245,0.5206811636545716,5.46171171171171,19.093717816683846,17.64705882352941,-3.6388464059427514,-2.964183381088833,0.12044262665295417,-2.0948877841317306,6.889632107023419,4.849357820189644,-0.040100250626566414,-0.02236024844720497,-0.030534351145038167,-0.016455696202531647,0.27668236217382774,2,1,1,1,1,0
2022-01-28,-4.7115246957766646,-7.997804074661461,1.5985327599291677,-0.41405043746783327,1.4817629179331306,0.8318300498457156,2.8963178294573644,-236.0,-0.019762845849802372,1.0,-0.29571984435797666,-1.6703296703296704,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,0.0195822454308094,0.029224904701397714,0.01706036745406824,0.018018018018018018,0.8252564447347189,-1.6926056756114938,-2.4486564299424183,-0.642290012536565,-1.7602671118530884,-1.8315722469764482,0.5531294022942241,-0.3353719008264463,-2.5614617940199333,-0.2345679012345679,-4.180851063829787,-1.462915601023018,-1.396103896103896,-0.39929756284163515,-0.4153868655843206,-1.3775463853717604,-1.089051146509202,-0.6874863707835467,-0.7185559898827316,1.3975155279503118,3.2653061224489828,1.3498430051218895,1.5202702702702653,15.662416042051962,6.217616580310872,-4.520822090304015,-3.8928241906491383,0.6202198353324757,-3.190187710764275,-2.15019255455713,1.1799065420560808,-0.01139240506329114,0.02531645569620253,0.030585106382978722,0.03398692810457516,0.24512142067165313,3,1,1,1,1,1
