,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,ixic_cr_2,ixic_f_cr_2,spx_cr_2,spx_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,dxy_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,sox_cr_2,vix_cr_2,wti_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-13,1.8841311161876428,1.8310670541831016,-7.170180722891566,9.761904761904763,-0.7565938206480783,-0.707731520815633,-0.18712871287128713,1.0,2.2964959568733154,1.0,3.108108108108108,-1.208709942481512,0.11,0.09,0.23,0.36,0.28,0.24,-2.29,-2.12,-0.75,0.31,3.87,-3.94,2.21,1.54,-0.54,0.66,-4.29,1.75,0.009067357512953367,0.01403061224489796,0.011688311688311689,0.019230769230769232,0.3878020713463751,0.16119096509240247,0.26787374488657495,-0.6549604177193868,0.6185676392572944,-0.33264462809917356,-1.0496535796766744,5.315384615384615,-1.2348484848484849,-2.37570303712036,-0.5692307692307692,-0.4903129657228018,1.7311827956989247,0.6139643409954264,0.5785491766800178,1.6433299448631853,1.7891465914915428,1.2003537253575347,1.1582390476701165,-2.254428341384865,-2.8916929547844346,-1.1351435868035635,-0.17094017094016478,2.727070347284069,23.232323232323225,1.1169138497317412,1.563525038268103,-1.0158258488865206,2.5174751668681274,-9.175257731958752,5.637223571519873,0.03042328042328042,0.029792746113989636,0.033156498673740056,0.0311284046692607,0.19158067027285974,2,0,0,0,0,0
2022-01-17,0.23230353929214156,0.5263244759861363,0.9779037935080173,9.37938144329897,-0.5274725274725275,-1.390952380952381,-0.689695550351288,-1.0,-0.9146341463414634,-1.0,-0.6645962732919255,3.0,-0.56,-0.54,0.59,0.68,0.08,0.06,2.34,3.98,0.41,5.43,8.27,5.74,-1.21,-1.36,0.33,2.33,-5.51,2.07,-0.013819095477386936,-0.006273525721455458,-0.007653061224489796,-0.0038022813688212928,-0.1315852167145784,-0.8486405835543767,-0.6609287063007571,-3.4688796680497926,-2.6499508357915436,-1.13312693498452,-3.386627906976744,-0.35444579780755175,-6.032258064516129,-0.9828291087489779,-5.178571428571429,-0.9736842105263158,-0.7795275590551181,-1.0430054075026123,-1.006637168141593,-1.9399027810057514,-1.8348046389400308,-1.3435314777788356,-1.304002120328651,1.0296540362438185,1.7866811044937692,0.27412858739429274,2.340182648401822,4.984288655325597,5.737704918032792,-2.011439177670408,-1.7009365916675618,0.3541703559412116,-0.015379883112886012,8.910329171396143,1.4278799612778226,0.007702182284980745,-0.0037735849056603774,-0.0012836970474967907,-0.011320754716981131,-0.542037288305945,4,0,0,0,0,0
2022-01-20,5.905275429903818,-175.546875,2.8120728929384966,0.08961654459284792,3.160388821385176,-21.11111111111111,-3.185430463576159,1.0,4.285921625544267,1.0,-302.0,12.947368421052632,-0.96,-0.99,-1.15,-1.13,-0.97,-1.03,-0.67,-4.11,-0.23,-1.14,0.43,21.13,-1.06,-0.77,-0.38,-3.09,4.65,1.79,-0.0012836970474967907,0.013994910941475827,0.005188067444876783,0.015424164524421594,0.5826376582616307,2.621522470192602,2.0021499596882557,3.92386906951085,13.05,5.14721723518851,0.28898050974512746,-5.583333333333333,-0.4074074074074074,-6.681747269890796,1.0,-9.246575342465754,-10.137931034482758,-2.4592466934971986,-2.5513622152746764,-3.7163239613932015,-3.5541299117882916,-2.78992461691884,-2.850547562808675,-1.2461059190031163,-4.402834008097164,0.35118709650285285,2.487562189054735,4.7438708391468865,23.2974910394265,-2.505480739116818,-1.6546140271962808,-0.15630383448599566,-7.393734297287599,24.283480979676913,3.9072768550603367,-0.012690355329949238,0.010139416983523447,0.009114583333333334,0.01673101673101673,0.7048690172267071,2,0,0,0,0,0
2022-01-25,-1.1093133385951066,-1.3524237498804856,-1.7654388858347076,-3.6845784185233725,-1.0877817319098457,-0.572139303482587,1.9625,1.0,-0.25,-0.6666666666666666,-2.2653061224489797,-58.76470588235294,0.29,0.28,0.63,0.52,0.28,0.31,-0.16,-0.93,0.28,0.2,-5.36,-4.23,-2.91,-1.49,0.26,1.31,3.64,-2.15,0.015604681404421327,0.003821656050955414,-0.006544502617801047,-0.022929936305732482,-0.1462190655415933,-1.5693730729701953,-34.81651376146789,4.355128205128205,4.606751824817518,-1.0309623430962342,-0.574081716879901,-0.5545112781954887,1.0,-5.457831325301205,-1.0,-1.8266666666666667,-110.11111111111111,-1.0107620856340644,-1.0486480240351284,-2.1116968889403944,-2.290950744558992,-1.619548801734645,-1.5866808201575506,-0.15735641227380032,-0.9302325581395358,0.1892216820866629,0.33898305084745795,-4.410316991533772,0.0,-4.516532804839894,-2.4690150488353515,0.26584592677075575,-0.42634771660753373,16.842516608050015,-4.13118527042578,-0.01139240506329114,-0.002531645569620253,-0.02064516129032258,-0.011597938144329897,-0.16655802469135803,0,0,0,0,0,0
2022-01-26,-3.2509025270758123,-1.242810634834509,-0.9355997127124731,-1.0510984540276647,-4.54054054054054,-0.2441860465116279,-1.1856540084388185,0.8812877263581489,-1.1108108108108108,-1.0,-0.7741935483870968,-1.0987780040733197,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,-0.030729833546734954,-0.0266497461928934,-0.022397891963109356,-0.01694915254237288,0.15943402934135995,-0.7539463299131808,-0.9144277655607611,-1.0492944841487997,-0.8628221930974225,-0.6892052194543298,-0.6766169154228856,-1.55,1.0,-1.0831081081081082,-1.0,-1.2857142857142858,4.705882352941177,0.09443937129527737,0.08197441227274058,-1.6677415512618217,-1.9807299067687936,-0.9431709918075201,-0.9339407744874715,1.3375295043273112,1.2919896640826827,0.3107799845133175,0.2257336343115126,0.12670565302145018,8.732394366197191,-5.66473988439306,-4.018643116971096,0.32200987832386463,-2.4426458600209644,8.006932409012126,0.5402865867982074,-0.015604681404421327,-0.022929936305732482,-0.028795811518324606,-0.03949044585987261,-0.010097330986057994,1,1,1,1,1,0
2022-01-27,4.781876503608661,5.239106145251396,6.074349442379182,-8.630573248407643,1.0076335877862594,2.867948717948718,10.272727272727273,0.01818181818181818,3.4878048780487805,-1.0,18.857142857142858,-0.9896907216494846,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,-0.002642007926023778,0.0,0.016172506738544475,0.015915119363395226,-0.1919255928045789,-14.014440433212997,-2.5149213239283776,-0.5444098635384247,-0.6100895036615134,-8.108108108108109,1.9234496124031009,-3.0928270042194095,0.9154929577464789,-1.4972972972972973,-0.9230769230769231,3.4838709677419355,-1.0010183299389002,-0.5715491277335725,-0.5780515575278078,-2.2591632124707486,-2.361906075443073,-1.3650391258307537,-1.4135679818336644,1.3790386130811718,2.3995826812728245,0.5206811636545716,5.46171171171171,19.093717816683846,17.64705882352941,-3.6388464059427514,-2.964183381088833,0.12044262665295417,-2.0948877841317306,6.889632107023419,4.849357820189644,-0.03329065300896287,-0.0266497461928934,-0.006587615283267457,-0.001303780964797914,-0.0630910340577821,2,0,0,0,0,0
2022-01-28,-0.28765603328710126,-12.961497134670488,36.825538623226485,30.68280467445743,1.6806083650190113,1.06927411335764,-0.26814516129032256,0.04831932773109244,-1.6557971014492754,94.0,-0.7805755395683454,6.0,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,0.019867549668874173,0.003911342894393742,-0.009283819628647215,-0.005221932114882507,2.330398927424047,3.1186848436246994,-75.6290502793296,266.5910780669145,-242.7579617834395,4.3816793893129775,7.003846153846154,7.25,0.06737967914438503,-3.9430894308943087,-1.0,3.357142857142857,-0.9278350515463918,-0.39929756284163515,-0.4153868655843206,-1.3775463853717604,-1.089051146509202,-0.6874863707835467,-0.7185559898827316,1.3975155279503118,3.2653061224489828,1.3498430051218895,1.5202702702702653,15.662416042051962,6.217616580310872,-4.520822090304015,-3.8928241906491383,0.6202198353324757,-3.190187710764275,-2.15019255455713,1.1799065420560808,0.017173051519154558,0.003911342894393742,0.006738544474393531,0.010610079575596816,1.691210139002453,3,1,0,0,0,0
2022-02-03,-1.097741433021807,-0.972557004476517,-0.9742574532522019,-1.0031747286331543,-0.2900709219858156,-0.6855678359762934,-0.05509641873278237,-0.026052104208416832,-6.8646408839779,3.0105263157894737,7.737704918032787,0.42857142857142855,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,-0.003896103896103896,-0.0025974025974025974,0.0107095046854083,0.0013123359580052493,-0.5953863916022301,-1.069625520110957,-1.328259312320917,-0.02627430373095113,-1.100584307178631,0.903041825095057,-0.3493536625787206,-0.3084677419354839,0.02100840336134454,2.846014492753623,380.0,0.9172661870503597,9.0,1.6312881404843078,1.585670239318749,1.6869589104216982,1.9387646996503867,1.8832486959560284,1.882989750086376,0.5052467936261135,2.1905247070809835,0.872995276898332,-5.072076882007473,1.3749567623659462,-5.000000000000004,-1.0452448162885903,-1.6942020640474686,1.046757391209909,-3.04079835632521,-13.454317897371718,-0.6067544361763035,0.015894039735099338,0.001303780964797914,0.001326259946949602,-0.0039164490861618795,0.3475247274291063,4,1,1,1,0,0
2022-02-04,-28.649402390438247,-9.786688488816148,-2.091743119266055,-3.024896265560166,-1.7252747252747254,0.738665308201732,0.37317784256559766,0.009259259259259259,-0.917098445595855,-1.0,-0.5984990619136961,0.0,-1.45,-1.47,-3.74,-4.12,-2.44,-2.36,-0.85,-1.01,-0.55,3.64,4.56,6.22,2.15,1.67,0.0,-4.58,10.23,2.28,-0.009126466753585397,0.009114583333333334,0.005298013245033113,0.011795543905635648,0.08211154705363345,1.7024922118380061,-1.2411330528648212,-1.0281042482842933,-0.9935715038465591,-1.5148936170212766,-0.4533077046291847,0.2975206611570248,-0.017034068136272545,-1.4861878453038675,-1.0,2.5081967213114753,0.42857142857142855,-0.8306115140018666,-0.8589896240857289,-3.2565174961661807,-3.3511729105186814,-1.5198370629093854,-1.4553472987872107,-0.8494208494208417,-1.0050251256281415,-1.0186386999636663,2.284122562674103,2.805576939526126,-5.092592592592597,4.9892255337187805,3.569721054584274,-0.23621195864626582,-2.2330456578085416,10.883424408014575,2.3469387755101963,-0.012987012987012988,0.006493506493506494,0.01606425702811245,0.013123359580052493,-0.5621629422577362,3,1,1,1,1,1
2022-02-07,0.9677953890489913,0.34397119086054884,-4.533366287691547,-6.76844262295082,-7.074380165289257,-1.5136243773806035,1.9469214437367304,0.059123343527013254,6.613636363636363,1.0,4.509345794392523,-31.1,-0.06,0.02,1.58,1.33,0.52,0.53,1.99,1.27,0.09,4.34,9.49,16.1,1.26,1.57,-0.1,0.6,-4.64,2.26,0.015789473684210527,0.01806451612903226,0.014492753623188406,0.022020725388601035,0.031035858647190464,-55.408366533864545,-12.809056192034916,2.857528332433891,10.680497925311203,3.4055944055944054,-1.8930208863983697,3.0466472303206995,0.06893004115226338,-0.3688177107866227,-1.083989501312336,1.2120075046904315,-31.1,-1.5144545238431477,-1.4482136819564972,-2.216326629697827,-2.838334050084356,-1.9344913843445162,-1.8515484188104212,1.1196911196911337,0.251256281407041,-0.4642428668301156,8.18746470920384,14.484558503697267,23.316062176165794,3.436937917444751,3.263571305203244,-0.10087872876127894,-4.005893472700987,5.115436849253052,4.588715159755265,0.00651890482398957,0.02734375,0.019867549668874173,0.03407601572739188,0.1156958080684826,4,1,1,0,0,0
