,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,ixic_cr_2,ixic_f_cr_2,spx_cr_2,spx_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,dxy_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,sox_cr_2,vix_cr_2,wti_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-26,-1.7124352331606219,-2.762589928057554,-3.2707856598016782,-1.2102272727272727,-0.12200956937799043,0.19132501485442663,-9.222222222222221,-1.0,-1.1925064599483204,1.0,1.8468468468468469,-3.1,-0.19,-0.2,-2.28,-2.48,-1.22,-1.24,1.5,2.24,0.03,0.0,5.8,13.53,-2.84,-2.56,0.06,-3.71,4.21,2.75,-0.02242152466367713,-0.02666666666666667,-0.03211009174311927,-0.0182648401826484,0.33575078292401517,-0.04013961605584642,0.25076577496426383,0.3712574850299401,2.5694117647058823,0.8168316831683168,0.5976095617529881,-1.5174825174825175,3.1640625,-1.295049504950495,1.0,20.066666666666666,14.75,0.09443937129527737,0.08197441227274058,-1.6677415512618217,-1.9807299067687936,-0.9431709918075201,-0.9339407744874715,1.3375295043273112,1.2919896640826827,0.3107799845133175,0.2257336343115126,0.12670565302145018,8.732394366197191,-5.66473988439306,-4.018643116971096,0.32200987832386463,-2.4426458600209644,8.006932409012126,0.5402865867982074,-0.013574660633484163,-0.02666666666666667,-0.04090909090909091,-0.03587443946188341,0.5647053144760342,1.0,0,0,0,0,0
2022-01-27,-2.869090909090909,-1.52,-1.3777292576419213,-5.568226763348714,1.0572207084468666,-0.3548628428927681,-0.5472972972972973,0.005628517823639775,-7.2885906040268456,-1.037037037037037,-1.3069620253164558,-0.9206349206349206,-0.38,-0.38,0.02,0.13,-0.15,-0.17,-0.12,0.15,0.49,5.44,12.57,3.63,-0.83,-0.41,0.06,1.68,2.57,2.04,-0.01834862385321101,-0.0091324200913242,0.0,-0.009302325581395349,-0.12934970384995065,0.3316062176165803,-0.08345323741007195,-0.14225781845919147,-0.039634146341463415,0.80622009569378,-0.23143196672608438,-4.722222222222222,-1.0,0.21059431524547803,-1.0,-1.8738738738738738,-1.1666666666666667,-0.5715491277335725,-0.5780515575278078,-2.2591632124707486,-2.361906075443073,-1.3650391258307537,-1.4135679818336644,1.3790386130811718,2.3995826812728245,0.5206811636545716,5.46171171171171,19.093717816683846,17.64705882352941,-3.6388464059427514,-2.964183381088833,0.12044262665295417,-2.0948877841317306,6.889632107023419,4.849357820189644,-0.04035874439461883,-0.035555555555555556,-0.03211009174311927,-0.0273972602739726,0.1629718147354541,2.0,0,0,0,0,0
2022-01-28,11.937743190661479,-3.781475667189953,-11.118719430858159,-1.1881673881673882,5.139072847682119,5.1024352531890225,-1.5522388059701493,-0.7182835820895522,-0.15581643543223053,14.0,-7.329896907216495,-4.0,-0.02,-0.04,-1.4,-1.21,-0.54,-0.55,1.52,3.11,0.85,-3.72,2.75,2.5,-3.73,-3.5,0.56,-4.78,-4.6,-0.85,0.004672897196261682,-0.009216589861751152,-0.037914691943127965,-0.046948356807511735,1.411827233107749,-25.181818181818183,0.4463673469387755,2.822136378904938,-0.14040870138431114,11.629427792915532,2.9369077306733167,-1.25,-0.7166979362101313,-6.308724832214765,-1.5555555555555556,0.9430379746835443,-1.2380952380952381,-0.39929756284163515,-0.4153868655843206,-1.3775463853717604,-1.089051146509202,-0.6874863707835467,-0.7185559898827316,1.3975155279503118,3.2653061224489828,1.3498430051218895,1.5202702702702653,15.662416042051962,6.217616580310872,-4.520822090304015,-3.8928241906491383,0.6202198353324757,-3.190187710764275,-2.15019255455713,1.1799065420560808,-0.013761467889908258,-0.0182648401826484,-0.037914691943127965,-0.05581395348837209,1.0998580947680159,3.0,0,0,0,0,0
2022-01-29,-1.9486466165413534,-0.11378259397223163,-1.2030583996133057,-1.165644171779141,-1.1413160733549084,-1.1619687084309875,-3.527027027027027,-1.2450331125827814,-2.165613147914033,-4.133333333333334,-0.6514657980456026,3.6666666666666665,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,-0.046511627906976744,0.0,0.0049261083743842365,0.054187192118226604,-0.38813556832038076,-13.273346303501945,-3.4649921507064363,1.0546909737661183,-0.9688311688311688,-1.8675496688741722,-1.9884035562427522,0.39552238805970147,-1.0690298507462686,-1.983991462113127,-48.0,-3.2061855670103094,-15.0,1.6312881404843078,1.585670239318749,1.6869589104216982,1.9387646996503867,1.8832486959560284,1.882989750086376,0.5052467936261135,2.1905247070809835,0.872995276898332,-5.072076882007473,1.3749567623659462,-5.000000000000004,-1.0452448162885903,-1.6942020640474686,1.046757391209909,-3.04079835632521,-13.454317897371718,-0.6067544361763035,-0.04205607476635514,-0.009216589861751152,-0.03317535545023697,0.004694835680751174,0.4757112992949013,4.0,1,1,1,1,1
2022-02-04,-1.4743599904890228,-1.273340975671889,-1.7859770612421553,-7.106481481481482,-1.3557251908396946,-1.8083691826359014,-0.9625668449197861,-1.0,-1.024945770065076,-0.9361702127659575,-1.9532710280373833,-0.9571428571428572,-1.45,-1.47,-3.74,-4.12,-2.44,-2.36,-0.85,-1.01,-0.55,3.64,4.56,6.22,2.15,1.67,0.0,-4.58,10.23,2.28,0.05853658536585366,0.018604651162790697,0.04411764705882353,0.0,-0.3886287786021273,-0.55,-1.2422395304210407,-0.8404007558113987,0.011503067484662576,-0.949730312837109,-0.86906948755305,-1.0945945945945945,-1.0,-0.9709228824273072,-1.2,-1.3322475570032573,-0.8,-0.8306115140018666,-0.8589896240857289,-3.2565174961661807,-3.3511729105186814,-1.5198370629093854,-1.4553472987872107,-0.8494208494208417,-1.0050251256281415,-1.0186386999636663,2.284122562674103,2.805576939526126,-5.092592592592597,4.9892255337187805,3.569721054584274,-0.23621195864626582,-2.2330456578085416,10.883424408014575,2.3469387755101963,0.009302325581395349,0.018604651162790697,0.04926108374384237,0.054187192118226604,-0.6259236950741159,3.0,0,0,0,0,0
2022-02-09,-1.709792173750234,-5.866666666666666,-0.910058133157837,-1.0051871582784242,0.2012987012987013,-0.5461309523809523,-0.9767441860465116,1.0,-0.22598870056497175,-1.0909090909090908,-0.7862595419847328,-1.7,1.06,1.07,1.28,1.2,0.84,0.82,3.68,2.34,0.25,2.37,3.95,27.35,-0.46,0.05,-0.04,2.4,-6.21,-2.15,-0.004651162790697674,0.018604651162790697,0.014285714285714285,0.018867924528301886,-0.1461150547650403,10.004354136429608,0.3940551311856526,-0.8447851599469998,-1.013780260707635,-0.5409429280397022,-0.6569178852643419,-1.0026315789473683,1.0,-5.566666666666666,-1.0588235294117647,-1.608695652173913,4.25,1.0631027759111378,1.040654125450283,0.6841391089948078,0.3336624561642436,0.4666106733858604,0.4451864218141347,5.073020753266723,6.022267206477744,0.16350487370297234,2.879581151832469,1.777609682299535,20.38999576091563,-0.841760164807782,-0.13780515296737103,-0.15856457333612275,2.374677825721815,-7.665805340223934,-3.1957534394973486,0.0,0.009216589861751152,0.0047169811320754715,-0.004608294930875576,-0.11321635866301955,1.0,1,1,1,1,0
2022-02-18,-7.5424354243542435,-51.05524861878453,-2.793191489361702,-1.0571939231456657,46.523809523809526,-0.10070005385029618,12.555555555555555,-1.0,15.508379888268156,-0.6,0.9538461538461539,1.1,-1.78,-1.78,-2.88,-2.98,-2.12,-2.14,0.26,-1.49,0.1,-3.51,-3.71,-4.7,-0.45,0.53,0.18,-3.74,15.73,-2.03,0.013824884792626729,0.031818181818181815,0.009259259259259259,0.0182648401826484,1.1972616850508606,-3.7158539698749045,0.8542775276299631,-1.382673447148565,-1.113980409617097,2.6623853211009174,-0.5169920462762111,-2.8597560975609757,-1.0,41.214285714285715,1.0,-0.8454987834549879,1.625,-1.9343596415314075,-1.9281457712583085,-2.9918471034869114,-3.0442520277901366,-2.0310574426255794,-2.015903236644641,-0.07380073800737195,-2.4446494464944615,-0.2085005681640512,-3.6710719530102875,-6.789653860783567,-12.259615384615383,4.083722259262795,2.523780701951033,0.15625522243391476,-3.710789140526096,9.377431906614788,-0.3367003367003238,0.018518518518518517,0.04608294930875576,0.023474178403755867,0.032407407407407406,0.5101474926253687,3.0,1,1,1,1,0
2022-02-25,-2.0964673913043477,1.6433595366156393,1.9646271510516253,-2.2262773722627736,-0.9616564417177914,-0.07147912243453644,-1.6363636363636365,1.0,-1.0358306188925082,-1.0,-44.517857142857146,1.5454545454545454,0.28,0.27,3.34,3.4,1.5,1.47,-3.74,-3.63,0.98,-1.4,-1.74,-9.3,-3.32,-2.6,1.14,3.7,-2.26,0.77,-0.0045662100456621,-0.004524886877828055,-0.013761467889908258,-0.013636363636363636,0.5076266934269945,-0.5202140309155767,2.0122583686940123,-0.4646987743828759,-0.37585139318885447,-0.6835443037974683,-0.5796219160525473,-1.1206896551724137,-0.7477148080438757,-1.055,-1.0,-16.9281045751634,-15.0,-1.1095762340307513,-1.1006711409395973,0.6879636991911194,0.7484085048060449,-0.37261251550616215,-0.37209302325581395,-3.496503496503504,-4.224015187470356,1.1538942628418938,1.337448559670783,1.0374639769452445,-9.295774647887317,-2.292336224671986,-2.14239006350695,1.187180132561445,1.2842287178570337,5.241235682054848,0.4981050351922122,-0.0045662100456621,-0.009009009009009009,-0.004629629629629629,-0.0091324200913242,-0.07510696586326839,3.0,0,0,0,0,0
2022-03-08,0.6622325836533187,1.3311051693404634,1.1217273036382183,1.7808510638297872,-0.6277915632754343,-0.5824,0.02097902097902098,-1.0,-1.4772727272727273,-0.6338983050847458,-0.6874704491725768,0.7142857142857143,-2.37,-2.39,-3.62,-3.75,-2.95,-2.98,2.27,5.93,0.78,5.57,9.01,3.09,-2.16,-2.29,1.21,-4.91,13.98,3.22,-0.035398230088495575,-0.030973451327433628,-0.02727272727272727,-0.027149321266968326,0.38001953548947254,8.878565607171964,-4.04304828388598,-8.518072289156626,-6.6949891067538125,-1.334075723830735,-0.6923983500294637,2.1739130434782608,-1.1616341030195383,-1.3265940902021773,1.0,-0.8242021276595745,-1.75,-2.8918178197384026,-2.833600094848539,-5.222212537505716,-5.058622287160115,-3.721791501756613,-3.6875609336468425,2.2667170381564055,5.927835051546403,1.6800793512828123,2.302820955670686,4.456674944627157,1.492537313432837,-3.3738162048404163,-3.4862472152248927,2.2064800836139935,-7.21300676687227,19.58661417322835,10.894399554193372,-0.02242152466367713,-0.030973451327433628,-0.036036036036036036,-0.048672566371681415,-0.010120275582888949,0.0,0,0,0,0,0
2022-03-11,12.620555555555555,5.105919830103531,-2.348549946294307,0.8908994145822245,-0.6081081081081081,-14.860349127182046,11.163934426229508,-1.0,-0.8306264501160093,1.0,6.119047619047619,-5.714285714285714,-0.34,-0.34,-0.95,-1.08,-0.43,-0.42,0.33,0.14,0.5,2.15,1.59,3.94,2.18,2.21,0.47,-2.17,-6.84,-2.47,0.04205607476635514,0.0593607305936073,0.04225352112676056,0.06481481481481481,2.3168194712823253,-3.0226878970381983,-5.397056012234755,-1.4024038461538462,-0.3203902065799541,-0.8066666666666666,-11.647509578544062,-6.082191780821918,2.5494505494505493,-1.3476190476190477,-0.6111111111111112,0.35703479576399394,-9.25,1.6591670180530913,1.6870130666830254,2.6134867199924963,2.404462199442225,2.131577559211833,2.1229385307346327,0.14695077149155047,3.4958148695223894,-0.7182431751787992,8.315217391304348,6.346826586706642,5.600000000000005,0.8553213694217027,1.094176086538361,-0.38102032378621076,1.7168741486901649,-13.948192428124115,-14.292643492320135,0.022935779816513763,0.0593607305936073,0.037383177570093455,0.06976744186046512,2.1723093861822185,3.0,1,1,1,1,1
