parameter,value1,value2,value3,value4,value5,value6
cv,3,3,3,3,3,3
iterations,50,50,50,50,50,50
num_col,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision
boost_from_average,False,False,False,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.9332036588535947,0.9332036588535947,0.005,0.1677891427453575,0.17259258312426423,0.9342827459029129
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
learning_rate,0.0011847240811834723,0.0011847240811834723,0.00010907363083262608,0.0019162589666810593,0.00138574255293107,0.002436356633214967
max_bin,473,473,310,435,433,100
max_depth,18,18,45,23,33,31
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,19,19,40,43,18
min_child_weight,0.001,0.001,10,8,9,11
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,6724,6724,1145,6177,4041,9691
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,12,12,12,13,9,13
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.5,0.5,0.0,1.4000000000000001,1.0,1.6
reg_lambda,1.8,1.8,1.2000000000000002,2.8000000000000003,2.2,1.8
scale_pos_weight,0.2,0.2,0.9,0.6,0.5,0.6
silent,warn,warn,warn,warn,warn,warn
subsample,0.6684947525293031,0.6684947525293031,0.8791518756451386,0.6487712293279236,0.7758686085997428,0.0530422253062485
subsample_for_bin,714473,714473,190899,949309,651219,200819
subsample_freq,0,0,0,0,0,0
verbose,1,1,0,0,0,0
best_score,0.6666666666666666,0.6666666666666666,0.7269841269841271,0.7007575757575758,0.7962962962962963,0.7369297369297371
best_index,0.0,0.0,18.0,5.0,28.0,42.0
acc_train,0.8556701030927835,0.8556701030927835,0.6752577319587629,0.8402061855670103,0.7010309278350515,0.7577319587628866
acc_val,0.46938775510204084,0.46938775510204084,0.5714285714285714,0.5714285714285714,0.5306122448979592,0.6122448979591837
acc_test,0.5081967213114754,0.5081967213114754,0.5409836065573771,0.5901639344262295,0.5737704918032787,0.6065573770491803
precision,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.6875,0.8571428571428571,0.7058823529411765
recall,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.3548387096774194,0.1935483870967742,0.3870967741935484
f1score,0.25,0.25,0.2631578947368421,0.4680851063829787,0.3157894736842105,0.5
roc,0.513978494623656,0.513978494623656,0.5473118279569893,0.5940860215053764,0.5801075268817204,0.6102150537634409
tn,26.0,26.0,28.0,25.0,29.0,25.0
fp,4.0,4.0,2.0,5.0,1.0,5.0
fn,26.0,26.0,26.0,20.0,25.0,19.0
tp,5.0,5.0,5.0,11.0,6.0,12.0
acc_test1,0.65,0.65,0.65,0.7,0.7,0.65
precision1,0.5,0.5,0.5,0.6,0.6666666666666666,0.5
recall1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855
f1score1,0.36363636363636365,0.36363636363636365,0.22222222222222224,0.5,0.4,0.4615384615384615
roc1,0.5659340659340659,0.5659340659340659,0.532967032967033,0.6373626373626373,0.6043956043956044,0.5989010989010989
tn1,11.0,11.0,12.0,11.0,12.0,10.0
fp1,2.0,2.0,1.0,2.0,1.0,3.0
fn1,5.0,5.0,6.0,4.0,5.0,4.0
tp1,2.0,2.0,1.0,3.0,2.0,3.0
acc_test2,0.55,0.55,0.65,0.65,0.6,0.65
precision2,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.1,0.1,0.3,0.3,0.2,0.3
f1score2,0.18181818181818182,0.18181818181818182,0.4615384615384615,0.4615384615384615,0.33333333333333337,0.4615384615384615
roc2,0.55,0.55,0.65,0.65,0.6,0.65
tn2,10.0,10.0,10.0,10.0,10.0,10.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0
fn2,9.0,9.0,7.0,7.0,8.0,7.0
tp2,1.0,1.0,3.0,3.0,2.0,3.0
acc_test3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.5238095238095238
precision3,0.5,0.5,0.5,0.625,1.0,0.75
recall3,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.42857142857142855
f1score3,0.22222222222222224,0.22222222222222224,0.125,0.45454545454545453,0.25,0.5454545454545454
roc3,0.4285714285714286,0.4285714285714286,0.4642857142857143,0.4642857142857143,0.5714285714285714,0.5714285714285714
tn3,5.0,5.0,6.0,4.0,7.0,5.0
fp3,2.0,2.0,1.0,3.0,0.0,2.0
fn3,12.0,12.0,13.0,9.0,12.0,8.0
tp3,2.0,2.0,1.0,5.0,2.0,6.0
