parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
cv,5,5,5,5,5,5,5,5,5,5
iterations,110,105,115,100,100,150,75,90,90,90
num_col,98,98,98,98,98,98,98,98,98,98
scoring,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,precision,precision
boost_from_average,False,False,False,False,True,True,True,True,False,False
boosting_type,dart,dart,dart,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,
colsample_bytree,0.6271479845258084,0.6271479845258084,0.6271479845258084,0.6271479845258084,0.5058787081439613,0.5058787081439613,0.507544126628282,0.5058787081439613,0.6136684788990283,0.880323972405449
force_col_wise,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0008112100163434848,0.0008112100163434848,0.0008112100163434848,0.0008112100163434848,0.004,0.004,0.004,0.004,0.0013682191469144324,0.00021156824576061396
max_bin,871,871,871,871,1000,1000,1000,1000,931,647
max_depth,50,50,50,50,0,0,1,0,40,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,5,5,5,12,12,40,12,12,37
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.301545536882229
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,700,700,700,700,700,700,700,700,2489,4579
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,11,11,11,11,4,4,16,4,20,3
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42
reg_alpha,3.4625700614134125,3.4625700614134125,3.4625700614134125,3.4625700614134125,3.660617375125146,3.660617375125146,4.0,3.660617375125146,0.8247097323700142,0.2268647406555451
reg_lambda,3.647534777020832,3.647534777020832,3.647534777020832,3.647534777020832,4.0,4.0,4.0,4.0,0.7951879017469886,0.2575261573850627
scale_pos_weight,0.9143642942140473,0.9143642942140473,0.9143642942140473,0.9143642942140473,0.5870462623846563,0.5870462623846563,0.7033638581189146,0.5870462623846563,0.2,0.5512102397972469
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,1.0,1.0,1.0,0.005,0.005,0.8245566563474394,0.005,0.5098217578418086,0.5746392650150125
subsample_for_bin,363971,363971,363971,363971,193656,193656,339820,193656,210187,357489
subsample_freq,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0
best_score,0.6183257918552036,0.6183257918552036,0.6183257918552036,0.6183257918552036,0.736111111111111,0.736111111111111,0.725,0.736111111111111,0.8111111111111111,0.7202380952380952
best_index,46.0,46.0,46.0,46.0,84.0,84.0,20.0,84.0,70.0,25.0
acc_train,0.8404669260700389,0.8404669260700389,0.8404669260700389,0.8404669260700389,0.7003891050583657,0.7003891050583657,0.6303501945525292,0.7003891050583657,0.669260700389105,0.6809338521400778
acc_val,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.5789473684210527,0.7368421052631579
acc_test,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5909090909090909,0.7272727272727273
train_precision,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.96,0.96,0.6944444444444444,0.96,1.0,0.9555555555555556
train_tn,124.0,124.0,124.0,124.0,132.0,132.0,112.0,132.0,134.0,132.0
train_fp,10.0,10.0,10.0,10.0,2.0,2.0,22.0,2.0,0.0,2.0
train_fn,31.0,31.0,31.0,31.0,75.0,75.0,73.0,75.0,85.0,80.0
train_tp,92.0,92.0,92.0,92.0,48.0,48.0,50.0,48.0,38.0,43.0
val_precision,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.0,1.0,0.75,1.0,0.0,0.8
val_tn,7.0,7.0,7.0,7.0,11.0,11.0,9.0,11.0,11.0,10.0
val_fp,4.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
val_fn,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,8.0,4.0
val_tp,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,0.0,4.0
test_precision,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
recall,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.1,0.4
f1score,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.5714285714285715,0.18181818181818182,0.5714285714285715
roc,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7,0.7,0.55,0.7
test_tn,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0
test_fp,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,9.0,6.0
test_tp,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0
