parameter,iter_1,iter_2,iter_3,iter_4,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
cv,3,3,3,3,3,3,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,accuracy,precision,precision,precision,precision,precision
boost_from_average,True,True,False,False,False,False,True,True,False,True,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,dart,dart,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.17539439233139995,0.3622278172617969,0.5038872389113569,0.005,0.7185025474107493,0.5,0.6360665082605677,0.5818035893192751,0.7885010885938639,0.914520698245463,0.5818035893192751,0.9358259642316076,0.5846941168506748,0.5818035893192751
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.001236374535256124,0.0008966376442750347,0.0012091213343423768,0.0011072928184439005,0.0001,0.004,0.0007172384008966311,0.0003952711851453308,0.0006962472463198584,0.0022876244253353917,0.0003952711851453308,0.00021812144757174065,0.004,0.0003952711851453308
max_bin,271,684,587,155,100,1000,708,513,100,872,513,100,103,513
max_depth,30,21,29,24,50,0,39,27,48,18,27,19,35,27
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,18,27,23,23,14,5,30,25,9,5,25,11,5,25
min_child_weight,5,5,4,3.3984713169480023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,8422,6818,8336,9963,5863,700,9387,3232,4805,700,3232,2465,2591,3232
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,9,10,8,3,12,3,15,13,16,16,13,11,20,13
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,2.5589343693066398,1.8,3.1,1.6540946859438819,0.8366715274937571,0.0,4.0,1.9926933510296294,0.057922185179151695,0.0,1.9926933510296294,0.7405082488530242,0.3341700887785437,1.9926933510296294
reg_lambda,1.935389910690664,3.2,1.7000000000000002,0.8700861649017952,4.0,4.0,1.1521590535699155,3.8726966959629308,3.5582617439521007,0.9157136097973007,3.8726966959629308,1.4705428484986756,3.4129348427334625,3.8726966959629308
scale_pos_weight,0.7777487579029854,0.8000000000000003,0.4000000000000001,1.1000000000000003,0.5000000000000001,0.2,0.6141662727816389,0.6684512344586391,0.5907385839631093,0.4945395577127885,0.6684512344586391,0.9283974730118987,0.9201801817373816,0.6684512344586391
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.16614423605866588,0.3982415029612957,0.693684824181858,0.7135157115855617,0.005515995325962876,0.654077717067105,0.9881642012014692,0.6487712293279236,1.0,0.5256653092866076,0.6487712293279236,0.7473968543326747,0.19762976361825763,0.6487712293279236
subsample_for_bin,726172,564964,764072,179716,735164,727084,100000,477471,500000,343984,477471,481885,318261,477471
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.5805109922756981,0.5861876914508494,0.6333333333333333,0.5988843813387423,0.6818181818181818,0.8333333333333334,0.7000000000000001,0.712121212121212,0.6302578018995929,0.6141850352376669,0.712121212121212,0.6104497354497355,0.5892242862057103,0.712121212121212
best_index,25.0,6.0,12.0,37.0,43.0,16.0,17.0,5.0,27.0,45.0,5.0,8.0,46.0,5.0
acc_train,0.935,0.91,0.755,0.765,0.73,0.64,0.84,0.74,0.98,0.97,0.74,0.825,1.0,0.74
acc_val,0.68,0.7,0.6,0.64,0.62,0.6,0.66,0.6,0.62,0.62,0.6,0.64,0.68,0.6
acc_test,0.6349206349206349,0.6031746031746031,0.6666666666666666,0.6984126984126984,0.6507936507936508,0.6349206349206349,0.6666666666666666,0.6666666666666666,0.6507936507936508,0.6190476190476191,0.6666666666666666,0.6507936507936508,0.5873015873015873,0.6666666666666666
precision,0.5,0.4444444444444444,0.75,0.7,0.5555555555555556,0.0,0.5833333333333334,1.0,0.5384615384615384,0.45454545454545453,1.0,0.5555555555555556,0.42105263157894735,1.0
recall,0.30434782608695654,0.34782608695652173,0.13043478260869565,0.30434782608695654,0.21739130434782608,0.0,0.30434782608695654,0.08695652173913043,0.30434782608695654,0.21739130434782608,0.08695652173913043,0.21739130434782608,0.34782608695652173,0.08695652173913043
f1score,0.3783783783783784,0.3902439024390244,0.22222222222222218,0.42424242424242425,0.3125,0.0,0.4,0.16,0.3888888888888889,0.29411764705882354,0.16,0.3125,0.380952380952381,0.16
roc,0.5646739130434782,0.5489130434782609,0.5527173913043478,0.6146739130434783,0.5586956521739131,0.5,0.5896739130434783,0.5434782608695652,0.5771739130434783,0.533695652173913,0.5434782608695652,0.5586956521739131,0.5364130434782608,0.5434782608695652
tn,33.0,30.0,39.0,37.0,36.0,40.0,35.0,40.0,34.0,34.0,40.0,36.0,29.0,40.0
fp,7.0,10.0,1.0,3.0,4.0,0.0,5.0,0.0,6.0,6.0,0.0,4.0,11.0,0.0
fn,16.0,15.0,20.0,16.0,18.0,23.0,16.0,21.0,16.0,18.0,21.0,18.0,15.0,21.0
tp,7.0,8.0,3.0,7.0,5.0,0.0,7.0,2.0,7.0,5.0,2.0,5.0,8.0,2.0
acc_test1,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.6190476190476191,0.5714285714285714,0.47619047619047616,0.6190476190476191
precision1,0.25,0.2,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.25,0.25,1.0,0.5,0.3333333333333333,1.0
recall1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
f1score1,0.15384615384615383,0.14285714285714285,0.1818181818181818,0.3636363636363636,0.16666666666666666,0.0,0.16666666666666666,0.19999999999999998,0.15384615384615383,0.15384615384615383,0.19999999999999998,0.1818181818181818,0.26666666666666666,0.19999999999999998
roc1,0.4305555555555556,0.38888888888888895,0.513888888888889,0.6111111111111112,0.47222222222222227,0.5,0.47222222222222227,0.5555555555555556,0.4305555555555556,0.4305555555555556,0.5555555555555556,0.513888888888889,0.44444444444444453,0.5555555555555556
tn1,9.0,8.0,11.0,12.0,10.0,12.0,10.0,12.0,9.0,9.0,12.0,11.0,8.0,12.0
fp1,3.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0
fn1,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0
tp1,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
acc_test2,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666
precision2,0.4,0.4,0.0,0.4,0.3333333333333333,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.3333333333333333,0.0
recall2,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0
f1score2,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.2,0.0,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.30769230769230765,0.0
roc2,0.5357142857142857,0.5357142857142857,0.5,0.5357142857142857,0.5,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.49999999999999994,0.5
tn2,11.0,11.0,14.0,11.0,12.0,14.0,12.0,14.0,12.0,12.0,14.0,12.0,10.0,14.0
fp2,3.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0
fn2,5.0,5.0,7.0,5.0,6.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0
tp2,2.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
acc_test3,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
precision3,0.8,0.625,1.0,1.0,1.0,0.0,0.8,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.5714285714285714,1.0
recall3,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285
f1score3,0.6666666666666666,0.6666666666666666,0.4444444444444445,0.6,0.6,0.0,0.6666666666666666,0.25,0.6666666666666666,0.4,0.25,0.4,0.5714285714285714,0.25
roc3,0.75,0.7500000000000001,0.6428571428571428,0.7142857142857143,0.7142857142857143,0.5,0.75,0.5714285714285714,0.75,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6785714285714285,0.5714285714285714
tn3,13.0,11.0,14.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,14.0,13.0,11.0,14.0
fp3,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0
fn3,3.0,2.0,5.0,4.0,4.0,7.0,3.0,6.0,3.0,5.0,6.0,5.0,3.0,6.0
tp3,4.0,5.0,2.0,3.0,3.0,0.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0
