,iter1,iter1,iter1,iter2,iter2,iter2,iter3,iter3,iter3,iter4,iter4,iter4,iter5,iter5,iter5,iter6,iter6,iter6,iter7,iter7,iter7,iter8,iter8,iter8,iter9,iter9,iter9,iter10,iter10,iter10,iter11,iter11,iter11,iter12,iter12,iter12,iter13,iter13,iter13,iter14,iter14,iter14,iter15,iter15,iter15
,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score,best_index,mean_test_score,std_test_score
0,31,0.82,0.22271057451320087,0.0,0.7273015873015873,0.14727695470011418,0.0,0.48954013377926425,0.039524892728786606,28,0.7961904761904762,0.1703244869036812,15,0.7777777777777778,0.21372648957412607,15.0,0.7777777777777778,0.21372648957412607,15.0,0.7777777777777778,0.21372648957412607,15.0,0.7777777777777778,0.21372648957412607,0.0,0.7333333333333333,0.2260776661041756,34.0,0.8333333333333333,0.21081851067789195,21.0,0.8583333333333332,0.17400510848184253,0.0,0.7333333333333333,0.2260776661041756,19.0,0.85,0.2,33.0,0.7647619047619048,0.06298327892414209,0.0,0.7528571428571429,0.13321763687856877
1,27,0.718968253968254,0.15158780021525237,1.0,0.7273015873015873,0.14727695470011418,1.0,0.0,0.0,11,0.7501298701298701,0.1426104126726547,34,0.7333333333333333,0.2260776661041756,5.0,0.6464285714285715,0.11890467608746448,5.0,0.6464285714285715,0.11890467608746448,34.0,0.7333333333333333,0.2260776661041756,1.0,0.7333333333333333,0.2260776661041756,33.0,0.7583333333333333,0.20480342879074181,39.0,0.85,0.13333333333333336,1.0,0.7333333333333333,0.2260776661041756,27.0,0.8333333333333333,0.21081851067789195,31.0,0.7509523809523809,0.15844768516529473,1.0,0.7528571428571429,0.13321763687856877
2,5,0.6903679653679653,0.08500212479031162,,,,,,,23,0.747857142857143,0.14448359839124175,44,0.6690476190476191,0.04785655057676614,3.0,0.5953282828282828,0.1041387320976486,3.0,0.5953282828282828,0.1041387320976486,5.0,0.6464285714285715,0.11890467608746448,,,,37.0,0.7333333333333333,0.38873012632302,37.0,0.8428571428571429,0.20404081224408144,,,,23.0,0.725,0.2,5.0,0.7437012987012988,0.1579996498647888,,,
3,11,0.6666666666666666,0.36514837167011077,,,,,,,25,0.743882783882784,0.15348053537400866,5,0.6464285714285715,0.11890467608746448,12.0,0.573488266119845,0.041226418080811046,12.0,0.573488266119845,0.041226418080811046,3.0,0.5953282828282828,0.1041387320976486,,,,13.0,0.6822222222222223,0.10648132045076392,33.0,0.8266666666666665,0.18306040290327977,,,,20.0,0.705,0.13638181696985854,3.0,0.6545238095238096,0.08050123275880047,,,
4,35,0.6508441558441558,0.05168831168831169,,,,,,,31,0.7166666666666666,0.16329931618554522,48,0.6321678321678321,0.04768936821461789,2.0,0.5732026143790849,0.05466803572895811,2.0,0.5732026143790849,0.05466803572895811,36.0,0.5865134555846631,0.04981741380299749,,,,5.0,0.6664285714285715,0.0994041203286966,35.0,0.8116666666666668,0.17381343765978255,,,,5.0,0.6964285714285714,0.09744467585562439,24.0,0.6516666666666666,0.03511884584284245,,,
5,24,0.6333333333333333,0.19436506316151003,,,,,,,30,0.7104761904761905,0.15316465137504479,3,0.5953282828282828,0.1041387320976486,14.0,0.5683333333333334,0.12409673645990857,14.0,0.5683333333333334,0.12409673645990857,38.0,0.5850793650793651,0.07769415653825895,,,,12.0,0.6657875457875458,0.10691895455274453,28.0,0.7666666666666667,0.2260776661041756,,,,14.0,0.6830128205128204,0.0734554971337857,29.0,0.6176923076923077,0.08198875822942209,,,
6,36,0.6316666666666666,0.029999999999999992,,,,,,,48,0.6907894736842105,0.15784599637579746,36,0.5865134555846631,0.04981741380299749,23.0,0.5679967091731798,0.05757839113050557,19.0,0.566025641025641,0.046345360807801356,12.0,0.573488266119845,0.041226418080811046,,,,29.0,0.6566666666666666,0.05537749241945384,10.0,0.7333333333333333,0.38873012632302,,,,3.0,0.6436147186147186,0.09025570299514708,15.0,0.597481684981685,0.059820407849156605,,,
7,49,0.6153496503496504,0.014184086934566615,,,,,,,14,0.6666666666666666,0.18257418583505536,38,0.5850793650793651,0.07769415653825895,29.0,0.5673222912353347,0.023960672852301836,11.0,0.5436940836940837,0.06492931832837107,2.0,0.5732026143790849,0.05466803572895811,,,,31.0,0.625,0.13693063937629152,17.0,0.7316666666666667,0.17227239412563403,,,,13.0,0.639047619047619,0.1980952380952381,25.0,0.5781045751633986,0.0590446099663756,,,
8,22,0.6121997300944669,0.02959789539641853,,,,,,,24,0.6656043646755722,0.16868541803047035,46,0.5802339181286549,0.08085450413906801,19.0,0.566025641025641,0.046345360807801356,9.0,0.5366780895266652,0.037772208570713076,14.0,0.5683333333333334,0.12409673645990857,,,,32.0,0.6221428571428571,0.08006375010972602,11.0,0.7,0.1632993161855452,,,,29.0,0.6283333333333333,0.0819213715162967,8.0,0.5720361990950227,0.048054554285180386,,,
9,43,0.606111111111111,0.03777777777777776,,,,,,,5,0.6464285714285715,0.11890467608746448,49,0.5753496503496504,0.08848254262926314,27.0,0.5653229123817358,0.032372646401819284,8.0,0.5243565644881435,0.0405311987596043,23.0,0.5679967091731798,0.05757839113050557,,,,27.0,0.6064102564102564,0.03735150304539515,5.0,0.6797619047619048,0.09391944249198102,,,,17.0,0.6209523809523809,0.0909935085272807,13.0,0.5647734309034619,0.10541168039520764,,,
10,38,0.6034951013898382,0.059950726751411755,,,,,,,34,0.64,0.15937377450509227,12,0.573488266119845,0.041226418080811046,21.0,0.5602674956622324,0.01455618473899176,16.0,0.5201680672268907,0.028047595408871646,29.0,0.5673222912353347,0.023960672852301836,,,,3.0,0.6008949220713926,0.09542151161772129,3.0,0.6436147186147186,0.09025570299514708,,,,18.0,0.6144680010392085,0.058951318608687686,12.0,0.5616317016317016,0.028030862756043537,,,
11,17,0.6009523809523809,0.06277050306012982,,,,,,,44,0.6325,0.04349329450233295,2,0.5732026143790849,0.05466803572895811,25.0,0.5530557162136109,0.07106603098312535,13.0,0.5141520467836257,0.050552029411053384,19.0,0.566025641025641,0.046345360807801356,,,,39.0,0.5933333333333334,0.05333333333333332,36.0,0.6329759129759129,0.0590215763961204,,,,38.0,0.6076190476190476,0.057503080859985414,10.0,0.5599999999999999,0.463033476111609,,,
12,3,0.593202614379085,0.10150105843754152,,,,,,,39,0.6261111111111111,0.06586555704568414,14,0.5683333333333334,0.12409673645990857,11.0,0.5436940836940837,0.06492931832837107,0.0,0.5065467968563944,0.03262685971457071,27.0,0.5653229123817358,0.032372646401819284,,,,25.0,0.56012987012987,0.1660266792711138,18.0,0.6133766233766234,0.09528574172181518,,,,37.0,0.5951623376623376,0.0668598181585646,35.0,0.5555769230769231,0.07971936725032944,,,
13,23,0.5866666666666667,0.32496153618543844,,,,,,,41,0.6257575757575757,0.09060555386500639,23,0.5679967091731798,0.05757839113050557,9.0,0.5366780895266652,0.037772208570713076,4.0,0.4992325404583469,0.047695176055431575,32.0,0.5641228070175439,0.05709468465901805,,,,21.0,0.5597105508870215,0.07141398458430016,27.0,0.5878571428571429,0.13304475573835467,,,,31.0,0.5806060606060607,0.13662399387545127,32.0,0.5507246376811594,0.0626717342331584,,,
14,47,0.5844022644022644,0.04648981190812307,,,,,,,45,0.6252813852813852,0.08635407730626433,29,0.5673222912353347,0.023960672852301836,28.0,0.5336219336219337,0.14552106148785646,6.0,0.49766191940104976,0.06205922438818535,21.0,0.5602674956622324,0.01455618473899176,,,,14.0,0.5575646575646576,0.03741587026026918,38.0,0.5863203463203462,0.08272708017583569,,,,8.0,0.5804395604395605,0.0433050697556055,11.0,0.5490909090909091,0.04475830409124061,,,
15,41,0.5842857142857143,0.32926634588219345,,,,,,,47,0.6170634920634921,0.046582636796283126,19,0.566025641025641,0.046345360807801356,8.0,0.5243565644881435,0.0405311987596043,17.0,0.4,0.48989794855663565,31.0,0.5569327731092437,0.049610089044086786,,,,2.0,0.5551900584795322,0.04420067226733209,30.0,0.5711111111111111,0.07456871882472228,,,,12.0,0.5733058135534916,0.0718318971820077,2.0,0.548874269005848,0.03388722377070667,,,
16,19,0.5789379084967321,0.09905843303638466,,,,,,,32,0.614102564102564,0.08941331166237279,27,0.5653229123817358,0.032372646401819284,16.0,0.5201680672268907,0.028047595408871646,1.0,0.0,0.0,25.0,0.5530557162136109,0.07106603098312535,,,,16.0,0.5506490039437759,0.061848724670718315,13.0,0.5707142857142857,0.07172794406076109,,,,26.0,0.5565656565656566,0.16490189024008978,9.0,0.5460269865067466,0.05311156612578895,,,
17,32,0.5744724573671942,0.049288364448310536,,,,,,,38,0.5987301587301588,0.07379433194057525,32,0.5641228070175439,0.05709468465901805,13.0,0.5141520467836257,0.050552029411053384,7.0,0.0,0.0,11.0,0.5436940836940837,0.06492931832837107,,,,9.0,0.5453737417005783,0.0546047301761952,2.0,0.5610380116959064,0.041866250220927353,,,,2.0,0.5551900584795322,0.04420067226733209,22.0,0.5457613145592685,0.03529006935820155,,,
18,42,0.5742857142857143,0.057269700489039635,,,,,,,3,0.593202614379085,0.10150105843754152,21,0.5602674956622324,0.01455618473899176,24.0,0.5070140368412285,0.04574199719713217,18.0,0.0,0.0,9.0,0.5366780895266652,0.037772208570713076,,,,8.0,0.5388198789514579,0.055731500409760076,8.0,0.5561538461538461,0.051693223435112144,,,,9.0,0.5526201185121724,0.05736087231785825,23.0,0.5447685185185185,0.04365512444445245,,,
19,13,0.5714285714285714,0.029392951165735173,,,,,,,17,0.582857142857143,0.07948815853282032,43,0.5589920880632955,0.05770387514860665,0.0,0.5065467968563944,0.03262685971457071,10.0,0.0,0.0,28.0,0.5336219336219337,0.14552106148785646,,,,24.0,0.536985236985237,0.01927901618134489,14.0,0.5551190476190476,0.1583322592158339,,,,28.0,0.55,0.45825756949558394,26.0,0.5411310428701733,0.033344210884134175,,,
20,44,0.5658625976706473,0.02206836788162738,,,,,,,19,0.5816107297228579,0.023834023064509782,31,0.5569327731092437,0.049610089044086786,4.0,0.4992325404583469,0.047695176055431575,,,,35.0,0.5276288156288156,0.06117230174555343,,,,11.0,0.5342857142857144,0.04295227536677973,34.0,0.5491228070175438,0.03073431856980303,,,,30.0,0.5495859213250518,0.04178195410725682,6.0,0.5205314009661837,0.06357752222748639,,,
21,2,0.5610380116959064,0.041866250220927353,,,,,,,40,0.5789210789210789,0.04684025818051582,25,0.5530557162136109,0.07106603098312535,22.0,0.49864661654135334,0.05577561206533894,,,,39.0,0.5258187134502924,0.08171379996351041,,,,15.0,0.530719445673006,0.05574390288331425,9.0,0.5453737417005783,0.0546047301761952,,,,33.0,0.548868778280543,0.03456729276884033,4.0,0.5145185185185185,0.04093553010754395,,,
22,15,0.5599999999999999,0.463033476111609,,,,,,,12,0.5757236227824463,0.05902578127068385,11,0.5436940836940837,0.06492931832837107,26.0,0.49836778714198066,0.030894580958844224,,,,8.0,0.5243565644881435,0.0405311987596043,,,,26.0,0.5268039664378337,0.04560036031864504,24.0,0.5432575757575757,0.07640120528474895,,,,39.0,0.5410868595006526,0.022519790242686577,30.0,0.5139592668651669,0.02937316590276179,,,
23,9,0.5565883724804264,0.05673697696492285,,,,,,,37,0.5692890442890443,0.11823841304535156,9,0.5366780895266652,0.037772208570713076,6.0,0.49766191940104976,0.06205922438818535,,,,16.0,0.5201680672268907,0.028047595408871646,,,,30.0,0.5241176470588236,0.0780470978382211,16.0,0.5427777777777778,0.12947662928445502,,,,32.0,0.5370114942528735,0.08151274508508953,18.0,0.5107616868257601,0.07352582794744089,,,
24,29,0.5533834586466165,0.0399558804679291,,,,,,,2,0.5673546611627106,0.05772163118415366,45,0.5349775078722447,0.08323531211737811,17.0,0.4,0.48989794855663565,,,,13.0,0.5141520467836257,0.050552029411053384,,,,18.0,0.5177382834556747,0.05891431260327318,25.0,0.535987460815047,0.03517146384202108,,,,10.0,0.5333333333333333,0.45215533220835125,0.0,0.5097354497354497,0.03669051805993322,,,
25,37,0.5528215745607049,0.04006012015351048,,,,,,,27,0.5614444444444444,0.04908244512810143,28,0.5336219336219337,0.14552106148785646,18.0,0.0,0.0,,,,24.0,0.5070140368412285,0.04574199719713217,,,,0.0,0.5013180386864597,0.039368881974582604,19.0,0.5292580143168378,0.044796859937705914,,,,35.0,0.5306992027580262,0.05445239775673243,14.0,0.5085902503293808,0.05153805312978713,,,
26,21,0.5450051599587203,0.031704801922513716,,,,,,,36,0.541025641025641,0.09037870502588799,35,0.5276288156288156,0.06117230174555343,1.0,0.0,0.0,,,,0.0,0.5065467968563944,0.03262685971457071,,,,17.0,0.4993464052287582,0.04844543911165079,22.0,0.528698752228164,0.10583252637255329,,,,4.0,0.5153846153846153,0.03222689756530736,38.0,0.5043809523809524,0.04408443763646484,,,
27,16,0.5412698412698412,0.06980518548347946,,,,,,,42,0.537521339580836,0.0861125235310437,40,0.5258954248366013,0.03985737312795392,20.0,0.0,0.0,,,,33.0,0.4996731529340225,0.0408776098441411,,,,6.0,0.49714243888156934,0.06496964761309709,29.0,0.5230769230769231,0.058006425644297976,,,,6.0,0.5148534330120008,0.05963532879904298,20.0,0.5020757020757021,0.07270711135028539,,,
28,18,0.5405769230769231,0.0832014735873145,,,,,,,9,0.5366780895266652,0.037772208570713076,39,0.5258187134502924,0.08171379996351041,7.0,0.0,0.0,,,,4.0,0.4992325404583469,0.047695176055431575,,,,4.0,0.4968488500746565,0.047873433798999,4.0,0.5063411371237458,0.04653719934529898,,,,0.0,0.5097354497354497,0.03669051805993322,16.0,0.4934436531210725,0.03306964958632621,,,
29,12,0.5400966183574879,0.05743756996245425,,,,,,,26,0.5322575757575757,0.02135753190240741,8,0.5243565644881435,0.0405311987596043,10.0,0.0,0.0,,,,22.0,0.49864661654135334,0.05577561206533894,,,,20.0,0.49326191050328977,0.06592729417159146,0.0,0.5010331384015594,0.037308108261253976,,,,24.0,0.5,0.4472135954999579,21.0,0.2,0.4,,,
30,25,0.5392117074294932,0.031907543020039994,,,,,,,8,0.5320488721804512,0.0302164212035619,42,0.520915491342736,0.04497381308343304,,,,,,,26.0,0.49836778714198066,0.030894580958844224,,,,23.0,0.4930695970695971,0.03084493912828897,6.0,0.5007357859531772,0.074856163083745,,,,34.0,0.4880000000000001,0.0484886371121532,37.0,0.11428571428571428,0.22857142857142856,,,
31,48,0.5373046251993621,0.09779238442944332,,,,,,,18,0.5278571428571428,0.10700944074315716,16,0.5201680672268907,0.028047595408871646,,,,,,,6.0,0.49766191940104976,0.06205922438818535,,,,22.0,0.46923076923076923,0.07292200932155922,12.0,0.3333333333333333,0.4216370213557839,,,,15.0,0.4809377990430622,0.08174459098473741,34.0,0.1,0.20000000000000004,,,
32,34,0.5310182318541452,0.06359116937495046,,,,,,,35,0.515,0.14836142056178592,13,0.5141520467836257,0.050552029411053384,,,,,,,37.0,0.48658869395711496,0.029440351625148426,,,,19.0,0.3666666666666667,0.3231786571610886,26.0,0.15,0.30000000000000004,,,,36.0,0.4666666666666666,0.2449489742783178,19.0,0.06666666666666667,0.13333333333333333,,,
33,26,0.5250843328335832,0.05328369698519425,,,,,,,0,0.5101432880844645,0.031467643828154764,41,0.5079682539682541,0.031511128078247054,,,,,,,17.0,0.4,0.48989794855663565,,,,36.0,0.2,0.4000000000000001,31.0,0.0,0.0,,,,16.0,0.2,0.4,28.0,0.0,0.0,,,
34,8,0.5225885225885227,0.07643116548790994,,,,,,,15,0.5066263251712169,0.052793321151198475,24,0.5070140368412285,0.04574199719713217,,,,,,,30.0,0.38,0.3709447398198282,,,,35.0,0.1,0.20000000000000004,32.0,0.0,0.0,,,,11.0,0.0,0.0,27.0,0.0,0.0,,,
35,30,0.5225490196078431,0.05600691312302585,,,,,,,4,0.5036537267080745,0.0593297040466366,0,0.5065467968563944,0.03262685971457071,,,,,,,1.0,0.0,0.0,,,,28.0,0.0,0.0,23.0,0.0,0.0,,,,7.0,0.0,0.0,1.0,0.0,0.0,,,
36,28,0.5218968486710422,0.053461820830601074,,,,,,,21,0.5032729283079915,0.03846988880572646,33,0.4996731529340225,0.0408776098441411,,,,,,,18.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,17.0,0.0,0.0,,,
37,45,0.5200940860215054,0.045750800726771006,,,,,,,13,0.5012765478951438,0.06659069509732453,4,0.4992325404583469,0.047695176055431575,,,,,,,10.0,0.0,0.0,,,,10.0,0.0,0.0,15.0,0.0,0.0,,,,21.0,0.0,0.0,36.0,0.0,0.0,,,
38,0,0.5136896539992515,0.03427926396686889,,,,,,,6,0.49395821569734605,0.06125131581742868,22,0.49864661654135334,0.05577561206533894,,,,,,,7.0,0.0,0.0,,,,7.0,0.0,0.0,7.0,0.0,0.0,,,,25.0,0.0,0.0,7.0,0.0,0.0,,,
39,4,0.5018685264011351,0.038265577288734906,,,,,,,16,0.4933629547233552,0.03468776623340143,26,0.49836778714198066,0.030894580958844224,,,,,,,20.0,0.0,0.0,,,,38.0,0.0,0.0,20.0,0.0,0.0,,,,22.0,0.0,0.0,39.0,0.0,0.0,,,
40,6,0.49926957100870134,0.06672354932259011,,,,,,,49,0.49333333333333335,0.4165466493816882,6,0.49766191940104976,0.06205922438818535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,0.36,0.44542114902640173,,,,,,,46,0.3142857142857143,0.4080816244881629,37,0.48658869395711496,0.029440351625148426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,0.3,0.24494897427831783,,,,,,,33,0.27,0.3340658617698013,17,0.4,0.48989794855663565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,46,0.1,0.20000000000000004,,,,,,,29,0.0,0.0,30,0.38,0.3709447398198282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,39,0.0,0.0,,,,,,,1,0.0,0.0,20,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14,0.0,0.0,,,,,,,22,0.0,0.0,18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,0.0,0.0,,,,,,,20,0.0,0.0,7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,0.0,0.0,,,,,,,43,0.0,0.0,47,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,33,0.0,0.0,,,,,,,10,0.0,0.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,40,0.0,0.0,,,,,,,7,0.0,0.0,10,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
