parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
cv,3,5,7,9,11,13,13,11,9,7,5,3,20
iterations,50,50,50,50,50,50,20,20,20,20,20,20,20
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,
boost_from_average,True,True,False,True,True,True,False,True,False,True,True,True,True
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,
colsample_bytree,0.9726578989215571,0.542670909215001,0.8195791474493402,0.5901226566457334,0.7270863542537453,0.5,0.966433999423917,0.9358259642316076,0.6860105504871202,0.9717342963979234,0.542670909215001,0.8883315307012305,0.9358259642316076
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0002857327650115783,0.00034595398285792664,0.004,0.0005844847214570727,0.00054947383930679,0.002105962900069073,0.00046072618185865515,0.00021812144757174065,0.0006665701127739571,0.0005360310993414663,0.00034595398285792664,0.00015687648620109663,0.00021812144757174065
max_bin,229,535,939,100,100,1100,451,100,221,1100,535,122,100
max_depth,26,30,41,50,45,45,37,19,43,0,30,32,19
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,10,25,14,40,5,5,28,11,37,40,25,9,11
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3214,3284,3521,5000,4619,5000,3065,4000,3764,5000,3284,3840,4000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,13,13,5,7,20,5,5,11,6,17,13,13,11
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.7912085892811944,2.0971079350260653,0.0,1.2870315840862137,1.2887724982070243,0.0644701089620856,2.528382512601542,0.7405082488530242,2.235074972060449,0.0,2.0971079350260653,1.0405738369742652,0.7405082488530242
reg_lambda,2.255175557792889,3.999377729392895,3.1000089714358485,1.0,4.0,4.0,1.2336736874117697,2.1029071363740064,1.5239184697839265,1.3581441054112395,3.999377729392895,2.965086597584641,2.1029071363740064
scale_pos_weight,0.6687582453148475,0.6918843712902846,1.3277729716032272,1.1694859577125716,0.8638963708819523,0.7890708250825536,1.400292014625875,0.9283974730118987,1.1197044529266265,0.49303565238285185,0.6918843712902846,0.5169946183414793,0.9283974730118987
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7996662092991388,0.7540909792652624,1.0,1.0,0.5077932766993885,0.934361204149617,0.6843335166200109,0.7473968543326747,1.0,1.0,0.7540909792652624,0.8236310094653128,0.7473968543326747
subsample_for_bin,466825,500000,138517,100000,349391,500000,408795,481885,197659,274872,500000,500000,481885
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6563644688644689,0.6928571428571428,0.6404650904650904,0.6441697191697191,0.698051948051948,0.6638278388278388,0.6304029304029305,0.6563852813852814,0.6362773029439696,0.6321428571428571,0.6928571428571428,0.6555555555555556,0.6783333333333333
best_index,31.0,17.0,49.0,38.0,42.0,33.0,0.0,8.0,13.0,12.0,17.0,17.0,8.0
acc_train,0.9132947976878613,0.7514450867052023,1.0,0.8786127167630058,0.9710982658959537,0.9479768786127167,0.8439306358381503,0.930635838150289,0.8728323699421965,0.7283236994219653,0.7514450867052023,0.7283236994219653,0.930635838150289
acc_val,0.4,0.5,0.5666666666666667,0.6,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.43333333333333335,0.6,0.4,0.5,0.4666666666666667,0.43333333333333335
acc_test,0.625,0.65625,0.59375,0.46875,0.59375,0.59375,0.4375,0.59375,0.5625,0.5625,0.65625,0.59375,0.59375
train_precision,1.0,0.925,1.0,0.8333333333333334,0.9864864864864865,0.9722222222222222,0.7717391304347826,0.9452054794520548,0.8313253012048193,0.9166666666666666,0.925,1.0,0.9452054794520548
train_tn,96.0,93.0,96.0,82.0,95.0,94.0,75.0,92.0,82.0,93.0,93.0,96.0,92.0
train_fp,0.0,3.0,0.0,14.0,1.0,2.0,21.0,4.0,14.0,3.0,3.0,0.0,4.0
train_fn,15.0,40.0,0.0,7.0,4.0,7.0,6.0,8.0,8.0,44.0,40.0,47.0,8.0
train_tp,62.0,37.0,77.0,70.0,73.0,70.0,71.0,69.0,69.0,33.0,37.0,30.0,69.0
