parameter,value1
boosting_type,gbdt
class_weight,
colsample_bytree,0.5
importance_type,split
learning_rate,0.001
max_depth,-1
min_child_samples,20
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1300
n_jobs,-1
num_leaves,6
objective,binary
random_state,42
reg_alpha,0.0
reg_lambda,0.0
silent,warn
subsample,1
subsample_for_bin,200000
subsample_freq,0
metric,binary_logloss
scale_pos_weight,1.0
cv,
scoring,precision
num_col,110
best_score,0.6183838383838384
best_index,18.0
acc_train,0.9194630872483222
acc_val,0.631578947368421
acc_test,0.6595744680851063
precision,0.7222222222222222
recall,0.5416666666666666
f1score,0.619047619047619
roc,0.6621376811594203
tn,18.0
fp,5.0
fn,11.0
tp,13.0
acc_test1,0.7333333333333333
precision1,0.8571428571428571
recall1,0.6666666666666666
f1score1,0.75
roc1,0.75
tn1,5.0
fp1,1.0
fn1,3.0
tp1,6.0
acc_test2,0.6666666666666666
precision2,1.0
recall2,0.375
f1score2,0.5454545454545454
roc2,0.6875
tn2,7.0
fp2,0.0
fn2,5.0
tp2,3.0
acc_test3,0.5882352941176471
precision3,0.5
recall3,0.5714285714285714
f1score3,0.5333333333333333
roc3,0.5857142857142857
tn3,6.0
fp3,4.0
fn3,3.0
tp3,4.0
