parameter,value1,value2
cv,3,3
iterations,50,50
num_col,98,98
scoring,precision,accuracy
boost_from_average,True,True
boosting_type,dart,dart
class_weight,,
colsample_bytree,0.6000568421245674,0.6463049316342903
force_col_wise,true,true
importance_type,split,split
learning_rate,0.00014220821962091613,0.0002292682704579061
max_bin,780,511
max_depth,44,50
metric,binary_logloss,binary_logloss
min_child_samples,19,32
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,2169,2659
n_jobs,-1,-1
num_leaves,13,12
objective,binary,binary
random_state,42,42
reg_alpha,0.13143211015481662,3.1231152412622967
reg_lambda,4.823502953560004,5.0
scale_pos_weight,1.0030093195251475,1.2180384696842068
silent,warn,warn
subsample,0.31751717937863017,0.8799158160746033
subsample_for_bin,123375,464859
subsample_freq,0,0
verbose,0,0
best_score,0.6650241545893719,0.6753690753690753
best_index,3.0,48.0
acc_train,0.8071065989847716,0.7055837563451777
acc_val,0.74,0.68
acc_test,0.5,0.5
precision,0.3870967741935484,0.4
recall,0.5,0.5833333333333334
f1score,0.43636363636363634,0.4745762711864407
roc,0.5,0.5153508771929824
tn,19.0,17.0
fp,19.0,21.0
fn,12.0,10.0
tp,12.0,14.0
acc_test1,0.5,0.45
precision1,0.4166666666666667,0.38461538461538464
recall1,0.625,0.625
f1score1,0.5,0.4761904761904762
roc1,0.5208333333333333,0.4791666666666667
tn1,5.0,4.0
fp1,7.0,8.0
fn1,3.0,3.0
tp1,5.0,5.0
acc_test2,0.6,0.65
precision2,0.5,0.5454545454545454
recall2,0.625,0.75
f1score2,0.5555555555555556,0.631578947368421
roc2,0.6041666666666666,0.6666666666666666
tn2,7.0,7.0
fp2,5.0,5.0
fn2,3.0,2.0
tp2,5.0,6.0
acc_test3,0.4090909090909091,0.4090909090909091
precision3,0.2222222222222222,0.2727272727272727
recall3,0.25,0.375
f1score3,0.23529411764705882,0.3157894736842105
roc3,0.375,0.4017857142857143
tn3,7.0,6.0
fp3,7.0,8.0
fn3,6.0,5.0
tp3,2.0,3.0
