parameter,value1,value2,value3,value6,value7,value8
cv,3,3,3,3,3,3
iterations,50,50,80,80,80,80
num_col,98,98,98,98,98,98
scoring,precision,accuracy,precision,precision,precision,precision
boost_from_average,True,True,True,True,True,True
boosting_type,dart,dart,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,0.6000568421245674,0.6463049316342903,0.1362480225989656,0.005,0.44629467829583414,0.8708951077346616
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
learning_rate,0.00014220821962091613,0.0002292682704579061,0.0002135192347771785,0.003218548999609861,0.00012477884514222238,0.0010817251372806044
max_bin,780,511,301,100,839,588
max_depth,44,50,48,0,42,37
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,19,32,5,30,5,23
min_child_weight,0.001,0.001,0.001,4,7,4
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,2169,2659,4068,1237,2477,4483
n_jobs,-1,-1,-1,-1,-1,-1
num_leaves,13,12,12,12,11,5
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,0.13143211015481662,3.1231152412622967,2.2488515115927084,2.4245201714279045,5.0,5.0
reg_lambda,4.823502953560004,5.0,3.186686069363887,1.6740933445589268,3.765797955418744,2.3811594559658817
scale_pos_weight,1.0030093195251475,1.2180384696842068,0.9912015308980056,0.8545938485549711,1.4769072235646792,0.8964625820622436
silent,warn,warn,warn,warn,warn,warn
subsample,0.31751717937863017,0.8799158160746033,0.915239148378554,0.04262126495181424,0.4994202157673615,0.13829150861230155
subsample_for_bin,123375,464859,428290,100000,210759,481691
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.6650241545893719,0.6753690753690753,0.6990740740740741,0.7294685990338164,0.77,0.6771929824561403
best_index,3.0,48.0,63.0,33.0,40.0,55.0
acc_train,0.8071065989847716,0.7055837563451777,0.8629441624365483,0.7055837563451777,0.7411167512690355,0.8121827411167513
acc_val,0.74,0.68,0.64,0.6,0.64,0.66
acc_test,0.5,0.5,0.5483870967741935,0.6290322580645161,0.5645161290322581,0.532258064516129
precision,0.3870967741935484,0.4,0.3888888888888889,0.5454545454545454,0.42105263157894735,0.4074074074074074
recall,0.5,0.5833333333333334,0.2916666666666667,0.25,0.3333333333333333,0.4583333333333333
f1score,0.43636363636363634,0.4745762711864407,0.3333333333333333,0.34285714285714286,0.372093023255814,0.4313725490196078
roc,0.5,0.5153508771929824,0.5010964912280702,0.5592105263157895,0.5219298245614035,0.518640350877193
tn,19.0,17.0,27.0,33.0,27.0,22.0
fp,19.0,21.0,11.0,5.0,11.0,16.0
fn,12.0,10.0,17.0,18.0,16.0,13.0
tp,12.0,14.0,7.0,6.0,8.0,11.0
acc_test1,0.5,0.45,0.5,0.6,0.55,0.5
precision1,0.4166666666666667,0.38461538461538464,0.0,0.5,0.4,0.3333333333333333
recall1,0.625,0.625,0.0,0.125,0.25,0.25
f1score1,0.5,0.4761904761904762,0.0,0.2,0.3076923076923077,0.28571428571428575
roc1,0.5208333333333333,0.4791666666666667,0.4166666666666667,0.5208333333333334,0.5,0.4583333333333334
tn1,5.0,4.0,10.0,11.0,9.0,8.0
fp1,7.0,8.0,2.0,1.0,3.0,4.0
fn1,3.0,3.0,8.0,7.0,6.0,6.0
tp1,5.0,5.0,0.0,1.0,2.0,2.0
acc_test2,0.6,0.65,0.65,0.6,0.65,0.7
precision2,0.5,0.5454545454545454,0.5555555555555556,0.5,0.5714285714285714,0.6
recall2,0.625,0.75,0.625,0.375,0.5,0.75
f1score2,0.5555555555555556,0.631578947368421,0.5882352941176471,0.42857142857142855,0.5333333333333333,0.6666666666666665
roc2,0.6041666666666666,0.6666666666666666,0.6458333333333334,0.5625,0.625,0.7083333333333334
tn2,7.0,7.0,8.0,9.0,9.0,8.0
fp2,5.0,5.0,4.0,3.0,3.0,4.0
fn2,3.0,2.0,3.0,5.0,4.0,2.0
tp2,5.0,6.0,5.0,3.0,4.0,6.0
acc_test3,0.4090909090909091,0.4090909090909091,0.5,0.6818181818181818,0.5,0.4090909090909091
precision3,0.2222222222222222,0.2727272727272727,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.2727272727272727
recall3,0.25,0.375,0.25,0.25,0.25,0.375
f1score3,0.23529411764705882,0.3157894736842105,0.26666666666666666,0.36363636363636365,0.26666666666666666,0.3157894736842105
roc3,0.375,0.4017857142857143,0.4464285714285714,0.5892857142857143,0.4464285714285714,0.4017857142857143
tn3,7.0,6.0,9.0,13.0,9.0,6.0
fp3,7.0,8.0,5.0,1.0,5.0,8.0
fn3,6.0,5.0,6.0,6.0,6.0,5.0
tp3,2.0,3.0,2.0,2.0,2.0,3.0
