parameter,iter_1,iter_2
cv,5,5
iterations,2,3
num_col,98,98
scoring,precision,precision
boost_from_average,False,False
boosting_type,gbdt,gbdt
class_weight,,
colsample_bytree,0.966433999423917,0.966433999423917
force_col_wise,true,true
importance_type,split,split
learning_rate,0.00046072618185865515,0.00046072618185865515
max_bin,416,416
max_depth,37,37
metric,binary_logloss,binary_logloss
min_child_samples,28,28
min_child_weight,0.001,0.001
min_split_gain,0.0,0.0
n_estimators,3065,3065
n_jobs,-1,-1
num_leaves,5,5
objective,binary,binary
random_state,42,42
reg_alpha,2.528382512601542,1.264191256300771
reg_lambda,0.31156491654902624,0.15578245827451312
scale_pos_weight,1.400292014625875,1.400292014625875
silent,warn,warn
subsample,0.6843335166200109,0.6843335166200109
subsample_for_bin,408795,408795
subsample_freq,0,0
verbose,0,0
best_score,0.511686683422695,0.5374671953924652
best_index,0.0,0.0
acc_train,0.7984496124031008,0.8217054263565892
acc_val,0.3684210526315789,0.2631578947368421
acc_test,0.625,0.5625
train_precision,0.7171052631578947,0.7465753424657534
train_tn,97.0,103.0
train_fp,43.0,37.0
train_fn,9.0,9.0
train_tp,109.0,109.0
val_precision,0.3333333333333333,0.25
val_tn,3.0,2.0
val_fp,8.0,9.0
val_fn,4.0,5.0
val_tp,4.0,3.0
test_precision,0.6666666666666666,0.6
recall,0.5882352941176471,0.5294117647058824
f1score,0.625,0.5625
roc,0.627450980392157,0.5647058823529412
test_tn,10.0,9.0
test_fp,5.0,6.0
test_fn,7.0,8.0
test_tp,10.0,9.0
