parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,True,True,True,False,True,True
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.5818035893192751,0.5818035893192751,0.9358259642316076,0.5031149502865094,0.5308224539468955,0.8583041520856545
cv,5,5,5,5,5,5
cv,5,5,5,5,5,5
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true']
force_col_wise,true,true,true,true,true,true
importance_type,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,10,10,20,20,20
iterations,50,10,10,20,20,20
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
learning_rate,0.0003952711851453308,0.0003952711851453308,0.00021812144757174065,0.0011741973471009561,0.00025798275841886544,0.00014353421391947543
max_bin,513,513,100,560,244,100
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,27,27,19,38,50,22
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,25,25,11,28,22,7
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,3232,3232,4000,3721,3815,4148
n_jobs,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98
num_col,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,13,13,11,12,8,12
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_alpha,1.9926933510296294,1.9926933510296294,0.3702541244265121,2.0,1.5077757260161508,0.740871910664885
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,3.8726966959629308,3.8726966959629308,0.7352714242493378,1.551576812133795,1.7933947889128516,0.5654138499452063
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.6684512344586391,0.6684512344586391,0.9283974730118987,0.5446676229556037,0.5947429082181241,1.1058001937648818
scoring,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.6487712293279236,0.6487712293279236,0.7473968543326747,0.561421166988404,0.7479715687650645,0.5370473057144918
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 1000000)","(100000, 400000)"
subsample_for_bin,477471,477471,481885,500000,419841,375101
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.8,0.8,0.5898412698412698,0.6320634920634921,0.6,0.6394117647058823
best_index,5.0,5.0,8.0,13.0,15.0,16.0
acc_train,0.669260700389105,0.669260700389105,0.9027237354085603,0.8132295719844358,0.6614785992217899,0.8754863813229572
acc_val,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5789473684210527
acc_test,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
train_precision,1.0,1.0,0.9878048780487805,1.0,1.0,1.0
train_tn,152.0,152.0,151.0,152.0,152.0,152.0
train_fp,0.0,0.0,1.0,0.0,0.0,0.0
train_fn,85.0,85.0,24.0,48.0,87.0,32.0
train_tp,20.0,20.0,81.0,57.0,18.0,73.0
val_precision,1.0,1.0,1.0,1.0,0.0,1.0
val_tn,8.0,8.0,8.0,8.0,8.0,8.0
val_fp,0.0,0.0,0.0,0.0,0.0,0.0
val_fn,10.0,10.0,8.0,9.0,11.0,8.0
val_tp,1.0,1.0,3.0,2.0,0.0,3.0
test_precision,0.0,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0,0.0
f1score,0.0,0.0,0.0,0.0,0.0,0.0
roc,0.5,0.5,0.5,0.5,0.5,0.5
test_tn,8.0,8.0,8.0,8.0,8.0,8.0
test_fp,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,9.0,9.0,9.0,9.0,9.0,9.0
test_tp,0.0,0.0,0.0,0.0,0.0,0.0
