parameter,value1,value2,value4,value5
boosting_type,goss,goss,gbdt,gbdt
class_weight,,,,
colsample_bytree,0.5015020365607495,0.3654327026021899,0.005,0.005
importance_type,split,split,split,split
learning_rate,0.0008935887340296632,0.0014458317106968825,0.0005,0.0005
max_depth,3,30,13,13
min_child_samples,11,23,5,5
min_child_weight,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0
n_estimators,1070,1314,1721,1721
n_jobs,-1,-1,-1,-1
num_leaves,9,7,11,11
objective,binary,binary,binary,binary
random_state,,,,
reg_alpha,2.2,2.4000000000000004,0.0,0.0
reg_lambda,2.6,2.4000000000000004,0.2,0.2
silent,warn,warn,warn,warn
subsample,0.08532107526802597,0.3525162353863268,0.01,0.01
subsample_for_bin,209797,287406,450323,450323
subsample_freq,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss
verbose,1,1,1,1
boost_from_average,True,True,True,True
force_col_wise,true,true,true,true
cv,5,5,5,5
scoring,precision,precision,precision,precision
num_col,110,110,96,96
iterations,10,10,50,40
best_score,0.6973015873015873,0.6892063492063492,0.8666666666666666,0.8666666666666666
best_index,7.0,6.0,31.0,31.0
acc_train,0.8333333333333334,0.8177083333333334,0.8333333333333334,0.8333333333333334
acc_val,0.6875,0.7083333333333334,0.5833333333333334,0.5833333333333334
acc_test,0.5833333333333334,0.6,0.45,0.45
precision,0.7777777777777778,0.7619047619047619,1.0,1.0
recall,0.4,0.45714285714285713,0.05714285714285714,0.05714285714285714
f1score,0.5283018867924528,0.5714285714285714,0.1081081081081081,0.1081081081081081
roc,0.62,0.6285714285714286,0.5285714285714286,0.5285714285714286
tn,21.0,20.0,25.0,25.0
fp,4.0,5.0,0.0,0.0
fn,21.0,19.0,33.0,33.0
tp,14.0,16.0,2.0,2.0
acc_test1,0.65,0.7,0.45,0.45
precision1,1.0,1.0,1.0,1.0
recall1,0.4166666666666667,0.5,0.08333333333333333,0.08333333333333333
f1score1,0.5882352941176471,0.6666666666666666,0.15384615384615385,0.15384615384615385
roc1,0.7083333333333334,0.75,0.5416666666666666,0.5416666666666666
tn1,8.0,8.0,8.0,8.0
fp1,0.0,0.0,0.0,0.0
fn1,7.0,6.0,11.0,11.0
tp1,5.0,6.0,1.0,1.0
acc_test2,0.65,0.65,0.55,0.55
precision2,0.7142857142857143,0.7142857142857143,1.0,1.0
recall2,0.5,0.5,0.1,0.1
f1score2,0.588235294117647,0.588235294117647,0.18181818181818182,0.18181818181818182
roc2,0.6500000000000001,0.6500000000000001,0.55,0.55
tn2,8.0,8.0,10.0,10.0
fp2,2.0,2.0,0.0,0.0
fn2,5.0,5.0,9.0,9.0
tp2,5.0,5.0,1.0,1.0
acc_test3,0.45,0.45,0.35,0.35
precision3,0.6666666666666666,0.625,0.0,0.0
recall3,0.3076923076923077,0.38461538461538464,0.0,0.0
f1score3,0.42105263157894735,0.4761904761904762,0.0,0.0
roc3,0.510989010989011,0.478021978021978,0.5,0.5
tn3,5.0,4.0,7.0,7.0
fp3,2.0,3.0,0.0,0.0
fn3,9.0,8.0,13.0,13.0
tp3,4.0,5.0,0.0,0.0
