parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14
boosting_type,dart,dart,dart,gbdt,dart,dart,dart,gbdt,dart,dart,dart,dart,dart,dart
class_weight,,,,,,,,,,,,,,
colsample_bytree,0.6000568421245674,0.3119007015088166,0.6057131717876237,0.13825697539688842,0.005,1.0,1.0,0.0783720262974278,1.0,0.7248200364713673,1.0,0.3501289276030342,1.0,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0006885907876058295,0.0020283184855595915,0.0001,0.004,0.004,0.004,0.004,0.004,0.004,0.0028343001447278383,0.004,0.004,0.004,0.004
max_depth,38,4,48,36,42,10,50,4,10,50,50,43,10,8
min_child_samples,37,5,8,6,11,13,5,5,13,5,5,5,13,5
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1854,4000,1671,2455,4000,3424,4000,2548,3424,2865,4000,1769,3424,2390
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,7,9,7,3,15,10,3,6,10,14,3,3,10,8
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,,,,,,,,42,,42,,,,
reg_alpha,1.2000000000000002,0.0,0.7000000000000001,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
reg_lambda,0.0,0.0,1.4000000000000001,1.2000000000000002,1.5,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,5.9,0.0,1.5,0.6000000000000001,1.6
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.005,0.6509102585105414,0.24563876380293764,0.8586076956228279,1.0,0.005,0.37917294195503176,1.0,1.0,0.005,0.005,1.0,1.0
subsample_for_bin,225635,100000,300549,100000,165264,100000,500000,214103,100000,417639,500000,500000,100000,101511
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
