parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
boost_from_average,False,False,True,False,True,True,True,True,True,True,True,True,False
boosting_type,"['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']","['gbdt', 'dart']"
boosting_type,dart,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,
colsample_bytree,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
colsample_bytree,0.7222533150772749,0.7361236874419983,1.0,0.5,0.5818035893192751,0.5818035893192751,0.5,1.0,0.5764667324007355,0.9315116554791094,0.5,0.781795749549733,0.5856806103002075
cv,5,5,5,5,5,5,5,5,5,5,5,5,5
cv,5,5,5,5,5,5,5,5,5,5,5,5,5
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,50,50,100,100,10,10,50,100,100,100,100,100,100
iterations,50,50,100,100,10,10,50,100,100,100,100,100,100
learning_rate,0.004,0.0010053253873572488,0.0004016257877649159,0.0003493012163380964,0.0003952711851453308,0.0003952711851453308,0.0004152824201108888,0.0004016257877649159,0.0022484215665340645,0.004,0.004,0.004,0.00019036645500776432
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,841,815,472,619,513,513,929,472,688,250,100,1000,375
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)"
max_depth,34,11,2,12,27,27,7,2,18,37,0,20,7
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
