parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17
cv,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3
iterations,50,50,50,50,50,50,70,30,30,30,30,30,30,30,30,30,30
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
boost_from_average,False,True,True,True,True,False,True,True,False,False,False,True,True,True,False,True,True
boosting_type,dart,gbdt,gbdt,gbdt,dart,dart,gbdt,gbdt,gbdt,dart,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt,gbdt
class_weight,,,,,,,,,,,,,,,,,
colsample_bytree,0.5,0.7921075287214996,0.5467154291294287,0.679511465960702,0.799023538756064,0.5249207387708635,0.7921075287214996,0.7921075287214996,0.5,0.53836812484344,0.7655751739485489,0.7921075287214996,0.760850466908284,0.8644941821577641,0.5524295792763518,0.5818035893192751,0.5573603993456514
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
learning_rate,0.0002823792262234929,0.0001558118705655784,0.002094169885934182,0.0008966376442750347,0.00014220821962091613,0.00015620078234673744,0.0001558118705655784,0.0001558118705655784,0.0010533124032371447,0.000717902174202648,0.0002504165428762264,0.0001558118705655784,0.000618775047788228,0.0007788375252911158,0.0005330882335306452,0.0003952711851453308,0.001039702522575125
max_bin,1000,681,295,684,780,765,681,681,1000,1067,298,681,585,100,240,513,544
max_depth,0,0,27,21,44,12,0,0,50,35,13,0,50,44,38,27,27
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,7,32,10,27,19,9,32,32,38,14,5,32,14,25,39,30,18
min_child_weight,0.001,0.001,0.001,9.242889400115411,3.4166158252842624,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,700,1716,4962,3529,5976,6930,1716,1716,1955,700,4937,1716,2759,5048,5132,4410,5259
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,3,11,14,13,13,9,11,11,3,14,10,11,20,3,9,13,13
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,0.0,0.2635697990115636,0.9370311284624093,1.9294011814240015,0.7679053488893182,0.0,0.0,4.0,0.6797316347066561,3.3492516104859114,0.0,0.9370188330122098,1.351156849481638,2.038204453073899,1.9926933510296294,1.4997075687319672
