parameter,iter_1,iter_2,iter_3,iter_4,iter_5
cv,5,5,5,5,5
iterations,50,50,50,50,50
num_col,98,98,98,98,98
scoring,precision,precision,precision,precision,precision
boost_from_average,True,False,False,True,True
boosting_type,dart,dart,gbdt,dart,gbdt
class_weight,,,,,
colsample_bytree,0.878918939430996,1.0,0.5689031445396454,0.9584000629983926,0.5174175122611694
force_col_wise,true,true,true,true,true
importance_type,split,split,split,split,split
learning_rate,0.00014314355971442426,0.0010320598372713572,0.0008645756670506455,0.0021468903491277187,0.0005555590123864938
max_bin,193,619,202,798,689
max_depth,48,40,0,4,30
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,40,39,11,20
min_child_weight,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0
n_estimators,3876,5249,4934,6762,4529
n_jobs,-1,-1,-1,-1,-1
num_leaves,18,5,4,15,13
objective,binary,binary,binary,binary,binary
random_state,42,42,42,42,42
reg_alpha,0.8485990585677545,0.7038517453827727,1.4150031950598263,1.7072990845675726,0.9420555300468922
reg_lambda,3.6612016301796113,4.95607817735891,1.2933751957783024,2.933017724836499,5.0
scale_pos_weight,0.5958418659875275,0.6934515255215374,0.4451020244218028,0.38026135806055394,0.46864469772375816
silent,warn,warn,warn,warn,warn
subsample,0.5537689320277653,0.03424326081322833,0.9764339805081201,1.0,0.7662677694043207
subsample_for_bin,495446,100000,100000,500000,491074
subsample_freq,0,0,0,0,0
verbose,0,0,0,0,0
best_score,0.7210012210012209,0.6861904761904762,0.6866666666666666,0.7116666666666667,0.7833333333333333
best_index,32.0,34.0,37.0,19.0,14.0
acc_train,0.8054474708171206,0.7509727626459144,0.7198443579766537,0.8521400778210116,0.7392996108949417
acc_val,0.5789473684210527,0.631578947368421,0.631578947368421,0.631578947368421,0.6842105263157895
acc_test,0.391304347826087,0.43478260869565216,0.34782608695652173,0.391304347826087,0.34782608695652173
train_precision,0.9846153846153847,0.8356164383561644,1.0,1.0,1.0
train_tn,143.0,132.0,144.0,144.0,144.0
train_fp,1.0,12.0,0.0,0.0,0.0
train_fn,49.0,52.0,72.0,38.0,67.0
train_tp,64.0,61.0,41.0,75.0,46.0
val_precision,0.42857142857142855,0.5,0.0,0.0,1.0
val_tn,8.0,10.0,12.0,12.0,12.0
val_fp,4.0,2.0,0.0,0.0,0.0
val_fn,4.0,5.0,7.0,7.0,6.0
val_tp,3.0,2.0,0.0,0.0,1.0
test_precision,0.6666666666666666,0.75,0.0,0.6666666666666666,0.5
recall,0.13333333333333333,0.2,0.0,0.13333333333333333,0.06666666666666667
f1score,0.2222222222222222,0.31578947368421056,0.0,0.2222222222222222,0.11764705882352941
roc,0.5041666666666667,0.5375,0.5,0.5041666666666667,0.4708333333333333
test_tn,7.0,7.0,8.0,7.0,7.0
test_fp,1.0,1.0,0.0,1.0,1.0
test_fn,13.0,12.0,15.0,13.0,14.0
test_tp,2.0,3.0,0.0,2.0,1.0
