date,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-28,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,1.38%,2.014878975,-0.57%,-1.071667783,2.12%,1.938096616,-26.41%,-21.12676056,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,0.45%,0.454132607,0.18%,0.179856115,nan%,,nan%,,-0.03%,0.005060942,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,1.38%,2.014878975,-0.57%,-1.071667783,2.12%,1.938096616,-26.41%,-21.12676056,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,0.45%,0.454132607,0.18%,0.179856115,nan%,,nan%,,-0.03%,0.005060942,,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,0,0,0,0,0,0,0,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,#VALUE!,0,0,0,0,0,#VALUE!,0,#VALUE!,0,0,0
2021-12-29,0.26%,,0.29%,,0.12%,,-0.43%,,-0.56%,,-0.08%,,-1.17%,,-0.10%,1.281904786,0.47%,-0.134589502,7.25%,9.518980006,8.93%,-19.84231275,-0.79%,,0.54%,,0.05%,,-0.11%,,-0.28%,,0.12%,,0.51%,,0.93%,,0.63%,,-0.59%,,-0.29%,,0.56%,,0.10%,,-0.83%,,-0.17%,,0.00%,,-0.79%,,0.31%,,0.19%,,-0.73%,,-0.03%,,-0.72%,-0.272479564,0.66%,0.839328537,1.59%,,0.69%,,0.21%,0.17706726,,0.26%,,0.29%,,0.12%,,-0.43%,,-0.56%,,-0.08%,,-1.17%,,-0.10%,1.281904786,0.47%,-0.134589502,7.25%,9.518980006,8.93%,-19.84231275,-0.79%,,0.54%,,0.05%,,-0.11%,,-0.28%,,0.12%,,0.51%,,0.93%,,0.63%,,-0.59%,,-0.29%,,0.56%,,0.10%,,-0.83%,,-0.17%,,0.00%,,-0.79%,,0.31%,,0.19%,,-0.73%,,-0.03%,,-0.72%,-0.272479564,0.66%,0.839328537,1.59%,,0.69%,,0.21%,0.17706726,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-30,0.25%,0.513051777,0.27%,0.561114489,-0.29%,-0.166513368,0.02%,-0.41968599,-0.10%,-0.661825467,0.13%,0.047048983,0.18%,-0.994177809,0.14%,0.03902997,4.87%,5.348679756,-0.52%,6.696935301,-16.39%,-8.928571429,-3.36%,-4.128956616,0.76%,1.310040847,-0.07%,-0.018384421,-0.63%,-0.745780735,0.60%,0.314749515,0.14%,0.254110331,0.16%,0.675272619,0.51%,1.448910115,0.42%,1.048890299,0.07%,-0.518103329,-0.31%,-0.591775846,0.43%,0.986689895,0.18%,0.27807161,-0.64%,-1.464402971,-0.25%,-0.420722388,0.02%,0.02151314,-0.06%,-0.85174702,-0.07%,0.243492363,0.08%,0.270276198,0.41%,-0.32490007,-0.02%,-0.04516868,-0.73%,-1.446654611,-0.36%,0.299222023,0.06%,1.650259425,-0.89%,-0.208698294,-0.29%,-0.076753739,,0.25%,0.513051777,0.27%,0.561114489,-0.29%,-0.166513368,0.02%,-0.41968599,-0.10%,-0.661825467,0.13%,0.047048983,0.18%,-0.994177809,0.14%,0.03902997,4.87%,5.348679756,-0.52%,6.696935301,-16.39%,-8.928571429,-3.36%,-4.128956616,0.76%,1.310040847,-0.07%,-0.018384421,-0.63%,-0.745780735,0.60%,0.314749515,0.14%,0.254110331,0.16%,0.675272619,0.51%,1.448910115,0.42%,1.048890299,0.07%,-0.518103329,-0.31%,-0.591775846,0.43%,0.986689895,0.18%,0.27807161,-0.64%,-1.464402971,-0.25%,-0.420722388,0.02%,0.02151314,-0.06%,-0.85174702,-0.07%,0.243492363,0.08%,0.270276198,0.41%,-0.32490007,-0.02%,-0.04516868,-0.73%,-1.446654611,-0.36%,0.299222023,0.06%,1.650259425,-0.89%,-0.208698294,-0.29%,-0.076753739,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,-0.25%,-0.000364887,-0.25%,0.024805689,0.04%,-0.248439274,-0.37%,-0.350254731,-0.16%,-0.254472624,-0.26%,-0.130794182,-1.18%,-1.005711224,-0.30%,-0.159411327,-3.21%,1.549865229,-2.89%,-3.386691361,-9.80%,-24.59016393,2.24%,-1.19726899,0.56%,1.329289895,-0.26%,-0.324649712,-0.68%,-1.303688081,0.16%,0.760702774,-0.38%,-0.242069112,-0.39%,-0.228423081,0.34%,0.85686089,-0.32%,0.09772599,-0.68%,-0.604712544,0.11%,-0.19167982,-0.37%,0.061764394,-0.53%,-0.351888984,0.79%,0.141602505,0.15%,-0.099290572,-0.47%,-0.456138397,-0.50%,-0.565924779,-0.35%,-0.417453971,-0.19%,-0.107911061,0.51%,0.922036986,-0.35%,-0.368996355,,,,,,,,,,,,-0.25%,-0.000364887,-0.25%,0.024805689,0.04%,-0.248439274,-0.37%,-0.350254731,-0.16%,-0.254472624,-0.26%,-0.130794182,-1.18%,-1.005711224,-0.30%,-0.159411327,-3.21%,1.549865229,-2.89%,-3.386691361,-9.80%,-24.59016393,2.24%,-1.19726899,0.56%,1.329289895,-0.26%,-0.324649712,-0.68%,-1.303688081,0.16%,0.760702774,-0.38%,-0.242069112,-0.39%,-0.228423081,0.34%,0.85686089,-0.32%,0.09772599,-0.68%,-0.604712544,0.11%,-0.19167982,-0.37%,0.061764394,-0.53%,-0.351888984,0.79%,0.141602505,0.15%,-0.099290572,-0.47%,-0.456138397,-0.50%,-0.565924779,-0.35%,-0.417453971,-0.19%,-0.107911061,0.51%,0.922036986,-0.35%,-0.368996355,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,-0.16%,-0.411986226,-0.18%,-0.426046563,-0.39%,-0.347142771,-0.67%,-1.029380552,-0.61%,-0.769049285,-0.29%,-0.543421465,-0.15%,-1.329720442,-0.26%,-0.560810839,0.35%,-2.827763496,0.52%,-2.380319149,15.22%,3.921568627,-0.63%,1.59291173,-2.31%,-1.763320947,-0.13%,-0.389230285,0.25%,-0.426333202,-0.39%,-0.233041571,-0.29%,-0.666028296,0.44%,0.048069116,0.33%,0.669817281,0.71%,0.381764808,-0.49%,-1.161629671,-1.21%,-1.098170119,0.47%,0.100166472,0.09%,-0.438262762,-0.26%,0.523565606,-0.59%,-0.443443602,0.29%,-0.181426311,-0.70%,-1.19752703,0.44%,0.0922819,-0.62%,-0.804664035,-0.86%,-0.357575561,-0.06%,-0.414252492,,,,,,,,,,,,-0.16%,-0.411986226,-0.18%,-0.426046563,-0.39%,-0.347142771,-0.67%,-1.029380552,-0.61%,-0.769049285,-0.29%,-0.543421465,-0.15%,-1.329720442,-0.26%,-0.560810839,0.35%,-2.827763496,0.52%,-2.380319149,15.22%,3.921568627,-0.63%,1.59291173,-2.31%,-1.763320947,-0.13%,-0.389230285,0.25%,-0.426333202,-0.39%,-0.233041571,-0.29%,-0.666028296,0.44%,0.048069116,0.33%,0.669817281,0.71%,0.381764808,-0.49%,-1.161629671,-1.21%,-1.098170119,0.47%,0.100166472,0.09%,-0.438262762,-0.26%,0.523565606,-0.59%,-0.443443602,0.29%,-0.181426311,-0.70%,-1.19752703,0.44%,0.0922819,-0.62%,-0.804664035,-0.86%,-0.357575561,-0.06%,-0.414252492,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,0.68%,0.51370973,0.63%,0.451902676,0.65%,0.257389913,1.01%,0.33626999,1.20%,0.579613691,0.58%,0.288124051,2.05%,1.902306933,0.64%,0.373111684,8.26%,8.267195767,5.68%,5.68042501,12.90%,18.86792453,-3.60%,-4.212345906,1.16%,-1.181966564,1.24%,1.112321601,3.10%,3.355623729,-0.98%,-1.369952478,2.76%,2.460660319,-0.82%,-0.386070315,-0.94%,-0.617877208,-0.01%,0.69965526,1.02%,0.531851621,0.56%,-0.661105215,-1.37%,-0.910080307,1.55%,1.650906824,-0.66%,-0.927168625,2.65%,2.046301389,0.04%,0.330845614,0.77%,0.061189028,-0.36%,0.077749248,0.00%,-0.616151288,0.70%,-0.170649897,2.62%,2.562357756,3.12%,2.367941712,-0.24%,-0.594530321,0.58%,0.636537358,-0.52%,-1.41015575,0.39%,0.106894259,,0.68%,0.51370973,0.63%,0.451902676,0.65%,0.257389913,1.01%,0.33626999,1.20%,0.579613691,0.58%,0.288124051,2.05%,1.902306933,0.64%,0.373111684,8.26%,8.267195767,5.68%,5.68042501,12.90%,18.86792453,-3.60%,-4.212345906,1.16%,-1.181966564,1.24%,1.112321601,3.10%,3.355623729,-0.98%,-1.369952478,2.76%,2.460660319,-0.82%,-0.386070315,-0.94%,-0.617877208,-0.01%,0.69965526,1.02%,0.531851621,0.56%,-0.661105215,-1.37%,-0.910080307,1.55%,1.650906824,-0.66%,-0.927168625,2.65%,2.046301389,0.04%,0.330845614,0.77%,0.061189028,-0.36%,0.077749248,0.00%,-0.616151288,0.70%,-0.170649897,2.62%,2.562357756,3.12%,2.367941712,-0.24%,-0.594530321,0.58%,0.636537358,-0.52%,-1.41015575,0.39%,0.106894259,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,0.59%,1.269590615,0.60%,1.239441285,0.07%,0.712394986,-1.27%,-0.275722623,-1.33%,-0.142218236,-0.04%,0.541136913,-0.45%,1.592178729,-0.06%,0.574044623,0.75%,9.060846561,-2.05%,3.51450756,36.51%,54.1218638,1.87%,-1.800229258,1.20%,2.366704961,2.60%,3.879766259,3.46%,6.661305841,-1.38%,-2.348653482,-0.67%,2.067963962,2.03%,1.192230116,-0.32%,-1.261993469,0.47%,0.463589562,-1.14%,-0.129930805,-0.33%,0.2243067,1.30%,-0.084261795,2.25%,3.841428009,-0.68%,-1.335385771,-1.45%,1.159647833,0.99%,1.024576246,-1.32%,-0.565176457,1.69%,1.316920218,-1.52%,-1.515700275,-2.46%,-1.779043165,3.39%,6.103457866,-0.39%,6.390804598,0.29%,2.694610778,-0.22%,0.351148794,0.39%,-0.135304256,0.38%,0.802215563,,0.59%,1.269590615,0.60%,1.239441285,0.07%,0.712394986,-1.27%,-0.275722623,-1.33%,-0.142218236,-0.04%,0.541136913,-0.45%,1.592178729,-0.06%,0.574044623,0.75%,9.060846561,-2.05%,3.51450756,36.51%,54.1218638,1.87%,-1.800229258,1.20%,2.366704961,2.60%,3.879766259,3.46%,6.661305841,-1.38%,-2.348653482,-0.67%,2.067963962,2.03%,1.192230116,-0.32%,-1.261993469,0.47%,0.463589562,-1.14%,-0.129930805,-0.33%,0.2243067,1.30%,-0.084261795,2.25%,3.841428009,-0.68%,-1.335385771,-1.45%,1.159647833,0.99%,1.024576246,-1.32%,-0.565176457,1.69%,1.316920218,-1.52%,-1.515700275,-2.46%,-1.779043165,3.39%,6.103457866,-0.39%,6.390804598,0.29%,2.694610778,-0.22%,0.351148794,0.39%,-0.135304256,0.38%,0.802215563,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,-1.07%,-0.486398616,-1.05%,-0.449869702,-0.10%,-0.030141386,-3.13%,-4.361408511,-3.34%,-4.627292026,-1.92%,-1.95361471,-3.22%,-3.658847905,-1.94%,-2.001017396,3.09%,3.84850336,9.17%,6.934777004,5.81%,44.44444444,16.68%,18.8554162,1.12%,2.326493954,-1.25%,1.321929124,-0.07%,3.382057501,-0.71%,-2.08191899,-2.64%,-3.296341593,-0.96%,1.054539266,-0.05%,-0.371921593,-0.03%,0.437514087,-3.13%,-4.236495328,-2.94%,-3.260582583,-0.08%,1.222810692,-0.54%,1.702998425,-3.04%,-3.690593728,-2.94%,-4.347057552,-1.59%,-0.614412135,-3.77%,-5.038844826,-2.08%,-0.428925324,-1.32%,-2.8140058,-3.86%,-6.224146889,-1.08%,2.269881182,2.64%,2.238484718,4.55%,4.85380117,-2.14%,-2.355943617,-1.18%,-0.795255736,0.06%,0.435875943,,-1.07%,-0.486398616,-1.05%,-0.449869702,-0.10%,-0.030141386,-3.13%,-4.361408511,-3.34%,-4.627292026,-1.92%,-1.95361471,-3.22%,-3.658847905,-1.94%,-2.001017396,3.09%,3.84850336,9.17%,6.934777004,5.81%,44.44444444,16.68%,18.8554162,1.12%,2.326493954,-1.25%,1.321929124,-0.07%,3.382057501,-0.71%,-2.08191899,-2.64%,-3.296341593,-0.96%,1.054539266,-0.05%,-0.371921593,-0.03%,0.437514087,-3.13%,-4.236495328,-2.94%,-3.260582583,-0.08%,1.222810692,-0.54%,1.702998425,-3.04%,-3.690593728,-2.94%,-4.347057552,-1.59%,-0.614412135,-3.77%,-5.038844826,-2.08%,-0.428925324,-1.32%,-2.8140058,-3.86%,-6.224146889,-1.08%,2.269881182,2.64%,2.238484718,4.55%,4.85380117,-2.14%,-2.355943617,-1.18%,-0.795255736,0.06%,0.435875943,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,-0.47%,-1.530394206,-0.46%,-1.505112474,0.15%,0.054006609,-0.05%,-3.174968895,-0.13%,-3.468406171,-0.11%,-2.022260542,0.75%,-2.493388898,-0.10%,-2.033778794,1.66%,4.790782292,5.30%,14.96249507,10.99%,17.44186047,-0.61%,15.96688816,2.07%,3.208210533,1.55%,0.278411998,2.29%,2.215573495,-1.21%,-1.90929,-0.33%,-2.962766946,0.45%,-0.510141569,-1.05%,-1.09990581,-0.21%,-0.23876296,-0.48%,-3.596615436,0.35%,-2.596236871,-1.24%,-1.316006492,3.77%,3.213991512,-0.21%,-3.239055483,-0.37%,-3.296120215,0.62%,-0.976734376,-0.14%,-3.904996027,0.07%,-2.009656954,0.67%,-0.658123591,-0.04%,-3.8983257,3.25%,2.131303469,4.46%,7.216940363,4.68%,9.44606414,-2.90%,-4.978388683,-1.13%,-2.298576266,0.56%,0.622969712,,-0.47%,-1.530394206,-0.46%,-1.505112474,0.15%,0.054006609,-0.05%,-3.174968895,-0.13%,-3.468406171,-0.11%,-2.022260542,0.75%,-2.493388898,-0.10%,-2.033778794,1.66%,4.790782292,5.30%,14.96249507,10.99%,17.44186047,-0.61%,15.96688816,2.07%,3.208210533,1.55%,0.278411998,2.29%,2.215573495,-1.21%,-1.90929,-0.33%,-2.962766946,0.45%,-0.510141569,-1.05%,-1.09990581,-0.21%,-0.23876296,-0.48%,-3.596615436,0.35%,-2.596236871,-1.24%,-1.316006492,3.77%,3.213991512,-0.21%,-3.239055483,-0.37%,-3.296120215,0.62%,-0.976734376,-0.14%,-3.904996027,0.07%,-2.009656954,0.67%,-0.658123591,-0.04%,-3.8983257,3.25%,2.131303469,4.46%,7.216940363,4.68%,9.44606414,-2.90%,-4.978388683,-1.13%,-2.298576266,0.56%,0.622969712,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
