,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-21,-2.04%,-2.04461,-0.60%,-0.5988,-1.07,,-1.81,,+0.15%,0.27312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-22,-0.62%,-2.6487,-0.90%,-1.49701,0.61,,0.41,,+0.10%,0.25006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-23,2.53%,1.89753,1.16%,0.24096,0.35,0.97122,0.32,0.72494,-0.04%,0.05717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,3.12%,5.72792,2.70%,3.89058,0.32,0.67329,0.46,0.77781,-0.39%,-0.43001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-27,-0.23%,2.88641,-1.87%,0.78125,0.41,0.72891,0.48,0.93651,+0.04%,-0.35456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-28,0.45%,0.45413,0.18%,0.17986,0.39,0.80234,-0.43,0.04603,-0.03%,0.00506,nan%,,0.97,1.53233,0.08,0.01041,1.6,2.41346,nan%,,1.41,2.05399,nan%,,+1.38%,2.01488,-1.03,1.65175,1.94,6.01504,-21.13,-21.12676,nan%,,2.41,3.86201,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
2021-12-29,-0.72%,-0.27248,0.66%,0.83933,1.59,1.98725,0.69,0.25926,+0.21%,0.17707,0.26%,,0.29,1.25586,0.11,0.18746,-0.43,1.15958,-0.56%,,-0.08,1.33065,-1.17%,,-0.10%,1.2819,0.47,-0.60281,7.25,9.40666,8.93,-14.08451,-0.79%,,0.54,2.96788,0.05%,,-0.11%,,-0.28%,,0.12%,,0.51%,,0.93%,,0.63%,,-0.59%,,-0.29%,,0.56%,,0.10%,,-0.83%,,-0.17%,,0.00%,,-0.79%,,0.31%,,0.19%,,-0.73%,,-0.03%,
2021-12-30,-0.73%,-1.44665,-0.36%,0.29922,0.06,1.65025,-0.89,-0.2087,-0.29%,-0.07675,0.25%,0.51305,0.27,0.56111,-0.28,-0.16651,0.02,-0.41969,-0.10%,-0.66183,0.13,0.04705,0.18%,-0.99418,+0.14%,0.03903,4.87,5.34868,-0.52,6.66667,-16.39,-8.92857,-3.36%,-4.12896,0.76,1.31004,-0.07%,-0.01838,-0.63%,-0.74578,0.60%,0.31475,0.14%,0.25411,0.16%,0.67527,0.51%,1.44891,0.42%,1.04889,0.07%,-0.5181,-0.31%,-0.59178,0.43%,0.98669,0.18%,0.27807,-0.64%,-1.4644,-0.25%,-0.42072,0.02%,0.02151,-0.06%,-0.85175,-0.07%,0.24349,0.08%,0.27028,0.41%,-0.3249,-0.02%,-0.04517
2022-01-03,3.12%,2.36794,-0.24%,-0.59453,0.58,0.63653,-0.52,-1.41015,+0.39%,0.10689,-0.16%,-0.41199,-0.18,-0.42605,0.0,0.0417,-0.67,-1.02938,-0.61%,-0.76905,-0.29,-0.54342,-0.15%,-1.32972,-0.26%,-0.56081,0.35,-2.82776,0.52,-2.39362,15.22,3.92157,-0.63%,1.59291,-2.31,-1.76332,-0.13%,-0.38923,0.25%,-0.42633,-0.39%,-0.23304,-0.29%,-0.66603,0.44%,0.04807,0.33%,0.66982,0.71%,0.38176,-0.49%,-1.16163,-1.21%,-1.09817,0.47%,0.10017,0.09%,-0.43826,-0.26%,0.52357,-0.59%,-0.44344,0.29%,-0.18143,-0.70%,-1.19753,0.44%,0.09228,-0.62%,-0.80466,-0.86%,-0.35758,-0.06%,-0.41425
