,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-1.17338,3.54316,-0.76326,-0.98149,-1.69197,0.43792,-0.06782,3.88889,-0.11322,17.19355,-1.33333,-0.4959,-1.09864,-1.97695,-0.78101,-0.98303,-11.165,1.45091,-23.46586,-2.22222,0.0465,9.64151,-1.44856,0.78261,-0.05426,-0.03876,-0.04278,-0.03467,-0.06028,-0.0687,-0.06767,-0.07732,-0.06941,0.5889,3,1,1,0,0,0
2022-01-10,0.24684,0.13916,0.14811,15.20714,-1.19085,-1.00181,-0.98802,-1.0,-0.82115,-0.01596,-0.93234,-1.03252,-1.21617,4.17537,-0.7282,-0.70001,-0.86794,-1.0026,-0.98884,-1.0,-0.8414,16.90323,-1.02255,-1.01639,-0.00547,0.0,0.01397,0.00829,-0.50742,-0.05943,-0.03876,-0.02941,-0.02666,-0.53712,4,1,1,1,1,1
2022-01-11,-0.32722,-0.63267,-0.80098,0.35743,-6.65722,-86.77778,60.29851,-1.0,-1.94654,-0.93694,-4.14634,-1.75,-0.16115,-0.58156,-0.7715,21.0,0.07969,-0.84461,-0.26582,-1.0,-1.16929,-0.93794,-1.21287,-0.97561,0.0055,0.02958,-0.00551,0.02466,0.69637,0.0,0.02958,0.00837,0.03315,-0.16441,0,1,1,1,1,1
2022-01-12,21.60033,13.72903,-4.33157,-0.23328,-0.42415,-2.26813,-0.32773,-1.0,7.40532,-0.91429,0.32558,105.0,14.20509,4.41035,-1.66305,0.04077,-4.25773,107.77778,40.20896,-1.0,-8.95597,-0.99459,-5.17073,-80.5,0.03825,0.03655,0.04986,0.0508,0.19819,0.04396,0.0672,0.04408,0.07671,1.03258,1,1,0,0,0,0
2022-01-13,-0.82445,-0.99611,1.5425,-4.08829,-0.34098,0.51328,-2.89134,-1.0,-2.38103,10.66667,-1.11696,-1.09748,2.96744,-0.94274,-9.47054,-3.36786,-0.6205,-2.91904,-2.27149,-1.0,-12.60797,-0.0,-1.15504,-11.33333,0.03947,0.0,0.01847,0.00255,-0.57277,0.07923,0.03655,0.06925,0.05348,-0.48809,2,0,0,0,0,0
2022-01-14,-0.84848,52.54545,-1.93126,-0.4819,-1.53061,-0.74958,2.12428,-1.0,-0.85404,-1.0,-1.05,1.53226,-0.9734,-0.79184,-3.36774,-2.60004,-1.34968,-0.62104,-6.90909,-1.0,-1.20158,-1.0,-0.99415,-1.24686,-0.00253,-0.00504,-0.00518,-0.01015,0.07046,0.03684,-0.00504,0.01319,-0.00763,-0.54266,3,0,0,0,0,0
2022-01-17,-89.23494,-4.48529,10.21675,-4.54029,46.05656,-50.39218,-0.91597,-inf,27.10784,-inf,6528.0,-5.47134,-14.3692,-187.62121,-11.44575,-2.83422,-25.96879,-13.36888,-0.73746,-inf,3.10275,15.28571,-327.45,-12.32258,-0.033,-0.03291,-0.11458,-0.12308,4.28185,-0.03544,-0.03778,-0.11917,-0.13198,4.65402,4,0,0,0,0,0
2022-01-18,-1.23942,-2.59346,-0.60452,-1.15781,-0.66013,-0.15946,-5.68563,-0.04762,-0.22379,1.29825,0.85832,-1.03561,20.12525,4.55367,3.43595,-0.44131,14.99321,-42.51617,-1.39375,-inf,20.81765,-inf,12132.0,-0.84076,-0.13123,-0.09424,-0.06176,-0.06433,0.04758,-0.1599,-0.12405,-0.16927,-0.17949,4.53315,0,0,0,0,0,0
2022-01-19,-1.83241,-1.33918,-0.63819,-0.52203,-0.52157,-0.44256,0.01323,-1.0,-0.84965,-0.46947,-0.32366,-8.52,-0.8007,-0.45953,-0.85691,-1.07543,-0.8374,-0.53145,-5.74763,-1.0,-0.88329,0.2193,0.25685,-0.73219,-0.0151,-0.03179,-0.00627,-0.00312,-0.4127,-0.14436,-0.12304,-0.06765,-0.06725,-0.38476,1,1,1,1,1,1
2022-01-20,-3.22635,-3.42557,-1.73949,8.92765,-1.85866,-0.39221,-0.9132,-inf,0.00179,-0.36115,-1.15416,-0.98404,0.85325,-0.17729,-1.26756,3.74514,-1.41081,-0.66119,-0.91205,1.50833,-0.84938,-0.66107,-1.10426,-1.12,-0.04295,0.01492,-0.01892,0.04702,-0.01839,-0.0574,-0.01734,-0.02508,0.04375,-0.4235,2,0,0,0,0,0
2022-01-21,-1.11614,-1.45938,-1.10352,-0.87217,-2.28857,-0.86826,1.9292,-1.00332,-0.88007,-1.0,-14.14704,1.33333,-0.74142,0.11427,-0.92345,0.26908,0.10645,-0.91993,-0.74574,inf,-0.87986,-1.0,1.02669,-0.96277,0.0609,-0.02059,0.03537,-0.01197,-0.48156,0.01534,-0.00597,0.01578,0.03448,-0.4911,3,0,0,0,0,0
2022-01-24,1.96873,-0.68813,12.72323,-3.15658,-0.98236,0.12145,-5.23505,-1.0,-0.20398,-inf,-0.88107,20.0,-1.3448,-1.14327,-2.42067,-1.27568,-1.02273,-0.85226,-13.40531,-1.0,-0.90453,0.8536,-2.56364,48.0,0.01813,0.02102,0.00621,-0.00909,-0.05561,0.08013,0.0,0.0418,-0.02096,-0.51039,4,1,1,1,1,0
2022-01-25,-2.99238,-3.12997,-2.67202,-3.38892,-16.18182,-1.04086,-2.664,inf,1.81875,-0.76428,-1.15622,-1.2449,-6.91483,-1.66427,-23.94555,4.15189,-1.26777,-1.04582,6.04713,8.0,1.24378,-inf,-1.01858,-6.14286,-0.03561,-0.0147,-0.00309,0.01835,-0.17278,-0.01813,0.006,0.0031,0.00909,-0.21878,0,0,0,0,0,0
2022-01-26,-1.38722,-1.54945,-1.79673,-1.92694,-0.9491,-28.04762,-1.52714,-1.0,-1.05987,-0.26289,-42.66667,-1.30556,-0.22851,0.17032,0.33214,1.21438,-1.77273,0.10506,-0.12284,-1.0,-1.16875,-0.82625,5.5091,-0.92517,0.02769,-0.00299,-0.02477,-0.04805,0.33316,-0.0089,-0.01765,-0.02778,-0.03058,0.10282,1,0,0,0,0,0
2022-01-27,-2.00169,-2.2982,-1.15288,-1.25846,-5.90196,-1.59272,-1.02651,-1.0,-25.81481,1.33566,-0.85701,-6.18182,-0.61212,-0.2867,-0.87819,-0.76042,-1.2495,15.03175,-0.98602,-1.0,0.48559,0.72165,-6.95793,0.58333,-0.05389,-0.03592,-0.01269,-0.01577,-0.30088,-0.02769,-0.0388,-0.03715,-0.06307,-0.06796,2,0,0,0,0,0
