,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,1.7558,1.76507,1.84955,6.61353,1.82185,1.30706,1.10186,-inf,6.00329,inf,-1.18732,1.15094,1.49628,3.78342,1.036,1.28406,-0.07364,2.83882,0.03234,0.05556,0.73654,1.23833,-0.76786,9.36364,0.0049,0.07143,-0.00985,0.06731,0.73257,0.04485,0.10294,0.04253,0.0936,0.98994,3,1,1,0,0,0
2022-01-10,-0.73372,-0.02523,-1.0238,-1.60025,-1.07351,-0.75866,0.62057,-0.30263,-1.25458,-1.0,6.66154,-0.65789,-0.26619,1.6953,-1.06783,-5.57005,-1.20744,-0.44321,2.40621,-inf,-2.78289,-1.0,-2.43516,-0.26415,0.0878,0.01333,0.06468,0.00901,-0.49516,0.09314,0.08571,0.05419,0.07692,-0.12533,4,0,0,0,0,0
2022-01-11,-0.87553,-0.46359,6.89971,3.28541,-2.90532,-1.19542,-0.53866,0.24528,-0.4428,-inf,-1.46386,-1.58974,-0.96686,-0.47712,-1.18804,-3.57234,-0.85993,-1.04716,-0.25236,-0.13158,-1.14185,-1.05396,-4.55385,-1.20175,-0.00448,0.02193,0.03271,-0.00446,0.01179,0.08293,0.03556,0.0995,0.0045,-0.48921,0,0,0,0,0,0
2022-01-12,0.11266,0.51878,0.56909,-0.85224,-2.43592,5.14878,0.28775,-1.0,-2.28477,-1.0,-0.38095,-2.73913,-0.86151,-0.1853,11.39535,-0.36681,1.73588,-2.20162,-0.40591,-1.0,-1.71587,-1.0,-1.28715,0.02564,-0.0045,-0.04721,-0.04072,-0.04036,-0.11977,-0.00897,-0.02632,-0.00935,-0.04464,-0.10939,1,1,1,1,0,0
2022-01-13,3.51348,-0.16752,-0.89388,-1.00334,-0.75774,-0.53411,-1.9337,-1.0,-0.21392,inf,-4.39161,-0.375,4.02195,0.26436,-0.83349,-1.00049,-1.34786,1.86463,-2.20237,-1.0,-2.00993,-1.18667,-3.09957,-2.08696,-0.04977,-0.00901,-0.02358,0.01402,-0.13951,-0.05405,-0.05579,-0.06335,-0.02691,-0.24257,2,0,0,0,0,0
2022-01-14,-1.20146,-1.37335,-2.95028,-48.5,-0.34837,-1.22946,-0.1407,-1.0,-0.10492,-1.0,-0.99381,1.16,-1.90927,-1.31081,-1.20697,-0.8414,-0.84214,-1.1069,-1.80233,-1.0,-0.29639,-1.0,-1.02098,0.35,0.0381,0.0,0.01449,-0.02765,-0.45439,-0.01357,-0.00901,-0.00943,-0.01402,-0.53051,3,1,0,0,0,0
2022-01-17,-4.62617,-1.2902,1.41926,-2.13684,-1.75,7.36178,1.06733,-1.0,-12.85714,-inf,53.33333,-1.2037,-0.26948,-0.89165,-5.71823,53.0,-1.48872,-2.91869,0.77646,-1.0,-11.61311,-1.42857,-0.66392,-1.44,-0.05046,0.00455,-0.01429,0.00474,1.50721,-0.01429,0.00455,0.0,-0.02304,0.36796,4,0,0,0,0,0
2022-01-18,-1.29212,-0.10145,-1.47986,3.74074,-10.0359,-0.81651,-1.61473,-1.0,-1.01112,-1.0,0.3865,-0.72727,0.05929,-1.26076,-2.16091,-6.38947,5.77692,0.53432,-2.27085,-1.0,-0.86813,-1.0,74.33333,-1.05556,0.02415,-0.0362,-0.01932,-0.03774,-0.5329,-0.02752,-0.03182,-0.03333,-0.03318,0.17112,0,1,1,0,0,0
2022-01-19,-2.30375,1.0397,-1.28599,-0.6582,-0.89217,1.4075,0.31969,inf,19.44444,-1.0,0.42478,-0.33333,-0.61914,0.83278,-0.86276,0.62037,-1.97436,-0.55824,-1.81125,inf,-1.22737,-1.0,0.97546,-0.81818,-0.03302,-0.00939,0.0,0.0098,0.17798,-0.00966,-0.04525,-0.01932,-0.0283,-0.44977,1,0,0,0,0,0
2022-01-20,-3.77749,-2.83759,-5.05802,-22.27429,-2.16842,-0.6881,-1.29973,-1.72727,-1.02174,-inf,-1.29193,-0.5,2.62116,-4.74814,0.16057,-8.27148,-1.12599,-0.24909,-1.39554,-inf,-1.44444,-inf,-1.41593,-0.66667,-0.00488,0.00474,-0.00493,-0.00971,-0.14839,-0.03774,-0.00469,-0.00493,0.0,0.00318,2,1,1,1,0,0
