,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.8052198639179445,1.3281143635125936,-0.888561213038599,-0.713474524248005,-0.6830870279146142,-1.0768775872264933,-0.8653116531165311,0.125,-0.757346189164371,-1.0,-0.8354430379746836,-1.123456790123457,-0.5892933618843683,1.3440712816997944,-0.7611055163925254,-0.6636642046478112,0.09886128364389234,-1.1585365853658536,-0.5363805970149254,-inf,-0.046028880866425995,-1.0,-0.9314586994727593,-1.2409638554216869,-0.08035714285714286,-0.06845238095238096,-0.03205128205128205,-0.0379746835443038,-0.39914934930597523,-0.11714285714285715,-0.10826210826210826,-0.10119047619047619,-0.10059171597633136,0.14956227424165452,3,1,1,0,0,0
2022-01-10,-1.0619134515119917,-1.3608187134502925,-0.8126463700234192,-0.13551151580074985,-0.48469147432878,1.8753846153846154,3.37625754527163,-1.0,-1.327341532639546,-1.0,-1.641025641025641,-4.25,-1.0120595105108154,-1.8400272294077604,-0.9791215387425947,-0.7523020257826888,-0.8366920435885953,-1.2210526315789474,-0.4105691056910569,-1.0,-1.0794306703397611,-1.0,-1.1054852320675106,-0.5987654320987654,-0.016181229773462782,0.006389776357827476,0.006622516556291391,0.009868421052631578,-0.35616724323034715,-0.09523809523809523,-0.0625,-0.02564102564102564,-0.028481012658227847,-0.6131526691568263,4,0,0,0,0,0
2022-01-11,-9.505263157894737,0.03403565640194489,5.3025,-0.17224287484510534,2.0612431444241315,-0.6655965757089353,-0.8137931034482758,-1.0,-4.473988439306359,-1.0,8.76,-1.476923076923077,-0.47340980187695514,-1.3730994152046783,0.18079625292740048,-0.2844134975897161,0.5774846914743288,-0.038461538461538464,-0.1851106639839034,-1.0,0.13718070009460737,-1.0,-7.256410256410256,0.55,0.0,-0.031746031746031744,-0.046052631578947366,-0.03257328990228013,0.3621962362987885,-0.016181229773462782,-0.025559105431309903,-0.039735099337748346,-0.023026315789473683,-0.1229734419225055,0,1,1,0,0,0
2022-01-12,-0.5254950495049505,-5.036050156739812,-1.6445854819516066,-0.07035928143712575,-0.9080322484323679,3.3976,0.2345679012345679,-1.0,-0.8361064891846922,-1.0,-0.6639344262295082,-3.096774193548387,-5.03578947368421,-5.173419773095624,-5.0625,-0.23048327137546468,-0.7184643510054844,0.4705724986623863,-0.7701149425287356,-1.0,-1.569364161849711,-1.0,2.28,0.0,-0.019736842105263157,0.003278688524590164,0.006896551724137931,0.006734006734006734,-0.04754044136967415,-0.019736842105263157,-0.02857142857142857,-0.039473684210526314,-0.026058631921824105,0.29743682599303517,1,1,1,1,1,1
2022-01-13,-4.719874804381846,-0.45106796116504855,2.104,-3.9895330112721417,-1.5,0.07222121156994725,-2.506,-1.0,1.218274111675127,inf,0.6219512195121951,-0.9538461538461539,-2.76509900990099,-3.2155172413793105,-3.0007933359777867,-3.779191616766467,-1.045983875783816,3.7152,-2.859259259259259,-1.0,-0.6364392678868552,inf,-0.45491803278688525,-1.096774193548387,0.020134228187919462,0.042483660130718956,0.03767123287671233,0.033444816053511704,0.2864102247869295,0.0,0.04590163934426229,0.04482758620689655,0.04040404040404041,0.22525371491809715,2,0,0,0,0,0
2022-01-14,-3.69625578460244,4.1726211531659,-1.5032712133227597,-1.0043091839482898,-3.642857142857143,-1.2714625042416017,-2.9800796812749004,-inf,2.5606407322654463,0.36363636363636365,-4.037593984962406,22.0,9.029733959311423,1.8394174757281554,-2.562153846153846,-0.9871175523349437,0.32142857142857145,-1.291067855193742,1.982,-inf,6.898477157360406,inf,-5.926829268292683,0.06153846153846154,0.019736842105263157,-0.025078369905956112,-0.036303630363036306,-0.04854368932038835,0.032831181675290956,0.040268456375838924,0.016339869281045753,0.0,-0.016722408026755852,0.3286445925858611,3,0,0,0,0,0
2022-01-17,-0.5757008373641234,-0.6248375846269575,-0.07268071695883396,147.75,2.0294840294840295,-1.771875,0.11468812877263582,-1.0,-0.5957583547557841,-3.6,3.948019801980198,-0.4782608695652174,-2.144019071658954,0.9405730456314114,-1.4666931007137192,-1.6409911123081067,-9.006493506493506,-0.7904648795385137,-3.2071713147410357,-1.0,0.43935926773455375,-4.545454545454546,-16.030075187969924,11.0,-0.07096774193548387,-0.05787781350482315,-0.023972602739726026,-0.023809523809523808,-0.29286666959797153,-0.05263157894736842,-0.08150470219435736,-0.0594059405940594,-0.07119741100323625,-0.269650646758889,4,0,0,0,0,0
2022-01-18,-1.317724932581515,-1.135253372220197,-0.8895497026338148,-0.5697478991596638,-0.9310624493106245,0.5157894736842106,-0.21720818291215402,-inf,-1.0604133545310015,-0.7948717948717948,0.19759879939969985,-1.6666666666666667,-1.1348104228428773,-1.0507419818094783,-0.8975773094347055,63.0,-0.7911547911547911,-2.17,-0.12743125419181758,-0.47619047619047616,-1.0244215938303343,-1.5333333333333334,4.925742574257426,-1.3478260869565217,-0.020833333333333332,-0.023890784982935155,-0.042105263157894736,-0.027874564459930314,0.3422872579296813,-0.09032258064516129,-0.08038585209003216,-0.06506849315068493,-0.05102040816326531,-0.05082394094397788,0,0,0,0,0,0
2022-01-19,-1.314429012345679,1.5336927223719676,3.6538461538461537,-0.423828125,3.4235294117647057,0.44604700854700857,1.7840122982321291,-1.0,-15.18421052631579,-1.0,-1.1390977443609023,-3.4583333333333335,-0.9000980632507968,-1.3426904848705796,-0.48598130841121495,-0.7521008403361344,-0.6950527169505272,1.1919028340080973,1.1793020457280385,-1.0,-0.14308426073131955,-1.0,-1.166583291645823,0.6388888888888888,-0.010638297872340425,-0.02097902097902098,-0.02197802197802198,-0.03942652329749104,-0.18353544295979082,-0.03125,-0.04436860068259386,-0.06315789473684211,-0.06620209059233449,0.09592997146627424,1,0,0,0,0,0
2022-01-20,-3.125153374233129,1.725531914893617,-0.06694214876033058,-0.10847457627118644,1.5904255319148937,-0.2098263760620613,-0.5795140806184429,-inf,1.261595547309833,-inf,2.5975975975975976,0.1016949152542373,-0.3317901234567901,5.90566037735849,3.3423076923076924,-0.486328125,10.458823529411765,0.14262820512820512,0.1706379707916987,8.454545454545455,-33.078947368421055,5.375,-1.5004177109440267,-3.7083333333333335,-0.06810035842293907,-0.05,-0.0449438202247191,-0.04477611940298507,0.2903496274255166,-0.07801418439716312,-0.06993006993006994,-0.06593406593406594,-0.08243727598566308,0.05352473698297338,2,1,1,1,1,1
