,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-3.765569917743831,-0.021316033364226137,86.84210526315789,-0.8015887677812673,-0.5436241610738255,-1.1787884996243938,-0.7022727272727273,0.6666666666666666,-2.4355029585798817,-0.8771929824561403,-0.1005586592178771,-1.0,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,2.07,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,0.0035460992907801418,-0.0035026269702276708,-0.005376344086021506,-0.014134275618374558,-0.30822504221360153,-1.384150820207296,-0.7220869794065399,1.404899135446686,-0.7054844606946984,-0.44907407407407407,-1.2657058763828275,-0.2471264367816092,24.0,-14.32967032967033,-1.0028328611898016,12.828220858895705,-1.0,-1.5303942059568758,-1.5051124744376279,0.05400660885568911,-3.1749688954426065,7.216940363007771,9.446064139941686,-4.978388682814208,-2.2985762656049813,0.6229697116468644,-3.4684061705255114,-2.0222605424047657,-2.493388898416064,-2.0337787939602006,4.79078229229836,14.962495065140152,17.441860465116296,15.966888156729691,3.2082105328456887,0.2784119976933075,2.2155734946065646,-1.909289999771875,-2.9627669459834376,-0.5101415691041864,-1.0999058095231298,-0.23876296005060227,-3.596615435869282,-2.5962368709690824,-1.3160064918282708,3.2139915117832847,-3.239055482901687,-3.2961202152078597,-0.9767343758189445,-3.9049960272811135,-2.0096569540208695,-0.6581235908612305,-3.8983256997503624,2.1313034687126287,0.014336917562724014,0.008865248226950355,-0.0017985611510791368,-0.010638297872340425,0.06678913174560198,3,0,0,0,0,0
2022-01-10,1.5736137667304015,-0.5594223484848485,0.7729179149191132,1.0024829298572315,0.43907563025210083,1.0985485103132162,5.198473282442748,-0.52,-1.1022258862324814,13.428571428571429,-0.044365572315882874,1.0,-0.01,-0.04,-0.63,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.7,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,-0.01060070671378092,-0.014059753954305799,-0.012612612612612612,-0.0017921146953405018,0.20723772352462372,-8.117508813160986,-0.5688137164040779,154.73684210526315,-0.6026848943900487,-0.3432406519654842,-1.3751963395479068,0.8454545454545455,-0.2,-0.8532544378698225,0.7719298245614035,-0.14046288906624102,-1.46875,-0.48190922531871566,-0.5070127579840732,-0.4782590175577926,-1.1765452066089495,3.4947368421052705,5.688789737869498,-1.4322242073838742,0.031141883097106554,-0.04757135703554801,-1.0878654485339894,-0.5274374001065529,-2.1534238596803865,-0.5012147437124672,3.8235294117647025,4.881870781099322,5.494505494505499,-4.916367642472566,1.3487515380065866,2.7113290630783857,3.7752133900486027,-1.65816897983722,-1.9736204390461796,0.4236565852336093,-0.30645105616577484,-0.05197357980739185,-1.4871535405503309,0.03842259079448206,-1.3223407302689145,4.464766968164966,-0.33967786202969247,-1.3551309600064847,0.9913186913216682,-1.0836150502976551,-0.4744511804797229,-0.9237442328402308,-0.971204684823463,4.900196614829449,-0.0070921985815602835,-0.017513134851138354,-0.017921146953405017,-0.015901060070671377,-0.16486317477060564,4,1,1,1,1,1
2022-01-11,-6.1916790490341755,29.37775389575497,-1.6729469415343021,-0.7093924364538128,3.113868613138686,-1.4572260647979614,-4.630541871921182,-18.25,11.161290322580646,1.5940594059405941,-0.2938718662952646,-6.666666666666667,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,2.8,3.41,-0.85,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.0017857142857142857,0.035650623885918005,0.020072992700729927,0.03770197486535009,0.6290073203008526,-14.361376673040153,12.383759469696969,-2.1930796884361894,-0.4180633147113594,4.920168067226891,-1.9595110771581359,-23.50381679389313,-9.28,-2.2431986809563065,36.42857142857143,-0.3251996450754215,-1.0,-0.4625110062635449,-0.4733826094178224,-0.3488139730885743,-0.9581826258011295,1.0989010989011045,0.6349206349206356,0.00816251054168624,0.2119458229895429,-0.5734677787460128,-0.9152678973199226,-0.5386666666666666,-2.6515498804978543,-0.5485461185464425,-0.5665722379603405,3.252499712676703,3.1250000000000027,-1.0708872273590624,-1.547943294375669,0.8447249578205381,1.1781536816160352,0.5798080020217657,-2.2364815444936945,-1.1786767074818651,0.10980209930890582,-0.5741573341564199,-0.9086483343549673,-0.2910576669105393,-1.0789441741176629,0.11468774599179062,-1.085120997864554,-1.450903749532096,0.45724529079847936,-0.587349696424866,-2.295461741005955,-1.7590758168294793,0.10774754040259295,1.3749310702728583,-0.0088339222614841,0.0210896309314587,0.007207207207207207,0.035842293906810034,0.966599088964949,0,1,1,1,1,1
2022-01-12,0.1288558163200407,0.41331611625068543,-1.8684243565599499,4.9488,1.014904187366927,-3.0947452229299364,-0.024423337856173677,-0.8454106280193237,-0.3687002652519894,-0.9045801526717557,0.2504930966469428,-0.011764705882352941,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,0.0392156862745098,0.03270223752151463,0.03935599284436494,0.03806228373702422,0.5627138565413687,-6.860657090969126,41.93336915636755,-0.41559648529908755,0.7287662740235585,7.289051094890511,-0.042227884965416816,-4.541871921182266,-3.6666666666666665,6.67741935483871,-0.7524752475247525,-0.116991643454039,-6.6,0.05619222225037344,0.05816046749937685,-0.10133524367085125,1.6045183235992557,1.1396011396011407,-0.158730158730153,-2.5362746609091453,-0.9309994878226298,-0.44421064936584453,1.4565563440959486,0.7980290289754164,2.0841201906631546,0.7707899474451525,-1.0764872521246405,2.1146994598321998,31.87954309449637,-1.8656736524495652,2.940430481567567,0.5343817907751726,3.135293229630913,1.8079723011363635,0.4333868703500674,-0.5240045188037746,-1.553722918474788,-0.8704301472627549,1.3145524082982425,1.044948654729287,0.10870973239786043,-0.20594861587514188,0.6333060881640601,1.2242624070544836,0.6785327329192864,1.6820735507187945,-1.3169387390753282,1.4988739960063542,2.2145114764053937,0.6663364107371891,0.04107142857142857,0.06951871657754011,0.060218978102189784,0.07719928186714542,1.5456723118414661,1,1,1,1,1,1
2022-01-13,0.08128626964899431,0.05737243269627905,0.10756108139366778,-0.6575219652142729,-0.8469531525184925,-1.0051311288483467,-2.5458970792767732,1.5,-1.379201680672269,5.0,-0.9800210304942166,-0.7857142857142857,0.11,0.09,-0.76,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.75,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.030874785591766724,0.03333333333333333,0.025817555938037865,0.03166666666666667,-0.04391224526054656,0.22061629460026713,0.4944015000088444,-1.961833019460138,1.0373333333333334,-0.691625266146203,-0.9892515923566879,-2.5081411126187247,-0.6135265700483091,-1.2393899204244032,-0.42748091603053434,-0.9750164365548981,-0.788235294117647,0.6139621563824675,0.5785491766800178,-1.1344899587898234,1.7891465914915428,-2.254428341384865,-2.8916929547844346,1.116915089301534,1.5635253875905135,-1.0158258488865206,1.6433270607284611,1.1582390476701165,2.5180092201920883,1.2003537253575347,-0.17094017094016478,2.727070347284069,23.232323232323225,-9.175251620091146,5.637218258311607,0.8771915711668364,3.609106688095461,0.49817301876124137,1.6753439156089438,0.9310502017048083,-0.5681148125609926,-0.09728840912897184,1.6517976790308748,1.382703297764654,2.0752393454869025,0.5516761893040928,1.3120871227239226,2.140234030510839,0.07190833117770065,1.8027799835568088,0.3882041597343152,1.3570703636289267,-0.3815511840019057,1.3975895210305507,0.07130124777183601,0.06712564543889846,0.06618962432915922,0.07093425605536333,0.49409158240086953,2,1,1,0,0,0
2022-01-14,-0.6396498495447263,-0.45074156930980197,1.2209894269677588,1.2905759162303665,-2.5903337169159952,-116.4074074074074,-0.6680161943319838,-1.0125,5.1828254847645425,-1.3933333333333333,44.31578947368421,-0.8333333333333334,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.63,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.036605657237936774,0.004838709677419355,0.026845637583892617,0.006462035541195477,-0.42410236503902043,-0.6103583300467632,-0.4192292769621647,1.4598814514963134,-0.21552806168190783,-1.2433955618175414,-0.40782972253895855,-1.5132127955493742,-1.03125,-3.3445378151260505,-3.36,-0.0946372239747634,-0.9642857142857143,-0.3817675243739115,-0.38474313551815764,-0.8888872931985293,-2.152422462257596,-3.54124748490946,-4.1865394806571254,1.3743419379656714,1.1857089434110935,-0.5199989935503389,-2.287535977167947,-1.126461211477152,-1.6411002228703624,-1.1468108897173026,-2.577319587628862,0.7203151378728275,-3.9370078740157513,10.320476014546824,1.108103314888272,-0.3688772383819182,-0.41473126254584847,-1.8880342345182914,-1.4570167734942676,0.4798932683476021,0.8089943042344925,0.2697951828409349,-2.2268904885783187,-1.0455479107548187,0.13883873064960314,0.5898873987787088,-1.8829607029419044,-2.0969682743875397,-0.6456210135770973,-2.4391086791459955,0.17176290608639588,-0.6817287432116726,-3.74326536630736,0.6960586319048653,0.0686106346483705,0.03833333333333333,0.05335628227194492,0.03833333333333333,-0.44939132323039566,3,0,0,0,0,0
2022-01-18,-0.3008450704225352,-0.53541938287701,-0.6813750641354541,-0.7515822784810127,1.0703703703703704,-0.9903786468032278,-0.034346103038309116,-1.0536912751677852,-0.453839516824849,-1.0,0.23529411764705882,-0.9465020576131687,-0.56,-0.54,0.41,0.68,4.22,5.11,-1.39,-1.09,-0.01,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,0.0,-0.014285714285714285,0.0016474464579901153,-0.01607717041800643,-0.07521163071934511,-0.6859704298159998,-0.6544404456608409,-0.5985307081986483,-0.5693714285714285,0.2134587554269175,-0.9900513478818999,-0.5047425474254743,7.0,-0.7163978494623656,-1.0,-0.7073170731707317,3.3333333333333335,-1.0430101346325777,-1.006637168141593,0.2739719639992848,-1.8348046389400308,4.2207792207792245,5.106382978723409,-2.5781821089181287,-2.4303781484796363,0.327119744374477,-1.9399005112290555,-1.304002120328651,-0.01537608899883074,-1.3435314777788356,2.340182648401822,4.984288655325597,5.737704918032792,8.910327015015769,1.4278803411070562,-1.412496307410573,1.8275933356910266,-1.7974785419451411,-2.5166970005902565,-0.38946010020529104,-0.2008321421890876,0.4094969146762048,-1.7879615346778324,-0.8713395466828434,-1.634549301119324,1.1706445203516902,-2.0826705041102915,-2.4327405158895994,-0.3778428695235983,-1.8081157973048698,-0.5412267992271336,-0.7789618260404765,-1.356174709367629,-0.12221121487852127,-0.004815409309791332,-0.0032102728731942215,-0.006535947712418301,-0.01765650080256822,-0.16834149084349112,0,1,1,0,0,0
2022-01-19,-0.6470588235294118,-0.47714374805113813,-0.47401551749377835,-0.3447452229299363,-0.3118664281454979,-52.064516129032256,-1.225718194254446,-41.875,1.1974723538704581,-1.0,2.382936507936508,0.5384615384615384,-1.51,-1.5,0.59,-2.5,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.79,-4.44,-1.83,3.67,4.3,1.79,18.76,1.92,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.01129032258064516,0.00322061191626409,0.003289473684210526,0.008169934640522876,-0.17454095020218596,-0.7532394366197183,-0.7570911198029842,-0.8324082279957088,-0.8372231012658228,0.4246913580246914,-1.4913097454996895,-1.2179656538969617,1.1946308724832215,0.2001725625539258,-1.0,3.178921568627451,-0.9176954732510288,-2.0633553799980464,-2.028397565922921,1.0002617057369747,-1.8350252578234698,3.612012987012986,4.787234042553196,-2.825848710928522,-1.974042177159041,0.22015511692590506,-2.025481439896511,-1.7358125537403266,-2.2194031151780433,-1.7531583895325689,4.573340769659792,8.009082464650636,10.077519379844949,12.21074108713616,4.0306836920210865,-3.279739813002161,2.8589895188918706,-1.553924843150353,-2.3595182433748088,-1.7538056893336162,-1.8443481557635546,-1.3116954723073841,-1.6210222624487087,-1.4676977630486483,-2.1455502304821437,-0.9568832923394743,-1.88687678567819,-1.9370760976709096,-2.1081004245549813,-1.7460782480026107,-2.9012902588718146,-3.0691360282658766,-2.962607500406255,-2.7039782464015274,-0.01129032258064516,-0.011111111111111112,0.004942339373970346,-0.008038585209003215,-0.23662507142952066,1,1,0,0,0,0
2022-01-20,2.064905414220483,1.4211593511450382,1.7431116059003617,1.2847306601863102,0.004332755632582322,-2.7403663929248263,5.551515151515152,1.3027522935779816,-0.5614665708123652,-1.0,-0.38005865102639297,-1.55,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,0.0065252854812398045,0.01765650080256822,0.003278688524590164,0.0032414910858995136,0.2756383697287059,0.08173132266605272,0.26591830371063296,0.4428341384863124,0.49708067940552014,-0.30888491353607633,87.87096774193549,-2.478796169630643,-95.125,-0.036334913112164295,-1.0,1.0972222222222223,-1.8461538461538463,-2.4592472248910986,-2.4751368868029946,0.35623509223124006,-3.605148838625908,-1.2461059190031163,-4.402834008097164,-2.5054806752594616,-1.6546163365813893,-0.15630383448599566,-3.7162583927822075,-2.803587732960954,-7.394232134784103,-2.78992461691884,2.487562189054735,4.7438708391468865,23.2974910394265,24.28347950872505,3.7461219292301293,-3.910943242660763,-0.2561099511134437,-1.8233349101019325,-3.691057487069857,-2.276637665001276,-0.7482312250460211,-0.8206244744694607,-3.8241766649418425,-2.178398252872759,-1.5290518204748413,-3.9257710209012546,-2.1480432869291306,-3.1779365003918847,-3.0709551321057993,-3.9898711035400374,-3.169370814727939,-3.4089243057157117,-4.860017208875226,-5.458870459628732,-0.004838709677419355,0.020933977455716585,0.006578947368421052,0.011437908496732025,0.05298723656189017,2,0,0,0,0,0
2022-01-21,-2.011918697456635,-1.9925612099118184,-2.092938311688312,-4.251905690480411,5.638481449525453,-1.949546279491833,-1.547641073080481,-0.99734395750332,2.1114754098360655,-1.0,-0.8457899716177862,1.6363636363636365,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,0.0032414910858995136,-0.02365930599369085,-0.03104575163398693,-0.03877221324717286,0.1843347310026714,-4.10143509458578,-3.4031488549618323,-3.998051767325355,-8.429728635074929,5.667244367417678,0.6525584333543903,-4.587878787878788,-0.9938837920489296,0.3644859813084112,-1.0,-0.9043988269794722,-2.45,-1.8464981608795263,-1.8236478629569755,0.0020882143017971794,-2.4003682756806524,0.15667841754798292,-1.4720812182741074,1.5636597376368955,-0.05446675554663782,-0.02263790255640458,-2.432503497460058,-2.1110199617172545,-6.237591108796717,-2.066920962829953,-3.413333333333336,-1.8729096989966614,26.7605633802817,12.286086549267509,1.720708434334472,-2.2681790067697665,-1.5507021971334098,-1.02181162011359,-3.7131767056005884,-2.32550340687743,0.6024286771213236,-0.045438352989902175,-2.684794885800186,-1.3257980087474597,-1.6403510366962673,-4.5544827332776,-1.2598053062876953,-2.455120896236741,-1.4386265329696521,-2.5731416728777887,-2.284777073025471,-1.7350596115188541,-2.1695736026190873,-4.7363674199734636,0.009787928221859706,-0.006420545746388443,-0.027868852459016394,-0.03565640194489465,0.5107828254693332,3,1,1,1,0,0
