,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.5364177029427667,-0.8373013298734998,-2.724450194049159,-1.939925571504519,-0.8066132264529058,-0.7851596203623814,0.07142857142857142,-1.0,0.5370370370370371,-1.0,1.3739837398373984,6.888888888888889,-0.5397945100444717,-0.5717944340105856,-0.46177658142664874,-0.20198600767321145,-1.2144444444444444,-0.42955326460481097,-0.9376558603491272,-1.0,2.074074074074074,-1.0,0.3094170403587444,9.142857142857142,-0.013745704467353952,-0.010273972602739725,-0.008710801393728223,-0.015570934256055362,-0.25470508942137166,-0.03204047217537943,-0.025295109612141653,-0.017271157167530225,-0.022336769759450172,0.13555764650798438,3,1,1,0,0,0
2022-01-10,-0.19826724425191602,-2.5482456140350878,1.169792448112028,0.4835972850678733,-5.227979274611399,3.4518072289156625,1.48,-1.0,1.5542168674698795,-1.0,-1.0068493150684932,-1.0751173708920188,-0.6283308874642775,-1.2518975024326955,-4.741699008193187,-2.3944710260499735,-1.817635270541082,-0.04357204486626402,1.6571428571428573,-1.0,2.925925925925926,-1.0,-1.016260162601626,-1.5925925925925926,-0.008710801393728223,-0.005190311418685121,-0.007029876977152899,0.005272407732864675,-0.004748817751332904,-0.022336769759450172,-0.015410958904109588,-0.0156794425087108,-0.010380622837370242,-0.2582443591227055,4,0,0,0,0,0
2022-01-11,0.6134663341645885,-0.5521503991758949,0.14037109600092199,0.03183377811666031,-0.5416666666666666,-0.5678845286423094,8.575268817204302,-1.0,5.4575471698113205,-1.0,-194.5,-1.3125,0.2935688103965345,-1.6933811802232854,1.474368592148037,0.5308257918552036,-2.937823834196891,0.9236947791164659,22.746666666666666,-1.0,15.493975903614459,-1.0,0.3253424657534247,-0.9765258215962441,0.005272407732864675,-0.0017391304347826088,-0.012389380530973451,-0.017482517482517484,0.1704585923626099,-0.003484320557491289,-0.006920415224913495,-0.019332161687170474,-0.012302284710017574,0.16490029782199822,0,0,0,0,0,0
2022-01-12,-1.3865275631117981,-0.5181138585393904,-1.2194037392622536,-1.5983742841307962,1.0828877005347595,-2.4937369519832986,-0.03705783267827063,-1.0,-0.9970781592403214,-1.0,-1.054263565891473,1.6,-1.6236492103075644,-0.7841874839041978,-1.2502016826091966,-1.6174227983225316,-0.04534313725490196,-1.645466847090663,8.220430107526882,-1.0,-0.9811320754716981,-1.0,9.5,-1.8125,-0.022727272727272728,-0.006968641114982578,0.0,0.0,-0.19710629689453762,-0.01757469244288225,-0.008695652173913044,-0.012389380530973451,-0.017482517482517484,-0.06024616644637726,1,1,1,1,0,0
2022-01-13,-0.3958680439853382,1.5739856801909309,-1.181022570244127,-1.8132139549243593,0.9653401797175867,-2.0314465408805034,-2.666472303206997,-1.0,-590.75,inf,-3.0476190476190474,-0.5384615384615384,-1.233513652756311,0.24036802760207016,-0.9602829711975746,-0.5133936818769629,3.093582887700535,0.5407098121085595,-2.6047164514317798,-1.0,-2.723155588020453,inf,-0.8888888888888888,0.2,0.01073345259391771,0.007017543859649123,0.012544802867383513,0.014234875444839857,0.26012676042009314,-0.012237762237762238,0.0,0.012544802867383513,0.014234875444839857,0.011747841055978371,2,1,1,1,0,0
2022-01-14,3.9382239382239383,4.210013908205841,5.595419847328245,2.8754745634016703,-1.8667537557152187,-2.769647696476965,0.15990202939118264,-1.0,-0.8529037727850785,-0.5,5.744186046511628,1.8333333333333333,1.983338887037654,12.410501193317423,-2.1939198526024875,-4.1515899969126275,-2.7034659820282414,0.8252969951083159,-2.932944606413994,-1.0,-87.75,inf,-14.80952380952381,0.3076923076923077,0.008849557522123894,0.020905923344947737,0.007079646017699115,0.010526315789473684,0.3642157456370511,0.01967799642218247,0.028070175438596492,0.01971326164874552,0.02491103202846975,0.719084768063699,3,1,0,0,0,0
2022-01-17,-0.5483078297777282,-1.4956397935575725,-4.581018518518518,-0.850705329153605,0.5169555388093444,-0.0501531393568147,0.5209653092006034,-1.0,2.7463976945244957,-3.0,0.11379310344827587,-0.47058823529411764,1.2305570876999448,-3.582290217895225,-24.61832061068702,-0.4214123006833713,-2.3148269105160026,-2.680894308943089,0.7641707487753674,-1.0,-0.44891903348876644,-2.0,6.511627906976744,0.5,0.01929824561403509,-0.0034129692832764505,0.008787346221441126,0.003472222222222222,-0.29488450952610856,0.02831858407079646,0.017421602787456445,0.01592920353982301,0.014035087719298246,-0.038070345402925226,4,0,0,0,0,0
2022-01-18,-3.1461424332344214,-0.6459605026929982,-1.7068519715578538,-0.4757217847769029,-2.3482364629905614,-0.23417976622329706,-1.951408171360571,-1.0,-1.1223076923076922,-1.2666666666666666,-1.3622291021671826,-4.333333333333333,-1.969395733273763,-1.1754760633564691,1.53125,-0.9217280564263323,-3.0452147701582515,-0.2725880551301684,-2.447058823529412,-1.0,-1.45821325648415,-0.4666666666666667,-1.403448275862069,-2.764705882352941,-0.01721170395869191,-0.011986301369863013,-0.02264808362369338,-0.02249134948096886,0.019172705419595704,0.0017543859649122807,-0.015358361774744027,-0.014059753954305799,-0.019097222222222224,-0.28136553794045893,0,0,0,0,0,0
2022-01-19,-0.41133771171793987,0.813894523326572,-0.7535436671239141,-0.8335419274092616,-0.6212232866617539,-0.4636842105263158,-0.7675630602459871,-1.0,1.169811320754717,-2.875,-1.6153846153846154,-1.4333333333333333,-2.263353115727003,-0.3578096947935368,-1.1742081447963801,-0.9127296587926509,-1.5106805762543467,-0.5892785167271262,-1.2211424038080128,-1.0,-1.2653846153846153,-0.5,-0.7770897832817337,0.4444444444444444,-0.0070052539404553416,-0.01386481802426343,-0.0071301247771836,-0.007079646017699115,-0.2915950112750016,-0.024096385542168676,-0.025684931506849314,-0.029616724738675958,-0.029411764705882353,-0.2780129711084052,1,0,0,0,0,0
2022-01-20,0.19475435505969857,-1.0206877271456527,2.9338280766852196,-10.045112781954888,3.259727626459144,-2.057899901864573,0.4188340807174888,-inf,0.017391304347826087,1.8,1.3611111111111112,0.0,-0.29669316741560087,-1.037525354969574,-0.030483158055174518,-2.5056320400500627,0.6134856300663227,-1.5673684210526315,-0.6702105482593288,-inf,1.2075471698113207,-6.25,-2.452991452991453,-1.4333333333333333,-0.021164021164021163,-0.01054481546572935,-0.010771992818671455,-0.017825311942959002,0.08603864022970245,-0.028021015761821366,-0.024263431542461005,-0.017825311942959002,-0.024778761061946902,-0.23064480931316506,2,1,1,1,0,0
