,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-1.33171,7.50585,-0.16221,-0.7029,-1.36697,-240.83333,-2.57258,-inf,0.15722,-0.75,-10.72464,-1.10014,-1.11485,-4.14731,-0.58255,-0.72556,-1.2451,-0.24581,-2.31757,-192.0,-0.61226,-0.66667,-0.13475,0.10769,0.00383,0.00634,0.00128,0.00255,0.10984,-0.00127,0.00634,0.00384,0.00383,-0.10641,3,0,0,0,0,0
2022-01-10,-3.83364,-0.9978,0.25189,-0.01131,-2.745,0.08478,-2.58462,-0.97906,-0.10468,-25.0,-1.61401,-1.20833,-0.06005,-0.98126,0.04882,-0.70626,-0.35963,-261.16667,1.49194,-inf,0.03608,-7.0,4.97101,-0.97914,-0.00254,-0.00756,-0.00382,-0.00381,-0.25516,0.00128,-0.00127,-0.00255,-0.00127,-0.17335,4,1,0,0,0,0
2022-01-11,-0.94259,11.6875,-0.89042,-0.6781,-1.10029,-0.97085,-0.76699,-1.0,-0.80846,-1.0,-0.81917,0.26667,-1.16269,-0.97205,-0.86281,-0.68174,-0.825,-0.96838,-1.36923,-1.0,-0.82851,-1.0,-1.11103,-1.26389,-0.00127,-0.00254,0.0,0.00128,-0.00656,-0.00381,-0.01008,-0.00382,-0.00254,-0.26005,0,1,1,0,0,0
2022-01-12,-18.57519,28.85222,1.81773,-2.23604,1.42857,29.01099,-0.75,-1.0,-7.37662,-1.0,0.97315,-1.31579,-2.00907,377.75,-0.69122,-1.39788,-1.24355,-0.12524,-0.94175,-1.0,-2.22139,-1.0,-0.6432,-1.4,-0.00128,0.00763,0.00128,0.00892,0.31714,-0.00255,0.00508,0.00128,0.0102,0.30849,1,0,0,0,0,0
2022-01-13,-1.72556,-1.22063,-0.03858,6.19507,-4.03529,0.28195,4.77778,inf,-3.57637,-1.0,-2.23129,-13.33333,11.75188,-7.58621,1.70903,-9.8934,-8.37143,37.47253,0.44444,inf,15.42857,-1.0,-3.42953,2.89474,0.00766,0.00126,0.00511,0.0,-0.17743,0.00638,0.00891,0.00639,0.00892,0.08345,2,0,0,0,0,0
2022-01-14,-0.97258,-1.4009,-0.55247,-0.82705,1.1938,-0.89689,-0.80769,4.5,-0.67905,-1.0,-1.22928,-1.18919,-1.01989,-0.91155,-0.56973,0.24435,-7.65882,-0.86781,0.11111,inf,-1.82688,-1.0,-0.71769,1.33333,0.0,0.0,0.00254,-0.00253,0.05612,0.00766,0.00126,0.00766,-0.00253,-0.13126,3,0,0,0,0,0
2022-01-17,29.48387,1.46642,5.03448,-5.92244,-1.13251,0.39058,3.9,-0.86364,0.80542,-inf,1.16867,1.71429,-0.16421,-1.98878,1.70062,-1.85131,-1.2907,-0.85661,-0.05769,-0.25,-0.42055,-inf,-1.49724,-1.51351,0.0,-0.00504,-0.0076,-0.0038,-0.34824,0.0,-0.00504,-0.00508,-0.00631,-0.31166,4,1,0,0,0,0
2022-01-18,-2.87337,4.0,-0.86651,-1.11532,-7.53333,-1.50996,-0.83673,-0.66667,-0.07367,-1.0,-5.26667,0.36842,-58.10753,11.33209,-0.19448,-0.43234,-0.13428,-1.70914,-0.2,-0.95455,0.67241,-1.0,-10.25301,2.71429,-0.00634,0.0,0.0,0.00254,0.23596,-0.00634,-0.00504,-0.0076,-0.00127,-0.19446,0,0,0,0,0,0
2022-01-19,-1.36848,-1.23026,0.35959,-2.18023,-1.17755,-2.46484,0.6875,26.0,-0.77172,inf,-1.23958,2.36538,-0.3097,-2.15129,-0.81851,-0.8639,0.16,-0.25299,-0.72449,8.0,-0.78854,-1.38686,0.02222,3.60526,0.00765,0.00127,0.0,-0.00507,-7e-05,0.00127,0.00127,0.0,-0.00254,0.23587,1,1,1,0,0,0
2022-01-20,-6.73173,-5.23062,-7.60579,1.49507,27.75862,-0.592,-12.77778,52.07407,-14.92258,-1.0,-3.29891,-1.25714,1.11203,-0.02587,-9.98116,-3.94477,-6.10612,-1.59766,-20.875,1432.0,-4.1782,-1.0,-0.44922,-1.86538,-0.00633,0.00253,-0.00128,0.00637,0.33096,0.00128,0.0038,-0.00128,0.00127,0.33087,2,0,0,0,0,0
