,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-11,-1.07696,-0.69452,-0.25318,-0.39002,-1.5547,8.32323,-0.71359,-1.0,5.75,-1.0,-0.79655,-104.66667,-0.45,0.49,-0.38,1.43,1.1,0.63,-1.07,0.02,0.03,0.05,0.92,0.24,-0.14,-0.5,-1.1,28.28,3.41,3.82,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.01118,-0.00122,0.0,-0.0098,-0.3212,-0.86511,0.33768,-0.11927,-0.45503,-3.52402,4.69753,-0.55639,-1.0,-0.93095,-19.5,-0.22344,4.98077,-0.46251,0.05816,-0.10447,1.60452,1.0989,0.63492,-2.53628,-0.931,-0.57347,-0.91527,0.79803,-2.65155,-0.54854,-1.07649,2.06897,32.29167,-1.07089,2.94043,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,0.01118,0.00614,0.0,0.0,-0.29445,0,0,0,0,0,0
2022-01-12,31.0,-2.53196,0.28551,0.76006,-1.71972,-0.75515,8.49153,-1.0,-14.7037,-1.0,-2.04245,-1.07074,0.51,0.09,-0.74,0.36,0.04,-0.79,2.21,1.54,-0.48,1.41,0.24,1.84,0.92,0.31,3.87,-3.94,-5.1,1.75,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.01351,-0.01343,-0.01868,-0.01609,0.01757,-3.46267,-1.46798,-0.03996,0.0736,-0.60077,1.28283,1.71845,0.97959,-93.5,-1.0,-1.21209,6.33333,0.05619,0.57855,-1.1147,1.78915,1.1396,-0.15873,1.11691,1.56353,-0.44421,1.45656,1.15824,2.08412,0.77058,-0.17094,2.78396,23.23232,-1.86567,5.63722,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,-0.00248,-0.01463,-0.01868,-0.02574,-0.30927,1,1,1,1,1,1
2022-01-13,-3.56774,-5.26909,-1.64199,-3.43184,-1.52404,-0.11504,-2.20893,-1.0,-5.97027,1.0,-1.32127,0.04545,0.11,-0.47,-0.13,-2.5,-2.29,-2.12,-0.82,-0.35,-0.54,0.23,-1.36,0.66,0.28,-2.92,-3.03,0.0,-4.29,-0.63,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,-0.00498,0.02104,0.01015,0.03774,-0.01271,-83.16766,5.54009,-1.82528,-5.28017,-0.62284,-0.78332,-12.47458,-1.0,67.11111,-1.02703,-0.66509,-1.07395,0.61396,-0.38474,-0.86802,-2.15242,-2.25443,-2.89169,1.37434,1.1857,-1.01583,1.64333,-1.12646,2.51801,1.20035,-2.57732,0.78829,-3.93701,-9.17525,1.1081,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,-0.01843,0.00733,-0.00872,0.02104,0.00464,2,1,0,0,0,0
2022-01-19,0.33386,0.48512,0.31214,0.0005,-441.0,-0.89755,7.5,-1.0,-0.64583,-1.0,0.71233,4.8,-1.51,-0.99,-0.23,-1.13,-0.58,-0.3,-1.06,-0.77,0.23,-2.6,-1.03,-4.44,-1.84,-1.14,0.43,21.13,18.76,1.79,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.00369,-0.00733,-0.01126,-0.01491,0.1147,1.39599,-2.01278,0.11564,0.02337,-25.10959,-0.95757,-0.74242,-1.0,-0.58025,-1.0,3.16667,18.33333,-2.06336,-2.55136,0.26244,-3.55413,3.61201,4.78723,-2.50548,-1.65461,0.22016,-2.02548,-2.85055,-2.2194,-1.7583,2.48756,4.78564,22.85714,12.21074,3.90728,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,-0.01939,-0.02518,-0.03067,-0.03293,-0.12452,1,0,0,0,0,0
2022-01-20,-0.06014,2.32146,-0.92407,-1.67627,-0.86364,14.71642,-1.38824,-1.0,2.22549,-1.0,-0.76,-0.7069,-0.96,-0.84,0.24,-1.28,-0.67,-4.11,2.66,0.72,-0.38,-1.15,-1.09,-3.09,-0.97,-2.31,-2.29,4.65,4.65,-0.07,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.02596,-0.01353,-0.01646,-0.01513,0.26869,0.25365,3.93275,-0.90037,-1.6766,-61.0,0.61009,-4.3,-1.0,0.14236,-1.0,-0.58904,0.7,-2.45925,-1.82365,0.01045,-2.40037,-1.24611,-4.40283,1.56366,-0.05446,-0.1563,-3.71626,-2.11102,-7.39423,-2.78993,-3.41333,-1.81644,26.76056,24.28348,1.72071,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.02956,-0.02076,-0.02753,-0.02981,0.4142,2,1,1,1,0,0
2022-01-25,-5.91448,-2.72661,-1.73548,-7.04459,-22.56897,-1.36755,2.77705,1.0,2.93,-1.0,-1.73731,-3.33333,0.29,-0.2,0.03,-2.48,-0.16,-0.93,-2.84,-2.56,0.26,0.63,-1.24,1.31,0.28,0.0,5.8,13.53,3.64,2.75,0.24,0.55,-0.37,1.21,0.53,-1.03,-0.35,0.33,0.43,0.02,0.94,0.13,0.39,1.65,0.61,1.39,1.43,0.84,0.97,0.00763,0.0,-0.02433,-0.03283,0.54134,-34.67188,12.15289,1.86792,1.02857,1.31667,-1.46002,11.0,1.0,-3.17127,-1.0,-7.33333,-1.93333,-1.01076,0.08197,0.32413,-1.98073,-0.15736,-0.93023,-5.66474,-4.01864,0.26585,-2.11169,-0.93394,-0.42349,-1.61955,0.33898,1.08268,13.52941,16.84251,0.54029,-1.78417,-1.41474,-1.42498,-1.92408,-0.43635,-1.20904,-0.33843,-1.60592,-3.46967,-2.46925,-1.41398,-2.73862,-3.60015,0.35424,-1.55533,-1.25889,-0.52252,-0.74981,-2.29582,0.00508,-0.00125,-0.03053,-0.03283,0.63115,0,0,0,0,0,0
2022-01-26,0.09606,-0.99152,-3.39693,-0.84552,0.47002,-5.44531,-1.16233,-462.0,1.0916,-1.4071,-2.21053,-1.07143,-0.19,-0.38,0.46,0.13,1.5,2.24,-0.83,-0.41,0.06,-2.28,-0.17,-3.71,-1.22,5.44,12.57,3.63,4.21,2.04,0.47,3.96,-0.66,-1.81,-0.93,-1.57,-1.13,-2.34,-2.24,-0.86,-0.3,-1.03,-1.95,-0.96,-2.77,-1.66,-1.31,-1.41,0.49,-0.03914,-0.0389,-0.03675,-0.02872,0.28872,-6.38655,-1.01465,0.7629,-1.93378,-32.7069,0.63388,-1.61311,-1.0,7.22,1.0,-0.10746,-0.83333,0.09444,-0.57805,0.48999,-2.36191,1.33753,1.29199,-3.63885,-2.96418,0.32201,-1.66774,-1.41357,-2.44382,-0.94339,5.46171,19.05252,17.64706,8.00693,4.84936,0.70823,4.53221,-1.02622,-0.61993,-0.40438,-2.57963,-1.48481,-2.01159,-1.81317,-0.8334,0.64083,-0.90429,-1.56185,0.67136,-2.177,-0.28598,0.10434,-0.57539,1.4658,-0.03181,-0.0389,-0.06018,-0.06061,0.98635,1,1,1,0,0,0
2022-01-27,-1.20766,-31.38889,-0.80878,-0.99855,-0.96248,-0.86204,-0.49198,0.01518,-0.90146,-1.0,-1.59197,-2.0,-0.38,-0.04,0.9,-1.21,-0.12,0.15,-3.73,-3.5,0.06,0.02,-0.55,1.68,-0.15,-3.72,2.75,2.5,2.57,-0.85,0.27,-0.17,-0.44,-0.32,-0.82,-0.71,-0.67,0.72,-0.79,-1.02,-0.8,-1.38,-0.71,-0.36,0.93,-1.03,-1.67,-1.16,0.28,-0.02234,-0.01305,0.01226,0.00806,-0.39865,-1.22761,-1.25778,-1.45833,-0.99978,-0.94484,-1.61328,-1.08247,-469.0,-0.79389,-1.0,-0.2834,-0.92857,-0.57155,-0.41539,1.35487,-1.08905,1.37904,2.39958,-4.52082,-3.89282,0.12044,-2.25916,-0.71856,-2.09629,-1.36503,1.52027,15.67673,6.21762,6.88963,1.17991,0.73481,3.78158,-1.1038,-2.12874,-1.75076,-2.26584,-1.798,-1.63177,-3.00488,-1.86711,-1.09854,-2.401,-2.64716,-1.31433,-1.86495,-2.6651,-2.95463,-2.55108,0.77078,-0.06061,-0.05144,-0.02493,-0.02089,-0.22503,2,0,0,0,0,0
2022-02-03,8.60479,-0.98013,-1.38472,-1.8381,-1.26058,-1.23633,-2.80952,-1.00599,-2.80214,-1.0,-1.02717,-211.25,0.63,-1.47,-0.58,-4.12,0.0,0.0,2.15,1.67,-0.24,0.5,-2.36,2.46,0.94,3.64,4.56,6.22,0.59,2.28,0.66,0.38,1.25,-0.53,0.67,1.46,1.18,0.81,3.09,0.23,-0.27,-0.31,-1.61,0.42,1.98,0.32,0.31,-1.23,0.4,-0.024,-0.02359,-0.00139,0.02493,-0.16721,0.63507,-0.92687,-3.78828,527.0,-8.31884,-3.69745,0.2,-1.00214,-5.16049,-1.0,-1.02825,840.0,1.416,-0.85899,-1.04783,-3.35117,0.0,0.0,4.98923,3.56972,-0.42918,1.24769,-1.45535,3.27169,1.63502,2.28412,2.82293,-5.09259,-11.03504,2.34694,2.10309,3.93494,1.54006,0.09763,2.09658,0.16492,1.11941,1.05455,4.40478,1.90735,1.37754,0.64684,-0.66662,1.37833,2.46131,2.19287,0.51494,0.25866,2.78561,-0.01613,-0.01455,-0.0323,-0.01333,0.52159,4,1,1,0,0,0
2022-02-08,-3.02722,-2.09002,-5.03659,1.21884,-0.79104,-1.07056,-1.6055,-1.0,-4.35556,-1.0,48.54545,-38.0,0.0,1.07,0.26,1.2,1.35,3.59,-0.46,0.05,-0.12,-0.58,0.82,-0.02,-0.37,2.37,3.95,27.35,-1.55,-2.15,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,0.028,0.00784,0.01339,-0.00131,-0.10142,19.64419,0.30044,-5.14547,13.0,-1.23932,-1.13043,3.4,-1.0,-3.12676,-1.0,40.92308,-0.38333,-0.05705,1.04065,0.15708,0.33366,1.34512,3.59312,-0.84176,-0.13781,-0.21676,0.98603,0.44519,0.57625,0.14361,2.55741,2.20365,19.32773,-6.1191,-3.19575,1.99075,2.9036,-0.53459,3.51025,-0.99808,-0.99512,-1.10063,-0.18666,-2.09787,-2.13514,2.10731,1.23812,3.44428,1.03723,-0.32332,-1.68464,0.12281,1.46163,2.62928,0.03075,0.01048,0.01611,0.02145,-0.00663,0,1,0,0,0,0
