,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.74062,2.79121,-0.53328,-0.76145,-6.32558,2.20792,-1.2463,-1.0,4.28378,inf,-274.0,inf,-1.22326,-0.82411,0.07245,-0.51786,1.18095,-0.2155,-1.1285,-1.0,29.07692,-0.6,2.79167,6.42857,-0.00984,-0.00853,-0.00619,-0.00737,0.33013,-0.00617,-0.01333,-0.00372,-0.01942,0.57205,3,1,1,0,0,0
2022-01-10,-2.75283,3.37899,0.17932,-0.10658,3.55022,-0.38889,0.54887,-inf,-0.98977,-1.0,2.81685,-1.05769,-1.45464,15.60165,-0.44959,-0.78687,-25.23256,0.9604,-1.38148,-inf,-0.94595,-1.0,-1043.0,-inf,0.0,0.00737,0.0,0.0099,0.0394,-0.00984,-0.00122,-0.00619,0.00246,0.38254,4,0,0,0,0,0
2022-01-11,-1.07696,-0.69452,-0.25318,-0.39002,-1.5547,8.32323,-0.71359,-1.0,5.75,-inf,-0.79655,-104.66667,-0.86511,0.33768,-0.11927,-0.45503,-3.52402,4.69753,-0.55639,-1.0,-0.93095,-19.5,-0.22344,4.98077,0.01118,-0.00122,0.0,-0.0098,-0.3212,0.01118,0.00614,0.0,0.0,-0.29445,0,0,0,0,0,0
2022-01-12,31.0,-2.53196,0.28551,0.76006,-1.71972,-0.75515,8.49153,-inf,-14.7037,-1.0,-2.04245,-1.07074,-3.46267,-1.46798,-0.03996,0.0736,-0.60077,1.28283,1.71845,0.97959,-93.5,-1.0,-1.21209,6.33333,-0.01351,-0.01343,-0.01868,-0.01609,0.01757,-0.00248,-0.01463,-0.01868,-0.02574,-0.30927,1,1,1,1,1,1
2022-01-13,-3.56774,-5.26909,-1.64199,-3.43184,-1.52404,-0.11504,-2.20893,-1.0,-5.97027,inf,-1.32127,0.04545,-83.16766,5.54009,-1.82528,-5.28017,-0.62284,-0.78332,-12.47458,-1.0,67.11111,-1.02703,-0.66509,-1.07395,-0.00498,0.02104,0.01015,0.03774,-0.01271,-0.01843,0.00733,-0.00872,0.02104,0.00464,2,1,0,0,0,0
2022-01-14,-0.5473,-0.74257,0.91796,0.04699,2.43119,0.4175,-0.39586,-1.0,-0.74062,-1.0,1.87324,0.52174,-2.16243,-2.09901,-2.23131,-3.5461,-2.79808,0.25442,-1.73036,-1.0,-2.28919,-1.0,-1.92308,0.59091,0.03755,0.02424,0.03392,0.00121,0.10068,0.03238,0.04579,0.04442,0.03899,0.08669,3,0,0,0,0,0
2022-01-17,-1.33741,-0.57207,-2.0347,-1.6091,-0.90241,1.78483,-0.19315,-1.0,-0.49057,-inf,-1.14706,-1.08571,-1.15275,-0.88984,-2.98451,-1.63772,-0.66514,2.9475,-0.51256,-1.0,-0.86786,-72.0,-1.42254,-1.13043,-0.00483,-0.01302,-0.00972,-0.00726,-0.42357,0.03254,0.01091,0.02387,-0.00606,-0.36553,4,0,0,0,0,0
2022-01-18,0.79628,-1.68195,-0.14975,0.02287,-0.94521,-0.58581,-0.9697,-1.0,0.18519,-1.0,1.43333,2.33333,-1.60608,-1.29183,-1.87975,-1.62303,-0.99465,0.15344,-0.97555,-1.0,-0.39623,-1.0,-1.35784,-1.28571,-0.01576,-0.01799,-0.01963,-0.01829,-0.2146,-0.02051,-0.03077,-0.02916,-0.02542,-0.54727,0,0,0,0,0,0
2022-01-19,0.33386,0.48512,0.31214,0.0005,-441.0,-0.89755,7.5,-1.0,-0.64583,-1.0,0.71233,4.8,1.39599,-2.01278,0.11564,0.02337,-25.10959,-0.95757,-0.74242,-1.0,-0.58025,-1.0,3.16667,18.33333,-0.00369,-0.00733,-0.01126,-0.01491,0.1147,-0.01939,-0.02518,-0.03067,-0.03293,-0.12452,1,0,0,0,0,0
2022-01-20,-0.06014,2.32146,-0.92407,-1.67627,-0.86364,14.71642,-1.38824,-1.0,2.22549,-1.0,-0.76,-0.7069,0.25365,3.93275,-0.90037,-1.6766,-61.0,0.61009,-4.3,-1.0,0.14236,-1.0,-0.58904,0.7,-0.02596,-0.01353,-0.01646,-0.01513,0.26869,-0.02956,-0.02076,-0.02753,-0.02981,0.4142,2,1,1,1,0,0
2022-01-21,-1.02712,-0.89182,-3.17065,0.61894,1.25,0.05698,1.90909,-1.0,-1.55015,-1.0,-2.3,-0.11765,-1.02549,-0.64068,-1.16481,-2.09484,-0.69318,15.61194,-2.12941,-1.0,-2.77451,-1.0,-1.312,-0.74138,0.0,-0.00499,0.01158,0.01408,-0.28276,-0.02596,-0.01845,-0.00506,-0.00126,-0.09005,3,0,0,0,0,0
2022-01-24,5.85156,-8.61777,-4.89937,-1.3356,-1.10741,0.25157,2.17708,-1.0,-1.55249,-1.0,7.58974,-0.6,-1.18581,-1.82409,7.46416,-1.54332,-1.24167,0.32289,8.24242,-1.0,-0.69605,-1.0,-12.16667,-0.64706,-0.00254,-0.00125,-0.00636,0.0,0.05827,-0.00254,-0.00623,0.00515,0.01408,-0.24097,4,0,0,0,0,0
2022-01-25,-5.91448,-2.72661,-1.73548,-7.04459,-22.56897,-1.36755,2.77705,inf,2.93,-inf,-1.73731,-3.33333,-34.67188,12.15289,1.86792,1.02857,1.31667,-1.46002,11.0,inf,-3.17127,-inf,-7.33333,-1.93333,0.00763,0.0,-0.02433,-0.03283,0.54134,0.00508,-0.00125,-0.03053,-0.03283,0.63115,0,0,0,0,0,0
2022-01-26,0.09606,-0.99152,-3.39693,-0.84552,0.47002,-5.44531,-1.16233,-462.0,1.0916,-1.4071,-2.21053,-1.07143,-6.38655,-1.01465,0.7629,-1.93378,-32.7069,0.63388,-1.61311,-inf,7.22,inf,-0.10746,-0.83333,-0.03914,-0.0389,-0.03675,-0.02872,0.28872,-0.03181,-0.0389,-0.06018,-0.06061,0.98635,1,1,1,0,0,0
2022-01-27,-1.20766,-31.38889,-0.80878,-0.99855,-0.96248,-0.86204,-0.49198,0.01518,-0.90146,-1.0,-1.59197,-2.0,-1.22761,-1.25778,-1.45833,-0.99978,-0.94484,-1.61328,-1.08247,-469.0,-0.79389,-1.0,-0.2834,-0.92857,-0.02234,-0.01305,0.01226,0.00806,-0.39865,-0.06061,-0.05144,-0.02493,-0.02089,-0.22503,2,0,0,0,0,0
2022-01-28,-0.82977,2.67946,6.24761,-631.0,27.08696,10.41401,-1.66316,-0.64316,1.30864,inf,0.03955,-5.0,-1.03535,-112.81481,0.38586,-1.91172,0.05383,0.57469,-1.3369,-0.63774,-0.77251,2.42953,-1.61538,3.0,0.00806,0.00926,-0.03096,-0.03733,0.8271,-0.01445,-0.00392,-0.01907,-0.02957,0.09873,3,1,1,1,1,1
2022-02-03,8.60479,-0.98013,-1.38472,-1.8381,-1.26058,-1.23633,-2.80952,-1.00599,-2.80214,-1.0,-1.02717,-211.25,0.63507,-0.92687,-3.78828,527.0,-8.31884,-3.69745,0.2,-1.00214,-5.16049,-1.0,-1.02825,840.0,-0.024,-0.02359,-0.00139,0.02493,-0.16721,-0.01613,-0.01455,-0.0323,-0.01333,0.52159,4,1,1,0,0,0
2022-02-04,-1.16646,-12.48333,-0.5547,-1.5322,-1.23168,0.62928,-1.13158,-1.0,-0.78932,-1.0,-3.6,-1.07134,-2.5988,-1.22822,-1.17132,-0.55397,-0.93963,-1.38504,-0.7619,-1.0,-1.37968,-1.0,-0.92935,14.0,0.02186,0.02416,0.03616,0.00811,-0.42637,-0.00267,0.0,0.03472,0.03324,-0.52229,3,1,1,1,1,1
2022-02-07,-11.18352,-2.19303,0.02697,5.30961,-2.1453,0.84855,-8.26667,-1.0,-0.3662,-1.0,-0.15385,-1.01667,0.69514,12.7,-0.54269,-4.35795,-0.73465,2.01181,-0.04386,-1.0,-0.86647,-1.0,-3.2,-0.99881,0.00267,0.00262,0.00268,0.02279,0.10548,0.02459,0.02685,0.03894,0.03108,-0.36586,4,0,0,0,0,0
2022-02-08,-3.02722,-2.09002,-5.03659,1.21884,-0.79104,-1.07056,-1.6055,-1.0,-4.35556,-1.0,48.54545,-38.0,19.64419,0.30044,-5.14547,13.0,-1.23932,-1.13043,3.4,-1.0,-3.12676,-1.0,40.92308,-0.38333,0.028,0.00784,0.01339,-0.00131,-0.10142,0.03075,0.01048,0.01611,0.02145,-0.00663,0,1,0,0,0,0
2022-02-09,-0.95501,-1.42299,-0.76389,-0.95094,-8.78571,1.44444,0.48485,-1.0,-0.57616,-inf,-0.98349,-1.0,-1.09121,-0.53893,-1.9531,-0.89114,-2.62687,-1.17248,-1.89908,-1.0,-2.42222,-inf,-0.18182,-1.0,0.0013,0.01427,-0.00132,0.00131,0.13287,0.02933,0.02222,0.01205,0.0,0.01798,1,1,1,1,0,0
