,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,0.6604821421855608,1.2607686197837111,-1.751171230616958,-0.25347296430861294,-0.49032475180885077,-1.1254157037371062,-1.2644313202514765,-1.0,0.12302667392487751,-1.0,3.944297082228117,3.4545454545454546,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,2.07,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,0.027607361963190184,0.03753753753753754,0.04251968503937008,0.0391566265060241,0.32341572003171903,1.3982002860712281,1.570252669966137,-12.05242718446602,1.1179966044142615,0.4664730089566691,-0.038461538461538464,-1.2314876584389594,8.619047619047619,2.2108949416342414,-1.4018264840182648,0.07435158501440922,-6.068965517241379,-1.5303942059568758,-1.5051124744376279,0.05400660885568911,-3.1749688954426065,7.216940363007771,9.446064139941686,-4.978388682814208,-2.2985762656049813,0.6229697116468644,-3.4684061705255114,-2.0222605424047657,-2.493388898416064,-2.0337787939602006,4.79078229229836,14.962495065140152,17.441860465116296,15.966888156729691,3.2082105328456887,0.2784119976933075,2.2155734946065646,-1.909289999771875,-2.9627669459834376,-0.5101415691041864,-1.0999058095231298,-0.23876296005060227,-3.596615435869282,-2.5962368709690824,-1.3160064918282708,3.2139915117832847,-3.239055482901687,-3.2961202152078597,-0.9767343758189445,-3.9049960272811135,-2.0096569540208695,-0.6581235908612305,-3.8983256997503624,2.1313034687126287,0.07028753993610223,0.07131782945736434,0.06774193548387097,0.07142857142857142,0.701927991507598,3,1,1,1,1,1
2022-01-10,0.19922992714506813,0.2345684017080158,0.9105762473647224,0.28250787288863444,-0.727137669197755,0.01887640449438202,-0.5814121037463977,-1.25990099009901,-0.5765874939408628,-0.9204545454545454,-0.5375536480686696,-0.07482993197278912,-0.01,-0.04,-0.63,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.7,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,0.07462686567164178,0.04486251808972504,0.04380664652567976,0.042028985507246375,0.20748249718814385,0.9912998783988768,1.791073501558013,-2.435169910920488,-0.04257319940158154,-0.8609288238263503,-1.1277831012907953,-1.1106877500476282,1.0,-0.5244964616222101,-1.0,1.2864721485411141,3.121212121212121,-0.48190922531871566,-0.5070127579840732,-0.4782590175577926,-1.1765452066089495,3.4947368421052705,5.688789737869498,-1.4322242073838742,0.031141883097106554,-0.04757135703554801,-1.0878654485339894,-0.5274374001065529,-2.1534238596803865,-0.5012147437124672,3.8235294117647025,4.881870781099322,5.494505494505499,-4.916367642472566,1.3487515380065866,2.7113290630783857,3.7752133900486027,-1.65816897983722,-1.9736204390461796,0.4236565852336093,-0.30645105616577484,-0.05197357980739185,-1.4871535405503309,0.03842259079448206,-1.3223407302689145,4.464766968164966,-0.33967786202969247,-1.3551309600064847,0.9913186913216682,-1.0836150502976551,-0.4744511804797229,-0.9237442328402308,-0.971204684823463,4.900196614829449,0.10429447852760736,0.08408408408408409,0.08818897637795275,0.08283132530120482,0.5980013184419456,4,0,0,0,0,0
2022-01-11,-0.6568331192868475,-0.3814563882534505,1.7120919540229884,0.02379570516540917,-2.353901996370236,6.329951477723864,22.545611015490532,-1.6666666666666667,-2.5924441900400685,94.42857142857143,-1.363109048723898,-0.625,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,2.8,3.41,-0.85,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.016666666666666666,0.013850415512465374,0.005788712011577424,-0.012517385257301807,-0.343155495715683,-0.5884640066437659,-0.23636560185935895,4.181658468025299,0.3130260521042084,-1.3694288544073951,6.468314606741573,8.855907780979827,-0.8267326732673267,-1.6742607852641784,6.590909090909091,-1.1679184549356223,-0.6530612244897959,-0.4625110062635449,-0.4733826094178224,-0.3488139730885743,-0.9581826258011295,1.0989010989011045,0.6349206349206356,0.00816251054168624,0.2119458229895429,-0.5734677787460128,-0.9152678973199226,-0.5386666666666666,-2.6515498804978543,-0.5485461185464425,-0.5665722379603405,3.252499712676703,3.1250000000000027,-1.0708872273590624,-1.547943294375669,0.8447249578205381,1.1781536816160352,0.5798080020217657,-2.2364815444936945,-1.1786767074818651,0.10980209930890582,-0.5741573341564199,-0.9086483343549673,-0.2910576669105393,-1.0789441741176629,0.11468774599179062,-1.085120997864554,-1.450903749532096,0.45724529079847936,-0.587349696424866,-2.295461741005955,-1.7590758168294793,0.10774754040259295,1.3749310702728583,0.09253731343283582,0.059334298118668596,0.04984894259818731,0.028985507246376812,-0.20687175770246446,0,1,1,1,1,1
2022-01-12,0.9310034855989726,0.11055174122310306,-0.6705092561198888,-0.8489010989010989,-0.9736371760500446,-0.37533850875609315,-0.6260233918128655,-1.6428571428571428,-0.8346513299784328,-1.0,-1.3450479233226837,2.973856209150327,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.03278688524590164,0.004098360655737705,0.017266187050359712,0.03380281690140845,-0.15719349089697682,-0.3373435572007756,-0.31307531495244245,-0.10639080459770114,-0.8453055939997322,-1.0356926799758015,3.578738420820468,7.805507745266781,-0.5714285714285714,-1.2633085289066972,-1.0,-0.8747099767981439,0.49019607843137253,0.05619222225037344,0.05816046749937685,-0.10133524367085125,1.6045183235992557,1.1396011396011407,-0.158730158730153,-2.5362746609091453,-0.9309994878226298,-0.44421064936584453,1.4565563440959486,0.7980290289754164,2.0841201906631546,0.7707899474451525,-1.0764872521246405,2.1146994598321998,31.87954309449637,-1.8656736524495652,2.940430481567567,0.5343817907751726,3.135293229630913,1.8079723011363635,0.4333868703500674,-0.5240045188037746,-1.553722918474788,-0.8704301472627549,1.3145524082982425,1.044948654729287,0.10870973239786043,-0.20594861587514188,0.6333060881640601,1.2242624070544836,0.6785327329192864,1.6820735507187945,-1.3169387390753282,1.4988739960063542,2.2145114764053937,0.6663364107371891,-0.016666666666666666,0.018005540166204988,0.023154848046309694,0.02086230876216968,-0.44640717632062904,1,1,1,1,1,1
2022-01-13,0.9350364339391406,0.7100518646579402,-0.9195822185634904,-3.488023088023088,-17.54237288135593,-0.5002890173410405,-0.7453088350273651,-1.1111111111111112,9.045652173913043,-1.0,35.745370370370374,1.4078947368421053,0.11,0.09,-0.76,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.75,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.059322033898305086,0.053061224489795916,0.056577086280056574,0.05313351498637602,0.39596909539001196,2.736562098697487,0.8991010758776897,-0.9735030853732962,-1.3759375545089831,-1.4361036639857014,-0.6878497923812963,-0.9047514619883041,-0.9285714285714286,0.6610352264557872,-0.9341317365269461,-13.678913738019169,8.568627450980392,0.6139621563824675,0.5785491766800178,-1.1344899587898234,1.7891465914915428,-2.254428341384865,-2.8916929547844346,1.116915089301534,1.5635253875905135,-1.0158258488865206,1.6433270607284611,1.1582390476701165,2.5180092201920883,1.2003537253575347,-0.17094017094016478,2.727070347284069,23.232323232323225,-9.175251620091146,5.637218258311607,0.8771915711668364,3.609106688095461,0.49817301876124137,1.6753439156089438,0.9310502017048083,-0.5681148125609926,-0.09728840912897184,1.6517976790308748,1.382703297764654,2.0752393454869025,0.5516761893040928,1.3120871227239226,2.140234030510839,0.07190833117770065,1.8027799835568088,0.3882041597343152,1.3570703636289267,-0.3815511840019057,1.3975895210305507,0.02459016393442623,0.05737704918032787,0.07482014388489208,0.08873239436619719,0.17653184010136114,2,0,0,0,0,0
2022-01-14,-0.8832875098193245,-0.7843499003000317,13.334612923864363,1.6099060433824381,-1.7049180327868851,0.11721611721611722,26.529547198772065,14.0,-0.4804154944817139,0.7045454545454546,-0.9909285624291294,-0.9726775956284153,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.63,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.021333333333333333,-0.00904392764857881,-0.006693440428380187,-0.02328589909443726,-0.15597342394197086,-0.7741570792046286,-0.6312271448943985,0.15275776908828978,-7.4935064935064934,10.661016949152541,-0.44171483622350677,6.011532447224394,-2.6666666666666665,4.219565217391304,-1.0,-0.6666666666666666,-0.9342105263157895,-0.3817675243739115,-0.38474313551815764,-0.8888872931985293,-2.152422462257596,-3.54124748490946,-4.1865394806571254,1.3743419379656714,1.1857089434110935,-0.5199989935503389,-2.287535977167947,-1.126461211477152,-1.6411002228703624,-1.1468108897173026,-2.577319587628862,0.7203151378728275,-3.9370078740157513,10.320476014546824,1.108103314888272,-0.3688772383819182,-0.41473126254584847,-1.8880342345182914,-1.4570167734942676,0.4798932683476021,0.8089943042344925,0.2697951828409349,-2.2268904885783187,-1.0455479107548187,0.13883873064960314,0.5898873987787088,-1.8829607029419044,-2.0969682743875397,-0.6456210135770973,-2.4391086791459955,0.17176290608639588,-0.6817287432116726,-3.74326536630736,0.6960586319048653,0.08192090395480225,0.04353741496598639,0.04950495049504951,0.02861035422343324,0.17823501586485604,3,0,0,0,0,0
2022-01-18,0.7967857142857143,0.36689163854518186,0.2124749988371552,-1.176394469795001,-0.3592105263157895,-2.902388369678089,1.2674370614940156,0.01639344262295082,-0.1823658269441402,-1.0,-1.3316582914572865,-7.258064516129032,-0.56,-0.54,0.41,0.68,4.22,5.11,-1.39,-1.09,-0.01,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,-0.04423592493297587,-0.026595744680851064,-0.019662921348314606,-0.012569832402234637,-0.12061269748921649,-0.5767289247854619,-0.21243086761147598,0.16344565945101538,-0.8848888888888888,1.123546511627907,0.5806729939603106,-0.5405201973739232,-0.17333333333333334,-0.37817576009995835,-1.0,0.8333333333333334,3.85,-1.0430101346325777,-1.006637168141593,0.2739719639992848,-1.8348046389400308,4.2207792207792245,5.106382978723409,-2.5781821089181287,-2.4303781484796363,0.327119744374477,-1.9399005112290555,-1.304002120328651,-0.01537608899883074,-1.3435314777788356,2.340182648401822,4.984288655325597,5.737704918032792,8.910327015015769,1.4278803411070562,-1.412496307410573,1.8275933356910266,-1.7974785419451411,-2.5166970005902565,-0.38946010020529104,-0.2008321421890876,0.4094969146762048,-1.7879615346778324,-0.8713395466828434,-1.634549301119324,1.1706445203516902,-2.0826705041102915,-2.4327405158895994,-0.3778428695235983,-1.8081157973048698,-0.5412267992271336,-0.7789618260404765,-1.356174709367629,-0.12221121487852127,-0.06919060052219321,-0.04563233376792699,-0.05929919137466307,-0.06357615894039735,-0.4846092786132127,0,0,0,0,0,0
2022-01-19,-1.5219638242894056,-1.0106158277328212,-0.8087236736103119,-2.3702702702702703,-0.1375770020533881,-1.4131004366812228,-0.9230069166363305,22.774193548387096,-0.18821165438714,-1.0,-2.272727272727273,-0.7577319587628866,-1.51,-1.5,0.59,-2.5,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.79,-4.44,-1.83,3.67,4.3,1.79,18.76,1.92,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,0.0,-0.01639344262295082,-0.01002865329512894,-0.018387553041018388,-0.12517562361946497,-1.937857142857143,-1.0145106861642295,-0.7680822363830876,-0.7582919021998229,-0.4473684210526316,-0.21412253374870197,-0.8254230293025175,23.16393442622951,-0.3362541073384447,-0.9690721649484536,-0.5778894472361809,-2.5161290322580645,-2.0633553799980464,-2.028397565922921,1.0002617057369747,-1.8350252578234698,3.612012987012986,4.787234042553196,-2.825848710928522,-1.974042177159041,0.22015511692590506,-2.025481439896511,-1.7358125537403266,-2.2194031151780433,-1.7531583895325689,4.573340769659792,8.009082464650636,10.077519379844949,12.21074108713616,4.0306836920210865,-3.279739813002161,2.8589895188918706,-1.553924843150353,-2.3595182433748088,-1.7538056893336162,-1.8443481557635546,-1.3116954723073841,-1.6210222624487087,-1.4676977630486483,-2.1455502304821437,-0.9568832923394743,-1.88687678567819,-1.9370760976709096,-2.1081004245549813,-1.7460782480026107,-2.9012902588718146,-3.0691360282658766,-2.962607500406255,-2.7039782464015274,-0.04423592493297587,-0.0425531914893617,-0.02949438202247191,-0.030726256983240222,-0.2306905514840429,1,0,0,0,0,0
2022-01-20,5.1803122619954305,64.08785529715762,0.6209386281588448,-2.049591434206819,1.819047619047619,-1.8060253699788584,1.5027580772261624,-0.6160108548168249,0.20462046204620463,-0.8333333333333334,3.738095238095238,-1.3404255319148937,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.03225806451612903,-0.0375,-0.0694645441389291,-0.059077809798270896,0.7920463185457147,-4.225899423573842,-1.6909614593334248,-0.6899528139026355,0.43822393822393824,1.431211498973306,-0.6670305676855895,-0.807304938721029,8.129032258064516,-0.022103148024112524,-1.0,-7.03030303030303,-1.0824742268041236,-2.4592472248910986,-2.4751368868029946,0.35623509223124006,-3.605148838625908,-1.2461059190031163,-4.402834008097164,-2.5054806752594616,-1.6546163365813893,-0.15630383448599566,-3.7162583927822075,-2.803587732960954,-7.394232134784103,-2.78992461691884,2.487562189054735,4.7438708391468865,23.2974910394265,24.28347950872505,3.7461219292301293,-3.910943242660763,-0.2561099511134437,-1.8233349101019325,-3.691057487069857,-2.276637665001276,-0.7482312250460211,-0.8206244744694607,-3.8241766649418425,-2.178398252872759,-1.5290518204748413,-3.9257710209012546,-2.1480432869291306,-3.1779365003918847,-3.0709551321057993,-3.9898711035400374,-3.169370814727939,-3.4089243057157117,-4.860017208875226,-5.458870459628732,-0.03225806451612903,-0.05327868852459016,-0.07879656160458452,-0.07637906647807638,0.5677258030667885,2,1,1,1,1,1
2022-01-21,-1.3427708801873133,-1.8980507364325698,0.4188319722840881,0.11892617449664429,-0.7519707207207207,2.8301639344262295,-0.04219143576826197,-0.8498233215547704,-1.0376712328767124,-1.0,-1.1306532663316582,3.8125,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,-0.07246376811594203,0.005772005772005772,-0.015552099533437015,0.06584992343032159,0.022475224162340726,-3.1184310738766183,-59.45219638242894,1.299839550742078,-2.174415328261482,-0.3007936507936508,-4.087209302325581,1.3971631205673758,-0.9423337856173677,-1.0453795379537953,-1.0,-1.619047619047619,-2.6382978723404253,-1.8464981608795263,-1.8236478629569755,0.0020882143017971794,-2.4003682756806524,0.15667841754798292,-1.4720812182741074,1.5636597376368955,-0.05446675554663782,-0.02263790255640458,-2.432503497460058,-2.1110199617172545,-6.237591108796717,-2.066920962829953,-3.413333333333336,-1.8729096989966614,26.7605633802817,12.286086549267509,1.720708434334472,-2.2681790067697665,-1.5507021971334098,-1.02181162011359,-3.7131767056005884,-2.32550340687743,0.6024286771213236,-0.045438352989902175,-2.684794885800186,-1.3257980087474597,-1.6403510366962673,-4.5544827332776,-1.2598053062876953,-2.455120896236741,-1.4386265329696521,-2.5731416728777887,-2.284777073025471,-1.7350596115188541,-2.1695736026190873,-4.7363674199734636,-0.10238429172510519,-0.03194444444444444,-0.08393632416787265,0.002881844380403458,0.8323229612643271,3,0,0,0,0,0
