,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-02-07,0.17836,-0.31785,0.53418,-0.20993,0.87237,0.30338,2.7803,1.14503,-0.152,-12.03513,-4.56031,0.25836,-0.06,0.02,0.11,1.33,1.99,1.27,1.26,1.57,-0.1,1.58,0.53,0.6,0.52,4.34,9.49,16.1,-4.64,2.26,1.66,1.58,-0.41,3.74,-1.07,-0.8,-1.2,0.47,0.14,-1.72,1.64,1.15,3.77,1.06,0.77,-1.36,0.06,0.44,2.0,0.04039,0.01917,0.07937,0.0566,-0.28421,-2.10593,-1.15129,0.43835,-1.72656,2.05328,-0.34688,-7.54023,45.31148,-0.03467,1.60331,-1.89694,-1.40246,-1.51445,-1.44821,-0.46904,-2.83833,1.11969,0.25126,3.43694,3.26357,-0.10088,-2.21633,-1.85155,-4.00592,-1.93449,8.18746,14.43478,23.31606,5.11543,4.58872,0.48253,0.52228,-0.85713,0.03159,-2.72233,-1.23492,-1.1894,-2.60694,-6.69753,-3.46033,0.91127,-0.39915,0.21205,-0.17471,-4.06516,-3.00209,0.80752,-1.72307,0.94421,0.00105,0.04555,0.06966,0.12,-0.54186,4,1,1,1,1,1
2022-02-08,-0.22955,0.05531,-0.3187,4.04337,-0.09763,-0.4946,-0.62662,-0.92743,-0.7801,-0.5416,-1.29978,1.8277,0.0,-0.03,-0.09,-0.86,1.35,3.59,-0.38,-0.19,-0.12,-0.58,-0.37,-0.02,-0.37,0.2,-1.64,-6.3,-1.55,-1.07,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,0.09129,0.08515,0.07353,0.0873,-0.08512,-0.09214,-0.28012,0.04523,2.9846,0.68957,-0.34126,0.41148,-0.84434,-0.81352,-6.05855,0.06731,2.55826,-0.05705,-0.00572,0.02097,0.46577,1.34512,3.59312,0.87483,1.37528,-0.21676,0.98603,0.15104,0.57625,0.14361,4.5207,7.65391,8.78049,-6.1191,1.16318,1.99075,2.9036,-0.53459,3.51025,-0.99808,-0.99512,-1.10063,-0.18666,-2.09787,-2.13514,2.10731,1.23812,3.44428,1.03723,-0.32332,-1.68464,0.12281,1.46163,2.62928,0.13537,0.10595,0.15873,0.14885,-0.34514,0,0,0,0,0,0
2022-02-09,-0.73793,-1.42116,-0.37216,-0.63617,1.25449,-0.41334,-0.93841,3.0439,-2.87417,-0.36204,-9.45618,-1.06606,1.06,1.07,0.26,1.2,3.68,2.34,-0.46,0.05,-0.04,1.28,0.82,2.4,0.84,2.37,3.95,27.35,-6.21,-2.15,1.38,-2.12,0.79,1.5,1.0,0.11,0.33,1.28,-0.1,1.57,2.45,0.47,1.47,0.54,1.33,1.58,0.86,0.09,2.03,0.06538,0.05292,0.02544,-0.01095,0.3517,-0.79809,-1.44445,-0.57226,0.83494,1.03438,-0.7035,-0.977,-0.70655,-1.41213,-0.70756,1.53499,-1.1868,1.06311,1.04065,0.15708,0.33366,5.07302,6.02227,-0.84176,-0.13781,-0.15856,0.68407,0.44519,2.37643,0.46661,2.55741,2.20365,19.32773,-7.6658,-3.19575,1.71824,-0.84499,0.66009,1.28062,1.07499,-0.08911,0.43324,0.60952,-2.33673,1.13604,2.91674,0.5527,1.1452,0.51616,0.22699,1.24407,0.92594,1.10384,2.6562,0.16264,0.14257,0.10084,0.0754,0.23664,1,0,0,0,0,0
2022-02-10,-1.75743,-1.36343,-1.50735,-1.47466,-0.90343,-0.5472,-28.82497,-0.81423,0.59418,0.29681,-0.60126,-2.125,0.86,0.85,-0.16,2.06,-1.65,-0.48,1.7,0.81,-0.19,2.08,1.45,3.35,1.45,-1.01,1.55,-1.76,-6.9,0.34,0.59,0.51,0.82,1.11,1.37,0.44,0.02,2.31,2.45,2.13,-1.13,2.23,1.52,0.38,2.46,2.29,1.71,2.52,0.09,-0.00722,-0.03466,-0.03626,-0.0572,-0.19844,-1.1985,-0.84694,-1.31853,-1.1727,-0.78228,-0.73436,-2.7138,-0.24878,-3.98776,-0.17269,-4.37183,-0.92568,1.92906,1.9217,0.09434,3.28646,1.97194,1.85638,1.23749,0.86665,-0.23561,3.38692,2.27895,5.83345,2.30404,1.35487,5.56414,25.11211,-12.68592,-1.81778,1.98331,-1.62312,1.61238,2.62942,2.38576,0.54432,0.34699,3.61223,2.34831,3.73049,1.28947,2.70964,3.00709,0.92078,3.81817,3.90332,2.58882,2.60515,2.12191,0.05769,0.01642,-0.01174,-0.06752,0.08347,2,0,0,0,0,0
2022-02-11,5.8767,-17.22422,1.7799,6.604,-2.50264,0.31561,0.69658,1.9026,-0.6905,-0.74426,-2.27253,1.56322,-1.47,-1.41,0.06,-2.24,-0.11,-0.1,-1.63,0.11,0.48,-2.1,-1.75,-3.22,-1.81,5.04,17.77,46.59,19.79,0.25,-0.85,-0.68,-1.57,-1.78,-1.65,-2.61,-1.03,-2.75,-1.41,-0.57,-0.2,-1.85,-1.77,-0.77,-2.48,-1.5,-1.84,-2.4,-0.32,-0.07818,-0.08977,-0.06634,-0.07143,0.11402,-6.20864,4.89629,-2.41039,-4.60932,-1.14511,-0.40429,-48.2074,-0.4608,-0.5066,-0.66836,-1.50741,-3.88362,-0.62373,-0.57439,-0.0941,-0.22736,-1.75567,-0.57279,0.0458,0.92701,0.29088,-0.06207,-0.33241,0.02744,-0.38659,3.96947,19.62825,44.01408,11.52052,0.58192,-0.25965,-0.17082,-0.77117,-0.6834,-0.30972,-2.18073,-1.0149,-0.50781,1.00743,1.55137,-1.32722,0.34543,-0.27234,-0.39814,-0.08313,0.75106,-0.16002,0.05659,-0.22953,-0.08484,-0.12132,-0.10019,-0.12454,-0.10704,3,1,1,1,1,0
2022-02-14,-0.89771,-1.17307,-0.54492,-0.50115,-2.4511,-1.54291,-0.60029,-1.0,-0.97066,-0.30197,-0.59439,-1.28999,-1.43,-1.46,0.55,-3.13,2.35,3.26,-2.04,-0.87,-0.03,-2.78,-1.96,-4.83,-1.9,-6.13,-7.56,-8.8,14.43,3.58,-1.45,2.79,-1.34,-2.82,-1.5,0.01,-0.31,-3.01,-2.54,-1.52,-0.74,-1.39,-2.74,-1.81,-3.32,-2.2,-1.51,-0.95,-1.37,-0.0858,-0.04536,-0.03075,0.01581,-0.38831,-0.29661,1.80791,0.26509,2.79326,1.18049,-1.71426,-0.32186,-1.0,-0.99092,-0.82149,-1.51615,-1.7433,-2.87966,-2.84504,0.61787,-5.30481,2.23131,3.16547,-3.63634,-0.76349,0.45475,-4.82541,-3.67539,-7.89524,-3.67415,-1.38817,8.85798,33.69176,37.07416,3.83672,-2.28646,2.09675,-2.8909,-4.55015,-3.13264,-2.59803,-1.33662,-5.67513,-3.91281,-2.07915,-0.93958,-3.20898,-4.45412,-2.56621,-5.71376,-3.66574,-3.3269,-3.3298,-1.68867,-0.15727,-0.13106,-0.09505,-0.05675,-0.31856,4,0,0,0,0,0
2022-02-15,-1.88928,3.6996,0.74867,0.62482,2.30695,3.05159,0.61516,-1.0,31.14706,-0.36364,-1.25694,-0.53608,-0.49,-0.45,0.3,0.09,-1.02,0.23,-2.81,-1.57,-0.18,-0.0,-0.35,0.15,-0.38,3.53,5.56,4.83,3.55,2.53,-1.12,-2.24,-1.09,0.58,-0.4,-0.8,-0.29,-0.03,0.32,-0.87,-1.0,-0.48,0.41,-1.09,0.17,0.55,-0.39,-1.88,-1.02,0.0205,-0.00413,0.00547,-0.03942,1.32833,-1.09096,-1.81336,-0.20421,-0.18946,-5.79873,-3.19966,-0.3544,-2.70694,-0.05667,-0.5558,-1.10422,-1.13453,-1.91654,-1.90102,0.85819,-3.04741,-1.02377,0.23343,-4.78854,-2.43332,-0.2092,-2.78253,-2.30128,-4.69161,-2.27328,-2.79001,-2.42387,-4.40098,18.48599,6.20828,-2.55742,0.48834,-2.41728,-2.25818,-1.89807,-0.78822,-0.59587,-3.03778,-2.22333,-2.37638,-1.73606,-1.86538,-2.33581,-2.87565,-3.14968,-1.6603,-1.89768,-2.81951,-2.38427,-0.06706,-0.04931,-0.02545,-0.02424,0.42422,0,0,0,0,0,0
2022-02-16,-3.90673,-1.76606,-1.23726,-0.91075,-0.44973,-1.39386,-0.90833,-0.84142,-0.60872,-0.67488,2.00183,12.74444,1.22,1.26,-0.4,2.5,0.11,0.98,-1.51,-1.03,-0.05,2.53,1.6,5.47,1.58,2.9,0.46,6.39,-9.28,-3.55,1.38,-1.39,1.15,2.08,1.51,-0.55,0.18,2.74,1.26,1.89,2.44,2.14,2.2,2.04,2.8,2.2,1.67,2.66,1.89,-0.02748,-0.02905,-0.02067,-0.02484,-0.74877,1.58489,-4.60017,-1.41489,-0.85499,0.81972,-2.59574,-0.85193,-1.0,11.57843,-0.7931,-1.77129,5.37629,0.72192,0.79995,-0.09367,2.5912,-0.91408,1.21382,-4.27389,-2.59016,-0.22676,2.52778,1.24731,5.62217,1.18656,6.51721,6.05245,11.52815,-6.06725,-1.10634,0.24465,-3.59675,0.03952,2.67225,1.10694,-1.34102,-0.10577,2.70139,1.58622,1.00388,1.42107,1.64938,2.62315,0.92899,2.97408,2.76113,1.27588,0.72156,0.84117,-0.00755,-0.03306,-0.01532,-0.06328,-0.41504,1,1,1,0,0,0
2022-02-17,1.00118,0.83339,0.17993,-0.58665,0.19537,-0.32606,-0.34586,-1.0,-0.73811,-0.98485,-2.17328,-0.48181,-0.16,-0.15,-0.3,-0.07,-0.33,-0.97,4.55,1.99,-0.02,-0.11,0.12,0.03,0.09,-0.17,-3.2,-7.93,-5.49,1.73,0.0,0.76,0.13,0.27,0.52,0.18,0.2,-0.17,-0.2,0.65,0.3,0.53,0.04,1.03,-0.23,0.3,-0.07,-0.32,0.25,0.0087,-0.00641,-0.00111,0.00886,0.16509,-6.81687,-2.40448,-1.27995,-0.96311,-0.34222,-1.26544,-0.94003,-1.0,-0.89753,-0.99507,-4.52198,6.12222,1.06491,1.10238,-0.69524,2.43458,-0.22165,0.0,2.97377,0.93179,-0.06598,2.41586,1.72963,5.50383,1.66619,2.71903,-2.73885,-2.04604,-14.2605,-1.88561,1.38286,-0.6352,1.27921,2.34876,2.03996,-0.37352,0.38088,2.5565,1.05832,2.54696,2.75392,2.68322,2.24502,3.09145,2.55696,2.51085,1.60545,2.33285,2.1354,-0.01903,-0.03527,-0.02176,-0.0162,-0.70729,2,0,0,0,0,0
2022-02-18,-0.90098,-0.67261,0.53917,-0.72013,0.22909,0.68847,-0.18468,1.0,-3.41667,28.0,-1.02548,-0.62715,-1.78,-1.78,0.1,-2.98,0.26,-1.49,-0.45,0.53,0.18,-2.88,-2.14,-3.74,-2.12,-3.51,-3.71,-4.7,15.73,-2.03,-2.41,-0.08,-1.6,-2.57,-1.86,0.06,0.91,-3.07,-2.96,-1.7,-2.62,-0.35,-2.42,-2.34,-3.46,-1.72,-1.32,-2.71,-3.65,-0.02047,-0.01075,-0.00556,-0.0022,-0.26047,-0.80184,-0.39977,0.81612,-0.88432,0.46921,0.13793,-0.46667,-2.73554,-1.63289,-0.56061,-0.9701,-0.80679,-1.93436,-1.92815,-0.19794,-3.04425,-0.0738,-2.44465,4.08372,2.52378,0.15626,-2.99185,-2.0159,-3.70943,-2.03106,-3.67107,-6.78503,-12.25962,9.37743,-0.3367,-2.40912,0.67519,-1.46616,-2.31055,-1.34793,0.23548,1.10738,-3.23372,-3.15229,-1.06329,-2.3294,0.17647,-2.37942,-1.3359,-3.6816,-1.42054,-1.38407,-3.01856,-3.41372,-0.01196,-0.01709,-0.00667,0.00664,-0.13838,3,0,0,0,0,0
