,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-11,-2.93291,-0.00246,1.32474,1.89163,-0.37797,-0.72689,115.45946,1.0,-2.57182,1.0,-0.69903,-4.125,-0.45,0.49,-0.38,1.43,1.1,0.63,-1.07,0.02,0.03,0.05,0.92,0.24,-0.14,-0.5,-1.1,28.28,3.41,3.82,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.00452,-0.04292,-0.03163,-0.0178,-0.29939,-0.2188,-6.45294,1.86786,9.2081,-2.71592,-0.60443,27.91946,-0.35922,-1.65095,-7.0,-0.94464,-0.63899,-0.46251,0.05816,-0.10447,1.60452,1.0989,0.63492,-2.53628,-0.931,-0.57347,-0.91527,0.79803,-2.65155,-0.54854,-1.07649,2.06897,32.29167,-1.07089,2.94043,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,-0.01767,-0.05375,-0.02428,0.00455,-0.3541,0,0,0,0,0,0
2022-01-12,-0.62531,-1.54594,-1.20189,-0.69214,0.43117,-4.68824,-1.04409,0.90909,-1.0569,-1.0,-20.32258,-6.78,0.51,0.09,-0.74,0.36,0.04,-0.79,2.21,1.54,-0.48,1.41,0.24,1.84,0.92,0.31,3.87,-3.94,-5.1,1.75,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.01049,0.00299,0.00933,-0.0136,-0.07106,-1.72423,-1.5446,-1.46935,-0.10978,-0.10977,-2.00729,-6.13514,1.0,-0.91057,-1.0,-6.81553,17.0625,0.05619,0.57855,-1.1147,1.78915,1.1396,-0.15873,1.11691,1.56353,-0.44421,1.45656,1.15824,2.08412,0.77058,-0.17094,2.78396,23.23232,-1.86567,5.63722,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,-0.00602,-0.04006,-0.02259,-0.03116,-0.34918,1,1,1,1,1,1
2022-01-13,-8.02075,2.60549,9.86537,-2.85052,4.74492,-0.69489,60.82105,-0.89683,-157.0303,1.0,-0.41569,-1.03114,0.11,-0.47,-0.13,-2.5,-2.29,-2.12,-0.82,-0.35,-0.54,0.23,-1.36,0.66,0.28,-2.92,-3.03,0.0,-4.29,-0.63,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.01364,0.04322,0.01387,0.05513,0.81656,-3.63057,-2.9684,-3.19365,-1.5697,7.22195,-2.12532,-3.72592,-0.80303,7.87759,5.02381,-12.29032,-0.82,0.61396,-0.38474,-0.86802,-2.15242,-2.25443,-2.89169,1.37434,1.1857,-1.01583,1.64333,-1.12646,2.51801,1.20035,-2.57732,0.78829,-3.93701,-9.17525,1.1081,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,0.003,0.04634,0.02333,0.04079,0.68747,2,1,1,1,1,1
2022-01-19,-0.87276,-0.88411,-1.14544,-0.14345,-1.21223,-1.75618,-0.87823,-1.0,-1.61917,-0.96696,0.11429,1.2,-1.51,-0.99,-0.23,-1.13,-0.58,-0.3,-1.06,-0.77,0.23,-2.6,-1.03,-4.44,-1.84,-1.14,0.43,21.13,18.76,1.79,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.036,-0.01461,0.00141,-0.00279,-0.41724,-0.38865,0.62391,-0.95669,-1.30958,-0.70404,-2.44911,-0.93623,-1.0,-0.74749,-1.84091,-1.08971,-2.11765,-2.06336,-2.55136,0.26244,-3.55413,3.61201,4.78723,-2.50548,-1.65461,0.22016,-2.02548,-2.85055,-2.2194,-1.7583,2.48756,4.78564,22.85714,12.21074,3.90728,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,-0.0055,-0.06901,-0.0125,-0.06892,-0.66016,1,1,1,1,1,1
2022-01-20,-5.49579,-0.29002,-98.63333,-0.07163,16.34716,0.27489,-64.20346,-1.0,0.16438,50.13514,0.88462,-1.311,-0.96,-0.84,0.24,-1.28,-0.67,-4.11,2.66,0.72,-0.38,-1.15,-1.09,-3.09,-0.97,-2.31,-2.29,4.65,4.65,-0.07,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.03458,0.00809,-0.01969,0.03771,0.23502,-1.57204,-0.91772,13.20006,-0.2048,-4.68165,-1.96405,-8.69636,-0.43436,-1.72095,0.68929,1.1,-1.68421,-2.45925,-1.82365,0.01045,-2.40037,-1.24611,-4.40283,1.56366,-0.05446,-0.1563,-3.71626,-2.11102,-7.39423,-2.78993,-3.41333,-1.81644,26.76056,24.28348,1.72071,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.06933,-0.00664,-0.01831,0.03482,-0.28027,2,1,1,1,0,0
2022-01-25,-1.08564,-0.32263,-0.33646,11.75192,-0.26531,-3.39037,-0.31821,-1.0,-1174.0,1.0,-0.91963,-0.03093,0.29,-0.2,0.03,-2.48,-0.16,-0.93,-2.84,-2.56,0.26,0.63,-1.24,1.31,0.28,0.0,5.8,13.53,3.64,2.75,0.24,0.55,-0.37,1.21,0.53,-1.03,-0.35,0.33,0.43,0.02,0.94,0.13,0.39,1.65,0.61,1.39,1.43,0.84,0.97,-0.01505,-0.01862,-0.00418,-0.00826,-0.23648,-0.99302,-0.81742,-0.68463,0.51827,-0.70503,-0.47271,-0.78069,-1.05398,-5.14488,1.0,-0.51174,0.59322,-1.01076,0.08197,0.32413,-1.98073,-0.15736,-0.93023,-5.66474,-4.01864,0.26585,-2.11169,-0.93394,-0.42349,-1.61955,0.33898,1.08268,13.52941,16.84251,0.54029,-1.78417,-1.41474,-1.42498,-1.92408,-0.43635,-1.20904,-0.33843,-1.60592,-3.46967,-2.46925,-1.41398,-2.73862,-3.60015,0.35424,-1.55533,-1.25889,-0.52252,-0.74981,-2.29582,-0.04255,-0.04031,-0.04027,-0.04128,-0.16258,0,0,0,0,0,0
2022-01-26,78.70833,0.21805,-1.13816,-0.6795,-0.04199,0.01704,-1.21441,-1.83607,-0.99574,-0.91337,-0.72115,-1.30851,-0.19,-0.38,0.46,0.13,1.5,2.24,-0.83,-0.41,0.06,-2.28,-0.17,-3.71,-1.22,5.44,12.57,3.63,4.21,2.04,0.47,3.96,-0.66,-1.81,-0.93,-1.57,-1.13,-2.34,-2.24,-0.86,-0.3,-1.03,-1.95,-0.96,-2.77,-1.66,-1.31,-1.41,0.49,0.00972,-0.01084,-0.04056,-0.03056,0.11518,-7.82605,-0.17493,-1.09167,3.08696,-0.29616,-3.43111,-1.14618,1.0,-6.0,1.0,-0.97759,-1.29897,0.09444,-0.57805,0.48999,-2.36191,1.33753,1.29199,-3.63885,-2.96418,0.32201,-1.66774,-1.41357,-2.44382,-0.94339,5.46171,19.05252,17.64706,8.00693,4.84936,0.70823,4.53221,-1.02622,-0.61993,-0.40438,-2.57963,-1.48481,-2.01159,-1.81317,-0.8334,0.64083,-0.90429,-1.56185,0.67136,-2.177,-0.28598,0.10434,-0.57539,1.4658,-0.00547,-0.02926,-0.04457,-0.03857,-0.14854,1,0,0,0,0,0
2022-01-27,2.84749,2.77424,3.24226,1.95807,-2.27377,-2.05515,10.77653,-0.27451,427.8,-1.62857,-11.75862,-4.58621,-0.38,-0.04,0.9,-1.21,-0.12,0.15,-3.73,-3.5,0.06,0.02,-0.55,1.68,-0.15,-3.72,2.75,2.5,2.57,-0.85,0.27,-0.17,-0.44,-0.32,-0.82,-0.71,-0.67,0.72,-0.79,-1.02,-0.8,-1.38,-0.71,-0.36,0.93,-1.03,-1.67,-1.16,0.28,-0.03714,-0.03562,-0.04082,-0.05301,0.7636,305.67708,3.59721,-1.58609,-0.05195,-2.22028,-2.07313,-3.52499,-1.60656,0.82779,-1.05446,-4.0,0.10638,-0.57155,-0.41539,1.35487,-1.08905,1.37904,2.39958,-4.52082,-3.89282,0.12044,-2.25916,-0.71856,-2.09629,-1.36503,1.52027,15.67673,6.21762,6.88963,1.17991,0.73481,3.78158,-1.1038,-2.12874,-1.75076,-2.26584,-1.798,-1.63177,-3.00488,-1.86711,-1.09854,-2.401,-2.64716,-1.31433,-1.86495,-2.6651,-2.95463,-2.55108,0.77078,-0.02778,-0.04607,-0.07972,-0.08194,0.96673,2,1,0,0,0,0
2022-02-03,-2.24754,-1.08488,1.2887,-1.22285,1.06776,2.33779,50.90462,14.0,-14.29545,-139.72727,-0.94354,-0.66667,0.63,-1.47,-0.58,-4.12,0.0,0.0,2.15,1.67,-0.24,0.5,-2.36,2.46,0.94,3.64,4.56,6.22,0.59,2.28,0.66,0.38,1.25,-0.53,0.67,1.46,1.18,0.81,3.09,0.23,-0.27,-0.31,-1.61,0.42,1.98,0.32,0.31,-1.23,0.4,-0.00732,0.0317,0.02446,0.06798,0.03918,-1.95605,-1.11867,-8.88484,-1.2765,-9.99788,-4.31562,-3.30294,12.37838,-1.81856,-70.36364,-1.53205,-0.67308,1.416,-0.85899,-1.04783,-3.35117,0.0,0.0,4.98923,3.56972,-0.42918,1.24769,-1.45535,3.27169,1.63502,2.28412,2.82293,-5.09259,-11.03504,2.34694,2.10309,3.93494,1.54006,0.09763,2.09658,0.16492,1.11941,1.05455,4.40478,1.90735,1.37754,0.64684,-0.66662,1.37833,2.46131,2.19287,0.51494,0.25866,2.78561,-0.03143,0.01705,0.01824,0.06959,-0.03968,4,0,0,0,0,0
2022-02-08,0.04278,-1.48067,1.64356,1.6237,3.60347,0.35765,2.63348,-1.0,-0.44961,-1.07234,0.40798,-1.45455,0.0,1.07,0.26,1.2,1.35,3.59,-0.46,0.05,-0.12,-0.58,0.82,-0.02,-0.37,2.37,3.95,27.35,-1.55,-2.15,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,-0.01429,-0.02247,-0.00601,-0.03874,-0.30525,0.12246,-1.16434,-3.29522,-65.53191,-18.8498,-2.01509,-2.68461,4.4,-4.20408,-0.54054,38.6875,-1.23256,-0.05705,1.04065,0.15708,0.33366,1.34512,3.59312,-0.84176,-0.13781,-0.21676,0.98603,0.44519,0.57625,0.14361,2.55741,2.20365,19.32773,-6.1191,-3.19575,1.99075,2.9036,-0.53459,3.51025,-0.99808,-0.99512,-1.10063,-0.18666,-2.09787,-2.13514,2.10731,1.23812,3.44428,1.03723,-0.32332,-1.68464,0.12281,1.46163,2.62928,-0.05738,-0.05306,-0.05698,-0.04694,-0.00204,0,0,0,0,0,0
