,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.5708661417322834,9.30890052356021,2.3497109826589595,-0.809648913303081,0.13821138211382114,-1.4206046375110069,-1.5213675213675213,-inf,-0.45751633986928103,-29.5,-9.866666666666667,-1.4285714285714286,-1.072449318710535,-0.6321001494768311,-0.021940928270042195,-0.6479681978798587,4.6,9.163120567375886,-1.2067796610169492,-0.7666666666666667,-0.49079754601226994,27.5,4.782608695652174,-1.75,-0.013700928575880037,-0.02004788671798277,-0.013758993671922407,-0.011388257802224083,-0.3225666957279861,0.004648687185346869,-0.004527229886367955,0.0023297587525022883,-0.013633912508172235,-0.01238497127459454,3,1,1,1,1,1
2022-01-10,-108.75229357798165,3.852209243270696,-7.201898188093184,-3.794228356336261,29.34285714285714,-5.113049546406141,-9.229508196721312,16.035714285714285,-24.02409638554217,-2.2280701754385963,-4.2556390977443606,1.3333333333333333,-47.24015748031496,49.02094240837696,-21.77456647398844,-1.5318844041079531,33.53658536585366,0.7299677135309657,3.2905982905982905,-inf,-13.490196078431373,34.0,27.866666666666667,-2.0,0.004632037367369654,0.05909301315670171,0.004648687185346869,0.06912634135485307,1.8992762053805843,-0.009132354421641523,0.037860436405129115,-0.009174267744141472,0.05695085495635537,0.9640662598081953,4,0,0,0,0,0
2022-01-11,-0.7897828863346105,-1.40360058614193,-0.4246661101836394,-0.7691962281095645,-0.6643126177024482,0.0831353919239905,-2.5219123505976095,-1.0,-0.6274201988487703,-1.0,-2.2702078521939955,2.857142857142857,-23.65137614678899,-2.958354494667344,-4.568162208800691,-1.644918444165621,9.185714285714285,-5.454989532449407,11.524590163934427,-1.0,-9.578313253012048,-1.0,3.1353383458646618,8.0,0.05990981837885957,0.006438851189993422,0.05556014600881691,-0.008620611633526712,-0.41253489016257217,0.06481936026363243,0.06591235546477946,0.06046711493293097,0.05990981837885957,0.7032236144429458,0,0,0,0,0,0
2022-01-12,-2.5504252733900366,0.17557053941908712,-1.3226937492443478,-2.5155642023346303,-0.9214586255259467,-1.2174185463659148,-0.612565445026178,-1.0,-1.4452247191011236,-1.0,-2.0345454545454547,-5.2592592592592595,-1.325925925925926,-1.4744609587607285,-1.185656649972176,-1.3497979344409519,-0.9736346516007532,-1.2354937224295894,-1.5896414342629481,-1.0,-1.1658817373103088,-1.0,0.3140877598152425,-17.428571428571427,-0.0065228207433915926,-0.008528717827034916,-0.04166743410752767,-0.04348242855251806,0.002448180186061694,0.05299621662941353,-0.0021447817819712166,0.011577663178462242,-0.05172819505661094,-0.4110966697206656,1,1,1,1,0,0
2022-01-13,-1.0852925809822362,-1.5696007059342598,-0.31697264893218435,-3.8549422336328627,-11.053571428571429,0.30835734870317005,-0.8682432432432432,-1.0,2.302839116719243,-inf,-0.8101933216168717,-0.9826086956521739,-0.8677602268124747,-1.6696058091286308,-1.2204086567525088,3.3268482490272375,-1.7896213183730716,-1.2844611528822054,-0.9489528795811518,-1.0,-2.470505617977528,-inf,-1.1963636363636363,-1.0740740740740742,-0.026257994560023524,-0.023656855927534793,0.009153241112226904,0.011367161216123998,-0.23506036156638566,-0.03260953911181913,-0.031983811105688945,-0.032895585066214796,-0.03260953911181913,-0.23318765150003928,2,0,0,0,0,0
2022-01-14,-1.2113323124042878,0.8838109992254066,1.6428963247394406,1.275179856115108,1.0097690941385435,3.1685022026431717,-0.3076923076923077,-1.0,-0.9847182425978988,-0.8947368421052632,0.9351851851851852,11.5,-0.981974921630094,-2.073020075005515,0.8051704758336455,-7.495507060333761,-21.205357142857142,4.453890489913545,-0.9087837837837838,-1.0,-0.9495268138801262,-inf,-0.632688927943761,-0.782608695652174,0.004491985674717953,-0.013218079817222353,-0.006803854724132021,-0.0022507113097063693,0.10419146571228115,-0.02188395942071602,-0.03656223753488246,0.002287109065312339,0.009090865708109243,-0.155360179456565,3,0,0,0,0,0
2022-01-17,47.05797101449275,-2.0553042763157894,-0.661892901618929,-1.4707509881422924,-1.3150684931506849,-1.0540290620871862,67.4074074074074,-1.0,-90.625,-23.0,-1.5885167464114833,-0.68,-11.156202143950996,-2.9879938032532922,-0.10641799232035107,-2.071043165467626,-1.633214920071048,-1.2252202643171806,46.35897435897436,-1.0,-2.3696275071633237,-3.3157894736842106,-2.138888888888889,3.0,-0.0022359489865420297,-0.004461921344575626,-0.013700928575880037,-0.024771110774818403,-0.3070393374741201,0.0022459928373589765,-0.017621023129327208,-0.020411564172396063,-0.0269660694653499,-0.23483875036459523,4,0,0,0,0,0
2022-01-18,-0.9253618817852834,-0.9006428988895383,-0.992633517495396,-0.8673383711167086,-1.302945301542777,0.4792176039119804,-1.0048727666486195,-1.0,-1.0648535564853556,-1.0,-0.8617886178861789,0.25,2.5869565217391304,-1.1048519736842106,-0.9975093399750934,-1.0624505928853756,-0.9045514803358374,-1.0799207397622193,-1.3333333333333333,-1.0,4.8125,-1.0,-1.0813397129186604,-0.6,-0.03811514578007523,-0.02690563959154273,-0.023145605397076906,-0.0161673568747636,-0.06762618093403254,-0.0402658712450384,-0.031247510088535393,-0.03652941768656609,-0.04053798426150121,-0.3539016206182623,0,0,0,0,0,0
2022-01-19,8.545454545454545,0.9352941176470588,313.8333333333333,-0.7056962025316456,7.972222222222222,-2.7024793388429753,-12.444444444444445,-1.0,5.591397849462366,-1.0,0.23529411764705882,1.0,-0.28754523522316044,-0.8077147866744594,1.3192142418661756,-0.9609571788413098,-3.718092566619916,-3.5183374083129584,-0.9442338927991337,-1.0,-1.4274755927475593,-1.0,-0.8292682926829268,1.5,-0.006994170708667584,-0.011519444202540955,-0.02132561113350151,-0.023476469312513553,-0.02230963878053901,-0.044842732652571216,-0.03811514578007523,-0.04397762235043088,-0.03926427372974231,-0.0884271040458259,1,1,1,1,1,1
2022-01-20,-2.1635978835978835,-2.601823708206687,-2.03070407623081,-6.139784946236559,-1.2941176470588236,-2.7145631067961165,-12.242718446601941,-inf,-1.0277324632952691,-inf,0.42857142857142855,-1.35,-12.107070707070706,-4.1,-325.5,-2.5126582278481013,-3.638888888888889,1.91900826446281,127.66666666666667,-inf,-1.1827956989247312,-inf,0.7647058823529411,-1.7,-0.04460184144634372,0.009323929461169871,-0.016950272760088057,0.024040863916495476,0.3224231464737794,-0.05128405926201465,-0.0023029212265474564,-0.037914408968101145,0.0,0.29292036376092556,2,1,1,1,0,0
2022-01-21,-0.44070571116769736,1.135357368753953,-1.0683102208525936,0.899581589958159,-1.6596491228070176,-1.6172140430351076,-0.40932642487046633,-1.0,-24.11764705882353,-1.0,-1.6,1.4285714285714286,-1.6507936507936507,-4.420466058763931,-0.9295923769190048,-10.763440860215054,-0.8059855521155831,0.05825242718446602,-7.640776699029126,-1.0,-0.35889070146818924,-1.0,-1.8571428571428572,-1.85,0.0540562849846519,0.016162507637548614,0.0443320455732601,0.011735770193805327,0.03314303295501162,0.0070434336862443565,0.025637135179846608,0.026630332548692633,0.03605877216448534,0.36625226039783004,3,0,0,0,0,0
