,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-2.86041,-0.05691,-0.78159,-1.53984,-0.08621,-0.42076,0.14594,-1.0,-1.46401,inf,-0.45718,-18.0,-5.10606,-0.5918,-1.26216,-1.43173,-0.24406,-0.70736,-0.73427,-1.0,0.87047,-1.08333,-0.59984,-4.4,-0.02615,-0.02326,-0.01919,-0.00426,-0.22677,0.02308,-0.034,0.01099,-0.025,-0.4394,3,1,1,1,1,1
2022-01-10,1.46863,1.05302,-6.93396,-1.35843,-1.28721,1.09152,1.90256,-1.0,0.08587,-8.5,0.11864,1.76471,-5.59268,0.93617,-2.29602,-0.8065,-1.26245,0.2115,2.32615,-1.0,-1.50386,-inf,-0.39278,-48.0,0.00322,0.04969,0.01087,0.05342,0.59455,-0.02301,0.02528,-0.00853,0.04894,0.23295,4,0,0,0,0,0
2022-01-11,-1.98954,-1.13448,-1.96608,3.20168,-5.58394,0.35882,-0.66608,-inf,-1.52551,-1.0,-0.16783,-0.44681,-3.4428,-1.27609,4.7327,-2.50602,0.31656,1.842,-0.03077,-inf,-1.57064,-1.0,-0.0691,0.52941,0.05567,-0.00394,0.00968,-0.0213,-0.18741,0.05908,0.04555,0.02065,0.03098,0.29572,0,1,1,1,1,1
2022-01-12,0.25327,-4.1093,-2.19309,-2.82,-1.75159,-0.52305,2.21517,-1.0,-2.81553,-1.0,0.18662,0.19231,-2.24016,-0.58187,0.15262,-8.64706,2.44526,-0.35191,0.07362,-1.0,-0.04592,-1.0,-0.01253,-0.34043,-0.02535,-0.0099,0.02236,0.0228,-0.07264,0.02891,-0.01381,0.03226,0.00101,-0.24643,1,1,1,1,1,1
2022-01-13,-1.30856,2.55683,1.68552,-1.71648,-0.02119,-0.14996,0.06144,-1.0,4.43316,-inf,0.26143,0.83871,-1.38671,-12.05924,-4.20406,0.304,-1.73567,-0.59458,2.4127,-1.0,-10.86408,-inf,0.49685,1.19231,0.02706,0.046,0.01875,0.04154,0.52736,0.00101,0.03564,0.04153,0.06528,0.41641,2,1,1,1,1,1
2022-01-14,-2.02865,-0.8803,-1.34549,-1.91718,-2.5,1.35284,-0.66382,-1.0,-0.6127,-1.0,-0.01708,0.7193,-0.6826,-0.57424,-1.92782,-0.34286,-2.46822,1.0,-0.64317,-1.0,1.10428,-1.0,0.23989,2.16129,0.04762,0.03824,0.05317,0.04475,-0.16298,0.07596,0.086,0.07292,0.08815,0.27844,3,0,0,0,0,0
2022-01-17,1.13797,-4.61034,0.60456,0.18729,-2.08369,1.129,1.93159,-1.0,-2.44473,-inf,-0.95169,-1.46939,-3.19922,-1.43216,-1.55436,-2.08896,0.62554,4.0092,-0.01447,-1.0,-1.55955,0.66667,-0.95251,-1.80702,0.04255,0.02947,-0.08058,-0.03352,1.12621,0.0922,0.06883,-0.0317,0.00973,0.77969,4,1,1,1,1,1
2022-01-18,-4.48905,-1.22056,0.91137,-0.77042,-6.40879,-0.78434,-1.07551,-1.0,-0.66315,-1.0,4.57143,3.30435,-8.45949,-0.2037,2.0669,-0.72742,4.86147,-0.54087,-1.22137,-1.0,-1.48666,-1.0,-0.73084,-3.02041,-0.0538,-0.01073,0.04541,0.0501,-0.51566,-0.01354,0.01842,-0.03883,0.0149,0.02981,0,0,0,0,0,0
2022-01-19,-1.51383,-5.74806,-0.69349,4.2638,-1.35057,0.93576,-1.60764,-1.0,-0.63969,-1.0,-0.85853,-1.67677,0.79278,0.04723,-0.41414,0.20845,0.89614,-0.58254,-0.95412,-1.0,-0.87863,-1.0,-0.21182,-3.91304,0.08039,0.0,0.03838,-0.04954,0.09092,0.02226,-0.01073,0.08553,-0.00193,-0.47163,1,0,0,0,0,0
2022-01-20,-1.76387,-1.21755,0.57354,0.73193,-0.93258,0.08637,4.14857,-1.0,-2.5942,-1.0,9.5125,-1.41791,-0.6075,0.03295,-0.51769,8.11656,-1.02363,1.10294,-4.12847,-1.0,-1.57441,-1.0,0.48718,-0.71717,-0.05989,-0.02712,-0.02724,-0.01351,-0.16612,0.01569,-0.02712,0.0101,-0.06239,-0.0903,2,1,0,0,0,0
2022-01-21,0.27497,-0.88743,-0.133,-0.22342,3.51042,-0.1774,-0.35072,-1.0,-1.98636,-1.0,-1.15993,-0.48214,-1.97391,-1.02449,0.36426,0.34499,-0.69593,-0.10636,2.34286,-1.0,0.57246,-1.0,-2.68125,-1.21642,-0.01351,-0.02788,-0.013,0.00196,-0.28149,-0.0726,-0.05425,-0.03988,-0.01158,-0.40084,3,0,0,0,0,0
2022-01-24,-0.77721,-24.28333,0.43895,-0.11785,-0.62587,0.42416,-0.49573,-1.0,-1.09217,-1.0,-1.39777,4.72414,-0.71595,-3.62101,0.24757,-0.31494,0.6875,0.17151,-0.67259,-1.0,-0.90909,-1.0,-0.93639,1.96429,0.00196,0.01147,0.02128,-0.00586,-0.07598,-0.01158,-0.01673,0.008,-0.00391,-0.33608,4,0,0,0,0,0
2022-01-25,3.90868,-1.54152,-0.37164,1.33792,2.94444,-0.69431,-0.52203,-1.0,10.65,-1.0,4.80374,-0.95783,0.09359,11.60833,-0.09583,1.06239,0.47575,-0.56465,-0.75897,-1.0,-2.07373,-1.0,-3.30855,-0.75862,-0.00586,-0.02647,-0.0248,-0.01768,0.08864,-0.00391,-0.0153,-0.00405,-0.02344,0.00592,0,0,0,0,0,0
2022-01-26,0.19969,1.34964,-0.76068,-0.81681,2.51487,2.54573,5.06383,-1.0,-0.03004,-1.0,-0.6409,2.14286,4.88889,-2.27237,-0.84962,-0.57171,12.8642,0.08388,1.89831,-1.0,10.3,-1.0,1.08411,-0.86747,-0.03045,-0.02524,-0.02848,-0.03,0.22574,-0.03613,-0.05104,-0.05258,-0.04715,0.33439,1,0,0,0,0,0
2022-01-27,-0.82373,0.16006,-6.8875,-0.25459,-0.50178,-1.19478,0.56842,-inf,0.02212,-1.0,-0.49776,0.54545,-0.78853,1.72571,-2.40897,-0.86345,0.75117,-1.69065,8.51064,-inf,-0.00858,-1.0,-0.81965,3.85714,-0.01925,-0.00398,-0.02618,-0.03196,-0.09858,-0.04912,-0.02913,-0.05392,-0.061,0.1049,2,0,0,0,0,0
2022-01-28,1.60411,0.45757,0.1929,0.46462,1.63003,-0.97619,-0.6607,-1.0,0.9697,-inf,2.03571,-2.11765,-0.54097,0.69086,-8.02321,0.09174,0.31033,-1.00464,-0.46784,-1.0,1.01327,-inf,0.52466,-2.72727,-0.02893,-0.05,-0.06344,-0.04686,0.09134,-0.04762,-0.05378,-0.08796,-0.07732,-0.01624,3,0,0,0,0,0
2022-02-03,1.43187,-0.6375,-1.54844,0.36975,-0.88141,54.9375,-6.0022,inf,-2.03516,-1.0,-0.97353,-1.23684,5.33284,-0.47163,-1.65423,1.00615,-0.68811,0.33185,-2.69724,-1.0155,-3.03896,-1.0,-0.91964,-0.73529,-0.04894,-0.04632,-0.05855,-0.02793,0.28203,-0.07645,-0.094,-0.11828,-0.07348,0.39914,4,1,1,1,1,1
2022-02-04,-1.24682,-3.04865,0.26008,0.80828,-1.3467,-1.79665,-0.69903,-1.0,-0.95754,-1.0,-75.11111,-2.55556,-1.60023,-1.74264,-1.69108,1.47689,-1.04111,-45.5625,-2.50549,-1.0,-1.04396,-1.0,-2.96176,-0.63158,-0.00559,0.03863,0.08293,0.05172,-0.3674,-0.05426,-0.00947,0.01952,0.02235,-0.18899,3,0,0,0,0,0
2022-02-07,1.44184,-0.57975,-1.2535,-0.59881,-6.79339,1.78822,-3.65985,-1.0,-32.15,-inf,-1.05547,-1.07143,-1.60269,-1.86095,-1.31943,-0.27454,1.0086,-3.22123,-1.80053,-1.0,-2.32272,-inf,3.11111,-0.88889,0.02925,0.11158,0.00563,-0.00984,0.37006,0.02349,0.15453,0.08902,0.04138,-0.1333,4,0,0,0,0,0
2022-02-08,-0.70534,-1.17484,0.49347,-1.01057,-1.73609,-0.91147,-0.05598,-1.0,-1.00482,-1.0,0.75676,-1.0,-0.28049,-1.07348,-1.37859,-1.00424,3.26446,-0.75316,-3.51095,-1.0,-0.85,-1.0,-1.09745,-1.0,-0.00874,-0.11663,-0.02464,-0.01104,-0.11021,0.02025,-0.01807,-0.01914,-0.02077,0.21907,0,0,0,0,0,0
2022-02-09,-2.51239,4.76524,-0.31876,-68.4,-1.5814,1.18182,-0.57733,-inf,-44.0,-inf,-0.67692,-inf,-1.44564,-2.008,0.01742,-0.28753,-0.57204,-0.80684,-0.60099,-inf,-0.79294,-0.0,-0.43243,8.0,-0.00992,0.01082,0.00689,-0.01116,-0.04635,-0.01858,-0.10707,-0.01792,-0.02208,-0.15145,1,1,1,0,0,0
2022-02-10,0.39655,0.16393,-0.05136,0.69139,3.18667,0.53125,-0.18707,-1.0,-1.18605,-1.0,-5.14286,-0.66667,-3.11213,5.71037,-0.35374,-115.0,-3.43411,2.34091,-0.6564,-1.0,7.0,-1.0,-2.33846,-inf,-0.00891,-0.02034,-0.00342,0.00564,-0.10093,-0.01874,-0.00974,0.00344,-0.00558,-0.1426,2,0,0,0,0,0
2022-02-11,-2.72407,-0.83871,3.85113,-0.72807,0.50239,-2.09864,-0.81895,-1.0,-31.95833,-1.0,-0.14943,-2.66667,-3.40776,-0.81227,3.602,-0.54006,5.29,-2.68229,-0.85282,-1.0,4.75969,-1.0,-4.52381,-1.55556,-0.01236,-0.02623,-0.05606,-0.06734,0.33931,-0.02116,-0.04604,-0.05929,-0.06208,0.20413,3,1,1,1,0,0
2022-02-14,-1.11958,-7.26197,-1.80471,2.98065,-1.65925,-0.77399,-7.71028,-1.0,-1.21938,-1.0,-1.55405,-0.6,-0.79383,-2.01,-4.90376,0.08246,-1.99045,-1.2483,-2.21489,-1.0,5.79167,-1.0,-1.47126,-1.66667,-0.05461,-0.04153,-0.04364,0.01444,-0.11373,-0.06629,-0.06667,-0.09725,-0.05387,0.18699,4,0,0,0,0,0
2022-02-15,0.77246,0.71075,0.70108,0.86872,-0.90354,-0.0274,3.58357,-1.0,-1.04294,-1.0,-0.4878,-1.0,-1.21196,-11.71268,-2.36888,6.43871,-1.06359,-0.78019,-31.75701,-1.0,-0.99058,-1.0,-1.28378,-1.0,0.01564,0.0,0.03802,-0.00356,-0.3893,-0.03982,-0.04153,-0.00727,0.01083,-0.45876,0,0,0,0,0,0
2022-02-16,-3.61993,-0.24191,-0.69656,-0.51518,-2.2,0.64789,-0.65937,-1.0,-6.42857,-1.0,-0.71429,-inf,-5.64371,0.2969,-0.48382,-0.094,-1.11576,0.60274,0.56128,-1.0,-0.76687,-1.0,-0.85366,-2.0,-0.00474,-0.00703,-0.03541,-0.05,0.31222,0.01083,-0.00703,0.00127,-0.05338,-0.19863,1,0,0,0,0,0
2022-02-17,-0.86267,-2.16441,-3.7403,-2.34705,14.95833,-1.33333,-1.56289,-inf,0.26316,-1.0,-19.83333,4.0,-1.3598,-1.88272,-1.83152,-1.65308,-20.15,-1.5493,-1.19174,-inf,-7.85714,-1.0,-6.38095,-inf,-0.04524,-0.03656,-0.01519,-0.02005,0.08576,-0.04976,-0.04333,-0.05006,-0.06905,0.42476,2,0,0,0,0,0
2022-02-18,0.11268,-0.68365,-0.63453,0.06242,-0.95909,6.84615,0.50238,-1.0,-3.3125,-1.0,-1.04425,-5.8,-0.8472,-1.36837,-2.00149,-2.43113,-0.34722,-3.61538,-1.84567,-1.0,-3.92105,-1.0,-0.16667,-25.0,-0.02494,-0.0257,-0.01285,-0.01662,-0.04014,-0.06905,-0.06132,-0.02785,-0.03634,0.04217,3,0,0,0,0,0
2022-02-21,-1.67932,-2.57815,-2.37407,-1.98,1.5,0.5098,-1.46414,-1.0,-0.38739,-1.0,-1.6,-1.22917,-1.75587,-1.49926,-1.50218,-2.04117,-0.89774,10.84615,-1.69731,-1.0,-2.41667,-1.0,-0.97345,0.1,-0.02813,-0.02764,-0.02865,-0.0013,-0.09894,-0.05237,-0.05263,-0.04113,-0.0179,-0.13511,4,0,0,0,0,0
2022-02-22,-6.86335,-0.97971,-1.48373,-1.19133,1.85532,-1.26732,-1.01591,-1.0,-3.70588,-1.0,-0.33333,0.90909,2.98312,-1.03202,-0.33532,-0.8125,6.1383,-1.40359,-0.99262,-1.0,-2.65766,-1.0,-1.4,-1.4375,-0.01316,0.00517,0.00402,-0.00651,-0.33147,-0.04092,-0.02261,-0.02474,-0.0078,-0.39762,0,1,1,1,1,1
2022-02-23,2.55403,205.67647,-5.01009,-12.6,-1.64829,-6.04453,83.14286,inf,2.5,-1.0,40.5,-1.57143,-21.83851,3.19272,0.9398,1.21939,-2.85106,0.34848,-2.33864,inf,-10.47059,-1.0,26.66667,-2.09091,0.056,0.08483,0.05474,0.05242,2.01108,0.04211,0.09044,0.05898,0.04557,1.01299,1,0,0,0,0,0
2022-02-24,0.24978,0.2082,0.13838,0.66667,1.8092,-2.60594,-1.81834,5.86,0.18789,inf,1.68675,-0.83333,3.44174,248.70588,-5.56502,-20.33333,-2.82116,7.10121,-69.85714,inf,3.15761,inf,110.5,-1.09524,0.02273,-0.01659,0.0,-0.01245,-0.17388,0.08,0.06684,0.05474,0.03932,1.48752,2,0,0,0,0,0
