,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,0.34221,9.85658,-0.42548,-0.77591,0.21397,-0.41499,0.23972,-2.40102,-0.04104,5.62011,2.2741,1.77729,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,1.82,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,-0.03729,-0.03453,-0.04119,-0.04648,0.11219,-0.10188,0.222,-0.3675,-0.7748,-0.01685,-0.24629,-0.01761,-6.01818,0.66176,19.08475,-0.09122,0.34177,-1.53039,-1.50511,0.06233,-3.17497,7.21694,9.44606,-4.97838,-2.29858,0.62297,-3.46841,-2.02226,-2.49339,-2.03378,4.79078,15.0,17.44186,15.96689,2.78864,0.27841,2.21557,-1.90929,-2.96277,-0.51014,-1.09991,-0.23876,-3.59662,-2.59624,-1.31601,3.21399,-3.23906,-3.29612,-0.97673,-3.905,-2.00966,-0.65812,-3.89833,2.1313,-0.07314,-0.07048,-0.07534,-0.07387,0.59382,3,0,0,0,0,0
2022-01-10,-0.36837,-0.33243,-0.51356,-0.04259,-0.66852,-0.57358,-0.57136,-0.82246,-0.48937,-0.89536,-1.21517,-0.20755,-0.01,-0.04,-0.62,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.56,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,-0.03013,-0.01717,-0.00148,-0.00148,-0.38494,-0.15222,6.24753,-0.72053,-0.78545,-0.59759,-0.75054,-0.46861,-1.24873,-0.51032,-0.30726,-1.70448,1.20087,-0.48191,-0.50701,-0.46792,-1.17655,3.49474,5.68879,-1.43222,0.03114,-0.04757,-1.08787,-0.52744,-2.15342,-0.50101,3.82353,4.81928,5.49451,-4.91637,1.2521,2.71133,3.77521,-1.65817,-1.97362,0.42366,-0.30645,-0.05197,-1.48715,0.03842,-1.32234,4.46477,-0.33968,-1.35513,0.99132,-1.08362,-0.47445,-0.92374,-0.9712,4.9002,-0.0663,-0.0511,-0.04261,-0.04789,-0.31594,4,0,0,0,0,0
2022-01-11,-0.61666,-0.68731,-0.48916,-1.24182,0.32343,-0.16867,-0.29901,-0.32653,-0.84014,-0.49194,-0.2329,-1.22619,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,3.12,3.41,-0.94,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,0.00296,-0.01164,-0.02374,-0.00888,0.05175,-0.75787,-0.79126,-0.75151,-1.23152,-0.56131,-0.6455,-0.69953,-0.88043,-0.91837,-0.94684,-1.16506,-1.17925,-0.46251,-0.47338,-0.34261,-0.95818,1.0989,0.63492,0.00816,0.21195,-0.57347,-0.91527,-0.53867,-2.65155,-0.54854,1.5625,2.746,-1.9802,-1.07089,-1.49594,0.84472,1.17815,0.57981,-2.23648,-1.17868,0.1098,-0.57416,-0.90865,-0.29106,-1.07894,0.11469,-1.08512,-1.4509,0.45725,-0.58735,-2.29546,-1.75908,0.10775,1.37493,-0.02726,-0.02861,-0.02519,-0.01034,-0.35311,0,0,0,0,0,0
2022-01-12,0.13852,1.7981,-2.06647,1.34407,-1.75592,-1.72288,-0.9217,7.15152,-0.88673,-1.11111,0.46577,-6.90351,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,-0.00885,0.01473,0.01672,0.0,-0.02839,-0.56356,-0.12506,-1.5448,-1.56683,-2.0004,-1.60095,-0.94511,4.4898,-0.98189,-1.05645,0.1244,0.33532,0.05619,0.05816,-0.10447,1.60452,1.1396,-0.15873,-2.53628,-0.931,-0.44421,1.45656,0.79803,2.08412,0.77058,-1.07649,2.06897,32.29167,-1.86567,2.84294,0.53438,3.13529,1.80797,0.43339,-0.524,-1.55372,-0.87043,1.31455,1.04495,0.10871,-0.20595,0.63331,1.22426,0.67853,1.68207,-1.31694,1.49887,2.21451,0.66634,-0.00592,0.00291,-0.00742,-0.00888,0.02189,1,1,1,1,1,1
2022-01-13,-1.35234,-0.23018,2.60308,3.56881,1.30473,2.1957,-15.95238,-0.27509,-41.45714,17.42857,-1.64167,-1.91233,0.11,0.09,-0.74,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.67,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.01042,0.02322,0.01495,0.03134,0.30137,-1.40115,1.15404,-4.84258,9.70962,-2.74218,-3.31011,-2.17077,4.90909,-5.58252,-3.04762,-1.94054,4.38596,0.61396,0.57855,-1.1147,1.78915,-2.25443,-2.89169,1.11691,1.56353,-1.01583,1.64333,1.15824,2.51801,1.20035,-0.17094,2.78396,23.23232,-9.17525,5.55985,0.87719,3.60911,0.49817,1.67534,0.93105,-0.56811,-0.09729,1.6518,1.3827,2.07524,0.55168,1.31209,2.14023,0.07191,1.80278,0.3882,1.35707,-0.38155,1.39759,0.00147,0.03829,0.03191,0.03134,0.26442,2,1,1,0,0,0
2022-01-14,-1.87916,-1.05404,-1.26077,-0.88963,-0.99439,-1.65275,-3.37325,-1.09744,-1.1815,-0.71318,-1.15421,-1.03094,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.49,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,0.02504,-0.00142,0.01325,0.00724,-0.35361,-0.69023,-1.0416,-1.93956,-0.49572,-0.98708,-3.086,34.48571,-1.07063,6.34286,4.28571,-0.90104,-0.97177,-0.38177,-0.38474,-0.86802,-2.15242,-3.54125,-4.18654,1.37434,1.1857,-0.52,-2.28754,-1.12646,-1.6411,-1.1466,-2.57732,0.78829,-3.93701,10.32048,1.17764,-0.36888,-0.41473,-1.88803,-1.45702,0.47989,0.80899,0.2698,-2.22689,-1.04555,0.13884,0.58989,-1.88296,-2.09697,-0.64562,-2.43911,0.17176,-0.68173,-3.74327,0.69606,0.03571,0.02177,0.0284,0.03881,-0.15881,3,0,0,0,0,0
2022-01-17,1.49819,-7.36327,0.17774,-8.48302,-16.15625,-1.1992,-1.15835,34.63158,1.42607,-9.13514,-4.14286,7.57895,-0.56,-0.54,0.4,0.68,2.34,3.98,-1.21,-1.36,0.33,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.06,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,-0.02011,-0.02699,-0.02471,-0.01724,-0.25445,-3.19631,-0.65615,-1.30712,-1.82594,-1.08499,-0.86997,-0.6242,-4.47179,-1.44032,-3.33333,-0.51533,-1.26547,-1.04301,-1.00664,0.26338,-1.8348,1.02965,1.78668,-2.01144,-1.70094,0.35417,-1.9399,-1.304,-0.01538,-1.34353,2.34018,4.98375,5.7377,8.91033,1.56059,-1.4125,1.82759,-1.79748,-2.5167,-0.38946,-0.20083,0.4095,-1.78796,-0.87134,-1.63455,1.17064,-2.08267,-2.43274,-0.37784,-1.80812,-0.54123,-0.77896,-1.35617,-0.12221,0.00442,-0.02837,-0.01178,-0.01013,-0.51809,4,1,0,0,0,0
2022-01-19,4.96759,1.47149,-8.29207,-1.02642,-1.37068,200.52326,-8.7013,-0.92157,0.18954,1.0,3.35714,1.0,-1.51,-1.58,0.5,-2.45,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.84,-4.44,-1.84,3.67,4.3,1.79,18.76,1.36,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,0.01762,0.00433,-0.01178,-0.01601,0.0544,0.14792,0.41297,-0.07134,-0.99694,-0.76804,-7.10032,0.00508,-1.00591,-0.7081,-1.01329,0.20553,0.4908,-2.06336,-1.53593,0.58842,-2.4193,3.61201,4.78723,-2.82585,-1.97404,0.22016,-2.02548,-1.83604,-2.2194,-1.7583,4.57334,7.94634,10.07752,12.21074,1.19289,-3.27974,2.85899,-1.55392,-2.35952,-1.75381,-1.84435,-1.3117,-1.62102,-1.4677,-2.14555,-0.95688,-1.88688,-1.93708,-2.1081,-1.74608,-2.90129,-3.06914,-2.96261,-2.70398,0.01613,0.01606,0.0,-0.0117,-0.12544,1,0,0,0,0,0
2022-01-20,0.42915,1.1295,-0.4922,-49.91379,26.01778,-1.14956,-3.62395,-372.0,12.83242,-25.75,-0.1623,0.37037,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.14,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,-0.04762,-0.04023,-0.02235,-0.01627,0.69697,7.52857,4.26304,-4.7029,0.29248,-11.01483,-31.13953,19.20779,-30.09804,15.45425,-1.0,2.65,1.0,-2.45925,-2.55136,0.26244,-3.55413,-1.24611,-4.40283,-2.50548,-1.65461,-0.1563,-3.71626,-2.85055,-7.39423,-2.78993,2.48756,4.78564,22.85714,24.28348,2.52121,-3.91094,-0.25611,-1.82333,-3.69106,-2.27664,-0.74823,-0.82062,-3.82418,-2.1784,-1.52905,-3.92577,-2.14804,-3.17794,-3.07096,-3.98987,-3.16937,-3.40892,-4.86002,-5.45887,-0.03084,-0.03608,-0.03387,-0.03202,0.7893,2,1,1,0,0,0
2022-01-21,-0.62947,-0.10002,-3.41852,4.12584,-1.82711,-0.3098,-0.95887,-1.11321,-0.97319,-1.13131,0.6908,-0.97297,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.29,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,0.00303,0.00749,-0.00457,0.00752,-0.07178,-0.47046,0.91651,-2.22812,-251.72414,-23.34667,-1.10323,-1.10793,41.0,-0.62912,2.25,0.41639,-0.96296,-1.8465,-1.82365,0.01045,-2.40037,0.15668,-1.47208,1.56366,-0.05446,-0.02264,-2.4325,-2.11102,-6.23759,-2.062,-3.41333,-1.81644,26.76056,12.28609,0.84876,-2.26818,-1.5507,-1.02181,-3.71318,-2.3255,0.60243,-0.04544,-2.68479,-1.3258,-1.64035,-4.55448,-1.25981,-2.45512,-1.43863,-2.57314,-2.28478,-1.73506,-2.16957,-4.73637,-0.04473,-0.03305,-0.02683,-0.00888,0.57517,3,0,0,0,0,0
