,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-1.2281117070464214,-1.0391823214447773,-0.6890024387411451,-0.9458629605688429,-0.9040383846461415,11.200636942675159,-0.9077105575326216,-1.0,-0.8152692569870484,0.35135135135135137,2.9038461538461537,0.25316455696202533,-1.770875,-1.3505175563223057,-2.444834097653089,13.565217391304348,-1.4498594189315839,-2.358510638297872,1.946969696969697,-1.0,9.423076923076923,-inf,-2.9407265774378586,-0.11607142857142858,-0.019471488178025034,-0.013908205841446454,-0.0028368794326241137,-0.0070028011204481795,-0.38026787484440056,-0.016736401673640166,-0.012534818941504178,-0.014025245441795231,-0.011157601115760111,0.6145075526654474,3,1,1,0,0,0
2022-01-10,0.7225555375385114,1.5396641574985523,0.12882748319641524,-1.4537313432835821,5.252083333333333,-0.22866092404072044,-0.8149100257069408,-1.0,-0.3726937269372694,-1.0,-1.0305418719211823,0.6262626262626263,-1.3929350841501758,-1.0995099373808876,-0.6489374056439438,-1.024563671622495,-0.40003998400639745,8.410828025477707,-0.9829181494661922,-1.0,-0.8841172460804363,-1.0,-1.1192307692307693,1.0379746835443038,0.014184397163120567,0.009873060648801129,0.007112375533428165,0.007052186177715092,0.048365899271973226,-0.005563282336578581,-0.004172461752433936,0.00425531914893617,0.0,-0.3502939733035189,4,0,0,0,0,0
2022-01-11,-1.1295302645203804,-1.7603739170086639,-0.7912669533575918,-1.855263157894737,-0.5524825058313896,-0.9932318104906938,-1.0,-1.0,-2.3588235294117648,-1.0,24.322580645161292,-1.546583850931677,-1.2231230744284092,-2.931094383323683,-0.7643764002987304,-0.6119402985074627,1.7979166666666666,-0.9947794309579744,-1.0,-1.0,-1.8523985239852399,-1.0,-1.7733990147783252,-1.8888888888888888,-0.004195804195804196,-0.00558659217877095,-0.005649717514124294,-0.0070028011204481795,-0.4226636825407624,0.009929078014184398,0.004231311706629055,0.001422475106685633,0.0,-0.394740292364477,0,1,1,1,0,0
2022-01-12,38.72456395348837,15.368815592203898,-2.0443740095087164,-0.9461538461538461,-2.9233060312732686,-42.35,-1.0,-1.0,-9.173160173160174,-inf,0.46878980891719746,-2.0681818181818183,-6.145533276852113,-13.446420428636571,-1.2179953688389018,-1.0460526315789473,-1.8607130956347884,-1.2798646362098138,-1.0,-1.0,10.105882352941176,-inf,36.193548387096776,-0.4161490683229814,-0.0014044943820224719,0.009831460674157303,0.007102272727272727,0.014104372355430184,1.2850183864941582,-0.005594405594405594,0.004189944134078212,0.0014124293785310734,0.0070028011204481795,0.31922410058518613,1,1,1,0,0,0
2022-01-13,0.2334937158120049,0.2733467668071075,-2.2981790591805766,2.142857142857143,-1.037553232675184,-1.0326481257557436,-inf,-1.0,-0.746822033898305,0.010101010101010102,-0.792714657415438,0.46808510638297873,48.0,19.843178410794604,0.35578446909667194,-0.8307692307692308,-0.9277736411020104,0.35,-inf,-1.0,-3.069264069264069,-inf,-0.6955414012738853,-2.5681818181818183,0.016877637130801686,0.006954102920723227,0.014104372355430184,0.006954102920723227,0.14578648681648956,0.01544943820224719,0.016853932584269662,0.02130681818181818,0.021156558533145273,1.6181431893722251,2,1,0,0,0,0
2022-01-14,-0.015587921214997627,-0.0034670272758660376,0.494447691408533,-0.7272727272727273,5.185567010309279,5.37037037037037,-1.0,-1.0,2.5230125523012554,-0.53,-0.5188284518828452,0.6376811594202898,0.2142661129507327,0.2689320388349515,-2.940060698027314,-0.14285714285714285,-1.232288037166086,-1.2079806529625152,-1.0,-1.0,-0.10805084745762712,-0.5252525252525253,-0.9002601908065915,1.4042553191489362,0.004149377593360996,0.0027624309392265192,0.004172461752433936,0.0027624309392265192,-0.18704734546369167,0.02109704641350211,0.009735744089012517,0.018335684062059238,0.009735744089012517,-0.06852983401070395,3,0,0,0,0,0
2022-01-17,-0.7488737890407244,-0.6952981767261913,0.704732107938991,98.16666666666667,3.565,-0.6511627906976745,-inf,-1.0,-0.7618764845605701,4.76595744680851,0.14782608695652175,-1.2300884955752212,-0.7527883246321785,-0.6963545862584878,1.5476329631794272,26.045454545454547,27.237113402061855,1.2222222222222223,-0.9751972942502819,-1.0,-0.16108786610878661,1.71,-0.4476987447698745,-1.3768115942028984,-0.009641873278236915,-0.0013774104683195593,-0.006925207756232687,-0.0013774104683195593,-0.35696460804564667,-0.005532503457814661,0.0013812154696132596,-0.0027816411682892906,0.0013812154696132596,-0.477242671149913,4,0,0,0,0,0
2022-01-18,-0.5758339332853372,-0.6037807362486379,-0.8029364533149805,-0.9815126050420168,-1.0142387732749178,6.5,0.13636363636363635,-1.0,-0.13216957605985039,-0.8819188191881919,1.871212121212121,-2.076923076923077,-0.8934807828484475,-0.8792712679187539,-0.664059444661713,0.8333333333333334,-1.065,1.6162790697674418,-inf,-1.0,-0.7933491686460807,-0.3191489361702128,2.2956521739130435,-0.7522123893805309,0.0,-0.004137931034482759,-0.002789400278940028,-0.008275862068965517,-0.13686981426637815,-0.009641873278236915,-0.005509641873278237,-0.009695290858725761,-0.009641873278236915,-0.44497674270914667,0,0,0,0,0,0
2022-01-19,-0.27397454031117396,-0.5370082506277651,-2.459837019790454,-2.8181818181818183,-0.7948717948717948,-1.0,-57.64,-1.0,-0.5919540229885057,-0.25,-1.0158311345646438,-1.0178571428571428,-0.6920446364290856,-0.8165537499407779,-1.287680660701996,-1.0336134453781514,-1.0029207740051114,-1.0,-65.36363636363636,-1.0,-0.6458852867830424,-0.9114391143911439,-1.0454545454545454,-0.9807692307692307,-0.004172461752433936,-0.00554016620498615,-0.005594405594405594,-0.005563282336578581,-0.2741367397742959,-0.004172461752433936,-0.009655172413793104,-0.008368200836820083,-0.013793103448275862,-0.37348550938417574,1,0,0,0,0,0
2022-01-20,-2.531073446327684,-2.614669421487603,-2.411483253588517,0.45,-181.5,-inf,-1.055084745762712,-1.0,-2.0704225352112675,6.9375,33.0,-43.0,-2.1115983026874114,-1.7475786201124,1.060535506402794,-3.6363636363636362,-38.02564102564103,-0.8933333333333333,2.12,-1.0,-1.4367816091954022,4.953125,-1.5382585751978892,-0.25,-0.012569832402234637,-0.011142061281337047,-0.012658227848101266,-0.012587412587412588,0.8497957814366235,-0.016689847009735744,-0.01662049861495845,-0.01818181818181818,-0.01808066759388039,0.34269879666534153,2,0,0,0,0,0
2022-01-21,3.8515078254230817,3.1984964811260395,5.841242937853107,-2.586206896551724,-0.2278393351800554,206.22916666666666,3.448717948717949,-1.0,-4.756578947368421,-0.7821522309711286,-0.2549019607843137,-2.8333333333333335,-8.428014806156243,-7.77918388429752,-10.656299840510366,-3.3,-140.375,-inf,-1.2450564971751412,-1.0,3.0211267605633805,0.7291666666666666,24.333333333333332,76.0,-0.009900990099009901,-0.011267605633802818,-0.005698005698005698,-0.0113314447592068,0.2187275689034123,-0.0223463687150838,-0.022284122562674095,-0.01828410689170183,-0.023776223776223775,1.254397115678044,3,0,0,0,0,0
2022-01-24,-0.44699433487201007,-0.2090365347251324,-0.9368238500289041,0.5652173913043478,-0.4475336322869955,-0.9983914748165276,-1.144092219020173,inf,-1.1558669001751314,1.4096385542168675,2.4210526315789473,-2.012987012987013,1.6829113118717394,2.32085732565579,-0.5677966101694916,-3.4827586206896552,-0.5734072022160664,-0.6666666666666666,-1.641025641025641,inf,-0.4144736842105263,-0.47506561679790027,1.5490196078431373,0.8571428571428571,-0.011428571428571429,-0.011396011396011397,-0.017191977077363897,-0.01002865329512894,0.4535192580938678,-0.021216407355021217,-0.022535211267605635,-0.022792022792022793,-0.021246458923512748,0.7714439917710311,4,0,0,0,0,0
2022-01-25,-0.31410955655679396,-0.1886138136981023,-3.7359477124183007,-1.5416666666666667,-1.0925324675324675,30.125,-1.0,-110.0,36.10112359550562,2.49,-0.3423076923076923,-0.3333333333333333,-0.6206986991187579,-0.35822317040649165,-1.1728466429928153,-1.8478260869565217,-1.051121076233184,-0.9499346536644214,-1.0,-inf,-6.782837127845885,7.409638554216867,1.25,-1.6753246753246753,-0.014450867052023121,-0.007204610951008645,-0.01020408163265306,-0.013024602026049204,-0.27671073536087154,-0.025714285714285714,-0.018518518518518517,-0.027220630372492838,-0.022922636103151862,0.051314875325525214,0,0,0,0,0,0
2022-01-26,-0.5140367860600193,-0.781075626261427,-1.9684663162924032,12.025641025641026,11.543859649122806,5.863453815261044,inf,-1.311926605504587,-0.7989097516656571,-0.16045845272206305,-4.845029239766082,-1.0192307692307692,-0.666682475693621,-0.822367787303728,1.649673202614379,-8.055555555555555,-2.1607142857142856,212.625,0.1,33.0,6.46067415730337,1.93,-3.5288461538461537,-1.0128205128205128,-0.005865102639296188,-0.015965166908563134,-0.01914580265095729,-0.010263929618768328,0.41060774404027467,-0.02023121387283237,-0.023054755043227664,-0.029154518950437316,-0.023154848046309694,0.02027743788115021,1,0,0,0,0,0
2022-01-27,1.6274900398406376,4.445227765726681,-0.09176122348297977,-0.34448818897637795,-4.665734265734265,-0.9956114686951434,-0.7818181818181819,-1.0,-0.3072289156626506,-0.9829351535836177,-3.5467680608365018,106.0,0.27686350435624396,0.19209307847560253,-1.879598662207358,7.538461538461538,-46.98245614035088,-0.9698795180722891,inf,-1.0,-0.8606904906117504,-0.9856733524355301,8.792397660818713,-3.0576923076923075,-0.01327433628318584,-0.004424778761061947,0.003003003003003003,-0.01037037037037037,-0.3144027090841608,-0.01906158357771261,-0.020319303338171262,-0.016200294550810016,-0.020527859237536656,-0.03289115214108414,2,0,0,0,0,0
2022-01-28,0.3872522473735514,0.05387909570759884,0.5562194459532862,-9.126126126126126,-0.6093094238840138,-62.266666666666666,-1.0,inf,-1.1543478260869566,-2.7,-1.542251418333831,1.1401869158878504,2.6449914627205464,4.738611713665944,0.4134188455846078,-6.326771653543307,-2.432167832167832,-1.2688706846108835,-1.0,-0.9705882352941176,-1.1069277108433735,-1.02901023890785,0.38098859315589356,228.0,0.0014947683109118087,-0.002962962962962963,-0.019461077844311378,-0.017964071856287425,0.4593439807295882,-0.011799410029498525,-0.007374631268436578,-0.016516516516516516,-0.028148148148148148,0.0005222797025423657,3,1,1,1,0,0
2022-02-03,0.09724011398680564,0.7966357966357966,-3.9012216404886564,-1.9571322985957131,-3.26171875,3.411316648531012,inf,-34.0,24.056338028169016,-1.5294117647058822,-1.770374449339207,-0.10480349344978165,0.5221488140366078,0.8934369086744348,-5.514937533948941,6.777777777777778,-1.8836322014498283,-271.26666666666665,96.91666666666667,-inf,-4.8673913043478265,-0.1,-0.5822633621976709,0.9158878504672897,-0.022388059701492536,0.010401188707280832,0.0,0.010670731707317074,0.41074827054949703,-0.02092675635276532,0.007407407407407408,-0.019461077844311378,-0.0074850299401197605,1.0587669969510851,4,1,1,1,1,0
