,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.04025,14.35897,6.82733,-0.76059,0.5796,-2.34213,-1.45541,-383.25,-10.34,-0.94949,-4.77869,1.34109,-1.11948,3.96997,-3.97366,-0.76811,-0.59604,-1.9568,-2.79874,-inf,-1.31899,-1.01613,921.0,55.625,-0.00397,-0.00264,-0.00402,-0.00533,-0.163,0.00938,0.00665,-0.00134,-0.00798,0.09217,3,1,1,0,0,0
2022-01-10,-0.26999,-0.49718,-0.395,0.30756,0.12917,-0.14211,-5.13287,-1.01243,-1.74518,6.8,-1.10629,-0.98455,-0.29937,6.72283,3.73555,-0.68695,0.78363,-2.1514,0.88217,3.75,5.96,-0.60606,-0.59836,-0.96382,-0.0093,-0.00528,-0.00673,0.00938,-0.08602,-0.01323,-0.00791,-0.01072,0.004,-0.23499,4,1,1,1,1,1
2022-01-11,-84.93537,5.80221,-2.70457,-2.28144,-0.69579,-1.96196,-1.10998,-7.94737,1.5546,0.66667,-83.16327,5.64286,-62.27392,2.4203,-2.03127,-2.67556,-0.65649,-1.82525,-0.54545,-0.91367,-2.90364,12.0,7.73319,-0.89735,0.0134,0.02523,0.02168,0.0239,1.32456,0.00398,0.01982,0.0148,0.03351,1.12461,0,1,1,1,0,0
2022-01-12,-0.59739,-0.55216,-1.05592,-0.8496,1.74174,-1.16989,6.76923,-1.0,-1.41732,-1.0,-0.87593,-14.08602,-34.79354,2.04632,-0.90468,-1.19273,-0.16593,-0.83657,-1.85448,-1.0,-2.06609,-1.0,-11.19388,-87.92857,0.02116,0.01554,0.02122,0.01167,-0.15501,0.03485,0.04117,0.04336,0.03586,0.96423,1,1,1,1,1,0
2022-01-13,1.88413,1.83107,-7.17018,9.7619,-0.75659,-0.70773,-0.18713,inf,2.2965,inf,3.10811,-1.20871,0.16119,0.26787,-0.65496,0.61857,-0.33264,-1.04965,5.31538,-1.23485,-2.3757,-0.56923,-0.49031,1.73118,0.00907,0.01403,0.01169,0.01923,0.36611,0.03042,0.02979,0.03316,0.03113,0.15434,2,0,0,0,0,0
2022-01-14,-0.87717,-0.77785,-2.24823,-1.15896,-1.28173,5.10465,1.08039,-1.0,-0.79886,-1.0,-0.92154,-0.94488,-0.64575,-0.37108,6.70181,-2.71076,-1.06858,0.7842,0.69109,-1.0,-0.33693,-1.0,-0.67768,-1.0115,0.02182,0.00252,0.00642,-0.00755,-0.4724,0.03109,0.01658,0.01818,0.01154,-0.27924,3,0,0,0,0,0
2022-01-17,0.2323,0.52632,0.9779,9.37938,-0.52747,-1.39095,-0.6897,-inf,-0.91463,-inf,-0.6646,3.0,-0.84864,-0.66093,-3.46888,-2.64995,-1.13313,-3.38663,-0.35445,-6.03226,-0.98283,-5.17857,-0.97368,-0.77953,-0.01382,-0.00627,-0.00765,-0.0038,-0.12672,0.0077,-0.00377,-0.00128,-0.01132,-0.53926,4,0,0,0,0,0
2022-01-18,-0.20385,-0.79882,-1.26881,-1.01788,-13.95349,2.2497,-0.86415,-1.17308,29.52381,-1.0,-1.67593,-1.51786,-0.0189,-0.69294,-1.53168,-1.18557,-7.12088,-2.27048,-0.95785,inf,1.60569,-1.0,-1.22671,-3.07143,0.00382,-0.00379,-0.01285,-0.01145,-0.19523,-0.01005,-0.01004,-0.02041,-0.01521,-0.2972,0,1,0,0,0,0
2022-01-19,-0.47554,-1.0172,0.29165,11.89444,0.47756,-1.06409,1.09722,-1.0,-2.07488,-1.0,-0.9726,-1.65517,-0.58245,-1.00346,-1.34721,-1.23053,-20.13953,-1.20828,-0.71509,-1.0,-33.80952,-1.0,-1.01852,-0.66071,-0.01142,-0.0038,0.00391,0.00129,0.07472,-0.00764,-0.00758,-0.009,-0.01018,-0.13509,1,1,1,1,1,0
2022-01-20,5.90528,-175.54688,2.81207,0.08962,3.16039,-21.11111,-3.18543,inf,4.28592,inf,-302.0,12.94737,2.62152,2.00215,3.92387,13.05,5.14722,0.28898,-5.58333,-0.40741,-6.68175,inf,-9.24658,-10.13793,-0.00128,0.01399,0.00519,0.01542,0.56098,-0.01269,0.01014,0.00911,0.01673,0.67762,2,0,0,0,0,0
