,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,0.08059,0.78689,-0.17579,-0.8108,8.71765,-5.47374,-1.39701,inf,0.02564,0.48223,1.3101,-14.0,0.70661,0.13513,7.83651,-0.60564,7.60417,-1.80291,-1.95463,-1.19856,0.41176,2.74359,36.68627,3.33333,-0.02367,-0.02344,-0.02405,-0.02982,0.28157,-0.0332,-0.02724,-0.03564,-0.04688,0.69718,3,1,1,0,0,0
2022-01-10,-0.29261,-0.65596,-0.12875,-0.52288,2.83777,-0.8668,1.90495,-0.24545,1.02778,-0.77055,-1.31217,-0.21154,-0.2356,-0.38525,-0.28191,-0.90973,36.29412,-1.59589,-2.1533,inf,1.07977,-0.6599,-1.72115,-11.25,-0.01616,-0.01,-0.00205,0.00615,-0.28477,-0.03945,-0.0332,-0.02605,-0.02386,-0.08338,4,0,0,0,0,0
2022-01-11,-0.72148,-2.73366,0.21949,2.48452,-1.16719,10.88123,-1.14792,-0.45783,-1.58356,-2.29851,-1.17167,-0.43902,-0.80298,-1.59644,0.06248,0.66254,-1.64165,0.58255,-1.4297,-0.59091,-2.18333,-1.29795,-0.94641,-0.55769,0.00821,0.00606,-0.00206,-0.00611,-0.20416,-0.00808,-0.004,-0.00411,0.0,-0.43079,0,0,0,0,0,0
2022-01-12,2.51281,-1.78784,-0.20479,-1.05734,-1.66981,0.16462,2.17512,-1.0,-0.96244,-0.93103,5.07767,-2.78261,-0.0216,0.36585,-0.03025,-1.1998,-0.88801,12.83716,-1.46967,-1.0,-1.02192,-1.08955,-2.04333,-2.0,-0.01222,-0.01606,-0.01443,-0.01844,0.08546,-0.00411,-0.0101,-0.01646,-0.02444,-0.13615,1,1,1,1,1,1
2022-01-13,-2.43104,-1.69976,-2.78521,32.145,-3.22254,-0.88703,-0.80697,inf,316.6875,-0.83333,-1.17093,-0.4878,-6.02699,-0.4487,-2.41961,-2.90052,0.48868,-0.86843,-0.3871,0.84444,10.93192,-0.98851,-2.03883,-1.91304,-0.00412,0.01837,0.00837,0.03967,0.12922,-0.01629,0.00201,-0.00619,0.02049,0.22571,2,0,0,0,0,0
2022-01-14,-1.17602,1.03947,-1.72526,-1.55861,-1.13308,4.45711,-0.72932,-1.0,-1.08007,-1.0,-1.71963,0.38095,-0.7481,-2.42714,0.29474,-19.515,-0.70423,-0.3835,-0.94775,-1.0,-26.4375,-1.0,-0.877,-0.29268,0.02692,0.00401,0.02075,-0.00803,-0.35739,0.02268,0.02245,0.02929,0.03132,-0.27436,3,0,0,0,0,0
2022-01-17,-0.0332,-0.76894,-0.56047,-0.33459,-0.72381,-0.64024,-4.86111,-1.0,-2.31204,-inf,-2.48052,-1.65517,-1.17018,-0.52875,-1.31877,-1.3717,-1.03676,0.96324,-2.04511,-1.0,-0.89494,-96.0,0.06542,-1.90476,-0.01815,-0.01397,-0.0122,-0.01215,-0.20286,0.00828,-0.01002,0.0083,-0.02008,-0.48775,4,0,0,0,0,0
2022-01-18,0.27556,-2.44332,-0.61914,-0.69318,29.96552,-1.29713,1.08633,-inf,-0.83146,-1.0,-3.11404,-0.52632,0.2332,-1.3335,-0.8326,-0.79584,7.55238,-1.10689,-9.05556,-inf,-1.22113,-1.0,2.12987,-1.31034,-0.00205,-0.01215,-0.01235,-0.01025,-0.08726,-0.02016,-0.02595,-0.02439,-0.02227,-0.27242,0,0,0,0,0,0
2022-01-19,0.68284,0.64032,0.71142,-0.35979,-0.79955,-5.14076,-1.43448,-1.0,-0.52222,-inf,0.40664,3.22222,1.14657,-3.36751,-0.34818,-0.80357,5.2069,0.23034,-1.90647,-1.0,-0.91948,-0.92632,-3.97368,1.0,-0.00823,-0.00615,-0.00833,-0.01242,0.20787,-0.01027,-0.01822,-0.02058,-0.02254,0.10247,1,0,0,0,0,0
2022-01-20,-0.01023,0.51571,-0.74889,-4.16942,5.06667,-0.84982,-2.07937,-inf,-5.93023,4.14286,-0.24484,-0.57895,0.66562,1.48624,-0.57024,-3.0291,0.21604,-1.62185,-0.53103,4.63235,-3.35556,-inf,0.06224,0.77778,-0.0249,-0.01031,-0.01681,-0.01258,0.30183,-0.03292,-0.01639,-0.025,-0.02484,0.57244,2,1,1,0,0,0
