,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,0.82519,-0.01273,-6.24754,-0.44235,-1.1843,-3.23864,6.30029,-1.0,8.44828,-1.0,-4.41534,8.75,-0.06569,0.70226,-0.40249,-0.44475,-1.22802,2.28131,-1.48504,-1.0,5.92697,-1.0,4.13942,-0.56425,-0.05882,-0.05418,-0.07209,-0.07621,1.12403,-0.09761,-0.09111,-0.10538,-0.10515,1.38795,3,1,1,1,1,1
2022-01-10,-1.54173,-1.92296,-0.96125,0.30309,-4.09417,-1.05738,-0.54054,-1.0,-0.73642,-inf,-1.16464,-0.74359,-1.98876,-1.91121,-1.20334,-0.27333,-0.42975,-0.87156,2.35423,-1.0,1.49042,-inf,-0.4377,1.5,-0.03606,0.02387,0.00501,0.065,-0.35809,-0.09276,-0.0316,-0.06744,-0.01617,0.36345,4,0,0,0,0,0
2022-01-11,-2.50235,-2.93166,-17.20531,-1.5116,-2.25797,-5.46667,2.34116,-1.0,-1.44,-1.0,0.47159,5.925,-0.18613,0.78285,-1.62795,-1.66667,2.89238,-0.74372,0.53514,-1.0,-1.11598,-1.0,-1.24228,0.77564,0.08479,0.0373,0.06234,0.0,-0.2455,0.04567,0.06205,0.06767,0.065,-0.51568,0,1,1,1,1,0
2022-01-12,-1.24591,-1.02667,-0.38128,-1.61392,0.7523,-1.32252,-0.78343,-1.0,0.93357,-1.0,-1.40541,-1.32852,-0.63055,-0.94848,-11.02657,-0.68591,-3.20435,0.44058,-0.2764,-1.0,-1.85077,-1.0,-1.59659,-3.275,0.0023,0.00449,0.00704,0.01643,0.12724,0.08728,0.04196,0.06983,0.01643,-0.1495,1,1,0,0,0,0
2022-01-13,-4.22286,0.29944,-5.15828,-2.39691,-1.65746,-0.98592,-10.1988,-1.0,-4.12116,-inf,2.70476,-3.71429,-0.20746,-1.03466,-3.57281,-0.14241,-2.15207,-1.00454,-2.9922,-1.0,-7.03497,-inf,-2.50193,-0.1083,0.03211,0.03356,-0.01166,0.00231,1.57125,0.03448,0.0382,-0.00469,0.01878,1.8984,2,0,0,0,0,0
2022-01-14,0.6999,-13.78478,-0.12149,-0.95326,-0.836,-299.14286,-0.34428,-1.0,-0.62399,2.71739,-0.71722,-0.51822,-6.47856,-17.61299,-4.6531,-1.06529,-1.10782,-5.1992,-7.03183,-1.0,-2.1736,-inf,0.04762,-2.30769,-0.02889,-0.04978,-0.03066,-0.05069,-0.42114,0.00229,-0.0179,-0.04196,-0.0485,0.4884,3,0,0,0,0,0
2022-01-17,-1.25617,-2.07643,-0.60426,-21.65789,1.23171,-0.79396,-0.64861,-1.0,-0.31587,-0.91228,0.15455,-0.56303,-1.43547,12.76196,-0.65234,-1.96556,-0.634,-62.42857,-0.76959,-1.0,-0.74276,-0.67391,-0.67352,-0.78947,-0.0984,-0.07062,-0.06083,-0.02913,-0.17945,-0.12444,-0.11688,-0.08962,-0.07834,-0.52502,4,0,0,0,0,0
2022-01-18,-0.46673,-1.45376,-2.5794,-2.64076,-0.19945,-7.21512,-1.90366,-inf,-0.88964,-1.0,0.0315,-5.17308,-1.13661,-0.51156,-1.62503,32.89474,0.78659,-2.28055,-1.31753,-inf,-0.9245,-1.0,0.19091,-2.82353,0.00761,-0.0049,0.01295,-0.0175,-0.43976,-0.09153,-0.07517,-0.04866,-0.04612,-0.54029,0,0,0,0,0,0
2022-01-19,-4.48533,-0.12376,-1.86358,-1.08773,2.12969,-1.42732,-2.43932,5.5,3.32653,-inf,2.45038,-1.25806,-2.85861,-1.3976,0.36394,-0.85605,1.50546,1.65581,0.30065,-inf,-0.52252,2.66667,2.55906,0.07692,-0.00756,-0.01724,-0.04604,-0.04071,0.81213,0.0,-0.02206,-0.03368,-0.0575,0.01524,1,0,0,0,0,0
2022-01-20,-1.37243,-4.14899,0.34062,-9.02655,1.61396,0.11778,0.11481,14.07692,6.61792,-0.96364,-1.35398,-0.73214,0.29805,-3.75927,-2.15773,-0.29581,7.18089,-1.47764,-2.60458,97.0,31.95918,-inf,-2.22137,-1.06912,-0.06853,-0.05514,-0.03753,-0.01326,-0.0226,-0.07557,-0.07143,-0.08184,-0.05344,0.77117,2,1,1,1,1,1
