,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-02-04,0.01928,0.86238,-2.22141,0.77564,-0.82843,-2.4887,-1.62551,-2.79902,-1.24401,-6.31579,-1.18726,-0.72993,-1.45,-1.47,-0.58,-4.12,-0.85,-1.01,2.15,1.67,0.0,-3.74,-2.37,-4.58,-2.44,3.64,4.56,6.22,10.23,2.28,-1.15,-1.04,-0.45,-3.57,-1.67,-0.44,0.01,-3.07,-6.83,-1.77,-0.72,-1.53,-3.43,-1.22,-4.8,-1.67,0.75,-2.15,-1.04,0.08261,0.04527,0.08297,0.02905,0.08263,-2.56478,-4.09992,0.2592,-1.63559,-2.20366,-0.8693,7.93134,-2.64574,-0.88029,5.3125,-1.14435,-1.21471,-0.83061,-0.85899,-1.04783,-3.35117,-0.84942,-1.00503,4.98923,3.56972,-0.23621,-3.25652,-1.498,-2.23051,-1.51984,2.28412,2.82293,-5.09259,10.88343,2.34694,-0.5024,-0.66443,0.79358,-4.07705,-1.01569,1.01676,1.19715,-2.27736,-3.95489,-1.5442,-0.99138,-1.83423,-4.98949,-0.80429,-2.91388,-1.35432,1.06482,-3.35743,-0.64404,0.04184,0.06276,0.11712,0.09251,-0.2258,3,1,0,0,0,0
2022-02-07,-0.85896,-0.7563,-0.42943,-0.1369,-0.89609,-1.66219,-0.23574,-1.0436,-1.74438,-1.45545,-0.68672,-1.13636,-0.06,0.02,0.11,1.33,1.99,1.27,1.26,1.57,-0.1,1.58,0.84,0.6,0.52,4.34,9.49,16.1,-4.64,2.26,1.66,1.58,-0.41,3.74,-1.07,-0.8,-1.2,0.47,0.14,-1.72,1.64,1.15,3.77,1.06,0.77,-1.36,0.06,0.44,2.0,0.00803,0.0,0.0,0.00403,-0.41269,-0.85624,-0.54614,-1.6969,0.53256,-0.98217,-0.0142,-1.47805,-0.92157,-0.81836,1.42105,-1.05866,-1.03683,-1.51445,-1.44821,-0.46904,-2.83833,1.11969,0.25126,3.43694,3.26357,-0.10088,-2.21633,-1.54972,-4.00592,-1.93449,8.18746,14.43478,23.31606,5.11543,4.58872,0.48253,0.52228,-0.85713,0.03159,-2.72233,-1.23492,-1.1894,-2.60694,-6.69753,-3.46033,0.91127,-0.39915,0.21205,-0.17471,-4.06516,-3.00209,0.80752,-1.72307,0.94421,0.0913,0.04527,0.08297,0.0332,-0.36416,4,0,0,0,0,0
2022-02-08,-2.78611,-0.38654,1.60883,1.05961,0.04077,-1.27478,0.53076,-1.0,-6.6511,-1.0,-15.17881,8.66667,0.0,-0.03,-0.09,-0.86,1.35,3.59,-0.38,-0.19,-0.12,-0.58,-0.48,-0.02,-0.37,0.2,-1.64,-6.3,-1.55,-1.07,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,-0.01992,-0.02756,-0.03629,-0.01205,0.58186,-1.25192,-0.8505,0.48853,0.77766,-0.89185,-0.81804,0.1699,-1.0,3.20654,-1.0,-5.44191,-2.31818,-0.05705,-0.00572,0.02097,0.46577,1.34512,3.59312,0.87483,1.37528,-0.21676,0.98603,0.35522,0.57625,0.14361,4.5207,7.65391,8.78049,-6.1191,1.16318,1.99075,2.9036,-0.53459,3.51025,-0.99808,-0.99512,-1.10063,-0.18666,-2.09787,-2.13514,2.10731,1.23812,3.44428,1.03723,-0.32332,-1.68464,0.12281,1.46163,2.62928,-0.01205,-0.02756,-0.03629,-0.00806,-0.07095,0,1,1,1,1,0
2022-02-09,-3.57559,2.74162,-0.85873,-1.03577,-1.22811,3.26897,-0.62346,-1.0,-1.18182,1.0,-2.34423,-1.22281,1.06,1.07,0.26,1.2,3.68,2.34,-0.46,0.05,-0.04,1.28,0.93,2.4,0.84,2.37,3.95,27.35,-6.21,-2.15,1.38,-2.12,0.79,1.5,1.0,0.11,0.33,1.28,-0.1,1.57,2.45,0.47,1.47,0.54,1.33,1.58,0.86,0.09,2.03,0.0122,0.02024,0.03347,0.01626,-0.15615,3.6003,1.29532,-0.63144,-1.07367,-1.23741,-2.17301,-0.42362,-2.4375,0.02747,4.28261,18.0596,-3.15385,1.06311,1.04065,0.15708,0.33366,5.07302,6.02227,-0.84176,-0.13781,-0.15856,0.68407,0.44031,2.37643,0.46661,2.55741,2.20365,19.32773,-7.6658,-3.19575,1.71824,-0.84499,0.66009,1.28062,1.07499,-0.08911,0.43324,0.60952,-2.33673,1.13604,2.91674,0.5527,1.1452,0.51616,0.22699,1.24407,0.92594,1.10384,2.6562,-0.00797,-0.00787,-0.00403,0.00402,0.33486,1,1,1,0,0,0
2022-02-10,-0.4953,-0.81825,-4.01509,5.41293,-34.59596,-2.08966,-1.30324,-51.6087,3.85294,-0.52263,-0.72828,0.22619,0.86,0.85,-0.16,2.06,-1.65,-0.48,1.7,0.81,-0.19,2.08,1.47,3.35,1.45,-1.01,1.55,-1.76,-6.9,0.34,0.59,0.51,0.82,1.11,1.37,0.44,0.02,2.31,2.45,2.13,-1.13,2.23,1.52,0.38,2.46,2.29,1.71,2.52,0.09,0.02008,0.01587,0.0081,0.008,0.07036,-2.2999,-0.31998,-1.42596,-1.22938,6.66359,-5.65172,-1.11418,1.0,-1.88235,1.0,-1.36525,-1.27321,1.92906,1.9217,0.09434,3.28646,1.97194,1.85638,1.23749,0.86665,-0.23561,3.38692,2.41137,5.83345,2.30404,1.35487,5.56414,25.11211,-12.68592,-1.81778,1.98331,-1.62312,1.61238,2.62942,2.38576,0.54432,0.34699,3.61223,2.34831,3.73049,1.28947,2.70964,3.00709,0.92078,3.81817,3.90332,2.58882,2.60515,2.12191,0.03252,0.03644,0.04184,0.02439,-0.09677,2,1,1,1,1,1
2022-02-11,8.02205,13.11832,4.40664,4.14126,3.63169,2.70259,24.97164,-0.74055,3.72176,-1.52586,0.08056,22.00971,-1.47,-1.41,0.06,-2.24,-0.11,-0.1,-1.63,0.11,0.48,-2.1,-1.4,-3.22,-1.81,5.04,17.77,46.59,19.79,0.25,-0.85,-0.68,-1.57,-1.78,-1.65,-2.61,-1.03,-2.75,-1.41,-0.57,-0.2,-1.85,-1.77,-0.77,-2.48,-1.5,-1.84,-2.4,-0.32,0.01575,0.02344,0.02008,0.02778,0.67531,3.55341,1.56594,-17.30147,31.97055,-156.60606,-5.03457,-8.87557,-14.13043,21.91444,-1.25103,-0.70639,27.21429,-0.62373,-0.57439,-0.0941,-0.22736,-1.75567,-0.57279,0.0458,0.92701,0.29088,-0.06207,0.04384,0.02744,-0.38659,3.96947,19.62825,44.01408,11.52052,0.58192,-0.25965,-0.17082,-0.77117,-0.6834,-0.30972,-2.18073,-1.0149,-0.50781,1.00743,1.55137,-1.32722,0.34543,-0.27234,-0.39814,-0.08313,0.75106,-0.16002,0.05659,-0.22953,0.03614,0.03968,0.02834,0.036,0.79318,3,1,1,1,1,0
2022-02-14,-0.38821,-0.10329,-0.89122,-1.88864,0.52106,-1.01998,0.01837,-0.04636,-0.27865,15.52459,-0.06036,-0.71224,-1.43,-1.46,0.55,-3.13,2.35,3.26,-2.04,-0.87,-0.03,-2.78,-1.93,-4.83,-1.9,-6.13,-7.56,-8.8,14.43,3.58,-1.45,2.79,-1.34,-2.82,-1.5,0.01,-0.31,-3.01,-2.54,-1.52,-0.74,-1.39,-2.74,-1.81,-3.32,-2.2,-1.51,-0.95,-1.37,0.01163,0.01145,0.02362,0.01931,-0.16679,4.51957,11.66007,-0.41184,-5.56873,6.0451,-1.07398,25.44871,-0.75258,2.40606,-9.68966,0.01535,5.62136,-2.87966,-2.84504,0.61787,-5.30481,2.23131,3.16547,-3.63634,-0.76349,0.45475,-4.82541,-3.31047,-7.89524,-3.67415,-1.38817,8.85798,33.69176,37.07416,3.83672,-2.28646,2.09675,-2.8909,-4.55015,-3.13264,-2.59803,-1.33662,-5.67513,-3.91281,-2.07915,-0.93958,-3.20898,-4.45412,-2.56621,-5.71376,-3.66574,-3.3269,-3.3298,-1.68867,0.02756,0.03516,0.04418,0.04762,0.39588,4,1,0,0,0,0
2022-02-15,-0.21794,-0.36982,2.57534,-1.38468,-0.56184,-24.77355,-0.66177,-0.26736,-0.88531,-0.89187,10.71159,-0.33724,-0.49,-0.45,0.3,0.09,-1.02,0.23,-2.81,-1.57,-0.18,-0.0,-0.31,0.15,-0.38,3.53,5.56,4.83,3.55,2.53,-1.12,-2.24,-1.09,0.58,-0.4,-0.8,-0.29,-0.03,0.32,-0.87,-1.0,-0.48,0.41,-1.09,0.17,0.55,-0.39,-1.88,-1.02,-0.00383,0.0,-0.00385,0.00379,-0.18078,-0.52155,-0.43491,-0.61106,-0.65816,-0.33353,-0.52499,-0.65556,-0.30132,-0.91727,0.78689,10.00473,-0.80928,-1.91654,-1.90102,0.85819,-3.04741,-1.02377,0.23343,-4.78854,-2.43332,-0.2092,-2.78253,-2.24024,-4.69161,-2.27328,-2.79001,-2.42387,-4.40098,18.48599,6.20828,-2.55742,0.48834,-2.41728,-2.25818,-1.89807,-0.78822,-0.59587,-3.03778,-2.22333,-2.37638,-1.73606,-1.86538,-2.33581,-2.87565,-3.14968,-1.6603,-1.89768,-2.81951,-2.38427,0.00775,0.01145,0.01969,0.02317,-0.31742,0,0,0,0,0,0
2022-02-16,-1.29771,-1.40262,-0.97272,0.22942,-1.53579,-0.33314,-3.10153,0.6019,-1.42736,0.36697,-0.99107,-1.0354,1.22,1.26,-0.4,2.5,0.11,0.98,-1.51,-1.03,-0.05,2.53,1.5,5.47,1.58,2.9,0.46,6.39,-9.28,-3.55,1.38,-1.39,1.15,2.08,1.51,-0.55,0.18,2.74,1.26,1.89,2.44,2.14,2.2,2.04,2.8,2.2,1.67,2.66,1.89,0.01154,-0.00377,-0.01931,-0.04151,0.02719,-1.23283,-1.25373,-0.90245,-1.47294,-1.23476,-16.85371,-1.7108,0.17361,-1.04901,-0.85218,-0.89547,-1.02346,0.72192,0.79995,-0.09367,2.5912,-0.91408,1.21382,-4.27389,-2.59016,-0.22676,2.52778,1.17851,5.62217,1.18656,6.51721,6.05245,11.52815,-6.06725,-1.10634,0.24465,-3.59675,0.03952,2.67225,1.10694,-1.34102,-0.10577,2.70139,1.58622,1.00388,1.42107,1.64938,2.62315,0.92899,2.97408,2.76113,1.27588,0.72156,0.84117,0.00766,-0.00377,-0.02308,-0.03788,-0.1585,1,1,1,1,1,1
2022-02-17,-1.87235,-1.58906,9.4396,-0.09836,-1.3074,-1.25736,-0.8532,-0.99704,3.48185,-1.68456,3.08434,-34.8125,-0.16,-0.15,-0.3,-0.07,-0.33,-0.97,4.55,1.99,-0.02,-0.11,0.09,0.03,0.09,-0.17,-3.2,-7.93,-5.49,1.73,0.0,0.76,0.13,0.27,0.52,0.18,0.2,-0.17,-0.2,0.65,0.3,0.53,0.04,1.03,-0.23,0.3,-0.07,-0.32,0.25,-0.0038,0.00379,0.02362,0.02756,-0.31338,-0.74029,-0.76283,-0.71516,0.10849,-0.8353,-1.17163,-1.3085,-0.99526,-2.91537,-1.93578,-0.96354,0.1969,1.06491,1.10238,-0.69524,2.43458,-0.22165,0.0,2.97377,0.93179,-0.06598,2.41586,1.58561,5.50383,1.66619,2.71903,-2.73885,-2.04604,-14.2605,-1.88561,1.38286,-0.6352,1.27921,2.34876,2.03996,-0.37352,0.38088,2.5565,1.05832,2.54696,2.75392,2.68322,2.24502,3.09145,2.55696,2.51085,1.60545,2.33285,2.1354,0.00769,0.0,0.00386,-0.01509,-0.29471,2,1,1,1,1,0
