,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-0.42022882567932623,0.2940243257535695,-2.549898853674983,-0.43100252737994943,-0.6477205447010065,-1.1835781041388518,-0.18686868686868688,-1.0,2.5625,4.0,-1.8210023866348448,-1.0118577075098814,-0.47,-0.46,0.15,-0.05,4.46,4.68,-2.9,-1.13,0.56,-0.13,-0.11,0.75,-0.1,1.66,5.3,10.99,-0.61,2.07,1.55,2.29,-1.21,-0.33,0.45,-1.05,-0.21,-0.48,0.35,-1.24,3.77,-0.21,-0.37,0.62,-0.14,0.07,0.67,-0.04,3.25,0.022847100175746926,0.0,0.014084507042253521,-0.00686106346483705,-0.21452580518130276,-3.1506041850869435,-0.05470138298694275,-0.7156729341909945,-0.4170550664595201,-2.0016835016835017,-0.828125,-0.9049586776859504,-1.0,2.064516129032258,-0.16666666666666666,1.0598802395209581,-4.0,-1.5303942059568758,-1.5051124744376279,0.05400660885568911,-3.1749688954426065,7.216940363007771,9.446064139941686,-4.978388682814208,-2.2985762656049813,0.6229697116468644,-3.4684061705255114,-2.0222605424047657,-2.493388898416064,-2.0337787939602006,4.79078229229836,14.962495065140152,17.441860465116296,15.966888156729691,3.2082105328456887,0.2784119976933075,2.2155734946065646,-1.909289999771875,-2.9627669459834376,-0.5101415691041864,-1.0999058095231298,-0.23876296005060227,-3.596615435869282,-2.5962368709690824,-1.3160064918282708,3.2139915117832847,-3.239055482901687,-3.2961202152078597,-0.9767343758189445,-3.9049960272811135,-2.0096569540208695,-0.6581235908612305,-3.8983256997503624,2.1313034687126287,0.021052631578947368,0.02972027972027972,0.023090586145648313,0.012237762237762238,-0.003814728131399674,3,0,0,0,0,0
2022-01-10,-3.6676716458818692,-2.058030241111565,0.31890363280400263,-0.35001480604086466,-1.5109243697478991,1.0356363636363637,0.422360248447205,-1.0,0.8807017543859649,-1.0,0.2936046511627907,-5.666666666666667,-0.01,-0.04,-0.63,-1.13,-0.93,0.96,1.52,1.18,-0.61,-0.96,-0.42,-2.88,-0.41,2.16,-0.4,-4.95,-4.33,-0.7,1.15,1.45,-0.45,-1.65,-0.03,0.75,0.16,-1.01,-0.31,-0.09,0.67,-0.13,-0.99,0.37,-0.94,-0.55,-1.58,-0.93,1.6,-0.013745704467353952,-0.01697792869269949,-0.027777777777777776,-0.025906735751295335,-0.034005678451148436,-2.546639122834896,-2.36911686938128,-3.0441672285906947,-0.6301600673967986,-1.1799881586737715,-1.37369826435247,0.15656565656565657,-1.0,5.7,-1.0,-2.0620525059665873,-0.9446640316205533,-0.48190922531871566,-0.5070127579840732,-0.4782590175577926,-1.1765452066089495,3.4947368421052705,5.688789737869498,-1.4322242073838742,0.031141883097106554,-0.04757135703554801,-1.0878654485339894,-0.5274374001065529,-2.1534238596803865,-0.5012147437124672,3.8235294117647025,4.881870781099322,5.494505494505499,-4.916367642472566,1.3487515380065866,2.7113290630783857,3.7752133900486027,-1.65816897983722,-1.9736204390461796,0.4236565852336093,-0.30645105616577484,-0.05197357980739185,-1.4871535405503309,0.03842259079448206,-1.3223407302689145,4.464766968164966,-0.33967786202969247,-1.3551309600064847,0.9913186913216682,-1.0836150502976551,-0.4744511804797229,-0.9237442328402308,-0.971204684823463,4.900196614829449,0.008787346221441126,-0.01697792869269949,-0.014084507042253521,-0.032590051457975985,-0.24123638808198208,4,1,0,0,0,0
2022-01-11,-1.100739751361348,-1.0719196601004248,-1.15701797789873,-0.34441913439635535,0.8453947368421053,-1.9153269024651662,-1.1703056768558953,-1.0,-1.6567164179104477,-1.0,-0.8629213483146068,-10.857142857142858,-0.45,-0.43,0.28,0.17,1.1,0.63,-1.49,-0.95,0.03,0.05,-0.12,0.24,-0.14,-0.59,3.25,2.8,3.41,-0.85,-0.3,-0.27,1.04,-0.6,-1.15,-0.64,-0.73,0.1,0.02,-0.99,-0.55,-0.96,-0.47,0.09,0.36,-1.76,-0.18,1.05,-0.22,-0.024390243902439025,-0.013816925734024179,-0.008928571428571428,0.0017730496453900709,-0.23430332234174117,-0.7312594216801426,-0.9239068246832857,-1.2070915814661736,-0.5738821439147173,-1.9428571428571428,-2.863272727272727,-1.2422360248447204,-1.0,-2.2350877192982455,-1.0,-0.8226744186046512,45.0,-0.4625110062635449,-0.4733826094178224,-0.3488139730885743,-0.9581826258011295,1.0989010989011045,0.6349206349206356,0.00816251054168624,0.2119458229895429,-0.5734677787460128,-0.9152678973199226,-0.5386666666666666,-2.6515498804978543,-0.5485461185464425,-0.5665722379603405,3.252499712676703,3.1250000000000027,-1.0708872273590624,-1.547943294375669,0.8447249578205381,1.1781536816160352,0.5798080020217657,-2.2364815444936945,-1.1786767074818651,0.10980209930890582,-0.5741573341564199,-0.9086483343549673,-0.2910576669105393,-1.0789441741176629,0.11468774599179062,-1.085120997864554,-1.450903749532096,0.45724529079847936,-0.587349696424866,-2.295461741005955,-1.7590758168294793,0.10774754040259295,1.3749310702728583,-0.037800687285223365,-0.030560271646859084,-0.036458333333333336,-0.024179620034542316,-0.26034135735330055,0,0,0,0,0,0
2022-01-12,-1.8755736868944417,1.6638023630504835,-5.991596638655462,-0.5281445448227936,0.41354723707664887,-2.297423887587822,-2.282051282051282,-1.0,-0.7357954545454546,-1.0,-10.131147540983607,-1.0217391304347827,0.51,0.49,-0.38,1.43,0.04,-0.79,-1.07,0.02,-0.48,1.41,0.92,1.84,0.92,-0.5,-1.1,28.28,-5.1,3.82,0.84,3.41,0.76,1.03,0.63,-0.92,-0.14,1.21,1.02,1.11,0.35,1.6,1.7,0.59,1.32,0.45,1.68,1.15,0.89,0.0,-0.0035026269702276708,0.0018018018018018018,-0.005309734513274336,-0.08706459901419715,-0.9117949244837152,-1.1915797605252993,-0.21622958931222167,-0.6906605922551253,1.6085526315789473,0.18756698821007503,-0.7816593886462883,-1.0,-1.1735074626865671,-1.0,-2.251685393258427,-0.7857142857142857,0.05619222225037344,0.05816046749937685,-0.10133524367085125,1.6045183235992557,1.1396011396011407,-0.158730158730153,-2.5362746609091453,-0.9309994878226298,-0.44421064936584453,1.4565563440959486,0.7980290289754164,2.0841201906631546,0.7707899474451525,-1.0764872521246405,2.1146994598321998,31.87954309449637,-1.8656736524495652,2.940430481567567,0.5343817907751726,3.135293229630913,1.8079723011363635,0.4333868703500674,-0.5240045188037746,-1.553722918474788,-0.8704301472627549,1.3145524082982425,1.044948654729287,0.10870973239786043,-0.20594861587514188,0.6333060881640601,1.2242624070544836,0.6785327329192864,1.6820735507187945,-1.3169387390753282,1.4988739960063542,2.2145114764053937,0.6663364107371891,-0.024390243902439025,-0.017271157167530225,-0.007142857142857143,-0.0035460992907801418,-0.30096839654856045,1,0,0,0,0,0
2022-01-13,3.366919044845661,-0.3407258064516129,0.9105639730639731,-5.808541973490427,2.148802017654477,1.5141395908543922,7.26,-1.0,-11.150537634408602,-1.0,-1.1149012567324954,-4.333333333333333,0.11,0.09,-0.76,0.36,-2.29,-2.12,2.21,1.54,-0.54,0.23,0.24,0.66,0.28,0.31,3.87,-3.94,-4.29,1.75,0.04,0.19,-0.26,0.63,0.3,0.35,0.05,0.44,0.36,0.95,0.2,-0.29,0.43,-0.52,0.48,-0.06,-0.32,-1.52,0.5,0.0035714285714285713,-0.005272407732864675,0.0035971223021582736,-0.0017793594306049821,0.39756730603451623,-4.823559408465069,0.7561761546723953,-10.536764705882353,-3.268936761640028,3.450980392156863,-4.261904761904762,-11.58974358974359,-1.0,-3.6818181818181817,-1.0,0.04918032786885246,-0.927536231884058,0.6139621563824675,0.5785491766800178,-1.1344899587898234,1.7891465914915428,-2.254428341384865,-2.8916929547844346,1.116915089301534,1.5635253875905135,-1.0158258488865206,1.6433270607284611,1.1582390476701165,2.5180092201920883,1.2003537253575347,-0.17094017094016478,2.727070347284069,23.232323232323225,-9.175251620091146,5.637218258311607,0.8771915711668364,3.609106688095461,0.49817301876124137,1.6753439156089438,0.9310502017048083,-0.5681148125609926,-0.09728840912897184,1.6517976790308748,1.382703297764654,2.0752393454869025,0.5516761893040928,1.3120871227239226,2.140234030510839,0.07190833117770065,1.8027799835568088,0.3882041597343152,1.3570703636289267,-0.3815511840019057,1.3975895210305507,0.0035714285714285713,-0.008756567425569177,0.005405405405405406,-0.007079646017699115,0.27588866893926933,2,1,0,0,0,0
2022-01-14,-1.2663376900506802,-1.4336391437308869,-1.4406873003634761,-0.4248085758039816,-1.0572687224669604,-1.3756132583462966,-1.4285714285714286,-1.0,0.4163135593220339,-1.0,19.046875,-2.1,-0.49,-0.47,-0.13,-2.5,-1.28,-2.11,-0.82,-0.35,0.02,-2.51,-1.36,-2.29,-1.42,-2.92,-3.03,0.0,15.27,-0.63,-0.41,-0.6,-1.63,-2.08,0.18,0.45,0.22,-2.65,-1.4,-0.81,0.38,-1.6,-2.52,-0.13,-2.9,0.23,-0.36,-2.26,0.19,-0.0017793594306049821,-0.0017667844522968198,0.0035842293906810036,0.0035650623885918,-0.20611554927248235,-2.163075131042516,-1.2858870967741935,-1.8419612794612794,-3.7658321060382915,-1.180327868852459,-1.944344163658243,-4.54,-1.0,-15.376344086021506,-1.0,-3.3034111310592458,2.6666666666666665,-0.3817675243739115,-0.38474313551815764,-0.8888872931985293,-2.152422462257596,-3.54124748490946,-4.1865394806571254,1.3743419379656714,1.1857089434110935,-0.5199989935503389,-2.287535977167947,-1.126461211477152,-1.6411002228703624,-1.1468108897173026,-2.577319587628862,0.7203151378728275,-3.9370078740157513,10.320476014546824,1.108103314888272,-0.3688772383819182,-0.41473126254584847,-1.8880342345182914,-1.4570167734942676,0.4798932683476021,0.8089943042344925,0.2697951828409349,-2.2268904885783187,-1.0455479107548187,0.13883873064960314,0.5898873987787088,-1.8829607029419044,-2.0969682743875397,-0.6456210135770973,-2.4391086791459955,0.17176290608639588,-0.6817287432116726,-3.74326536630736,0.6960586319048653,0.0017857142857142857,-0.007029876977152899,0.007194244604316547,0.0017793594306049821,0.10950695310594846,3,0,0,0,0,0
2022-01-18,-1.7897310513447433,-0.8650210084033614,-0.10893944248638257,-1.2320404721753795,-0.7105263157894737,-15.620689655172415,-1.5273972602739727,-1.0,-0.17209302325581396,-1.0,-1.0,-9.0,-0.56,-0.54,0.41,0.68,4.22,5.11,-1.39,-1.09,-0.01,0.59,0.06,2.33,0.08,5.43,8.27,5.74,-5.51,2.07,-1.01,2.44,-0.17,-0.45,-0.57,-0.65,0.19,0.89,0.53,-0.84,0.78,-0.49,0.09,-0.25,1.13,-0.77,-0.42,0.92,-0.31,0.01436265709156194,0.0,0.0036036036036036037,-0.008880994671403197,-0.26030883937710014,-1.970455683525288,-2.087447108603667,-1.6950762309422645,-0.6336528221512248,-0.8461538461538461,-2.0805989168525008,-0.5649717514124294,-1.0,-0.8668661181750187,-1.0,-1.0,-7.545454545454546,-1.0430101346325777,-1.006637168141593,0.2739719639992848,-1.8348046389400308,4.2207792207792245,5.106382978723409,-2.5781821089181287,-2.4303781484796363,0.327119744374477,-1.9399005112290555,-1.304002120328651,-0.01537608899883074,-1.3435314777788356,2.340182648401822,4.984288655325597,5.737704918032792,8.910327015015769,1.4278803411070562,-1.412496307410573,1.8275933356910266,-1.7974785419451411,-2.5166970005902565,-0.38946010020529104,-0.2008321421890876,0.4094969146762048,-1.7879615346778324,-0.8713395466828434,-1.634549301119324,1.1706445203516902,-2.0826705041102915,-2.4327405158895994,-0.3778428695235983,-1.8081157973048698,-0.5412267992271336,-0.7789618260404765,-1.356174709367629,-0.12221121487852127,0.0071301247771836,0.005309734513274336,-0.005357142857142857,-0.008880994671403197,-0.349459272169841,0,1,1,0,0,0
2022-01-19,-2.2414860681114552,-0.9118028534370947,-1.8435814455231931,-1.4694767441860466,74.86363636363636,-1.1400353773584906,4.116883116883117,-1.0,-1.7415730337078652,-1.0,-1.0,-1.0833333333333333,-1.51,-1.5,0.59,-2.5,-0.58,-0.3,-1.46,-0.89,0.23,-2.6,-1.79,-4.44,-1.83,3.67,4.3,1.79,18.76,1.92,-2.3,0.4,-1.39,-1.92,-1.19,-1.2,-1.49,-2.49,-1.99,-1.32,-1.73,-1.4,-2.02,-1.86,-2.84,-2.14,-2.66,-3.85,-2.4,-0.010619469026548672,0.0017605633802816902,-0.0017953321364452424,0.007168458781362007,1.0104693226251422,-0.019559902200488997,-0.9880952380952381,-1.7516821531560398,-0.89106239460371,20.960526315789473,1.0474137931034482,-3.6986301369863015,-1.0,-1.613953488372093,-1.0,-0.96875,-0.3333333333333333,-2.0633553799980464,-2.028397565922921,1.0002617057369747,-1.8350252578234698,3.612012987012986,4.787234042553196,-2.825848710928522,-1.974042177159041,0.22015511692590506,-2.025481439896511,-1.7358125537403266,-2.2194031151780433,-1.7531583895325689,4.573340769659792,8.009082464650636,10.077519379844949,12.21074108713616,4.0306836920210865,-3.279739813002161,2.8589895188918706,-1.553924843150353,-2.3595182433748088,-1.7538056893336162,-1.8443481557635546,-1.3116954723073841,-1.6210222624487087,-1.4676977630486483,-2.1455502304821437,-0.9568832923394743,-1.88687678567819,-1.9370760976709096,-2.1081004245549813,-1.7460782480026107,-2.9012902588718146,-3.0691360282658766,-2.962607500406255,-2.7039782464015274,0.003590664272890485,0.0017605633802816902,0.0018018018018018018,-0.0017761989342806395,0.4871263866493267,1,0,0,0,0,0
2022-01-20,-1.6633416458852868,-135.01470588235293,2.336317135549872,-5.235294117647059,0.7165967645296585,6.5073684210526315,-0.9974619289340102,-1.0,0.4696969696969697,-1.0,72.0,2.1666666666666665,-0.96,-0.99,-0.23,-1.13,-0.67,-4.11,-1.06,-0.77,-0.38,-1.15,-1.03,-3.09,-0.97,-1.14,0.43,21.13,4.65,1.79,-1.65,-0.66,-0.44,-1.81,-1.1,0.46,0.68,-1.37,-0.19,-0.21,-2.24,-0.76,-1.18,-1.23,-1.18,-1.05,-0.77,-1.05,-3.13,0.0,-0.005272407732864675,-0.007194244604316547,-0.0071174377224199285,-0.15586135144132118,-0.17647058823529413,-12.819714656290532,-3.81445523193096,0.9883720930232558,129.22727272727272,-2.051297169811321,-0.987012987012987,-1.0,-2.0898876404494384,-1.0,-1.0,-1.2638888888888888,-2.4592472248910986,-2.4751368868029946,0.35623509223124006,-3.605148838625908,-1.2461059190031163,-4.402834008097164,-2.5054806752594616,-1.6546163365813893,-0.15630383448599566,-3.7162583927822075,-2.803587732960954,-7.394232134784103,-2.78992461691884,2.487562189054735,4.7438708391468865,23.2974910394265,24.28347950872505,3.7461219292301293,-3.910943242660763,-0.2561099511134437,-1.8233349101019325,-3.691057487069857,-2.276637665001276,-0.7482312250460211,-0.8206244744694607,-3.8241766649418425,-2.178398252872759,-1.5290518204748413,-3.9257710209012546,-2.1480432869291306,-3.1779365003918847,-3.0709551321057993,-3.9898711035400374,-3.169370814727939,-3.4089243057157117,-4.860017208875226,-5.458870459628732,-0.010619469026548672,-0.0035211267605633804,-0.008976660682226212,0.0,0.6971148569694701,2,1,1,1,1,0
2022-01-21,-3.9542606516290726,-1.3110940414792056,-0.7377028235594736,-0.23318713450292397,-0.987783595113438,-0.7851934941110488,240.0,-1.0,-1.190721649484536,-1.0,-0.4143835616438356,-0.8421052631578947,-0.89,-0.84,0.24,-1.28,0.83,2.75,2.66,0.72,0.36,-1.3,-1.09,-3.25,-1.1,-2.31,-2.29,4.65,7.3,-0.07,-0.63,-0.9,-0.58,-1.94,-1.24,0.14,-0.72,-1.33,-1.14,-1.43,-2.37,-0.51,-1.29,-0.21,-1.41,-1.25,-0.98,-1.13,-1.65,0.005366726296958855,0.00530035335689046,0.010869565217391304,0.017921146953405017,-0.14319316691900172,0.9596841230257689,40.69117647058823,-0.12489343563512362,-4.247678018575852,-0.9790293588975434,0.6126315789473684,-0.3883248730964467,-1.0,-1.2803030303030303,-1.0,41.75,-0.5,-1.8464981608795263,-1.8236478629569755,0.0020882143017971794,-2.4003682756806524,0.15667841754798292,-1.4720812182741074,1.5636597376368955,-0.05446675554663782,-0.02263790255640458,-2.432503497460058,-2.1110199617172545,-6.237591108796717,-2.066920962829953,-3.413333333333336,-1.8729096989966614,26.7605633802817,12.286086549267509,1.720708434334472,-2.2681790067697665,-1.5507021971334098,-1.02181162011359,-3.7131767056005884,-2.32550340687743,0.6024286771213236,-0.045438352989902175,-2.684794885800186,-1.3257980087474597,-1.6403510366962673,-4.5544827332776,-1.2598053062876953,-2.455120896236741,-1.4386265329696521,-2.5731416728777887,-2.284777073025471,-1.7350596115188541,-2.1695736026190873,-4.7363674199734636,0.005366726296958855,0.0,0.0035971223021582736,0.010676156583629894,-0.2767362378471646,3,1,1,0,0,0
