,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,dxy_cr,ixic_f_cr,bond_kor_10_cr,bond_kor_2_cr,kosdaq_cr,kospi_cr,krw_cr,ixic_cr,spx_f_cr,sox_cr,spx_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,vix_cr,wti_cr,spsy_cr,spny_cr,spxhc_cr,splrcd_cr,splrci_cr,splrcu_cr,splrcs_cr,splrct_cr,splrcl_cr,splrcm_cr,ixbk_cr,ixfn_cr,ixid_cr,ixis_cr,ixk_cr,ixtr_cr,ixut_cr,nbi_cr,bkx_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,dxy_cr_2,ixic_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,ixic_cr_2,spx_f_cr_2,sox_cr_2,spx_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,vix_cr_2,wti_cr_2,spsy_cr_2,spny_cr_2,spxhc_cr_2,splrcd_cr_2,splrci_cr_2,splrcu_cr_2,splrcs_cr_2,splrct_cr_2,splrcl_cr_2,splrcm_cr_2,ixbk_cr_2,ixfn_cr_2,ixid_cr_2,ixis_cr_2,ixk_cr_2,ixtr_cr_2,ixut_cr_2,nbi_cr_2,bkx_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-02-04,-1.47436,-1.27334,-1.78598,-7.10648,-1.35573,-1.80837,-0.96257,-1.0,-1.02495,-0.93617,-1.95327,-0.95714,-1.45,-1.47,-0.58,-4.12,-0.85,-1.01,2.15,1.67,0.0,-3.74,-2.37,-4.58,-2.44,3.64,4.56,6.22,10.23,2.28,-1.15,-1.04,-0.45,-3.57,-1.67,-0.44,0.01,-3.07,-6.83,-1.77,-0.72,-1.53,-3.43,-1.22,-4.8,-1.67,0.75,-2.15,-1.04,0.05854,0.0186,0.04412,0.0,-0.40256,-0.55,-1.24224,-0.8404,0.0115,-0.94973,-0.86907,-1.09459,-1.0,-0.97092,-1.2,-1.33225,-0.8,-0.83061,-0.85899,-1.04783,-3.35117,-0.84942,-1.00503,4.98923,3.56972,-0.23621,-3.25652,-1.498,-2.23051,-1.51984,2.28412,2.82293,-5.09259,10.88343,2.34694,-0.5024,-0.66443,0.79358,-4.07705,-1.01569,1.01676,1.19715,-2.27736,-3.95489,-1.5442,-0.99138,-1.83423,-4.98949,-0.80429,-2.91388,-1.35432,1.06482,-3.35743,-0.64404,0.0093,0.0186,0.04926,0.05419,-0.64097,3,1,1,1,0,0
2022-02-07,-1.11512,-3.80615,0.45457,1.03563,-2.72961,0.29028,-55.28571,-1.0,-2.30435,4.66667,-0.77451,0.33333,-0.06,0.02,0.11,1.33,1.99,1.27,1.26,1.57,-0.1,1.58,0.84,0.6,0.52,4.34,9.49,16.1,-4.64,2.26,1.66,1.58,-0.41,3.74,-1.07,-0.8,-1.2,0.47,0.14,-1.72,1.64,1.15,3.77,1.06,0.77,-1.36,0.06,0.44,2.0,-0.01382,-0.00913,-0.00469,0.01402,0.17857,-0.94539,-0.23296,-2.14326,-13.43056,-0.38473,-2.04302,-3.03209,-1.0,-0.96746,-0.6383,-1.21495,-0.94286,-1.51445,-1.44821,-0.46904,-2.83833,1.11969,0.25126,3.43694,3.26357,-0.10088,-2.21633,-1.54972,-4.00592,-1.93449,8.18746,14.43478,23.31606,5.11543,4.58872,0.48253,0.52228,-0.85713,0.03159,-2.72233,-1.23492,-1.1894,-2.60694,-6.69753,-3.46033,0.91127,-0.39915,0.21205,-0.17471,-4.06516,-3.00209,0.80752,-1.72307,0.94421,0.0439,0.0093,0.03922,0.01402,-0.29587,4,0,0,0,0,0
2022-02-08,-16.50363,-1.28645,0.72572,1.65661,-0.61787,-0.24409,-1.11316,-1.0,-6.9,-0.35294,-3.84783,-8.5,0.0,-0.03,-0.09,-0.86,1.35,3.59,-0.38,-0.19,-0.12,-0.58,-0.48,-0.02,-0.37,0.2,-1.64,-6.3,-1.55,-1.07,0.33,1.31,-0.13,-0.22,0.07,-0.2,0.1,-0.66,-2.24,-0.43,0.46,0.09,-0.32,-0.02,-1.09,-0.33,0.06,1.02,0.61,0.00467,-0.00922,-0.00943,-0.02304,0.05524,0.7848,-0.19618,1.51019,4.40788,-1.66094,-0.02467,5.14286,-1.0,6.69565,2.66667,-1.64216,-11.0,-0.05705,-0.00572,0.02097,0.46577,1.34512,3.59312,0.87483,1.37528,-0.21676,0.98603,0.35522,0.57625,0.14361,4.5207,7.65391,8.78049,-6.1191,1.16318,1.99075,2.9036,-0.53459,3.51025,-0.99808,-0.99512,-1.10063,-0.18666,-2.09787,-2.13514,2.10731,1.23812,3.44428,1.03723,-0.32332,-1.68464,0.12281,1.46163,2.62928,-0.00922,-0.01826,-0.01408,-0.00935,0.24368,0,1,1,1,1,0
2022-02-09,-1.70979,-5.86667,-0.91006,-1.00519,0.2013,-0.54613,-0.97674,1.0,-0.22599,-1.09091,-0.78626,-1.7,1.06,1.07,0.26,1.2,3.68,2.34,-0.46,0.05,-0.04,1.28,0.93,2.4,0.84,2.37,3.95,27.35,-6.21,-2.15,1.38,-2.12,0.79,1.5,1.0,0.11,0.33,1.28,-0.1,1.57,2.45,0.47,1.47,0.54,1.33,1.58,0.86,0.09,2.03,-0.00465,0.0186,0.01429,0.01887,-0.16235,10.00435,0.39406,-0.84479,-1.01378,-0.54094,-0.65692,-1.00263,1.0,-5.56667,-1.05882,-1.6087,4.25,1.06311,1.04065,0.15708,0.33366,5.07302,6.02227,-0.84176,-0.13781,-0.15856,0.68407,0.44031,2.37643,0.46661,2.55741,2.20365,19.32773,-7.6658,-3.19575,1.71824,-0.84499,0.66009,1.28062,1.07499,-0.08911,0.43324,0.60952,-2.33673,1.13604,2.91674,0.5527,1.1452,0.51616,0.22699,1.24407,0.92594,1.10384,2.6562,0.0,0.00922,0.00472,-0.00461,-0.11608,1,0,0,0,0,0
2022-02-10,-1.35057,-1.43633,-2.47073,28.51351,-4.40541,-1.00874,-218.0,-1.0,-7.9562,-1.0,-8.42857,-1.33333,0.86,0.85,-0.16,2.06,-1.65,-0.48,1.7,0.81,-0.19,2.08,1.47,3.35,1.45,-1.01,1.55,-1.76,-6.9,0.34,0.59,0.51,0.82,1.11,1.37,0.44,0.02,2.31,2.45,2.13,-1.13,2.23,1.52,0.38,2.46,2.29,1.71,2.52,0.09,0.01402,-0.00457,0.00469,0.0,-0.16445,-0.75117,1.12348,-1.13228,-1.15309,-5.09091,-1.00397,-6.04651,-1.0,-6.38418,-1.0,-2.58779,-0.76667,1.92906,1.9217,0.09434,3.28646,1.97194,1.85638,1.23749,0.86665,-0.23561,3.38692,2.41137,5.83345,2.30404,1.35487,5.56414,25.11211,-12.68592,-1.81778,1.98331,-1.62312,1.61238,2.62942,2.38576,0.54432,0.34699,3.61223,2.34831,3.73049,1.28947,2.70964,3.00709,0.92078,3.81817,3.90332,2.58882,2.60515,2.12191,0.0093,0.01395,0.01905,0.01887,-0.30011,2,1,1,0,0,0
2022-02-11,-2.60271,-6.58367,-14.44444,-13.66392,0.41587,-243.875,-1.7235,-1.0,-0.6999,1.0,-1.09135,-0.71429,-1.47,-1.41,0.06,-2.24,-0.11,-0.1,-1.63,0.11,0.48,-2.1,-1.4,-3.22,-1.81,5.04,17.77,46.59,19.79,0.25,-0.85,-0.68,-1.57,-1.78,-1.65,-2.61,-1.03,-2.75,-1.41,-0.57,-0.2,-1.85,-1.77,-0.77,-2.48,-1.5,-1.84,-2.4,-0.32,0.00461,0.01376,0.00935,0.00926,1.36873,-0.43814,1.43633,18.77317,-374.75676,-5.82162,1.1235,156.0,-1.0,-3.08759,-9.0,-0.32143,-1.09524,-0.62373,-0.57439,-0.0941,-0.22736,-1.75567,-0.57279,0.0458,0.92701,0.29088,-0.06207,0.04384,0.02744,-0.38659,3.96947,19.62825,44.01408,11.52052,0.58192,-0.25965,-0.17082,-0.77117,-0.6834,-0.30972,-2.18073,-1.0149,-0.50781,1.00743,1.55137,-1.32722,0.34543,-0.27234,-0.39814,-0.08313,0.75106,-0.16002,0.05659,-0.22953,0.01869,0.00913,0.01408,0.00926,0.97918,3,0,0,0,0,0
2022-02-14,-0.78286,-0.744,-0.73178,-0.79348,-0.73094,-0.33402,-1.4586,-1.0,-0.45105,-6.5,1.0,-1.0,-1.43,-1.46,0.55,-3.13,2.35,3.26,-2.04,-0.87,-0.03,-2.78,-1.93,-4.83,-1.9,-6.13,-7.56,-8.8,14.43,3.58,-1.45,2.79,-1.34,-2.82,-1.5,0.01,-0.31,-3.01,-2.54,-1.52,-0.74,-1.39,-2.74,-1.81,-3.32,-2.2,-1.51,-0.95,-1.37,-0.01376,-0.00905,-0.00926,-0.00459,-0.4263,-1.34801,-2.42943,-4.60614,-3.61538,-0.61905,-162.75,-0.6682,-1.0,-0.83526,-1.0,-1.18269,-1.0,-2.87966,-2.84504,0.61787,-5.30481,2.23131,3.16547,-3.63634,-0.76349,0.45475,-4.82541,-3.31047,-7.89524,-3.67415,-1.38817,8.85798,33.69176,37.07416,3.83672,-2.28646,2.09675,-2.8909,-4.55015,-3.13264,-2.59803,-1.33662,-5.67513,-3.91281,-2.07915,-0.93958,-3.20898,-4.45412,-2.56621,-5.71376,-3.66574,-3.3269,-3.3298,-1.68867,-0.00922,0.00459,0.0,0.00463,0.35894,4,0,0,0,0,0
2022-02-15,-1.45405,-0.87452,-0.42975,-0.93417,1.54583,0.15688,-1.58333,-1.0,-2.24841,-0.29545,36.28947,-1.0,-0.49,-0.45,0.3,0.09,-1.02,0.23,-2.81,-1.57,-0.18,-0.0,-0.31,0.15,-0.38,3.53,5.56,4.83,3.55,2.53,-1.12,-2.24,-1.09,0.58,-0.4,-0.8,-0.29,-0.03,0.32,-0.87,-1.0,-0.48,0.41,-1.09,0.17,0.55,-0.39,-1.88,-1.02,0.0,-0.0137,-0.01402,-0.00922,0.05357,-1.09859,-0.96788,-0.84705,-0.98641,-0.31502,-0.22954,-0.73248,-1.0,-1.68531,-4.875,73.57895,-8.0,-1.91654,-1.90102,0.85819,-3.04741,-1.02377,0.23343,-4.78854,-2.43332,-0.2092,-2.78253,-2.24024,-4.69161,-2.27328,-2.79001,-2.42387,-4.40098,18.48599,6.20828,-2.55742,0.48834,-2.41728,-2.25818,-1.89807,-0.78822,-0.59587,-3.03778,-2.22333,-2.37638,-1.73606,-1.86538,-2.33581,-2.87565,-3.14968,-1.6603,-1.89768,-2.81951,-2.38427,-0.01376,-0.02262,-0.02315,-0.01376,-0.39557,0,1,0,0,0,0
2022-02-16,8.32619,6.43683,1.22016,-6.9734,-1.89198,3.61924,-8.80952,-1.0,-1.35714,-1.0,-3.3204,-0.42857,1.22,1.26,-0.4,2.5,0.11,0.98,-1.51,-1.03,-0.05,2.53,1.5,5.47,1.58,2.9,0.46,6.39,-9.28,-3.55,1.38,-1.39,1.15,2.08,1.51,-0.55,0.18,2.74,1.26,1.89,2.44,2.14,2.2,2.04,2.8,2.2,1.67,2.66,1.89,0.00465,0.00463,0.00948,0.00465,0.06783,-5.23459,-0.06684,0.26604,-1.39321,-3.27083,4.34389,3.55556,-1.0,-0.55414,-1.0,-87.52632,-1.0,0.72192,0.79995,-0.09367,2.5912,-0.91408,1.21382,-4.27389,-2.59016,-0.22676,2.52778,1.17851,5.62217,1.18656,6.51721,6.05245,11.52815,-6.06725,-1.10634,0.24465,-3.59675,0.03952,2.67225,1.10694,-1.34102,-0.10577,2.70139,1.58622,1.00388,1.42107,1.64938,2.62315,0.92899,2.97408,2.76113,1.27588,0.72156,0.84117,0.00465,-0.00913,-0.00467,-0.00461,0.12504,1,1,1,1,0,0
2022-02-17,-0.58489,-1.03704,-0.7866,0.99288,-0.92294,-0.46291,-1.1372,-1.0,1.55714,1.0,-0.92092,0.25,-0.16,-0.15,-0.3,-0.07,-0.33,-0.97,4.55,1.99,-0.02,-0.11,0.09,0.03,0.09,-0.17,-3.2,-7.93,-5.49,1.73,0.0,0.76,0.13,0.27,0.52,0.18,0.2,-0.17,-0.2,0.65,0.3,0.53,0.04,1.03,-0.23,0.3,-0.07,-0.32,0.25,0.00463,0.01382,0.01408,0.01389,-0.32219,2.87143,-1.27549,-0.52621,-12.90426,-1.06874,1.48096,0.07143,-1.0,-1.91327,-2.12903,-1.18349,-0.28571,1.06491,1.10238,-0.69524,2.43458,-0.22165,0.0,2.97377,0.93179,-0.06598,2.41586,1.58561,5.50383,1.66619,2.71903,-2.73885,-2.04604,-14.2605,-1.88561,1.38286,-0.6352,1.27921,2.34876,2.03996,-0.37352,0.38088,2.5565,1.05832,2.54696,2.75392,2.68322,2.24502,3.09145,2.55696,2.51085,1.60545,2.33285,2.1354,0.0093,0.01852,0.0237,0.0186,-0.27621,2,1,1,1,1,0
