,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-07,-4.532994923857868,-1.1726939315109386,-0.34107804349469545,-0.806998605676247,2.661800486618005,1.4951798294401186,-0.6836496213891745,-7.093023255813954,1.8373205741626795,-0.2127659574468085,1.0472324723247233,-0.47796610169491527,2.254025974025974,1.2372928176795581,4.30277834110728,-0.38143289606458125,-10.585987261146498,-4.293930494371023,2.4320486815415823,-8.277777777777779,0.23199445983379502,17.5,-3.4205933682373475,1.1388888888888888,-0.02356020942408377,-0.010471204188481676,-0.03208556149732621,-0.04473684210526316,0.20464464686710773,-0.04358974358974359,-0.03571428571428571,-0.049868766404199474,-0.0546875,0.864720638199712,3,1,1,1,1,1
2022-01-10,-1.8174010217113665,-4.099641931102605,-0.9525011473152822,1.2596131437893265,-1.8996677740863788,-1.1955568764395572,-1.5895390070921986,-1.3854961832061068,-1.537380550871276,0.6756756756756757,-0.3994232155731795,-0.525974025974026,1.887873660462493,-0.4647106486417331,-0.9687019630572286,-0.563891512616381,-4.294403892944039,-1.4879495736002966,-1.1865008880994672,1.3488372093023255,-2.5247208931419456,0.3191489361702128,0.22952029520295203,-0.752542372881356,-0.01876675603217158,0.0,0.0055248618784530384,0.03305785123966942,-0.31808128726200396,-0.041884816753926704,-0.010471204188481676,-0.026737967914438502,-0.013157894736842105,-0.17853027310166408,4,0,0,0,0,0
2022-01-11,-1.966720049998047,-1.0011950286806883,19.599838969404185,0.3017739273927393,-1.8962333825701625,-1.872340425531915,-4.442105263157894,-0.0594059405940594,-2.5355648535564854,-1.0,-0.5912364945978391,1.547945205479452,-0.20980204342273306,-0.9962958389924682,-0.0215312834633624,1.941505476578886,-0.193687707641196,-0.8294078311910246,1.0292553191489362,-1.3625954198473282,-0.17481731309724563,-1.0,-0.754506128334535,0.2077922077922078,0.01366120218579235,-0.010582010582010581,-0.013736263736263736,-0.034666666666666665,-0.1914674845472279,-0.005361930294906166,-0.010582010582010581,-0.008287292817679558,-0.0027548209366391185,-0.4486465478556318,0,1,0,0,0,0
2022-01-12,-0.9060972160491333,20.966666666666665,-0.9210084033613445,-0.8063698304547615,-1.761845900288422,-2.351480836236934,-0.7110819863113441,-0.9789473684210527,0.24182561307901906,-inf,-0.13069016152716592,-2.274193548387097,-1.0907777039959377,-1.0262507966857872,0.6272141706924316,-0.7479372937293729,-0.3172082717872969,0.178951367781155,-1.9944862155388472,-0.9801980198019802,-2.9069037656903767,-12.693548387096774,-0.6446578631452581,-4.2465753424657535,-0.02425876010781671,-0.016042780748663103,0.0,0.0027624309392265192,-0.224512931566976,-0.01092896174863388,-0.026455026455026454,-0.013736263736263736,-0.032,-0.3729934898587511,1,1,1,1,1,0
2022-01-13,1.867039586919105,20.73596358118361,-3.3993072736269174,-1.1657119476268412,0.09626825310978908,-0.7992265549468257,-0.9495967741935484,-1.0,-2.0356555128908393,-1.0082758620689656,3.6537162162162162,-1.2362869198312236,-0.7307770010909531,476.46666666666664,-1.1895251123705297,-1.032086832514657,-1.835187474248043,-1.271341463414634,-0.9854376001164992,-1.0,-2.2861035422343323,inf,3.0455212922173276,-0.6989247311827957,0.019337016574585635,0.008152173913043478,0.011142061281337047,0.01652892561983471,0.018645632250688757,-0.005390835579514825,-0.008021390374331552,0.011142061281337047,0.019337016574585635,-0.21005348487380912,2,0,0,0,0,0
2022-01-14,1.3130721897043374,-0.4803825746998045,-2.5324809239018355,-30.609876543209875,-0.08534780463739516,0.13162118780096307,-8.94,-1.0,-0.3606991525423729,-1.0,-1.2206896551724138,0.26785714285714285,5.631669535283993,10.294385432473444,2.676892627412172,3.90671031096563,0.0027041644131963224,-0.7728005156300355,-1.4002016129032258,-1.0,-1.6620954470652771,-1.0,-2.027027027027027,-1.2995780590717299,0.0,0.008086253369272238,0.005509641873278237,-0.008130081300813009,0.22036498280878075,0.019337016574585635,0.016304347826086956,0.016713091922005572,0.008264462809917356,0.2431194594898514,3,1,1,1,1,1
2022-01-17,-1.554892291720737,3.4248286981056024,-6.638137531960705,-1.0771347565043363,5.6294498381877025,24.78723404255319,8.253148614609572,inf,1.3885666942833472,inf,-0.36348684210526316,-1.352112676056338,-2.2835059282605434,1.299218095504049,7.640338214064756,1.2839506172839505,5.063640848544647,28.181380417335472,-74.47,inf,0.5270127118644068,33.0,-1.1404718693284936,-1.4464285714285714,-0.018970189701897018,0.03208556149732621,-0.00821917808219178,0.0273224043715847,1.7363055068192141,-0.018970189701897018,0.04043126684636118,-0.0027548209366391185,0.018970189701897018,2.3392914227890023,4,0,0,0,0,0
2022-01-18,-4.269176800748363,-0.19466205137547823,-1.0584528725207056,1.1578378378378378,-1.0605320966560898,-1.1438393839383938,-1.217231523070641,0.0,-0.8463406174124176,-1.0,-3.405684754521964,-4.28,0.8140410070075266,2.5634824667472795,-0.6704346655900956,-1.166444296197465,-1.401294498381877,-4.709219858156028,-3.0100755667506296,inf,-0.6329743164871583,-1.0,-2.53125,0.15492957746478872,0.04696132596685083,-0.018134715025906734,0.011049723756906077,-0.02127659574468085,-0.6014556734486981,0.02710027100271003,0.013368983957219251,0.0027397260273972603,0.00546448087431694,0.09053903545388244,0,1,1,1,1,1
2022-01-19,-3.7773803562486585,-2.40093503751461,-18.49285422621478,1.2625250501002003,-13.155913978494624,-5.750669216061185,-10.793859649122806,-1.0,1.724604966139955,inf,-3.4135338345864663,-2.2195121951219514,8.079747427502339,-2.1282261492682335,0.022507578108217772,3.882162162162162,-0.2641770401106501,-0.31666666666666665,1.1275350483190418,-1.0,-0.5813388831078737,-0.9117647058823529,4.8062015503875966,3.0,-0.0158311345646438,0.026385224274406333,0.01639344262295082,0.04076086956521739,1.5248411891974092,0.03038674033149171,0.007772020725388601,0.027624309392265192,0.018617021276595744,0.0062611313976696555,1,0,0,0,0,0
2022-01-20,-1.6196909207984547,-2.1456253195898487,-1.1385387488328664,-1.5865810451727191,-0.5091773551525873,-1.7047412058279,-1.0412001791312135,-inf,0.39436619718309857,2.7777777777777777,-1.1303960836671116,-1.91,0.7211173903712712,0.6049466500772914,1.4234381380155166,-2.3271543086172346,-6.966397849462366,2.3479923518164436,-0.5964912280701754,-2.1343283582089554,2.799097065462754,inf,-0.6852846401718582,0.10975609756097561,0.013404825737265416,-0.007712082262210797,-0.002688172043010753,-0.020887728459530026,-0.42087997453912046,-0.002638522427440633,0.018469656992084433,0.01366120218579235,0.019021739130434784,0.4621860937726811,2,1,1,0,0,0
