date,retail,retail_cr,retail_days,foreigner,foreigner_cr,foreigner_days,institution,institution_cr,institution_days,financial,financial_cr,financial_days,invtrust,invtrust_cr,invtrust_days,pension,pension_cr,pension_days,privequity,privequity_cr,privequity_days,bank,bank_cr,bank_days,insurance,insurance_cr,insurance_days,financeetc,financeetc_cr,financeetc_days,corporateetc,corporateetc_cr,corporateetc_days,foreigneretc,foreigneretc_cr,foreigneretc_days,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,open,high,low,close,close_cr,vol,vol_cr,high_time,low_time
2022-01-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-02,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-03,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,79400,79800,78200,78600,0.38,13502112,,,
2022-01-04,32639.0,,,-13134.0,,,-25438.0,,,-20645.0,,,157.0,,,-5450.0,,,-1039.0,,,1705.0,,,-238.0,,,72.0,,,5935.0,,,-2.0,,,,,,,78800,79200,78300,78700,0.13,12427416,,,
2022-01-05,-42706.0,,,69246.0,,,-33186.0,,,-51258.0,,,10429.0,,,-1655.0,,,9108.0,,,38.0,,,193.0,,,-40.0,,,6701.0,,,-55.0,,,,,,,78800,79000,76400,77400,-1.65,25470640,,,
2022-01-06,-35424.0,,,8643.0,,,20714.0,,,-7682.0,,,7294.0,,,15266.0,,,4041.0,,,-71.0,,,1947.0,,,-80.0,,,5981.0,,,86.0,,,,,,,76700,77600,76600,76900,-0.65,12931954,,,
2022-01-07,-2698.0,,,-5585.0,,,2479.0,,,-7485.0,,,1068.0,,,3437.0,,,6438.0,,,-177.0,,,-820.0,,,18.0,,,5702.0,,,102.0,,,,,,,59700,61200,59500,60600,0.5,163138,,,
2022-01-08,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-09,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"78,300","78,300","78,300","78,300",0.00%,-,,,
2022-01-10,20278.0,,,-1400.0,,,-24982.0,,,-13092.0,,,-1456.0,,,-5360.0,,,-6598.0,,,0.0,,,1482.0,,,42.0,,,6043.0,,,61.0,,,,,,,61500,64900,61100,64400,6.27,386257,,,
2022-01-11,-7326.0,,,7362.0,,,-5836.0,,,-2550.0,,,-744.0,,,1273.0,,,-2608.0,,,0.0,,,-1208.0,,,0.0,,,5851.0,,,-50.0,,,,,,,63400,65500,62800,63900,-0.78,197159,,,
2022-01-12,-13662.0,,,2809.0,,,4887.0,,,9408.0,,,-1689.0,,,-1516.0,,,-1217.0,,,-2.0,,,-111.0,,,14.0,,,6369.0,,,-403.0,,,,,,,63800,65600,63500,64700,1.25,199241,,,
2022-01-13,13838.0,,,7653.0,,,-27519.0,,,-11065.0,,,-3959.0,,,-8606.0,,,-1274.0,,,-406.0,,,-2209.0,,,0.0,,,6014.0,,,14.0,,,,,,,64800,65900,64300,65000,0.46,146551,,,
2022-01-14,-5537.0,,,12485.0,,,-13100.0,,,-11624.0,,,516.0,,,-2739.0,,,508.0,,,133.0,,,328.0,,,-223.0,,,5965.0,,,188.0,,,,,,,64700,65700,63600,64600,-0.62,128894,,,
2022-01-15,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-16,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"77,300","77,300","77,300","77,300",0.00%,-,,,
2022-01-17,44887.0,,,-24262.0,,,-26481.0,,,-689.0,,,-4048.0,,,-4497.0,,,-16478.0,,,27.0,,,-799.0,,,4.0,,,5751.0,,,106.0,,,,,,,63500,65100,63400,64500,-0.15,103343,,,
2022-01-18,44887.0,,,-24262.0,,,-26481.0,,,-689.0,,,-4048.0,,,-4497.0,,,-16478.0,,,27.0,,,-799.0,,,4.0,,,5751.0,,,106.0,,,,,,,64600,65600,63700,64600,0.16,119792,,,
2022-01-19,44887.0,,,-24262.0,,,-26481.0,,,-689.0,,,-4048.0,,,-4497.0,,,-16478.0,,,27.0,,,-799.0,,,4.0,,,5751.0,,,106.0,,,,,,,65100,67700,64200,65000,0.62,200421,,,
2022-01-20,15158.0,,,-18981.0,,,-1775.0,,,9258.0,,,-2026.0,,,-7958.0,,,-401.0,,,2.0,,,-650.0,,,0.0,,,5600.0,,,-3.0,,,,,,,65000,65700,62700,63500,-2.31,157014,,,
2022-01-21,21066.0,,,-1058.0,,,-23588.0,,,-3767.0,,,-1945.0,,,-12983.0,,,-2862.0,,,1.0,,,-2032.0,,,0.0,,,3495.0,,,84.0,,,,,,,62500,64400,62500,64200,1.1,116159,,,
2022-01-22,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-23,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"75,600","75,600","75,600","75,600",0.00%,-,,,
2022-01-24,18796.0,,,-28703.0,,,4081.0,,,19593.0,,,-322.0,,,-8900.0,,,-3423.0,,,72.0,,,-2246.0,,,-694.0,,,5893.0,,,-67.0,,,,,,,65200,65200,62600,63400,-1.25,128790,,,
2022-01-25,43135.0,,,-31248.0,,,-22861.0,,,-12721.0,,,-5059.0,,,-6936.0,,,2776.0,,,-177.0,,,-726.0,,,-18.0,,,6492.0,,,4482.0,,,,,,,61800,63000,60700,61600,-2.84,163677,,,
2022-01-26,43135.0,,,-31248.0,,,-22861.0,,,-12721.0,,,-5059.0,,,-6936.0,,,2776.0,,,-177.0,,,-726.0,,,-18.0,,,6492.0,,,4482.0,,,,,,,62300,63900,62000,63000,2.27,125473,,,
2022-01-27,28526.0,,,-26051.0,,,-8365.0,,,5241.0,,,-3612.0,,,-9518.0,,,-409.0,,,1799.0,,,-1846.0,,,-18.0,,,5820.0,,,70.0,,,,,,,63600,63700,58700,60100,-4.6,206807,,,
2022-01-28,28526.0,,,-26051.0,,,-8365.0,,,5241.0,,,-3612.0,,,-9518.0,,,-409.0,,,1799.0,,,-1846.0,,,-18.0,,,5820.0,,,70.0,,,,,,,61400,62000,59600,60200,0.17,162032,,,
2022-01-29,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-30,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-01-31,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-02-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-02-02,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-02-03,-13695.0,,,-7033.0,,,15426.0,,,4743.0,,,3098.0,,,-1729.0,,,8075.0,,,1118.0,,,120.0,,,0.0,,,5364.0,,,-62.0,,,,,,,60200,64600,60000,63400,5.32,206011,,,
2022-02-04,52036.0,,,-44624.0,,,-13718.0,,,-3638.0,,,-2409.0,,,-5945.0,,,-187.0,,,124.0,,,-1663.0,,,0.0,,,6291.0,,,15.0,,,,,,,64100,64600,62900,64300,1.42,125993,,,
2022-02-05,52036.0,,,-44624.0,,,-13718.0,,,-3638.0,,,-2409.0,,,-5945.0,,,-187.0,,,124.0,,,-1663.0,,,0.0,,,6291.0,,,15.0,,,,,,,,,,,,,,,
2022-02-06,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"74,000","74,000","74,000","74,000",0.00%,-,,,
2022-02-07,56263.0,,,-27127.0,,,-35485.0,,,-29416.0,,,-943.0,,,-5274.0,,,-128.0,,,1.0,,,275.0,,,0.0,,,6153.0,,,195.0,,,,,,,63800,64800,62800,63200,-1.71,143891,,,
2022-02-08,56263.0,,,-27127.0,,,-35485.0,,,-29416.0,,,-943.0,,,-5274.0,,,-128.0,,,1.0,,,275.0,,,0.0,,,6153.0,,,195.0,,,,,,,63900,64400,62800,63700,0.79,138550,,,
2022-02-09,38807.0,,,-35753.0,,,-8831.0,,,3919.0,,,-6213.0,,,-3862.0,,,-895.0,,,-642.0,,,-1133.0,,,-4.0,,,5721.0,,,56.0,,,,,,,63700,64900,62700,64900,1.88,176522,,,
2022-02-10,20569.0,,,-18507.0,,,-8306.0,,,6559.0,,,-2815.0,,,-6782.0,,,-4557.0,,,25.0,,,-668.0,,,-68.0,,,6010.0,,,233.0,,,,,,,64200,65400,63000,64800,-0.15,189158,,,
2022-02-11,20569.0,,,-18507.0,,,-8306.0,,,6559.0,,,-2815.0,,,-6782.0,,,-4557.0,,,25.0,,,-668.0,,,-68.0,,,6010.0,,,233.0,,,,,,,64800,65700,63800,64900,0.15,182867,,,
2022-02-12,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
