date,retail,retail_cr,retail_days,foreigner,foreigner_cr,foreigner_days,institution,institution_cr,institution_days,financial,financial_cr,financial_days,invtrust,invtrust_cr,invtrust_days,pension,pension_cr,pension_days,privequity,privequity_cr,privequity_days,bank,bank_cr,bank_days,insurance,insurance_cr,insurance_days,financeetc,financeetc_cr,financeetc_days,corporateetc,corporateetc_cr,corporateetc_days,foreigneretc,foreigneretc_cr,foreigneretc_days,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,open,high,low,close,close_cr,vol,vol_cr,high_time,low_time
2020-01-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-02,11484.0,,,4028.0,,,-16584.0,,,-11890.0,,,-1736.0,,,-2957.0,,,215.0,,,99.0,,,-326.0,,,11.0,,,988.0,,,84.0,,,,,,,187500.0,188000.0,182000.0,182500.0,-2.14,55310.0,,,
2020-01-03,18609.0,,,11881.0,,,-30037.0,,,-14497.0,,,-3234.0,,,-9156.0,,,-2636.0,,,-22.0,,,-502.0,,,10.0,,,-437.0,,,-16.0,,,,,,,185000.0,186000.0,180500.0,181500.0,-0.55,82879.0,,,
2020-01-04,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-05,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-06,5359.0,,,4401.0,,,-8942.0,,,-8919.0,,,545.0,,,65.0,,,-1359.0,,,-13.0,,,267.0,,,472.0,,,-788.0,,,-29.0,,,,,,,180000.0,182000.0,178000.0,180500.0,-0.55,51851.0,,,
2020-01-07,-15645.0,,,9209.0,,,5757.0,,,-985.0,,,2781.0,,,417.0,,,1097.0,,,149.0,,,2281.0,,,16.0,,,722.0,,,-44.0,,,,,,,182500.0,187000.0,181500.0,187000.0,3.6,60938.0,,,
2020-01-08,16564.0,,,-2976.0,,,-14790.0,,,-12996.0,,,-270.0,,,-290.0,,,-3951.0,,,99.0,,,2621.0,,,-4.0,,,1078.0,,,123.0,,,,,,,182000.0,183500.0,179000.0,183000.0,-2.14,149007.0,,,
2020-01-09,1326.0,,,8883.0,,,-9208.0,,,-5318.0,,,-54.0,,,-3380.0,,,-2234.0,,,10.0,,,1769.0,,,0.0,,,-976.0,,,-25.0,,,,,,,183500.0,186500.0,183500.0,186000.0,1.64,98405.0,,,
2020-01-10,-7991.0,,,19584.0,,,-11959.0,,,-5573.0,,,-1550.0,,,-4888.0,,,342.0,,,-150.0,,,-139.0,,,0.0,,,343.0,,,23.0,,,,,,,185000.0,188000.0,184000.0,188000.0,1.08,74273.0,,,
2020-01-11,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-12,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-13,1248.0,,,6633.0,,,-6699.0,,,-4377.0,,,-280.0,,,-3908.0,,,135.0,,,-5.0,,,1736.0,,,0.0,,,-1510.0,,,327.0,,,,,,,187500.0,188500.0,186000.0,188000.0,0.0,63290.0,,,
2020-01-14,-8277.0,,,5647.0,,,3400.0,,,-4348.0,,,777.0,,,4177.0,,,4438.0,,,-34.0,,,-1642.0,,,31.0,,,-310.0,,,-460.0,,,,,,,188000.0,194500.0,188000.0,190500.0,1.33,95615.0,,,
2020-01-15,1686.0,,,4377.0,,,-6061.0,,,-3959.0,,,-640.0,,,487.0,,,-340.0,,,33.0,,,-1408.0,,,-234.0,,,117.0,,,-119.0,,,,,,,189500.0,192000.0,188500.0,191500.0,0.52,61588.0,,,
2020-01-16,5264.0,,,1026.0,,,-6697.0,,,-5020.0,,,-40.0,,,-802.0,,,-366.0,,,0.0,,,-675.0,,,206.0,,,244.0,,,164.0,,,,,,,190000.0,192500.0,189000.0,191500.0,0.0,46823.0,,,
2020-01-17,5072.0,,,4173.0,,,-9265.0,,,-6756.0,,,-220.0,,,-479.0,,,-2077.0,,,54.0,,,10.0,,,203.0,,,-26.0,,,46.0,,,,,,,190500.0,192500.0,189500.0,191000.0,-0.26,54560.0,,,
2020-01-18,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-19,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2020-01-20,16428.0,,,-15308.0,,,-1314.0,,,-2776.0,,,-569.0,,,-1040.0,,,3044.0,,,1708.0,,,-1770.0,,,90.0,,,77.0,,,116.0,,,,,,,190000.0,190500.0,187000.0,187500.0,-1.83,85618.0,,,
2020-01-21,-6132.0,,,4177.0,,,1880.0,,,1561.0,,,-154.0,,,245.0,,,203.0,,,-34.0,,,60.0,,,-1.0,,,-13.0,,,89.0,,,,,,,187500.0,189500.0,181000.0,182000.0,-2.93,101140.0,,,
2020-01-22,-6788.0,,,-2031.0,,,8504.0,,,4917.0,,,949.0,,,2722.0,,,-320.0,,,100.0,,,141.0,,,-4.0,,,220.0,,,95.0,,,,,,,185000.0,190000.0,184500.0,186000.0,2.2,80460.0,,,
