date,financial,insurance,invtrust,privequity,bank,financeetc,pension,institution,corporateetc,retail,foreigner,foreigneretc,total
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,-11890,-326,-1736,215,99,11,-2957,-16584,988,11484,4028,84,0
2020-01-03,-14497,-502,-3234,-2636,-22,10,-9156,-30037,-437,18609,11881,-16,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,-8919,267,545,-1359,-13,472,65,-8942,-788,5359,4401,-29,0
2020-01-07,-985,2281,2781,1097,149,16,417,5757,722,-15645,9209,-44,0
2020-01-08,-12996,2621,-270,-3951,99,-4,-290,-14790,1078,16564,-2976,123,0
2020-01-09,-5318,1769,-54,-2234,10,0,-3380,-9208,-976,1326,8883,-25,0
2020-01-10,-5573,-139,-1550,342,-150,0,-4888,-11959,343,-7991,19584,23,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,-4377,1736,-280,135,-5,0,-3908,-6699,-1510,1248,6633,327,0
2020-01-14,-4348,-1642,777,4438,-34,31,4177,3400,-310,-8277,5647,-460,0
2020-01-15,-3959,-1408,-640,-340,33,-234,487,-6061,117,1686,4377,-119,0
2020-01-16,-5020,-675,-40,-366,0,206,-802,-6697,244,5264,1026,164,0
2020-01-17,-6756,10,-220,-2077,54,203,-479,-9265,-26,5072,4173,46,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,-2776,-1770,-569,3044,1708,90,-1040,-1314,77,16428,-15308,116,0
2020-01-21,1561,60,-154,203,-34,-1,245,1880,-13,-6132,4177,89,0
2020-01-22,4917,141,949,-320,100,-4,2722,8504,220,-6788,-2031,95,0
2020-01-23,-11747,-651,-1000,1987,132,0,-1382,-12661,-2183,12988,1722,135,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,2607,212,232,44,413,87,-2713,882,1234,2812,-4902,-26,0
2020-01-29,-16737,1356,2553,-782,0,35,4432,-9143,36,7639,1578,-110,0
2020-01-30,-10269,5528,5795,-842,307,223,17096,17838,573,-1318,-17077,-16,0
2020-01-31,-1819,2858,2162,245,-9,32,13744,17213,-2269,-1126,-13838,20,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,4524,1667,2332,2383,48,-57,7264,18162,4,5122,-23248,-40,0
2020-02-04,-19344,818,-115,4622,0,272,9819,-3927,1568,5699,-3382,42,0
2020-02-05,-25142,10822,3054,732,0,5,6695,-3834,308,1533,2117,-125,0
2020-02-06,7170,366,2230,2164,-399,69,10257,21858,142,27966,-50080,114,0
2020-02-07,-6225,-332,2542,1046,111,120,-273,-3012,128,-13398,16213,68,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,-1302,1141,3182,2225,219,0,7368,12832,-344,7194,-19821,139,0
2020-02-11,5799,697,2139,-1550,129,-20,543,7738,423,-4226,-3930,-4,0
2020-02-12,6740,-6,616,-1638,-1,0,-4255,1456,258,-77,-1702,66,0
2020-02-13,-2796,213,-501,2500,0,0,-4881,-5465,86,8071,-2868,176,0
2020-02-14,-3403,1409,2976,2706,28,0,11322,15038,110,-9067,-6024,-56,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,-2173,635,1297,1582,0,0,8463,9803,1468,-10411,-860,-1,0
2020-02-18,-7513,142,601,351,-208,0,-6359,-12986,2073,5130,5779,4,0
2020-02-19,4104,2451,12838,1815,566,177,16000,37951,2523,-19752,-20505,-216,0
2020-02-20,-8134,3559,4287,-8799,478,0,2288,-6322,2673,5203,-934,-620,0
2020-02-21,-6632,355,2164,2300,-33,0,1187,-659,2893,-5273,3159,-119,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,-143,5001,2577,-243,0,71,295,7557,1904,-5347,-4090,-24,0
2020-02-25,-4519,465,4698,881,1057,-28,3373,5926,184,-23527,17487,-69,0
2020-02-26,-4570,2620,1449,2448,122,205,8818,11092,50,7665,-18806,-2,0
2020-02-27,-3268,1824,2826,1486,22,-2,5382,8270,-70,9461,-17694,34,0
2020-02-28,10231,-661,17,1172,185,0,-823,10120,-177,2038,-12010,30,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,2615,2355,2096,-1541,47,90,5210,10873,551,2212,-13652,16,0
2020-03-03,-13211,2264,3042,1574,205,0,4479,-1648,-83,11373,-9777,135,0
2020-03-04,-5206,1976,3699,1393,0,20,2673,4555,798,-5021,-193,-138,0
2020-03-05,-10346,204,264,-848,48,189,2005,-8485,-38,2717,5810,-5,0
2020-03-06,-13135,856,-1052,-619,3,20,3699,-10228,72,-2060,12209,8,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,-6726,537,-2722,-3382,-372,279,20501,8115,453,24422,-33028,37,0
2020-03-10,9289,2555,-3400,-1125,198,266,7750,15534,-261,-8607,-6596,-69,0
2020-03-11,-11904,-274,2304,-1224,-154,-24,1402,-9874,17,2916,6909,33,0
2020-03-12,-1085,2482,943,415,519,31,3269,6575,384,-1081,-5880,3,0
2020-03-13,3845,5397,6563,1066,-492,235,27974,44589,332,-6784,-38134,-3,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,-11661,2122,4586,-457,322,-12,16934,11834,103,16133,-28230,160,0
2020-03-17,7799,733,3111,291,-149,17,8643,20446,1504,9807,-31730,-28,0
2020-03-18,-7461,1646,1491,487,775,279,3159,376,516,2373,-3292,27,0
2020-03-19,5505,1798,870,-415,-473,58,15963,23305,-2008,-22238,950,-10,0
2020-03-20,1747,4388,7250,895,378,251,18145,33054,2880,3780,-39766,51,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,-5152,1615,-1675,-3522,-330,-187,8456,-795,-383,9284,-8131,25,0
2020-03-24,2853,1130,9042,1429,256,271,9938,24919,2,-7618,-17297,-6,0
2020-03-25,-7530,-328,-377,-2497,-462,163,2318,-8714,-1736,29086,-18903,266,0
2020-03-26,-5530,-2191,-2993,-2728,508,66,-2661,-15530,-212,16422,-815,135,0
2020-03-27,-5049,-1344,166,-946,41,-125,-11988,-19245,-457,-34936,54952,-314,0
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,4288,1775,1188,907,177,73,6690,15099,163,2777,-18036,-2,0
2020-03-31,-8703,-485,1594,254,-38,343,6220,-816,-633,-5452,6865,36,0
2020-04-01,-10406,-325,-1221,-1385,-545,-21,-1569,-15472,754,12754,1913,51,0
2020-04-02,4363,1433,6650,1555,10,0,92,14102,174,-17880,3619,-16,0
2020-04-03,2875,382,2458,-900,1208,562,12445,19031,-410,12991,-31661,50,0
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,17606,-2484,-3208,21,257,-44,-4057,8091,-309,18183,-25974,9,0
2020-04-07,-4953,-5131,-4357,-2733,65,107,-21027,-38030,-980,50569,-11672,113,0
2020-04-08,-12834,-3947,-39,-879,107,-18,-9276,-26887,256,25777,649,205,0
2020-04-09,6059,-2718,-2474,-2700,-523,655,-1874,-3576,365,16665,-13525,71,0
2020-04-10,-9837,-2126,-3371,-2274,-111,-69,8614,-9175,13,15123,-5999,38,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,-11109,790,175,-275,21,0,5111,-5287,-111,-3148,8561,-15,0
2020-04-14,4222,441,4761,4126,382,30,10739,24702,2063,-17407,-9227,-130,0
2020-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,6112,436,646,3,442,20,12936,20595,1950,-19312,-3220,-12,0
2020-04-17,5051,-1213,3758,-1476,515,-207,13731,20158,247,-31660,11298,-44,0
2020-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,-8905,-454,926,274,25,13,-1131,-9251,355,-4381,13237,40,0
2020-04-21,-1758,-469,2069,722,0,7,5124,5694,102,-5757,-41,2,0
2020-04-22,-8378,1561,2589,1632,-81,8,8525,5857,-322,-3214,-2468,147,0
2020-04-23,-1111,4631,10443,3224,110,68,29428,46795,186,-47919,1139,-201,0
2020-04-24,-6252,1382,3141,1294,-299,-192,5939,5013,-47,-11139,6211,-39,0
2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,8563,1572,4115,343,-74,-345,-7645,6529,-224,-2336,-4204,235,0
2020-04-28,-3805,-186,-1059,-186,65,48,-2845,-7968,480,2863,4540,86,0
2020-04-29,1404,-3448,-3889,-2911,-366,-31,-10784,-20025,-1796,2536,19231,54,0
2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,-19724,-2017,-1328,223,-64,-30,-13869,-36809,-670,-1212,38697,-5,0
2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,5512,2153,3721,-111,42,244,5849,17410,801,-12711,-5461,-39,0
2020-05-07,-1499,377,-4473,762,1882,-107,-4240,-7297,-8440,5800,9869,68,0
2020-05-08,-2758,795,-4140,-3426,-165,29,-5232,-14897,612,14131,-306,460,0
2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,-2852,-5522,-1075,723,69,-22,2851,-5828,2340,12711,-9139,-83,0
2020-05-12,-8142,1282,3530,-1074,-723,-17,-425,-5571,2230,15613,-12480,207,0
2020-05-13,-7922,-1787,841,-231,229,-238,-8183,-17289,-159,44396,-27293,346,0
2020-05-14,-3894,465,1902,1109,50,146,-4663,-4885,74,15236,-10435,10,0
2020-05-15,-1440,1737,-5309,-2982,-351,-90,7067,-1369,562,45318,-44212,-299,0
2020-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,-3026,3365,-683,595,219,85,1471,2027,1084,11579,-14804,114,0
2020-05-19,8628,-5338,-10071,-3151,-707,-110,-12613,-23363,-1562,13511,11382,31,0
