날짜,종가,오픈,고가,저가,거래량,변동 %
2020-01-02,28868.8,28638.97,28872.8,28627.77,254.29M,1.16%
2020-01-03,28634.88,28553.33,28716.31,28500.36,239.59M,-0.81%
2020-01-06,28703.38,28465.5,28708.02,28418.63,261.81M,0.24%
2020-01-07,28583.68,28639.18,28685.5,28565.28,266.68M,-0.42%
2020-01-08,28745.09,28556.14,28866.18,28522.51,296.43M,0.56%
2020-01-09,28956.9,28851.97,28988.01,28844.31,282.85M,0.74%
2020-01-10,28823.77,28977.52,29009.07,28789.1,239.17M,-0.46%
2020-01-13,28907.05,28869.01,28909.91,28819.43,263.02M,0.29%
2020-01-14,28939.67,28895.5,29054.16,28872.27,296.04M,0.11%
2020-01-15,29030.22,28901.8,29127.59,28897.35,263.43M,0.31%
2020-01-16,29297.64,29131.95,29300.32,29131.95,252.11M,0.92%
2020-01-17,29348.1,29313.31,29373.62,29289.91,336.87M,0.17%
2020-01-21,29196.04,29269.05,29341.21,29146.47,320.64M,-0.52%
2020-01-22,29186.27,29263.63,29320.2,29172.26,283.44M,-0.03%
2020-01-23,29160.09,29111.02,29190.47,28966.98,307.06M,-0.09%
2020-01-24,28989.73,29230.39,29288.79,28843.31,380.01M,-0.58%
2020-01-27,28535.8,28542.49,28671.79,28440.47,337.27M,-1.57%
2020-01-28,28722.85,28594.28,28823.23,28575.75,352.94M,0.66%
2020-01-29,28734.45,28820.53,28944.24,28728.19,305.93M,0.04%
2020-01-30,28859.44,28640.16,28879.71,28489.76,326.85M,0.43%
2020-01-31,28256.03,28813.04,28813.04,28169.53,403.89M,-2.09%
2020-02-03,28399.81,28319.65,28630.39,28319.65,315.50M,0.51%
2020-02-04,28807.63,28696.74,28904.88,28696.74,332.75M,1.44%
2020-02-05,29290.85,29048.73,29308.89,29000.85,357.54M,1.68%
2020-02-06,29379.77,29388.58,29408.05,29246.93,263.70M,0.30%
2020-02-07,29102.51,29286.92,29286.92,29056.98,253.87M,-0.94%
2020-02-10,29276.82,28995.66,29278.07,28995.66,257.46M,0.60%
2020-02-11,29276.34,29390.71,29415.39,29210.47,281.85M,-0.00%
2020-02-12,29551.42,29406.75,29568.57,29406.75,309.53M,0.94%
2020-02-13,29423.31,29436.03,29535.4,29345.93,294.36M,-0.43%
2020-02-14,29398.08,29440.47,29463.04,29283.18,232.55M,-0.09%
2020-02-18,29232.19,29282.78,29330.16,29116.81,264.16M,-0.56%
2020-02-19,29348.03,29312.7,29409.09,29274.38,242.65M,0.40%
2020-02-20,29219.98,29296.25,29368.45,28959.65,289.07M,-0.44%
2020-02-21,28992.41,29146.53,29146.53,28892.7,313.44M,-0.78%
2020-02-24,27960.8,28402.93,28402.93,27912.44,458.71M,-3.56%
2020-02-25,27081.36,28037.65,28149.2,26997.62,513.27M,-3.15%
2020-02-26,26957.59,27159.46,27542.78,26890.97,477.57M,-0.46%
2020-02-27,25766.64,26526.0,26775.31,25752.82,670.37M,-4.42%
2020-02-28,25409.36,25270.83,25494.24,24681.01,922.68M,-1.39%
2020-03-02,26703.32,25590.51,26706.17,25391.96,637.20M,5.09%
2020-03-03,25917.41,26762.47,27084.59,25706.28,647.08M,-2.94%
2020-03-04,27090.86,26383.68,27102.34,26286.31,457.59M,4.53%
2020-03-05,26121.28,26671.92,26671.92,25943.33,477.37M,-3.58%
2020-03-06,25864.78,25457.21,25994.38,25226.62,601.01M,-0.98%
2020-03-09,23851.02,24992.36,24992.36,23706.07,750.43M,-7.79%
2020-03-10,25018.16,24453.0,25020.99,23690.34,654.86M,4.89%
2020-03-11,23553.22,24604.63,24604.63,23328.32,663.96M,-5.86%
2020-03-12,21200.62,22184.71,22837.95,21154.46,911.77M,-9.99%
2020-03-13,23185.62,21973.82,23189.76,21285.37,843.08M,9.36%
2020-03-16,20188.52,20917.53,21768.28,20116.46,775.91M,-12.93%
2020-03-17,21237.38,20487.05,21379.35,19882.26,795.84M,5.20%
2020-03-18,19898.92,20188.69,20489.33,18917.46,874.09M,-6.30%
2020-03-19,20087.19,19830.01,20442.63,19177.13,795.80M,0.95%
2020-03-20,19173.98,20253.15,20531.26,19094.27,872.29M,-4.55%
2020-03-23,18591.93,19028.36,19121.01,18213.65,801.24M,-3.04%
2020-03-24,20704.91,19722.19,20737.7,19649.25,808.47M,11.37%
2020-03-25,21200.55,21050.34,22019.93,20538.34,803.31M,2.39%
