date,price,open,high,low,volume,change(%)
2022-06-24,107.08,104.39,108.55,103.64,-,2.58%
2022-06-23,104.39,103.94,107.0,102.33,-,0.49%
2022-06-22,103.88,109.14,109.25,101.58,-,-6.12%
2022-06-21,110.65,110.58,112.47,108.72,28.46K,1.66%
2022-06-20,108.84,108.97,109.17,106.84,-,-0.09%
2022-06-19,108.94,108.97,109.34,108.78,-,-0.57%
2022-06-17,109.56,117.08,118.97,108.25,103.15K,-6.83%
2022-06-16,117.59,115.98,118.08,112.31,162.54K,1.98%
2022-06-15,115.31,119.07,119.61,114.6,301.75K,-3.04%
2022-06-14,118.93,121.09,123.68,116.62,366.32K,-1.65%
2022-06-13,120.93,120.19,122.25,117.47,372.40K,0.22%
2022-06-10,120.67,121.46,122.75,118.33,352.91K,-0.69%
2022-06-09,121.51,122.43,122.72,120.79,293.30K,-0.49%
2022-06-08,122.11,119.79,123.18,119.3,340.59K,2.26%
2022-06-07,119.41,119.1,120.36,117.14,341.69K,0.77%
2022-06-06,118.5,120.82,120.99,117.63,246.83K,-0.31%
2022-06-03,118.87,117.55,120.46,115.23,240.83K,1.71%
2022-06-02,116.87,114.8,117.77,111.2,327.60K,1.40%
2022-06-01,115.26,115.4,117.87,114.58,290.53K,0.51%
2022-05-31,114.67,114.96,119.98,114.15,440.80K,-2.50%
2022-05-30,117.61,115.58,117.79,115.39,-,1.73%
2022-05-29,115.61,115.3,115.81,115.2,-,0.47%
2022-05-27,115.07,114.2,115.3,112.85,217.28K,0.86%
2022-05-26,114.09,110.69,114.83,110.27,234.75K,3.41%
2022-05-25,110.33,110.39,111.68,109.23,191.37K,0.51%
