날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 05월 31일,"4,132.15","4,151.09","4,168.34","4,104.88",-,-0.63%
2022년 05월 27일,"4,158.24","4,077.43","4,158.49","4,077.43",-,2.47%
2022년 05월 26일,"4,057.84","3,984.60","4,075.14","3,984.60",-,1.99%
2022년 05월 25일,"3,978.73","3,929.59","3,999.33","3,925.03",-,0.95%
2022년 05월 24일,"3,941.48","3,942.94","3,955.68","3,875.13",-,-0.81%
2022년 05월 23일,"3,973.75","3,919.42","3,981.88","3,909.04",-,1.86%
2022년 05월 20일,"3,901.36","3,927.76","3,943.42","3,810.32",-,0.01%
2022년 05월 19일,"3,900.79","3,899.00","3,945.96","3,876.58",-,-0.58%
2022년 05월 18일,"3,923.68","4,051.98","4,051.98","3,911.91",-,-4.04%
2022년 05월 17일,"4,088.85","4,052.00","4,090.72","4,033.93",-,2.02%
2022년 05월 16일,"4,008.01","4,013.02","4,046.46","3,983.99",-,-0.39%
2022년 05월 13일,"4,023.89","3,963.90","4,038.88","3,963.90",-,2.39%
2022년 05월 12일,"3,930.08","3,903.95","3,964.80","3,858.87",-,-0.13%
2022년 05월 11일,"3,935.18","3,990.08","4,049.09","3,928.82",-,-1.65%
2022년 05월 10일,"4,001.05","4,035.18","4,068.82","3,958.17",-,0.25%
2022년 05월 09일,"3,991.24","4,081.27","4,081.27","3,975.48",-,-3.20%
2022년 05월 06일,"4,123.34","4,128.17","4,157.69","4,067.91",-,-0.70%
2022년 05월 05일,"4,152.38","4,255.50","4,256.39","4,105.51",-,-3.44%
2022년 05월 04일,"4,300.17","4,181.18","4,307.66","4,148.91",-,2.99%
2022년 05월 03일,"4,175.48","4,159.78","4,200.10","4,147.08",-,0.48%
2022년 05월 02일,"4,155.38","4,130.61","4,169.81","4,062.51",-,0.57%
2022년 04월 29일,"4,131.93","4,253.75","4,269.68","4,124.28",-,-3.63%
2022년 04월 28일,"4,287.50","4,222.58","4,308.45","4,188.63",-,2.47%
2022년 04월 27일,"4,183.96","4,186.52","4,240.71","4,162.90",-,0.21%
2022년 04월 26일,"4,175.20","4,278.14","4,278.14","4,175.04",-,-2.81%
2022년 04월 25일,"4,296.12","4,255.34","4,299.02","4,200.82",-,0.57%
2022년 04월 22일,"4,271.78","4,385.83","4,385.83","4,267.62",-,-2.77%
2022년 04월 21일,"4,393.66","4,489.17","4,512.94","4,384.47",-,-1.48%
2022년 04월 20일,"4,459.45","4,472.26","4,488.29","4,448.76",-,-0.06%
2022년 04월 19일,"4,462.21","4,390.63","4,471.03","4,390.63",-,1.61%
2022년 04월 18일,"4,391.69","4,385.63","4,410.31","4,370.30",-,-0.02%
2022년 04월 14일,"4,392.59","4,449.12","4,460.46","4,390.77",-,-1.21%
2022년 04월 13일,"4,446.59","4,394.30","4,453.92","4,392.70",-,1.12%
2022년 04월 12일,"4,397.45","4,437.59","4,471.00","4,381.34",-,-0.34%
2022년 04월 11일,"4,412.53","4,462.64","4,464.35","4,408.38",-,-1.69%
2022년 04월 08일,"4,488.28","4,494.15","4,520.41","4,474.60",-,-0.27%
2022년 04월 07일,"4,500.21","4,474.65","4,521.16","4,450.30",-,0.43%
2022년 04월 06일,"4,481.15","4,494.17","4,503.94","4,450.04",-,-0.97%
2022년 04월 05일,"4,525.12","4,572.45","4,593.45","4,514.17",-,-1.26%
2022년 04월 04일,"4,582.64","4,547.97","4,583.50","4,539.21",-,0.81%
2022년 04월 01일,"4,545.86","4,540.32","4,548.70","4,507.57",-,0.34%
2022년 03월 31일,"4,530.41","4,599.02","4,603.07","4,530.41",-,-1.57%
2022년 03월 30일,"4,602.45","4,624.20","4,627.77","4,581.32",-,-0.63%
2022년 03월 29일,"4,631.60","4,602.86","4,637.30","4,589.66",-,1.23%
2022년 03월 28일,"4,575.52","4,541.09","4,575.65","4,517.69",-,0.71%
2022년 03월 25일,"4,543.04","4,522.91","4,546.03","4,501.07",-,0.51%
2022년 03월 24일,"4,520.16","4,469.98","4,520.58","4,465.17",-,1.43%
2022년 03월 23일,"4,456.23","4,493.10","4,501.07","4,455.81",-,-1.23%
2022년 03월 22일,"4,511.61","4,469.10","4,522.00","4,469.10",-,1.13%
2022년 03월 21일,"4,461.18","4,462.40","4,481.75","4,424.30",-,-0.04%
2022년 03월 18일,"4,463.09","4,407.34","4,465.40","4,390.57",-,1.17%
2022년 03월 17일,"4,411.67","4,345.11","4,412.67","4,335.65",-,1.23%
2022년 03월 16일,"4,357.95","4,288.14","4,358.90","4,251.99",-,2.24%
2022년 03월 15일,"4,262.45","4,188.82","4,271.05","4,187.90",-,2.14%
2022년 03월 14일,"4,173.11","4,202.75","4,247.57","4,161.72",-,-0.74%
2022년 03월 11일,"4,204.31","4,279.50","4,291.01","4,200.49",-,-1.30%
2022년 03월 10일,"4,259.52","4,252.55","4,268.28","4,209.80",-,-0.43%
2022년 03월 09일,"4,277.88","4,223.10","4,299.40","4,223.10",-,2.57%
