date,price,open,high,low,volume,change(%)
2022-06-24,2718.5,2639.8,2719.5,2639.4,-,4.45%
2022-06-23,2602.7,2633.0,2636.8,2563.7,-,-0.65%
2022-06-22,2619.7,2603.6,2658.8,2602.9,-,-1.12%
2022-06-21,2649.4,2638.5,2685.0,2633.6,-,2.75%
2022-06-17,2578.5,2581.7,2598.6,2523.2,-,0.46%
2022-06-16,2566.9,2648.2,2655.1,2537.7,-,-6.24%
2022-06-15,2737.5,2726.1,2780.6,2674.0,-,1.77%
2022-06-14,2689.9,2707.3,2713.5,2658.4,-,0.63%
2022-06-13,2673.0,2742.1,2765.4,2665.6,-,-5.61%
2022-06-10,2832.0,2894.7,2911.8,2828.5,-,-3.60%
2022-06-09,2937.8,2995.8,3047.7,2937.4,-,-2.69%
2022-06-08,3019.1,3069.8,3082.4,3000.5,-,-2.39%
2022-06-07,3093.0,3025.9,3098.7,3008.0,-,0.99%
2022-06-06,3062.7,3121.9,3132.4,3047.2,-,0.00%
2022-06-03,3062.6,3080.5,3103.4,3047.9,-,-3.02%
2022-06-02,3158.0,3042.0,3158.6,3037.0,-,3.57%
2022-06-01,3049.0,3117.3,3130.1,3011.2,-,-1.60%
2022-05-31,3098.7,3110.1,3126.9,3052.7,-,-0.53%
2022-05-27,3115.4,3048.1,3120.9,3046.7,-,4.03%
2022-05-26,2994.6,2850.0,3006.2,2848.5,-,3.87%
2022-05-25,2882.9,2812.1,2905.9,2809.7,-,1.98%
