date,price,open,high,low,volume,change(%)
2022-06-24,27.23,29.07,29.72,26.83,-,-6.27%
2022-06-23,29.05,29.29,29.77,28.74,-,0.35%
2022-06-22,28.95,31.45,31.57,28.78,-,-4.11%
2022-06-21,30.19,30.63,30.65,29.33,-,-2.71%
2022-06-20,31.03,32.06,32.16,30.98,-,-0.32%
2022-06-17,31.13,32.84,33.31,30.47,-,-5.52%
2022-06-16,32.95,30.35,34.82,30.35,-,11.24%
2022-06-15,29.62,32.39,32.77,27.76,-,-9.39%
2022-06-14,32.69,33.01,34.0,32.06,-,-3.91%
2022-06-13,34.02,31.37,35.05,31.29,-,22.59%
2022-06-10,27.75,26.26,29.63,26.05,-,6.36%
2022-06-09,26.09,24.29,26.24,23.82,-,8.89%
2022-06-08,23.96,24.37,24.78,23.74,-,-0.25%
2022-06-07,24.02,25.54,26.24,23.88,-,-4.19%
2022-06-06,25.07,25.37,25.81,24.82,-,1.13%
2022-06-03,24.79,24.91,25.96,24.76,-,0.28%
2022-06-02,24.72,25.73,26.5,24.33,-,-3.78%
2022-06-01,25.69,26.05,27.73,25.38,-,-1.91%
2022-05-31,26.19,27.47,28.35,25.94,-,-1.32%
2022-05-30,26.54,26.16,26.81,26.08,-,3.19%
2022-05-27,25.72,27.5,27.54,25.57,-,-6.47%
2022-05-26,27.5,28.42,28.46,27.11,-,-3.07%
2022-05-25,28.37,29.33,30.23,28.16,-,-3.67%
