date,f_g_index,rating
2022-06-05,29,fear
2022-06-06,31,fear
2022-06-07,32,fear
2022-06-08,31,fear
2022-06-09,28,fear
2022-06-10,28,fear
2022-06-12,17,extreme fear
2022-06-13,17,extreme fear
2022-06-14,20,extreme fear
2022-06-15,13,extreme fear
2022-06-16,14,extreme fear
2022-06-17,14,extreme fear
2022-06-19,14,extreme fear
2022-06-20,19,extreme fear
2022-06-21,21,extreme fear
2022-06-22,22,extreme fear
2022-06-23,27,fear
2022-06-24,27,fear
2022-06-26,28,fear
2022-06-27,26,fear
2022-06-28,25,fear
2022-06-29,22,extreme fear
2022-06-30,24,extreme fear
2022-07-01,24,extreme fear
2022-07-03,24,extreme fear
2022-07-04,24,extreme fear
