,시간,현재가,등락,등락률(%),체결량,거래량
0,06/20 15:50,82500,▼ 900,-1.08,31,246682
1,06/20 15:40,82500,▼ 900,-1.08,45,246651
2,06/20 15:30,82500,▼ 900,-1.08,8234,246606
3,06/20 15:10,82500,▼ 900,-1.08,7609,238372
4,06/20 15:00,82400,"▼ 1,000",-1.2,6358,230763
5,06/20 14:50,82400,"▼ 1,000",-1.2,7473,224405
6,06/20 14:40,82200,"▼ 1,200",-1.44,5089,216932
7,06/20 14:30,82500,▼ 900,-1.08,13810,211843
8,06/20 14:20,82200,"▼ 1,200",-1.44,5655,198033
9,06/20 14:10,82300,"▼ 1,100",-1.32,6188,192378
10,06/20 14:00,82400,"▼ 1,000",-1.2,7204,186190
11,06/20 13:50,82400,"▼ 1,000",-1.2,3516,178986
12,06/20 13:40,82400,"▼ 1,000",-1.2,3706,175470
13,06/20 13:30,82500,▼ 900,-1.08,3496,171764
14,06/20 13:20,82400,"▼ 1,000",-1.2,5518,168268
15,06/20 13:10,82400,"▼ 1,000",-1.2,4022,162750
16,06/20 13:00,82600,▼ 800,-0.96,1830,158728
17,06/20 12:50,82600,▼ 800,-0.96,5055,156898
18,06/20 12:40,82600,▼ 800,-0.96,4378,151843
19,06/20 12:30,82700,▼ 700,-0.84,2352,147465
0,06/20 13:20,82400,"▼ 1,000",-1.2,5518,168268
1,06/20 13:10,82400,"▼ 1,000",-1.2,4022,162750
2,06/20 13:00,82600,▼ 800,-0.96,1830,158728
3,06/20 12:50,82600,▼ 800,-0.96,5055,156898
4,06/20 12:40,82600,▼ 800,-0.96,4378,151843
5,06/20 12:30,82700,▼ 700,-0.84,2352,147465
6,06/20 12:20,82600,▼ 800,-0.96,6874,145113
7,06/20 12:10,82500,▼ 900,-1.08,1914,138239
8,06/20 12:00,82600,▼ 800,-0.96,5208,136325
9,06/20 11:50,82500,▼ 900,-1.08,1895,131117
10,06/20 11:40,82500,▼ 900,-1.08,4937,129222
11,06/20 11:30,82600,▼ 800,-0.96,2837,124285
12,06/20 11:20,82400,"▼ 1,000",-1.2,3553,121448
13,06/20 11:10,82500,▼ 900,-1.08,4849,117895
14,06/20 11:00,82600,▼ 800,-0.96,9500,113046
15,06/20 10:50,82200,"▼ 1,200",-1.44,4303,103546
16,06/20 10:40,82300,"▼ 1,100",-1.32,4856,99243
17,06/20 10:30,82600,▼ 800,-0.96,3414,94387
18,06/20 10:20,82700,▼ 700,-0.84,16478,90973
19,06/20 10:10,82700,▼ 700,-0.84,6200,74495
0,06/20 10:00,82800,▼ 600,-0.72,5582,68295
1,06/20 09:50,82900,▼ 500,-0.6,19728,62713
2,06/20 09:40,82900,▼ 500,-0.6,3056,42985
3,06/20 09:30,83100,▼ 300,-0.36,5623,39929
4,06/20 09:20,83100,▼ 300,-0.36,7833,34306
5,06/20 09:10,83300,▼ 100,-0.12,6377,26473
6,06/20 09:00,83200,▼ 200,-0.24,20096,20096
